event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
ch-UZB 1st League 2014,Tashkent UZB,2014.03.01,1.5,"Abdusattorov,Nodirbek","Alikulov,Elbek",2024.0,2212.0,1-0,1,B28,81,e4 c5 Nf3 a6 d3 g6 g3 Bg7 Bg2 b5 O-O Bb7 c3 e5 a3 Ne7 b4 d6 Nbd2 O-O Nb3 Nd7 Be3 Rc8 Rc1 h6 Nfd2 f5 f4 Kh7 Qe2 cxb4 axb4 exf4 Bxf4 Rxc3 Rxc3 Bxc3 Bxd6 Qb6+ Bc5 Nxc5 bxc5 Qe6 d4 Rd8 Qd3 Bxd2 Nxd2 fxe4 Nxe4 Nf5 d5 Qe5 g4 Ne7 Rf7+ Kg8 Qf1 Nxd5 Rxb7 Qd4+ Kh1 Rf8 Qg1 Ne3 Re7 a5 c6 a4 Qxe3 Qxe3 Nf6+ Rxf6 Rxe3 Rd6 h4 Rd1+ Kh2 b4 c7,e2e4 c7c5 g1f3 a7a6 d2d3 g7g6 g2g3 f8g7 f1g2 b7b5 e1g1 c8b7 c2c3 e7e5 a2a3 g8e7 b2b4 d7d6 b1d2 e8g8 d2b3 b8d7 c1e3 a8c8 a1c1 h7h6 f3d2 f7f5 f2f4 g8h7 d1e2 c5b4 a3b4 e5f4 e3f4 c8c3 c1c3 g7c3 f4d6 d8b6 d6c5 d7c5 b4c5 b6e6 d3d4 f8d8 e2d3 c3d2 b3d2 f5e4 d2e4 e7f5 d4d5 e6e5 g3g4 f5e7 f1f7 h7g8 d3f1 e7d5 f7b7 e5d4 g1h1 d8f8 f1g1 d5e3 b7e7 a6a5 c5c6 a5a4 g1e3 d4e3 e4f6 f8f6 e7e3 f6d6 h2h4 d6d1 h1h2 b5b4 c6c7,-188.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.02,2.3,"Jumanov,E","Abdusattorov,Nodirbek",2090.0,2024.0,1-0,1,A15,279,Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 Nxd5 Qxd5 Bg2 O-O O-O Nc6 d3 Qd8 a3 e5 Bg5 Qd6 Qc2 Bg4 Be3 Rfe8 Rac1 Rac8 Rfe1 Ne7 Ng5 Nd5 Qb3 c6 Bxa7 Qe7 h4 h6 Bc5 Qd7 Ne4 b6 Bb4 Be6 Qa4 Red8 Bd2 f5 Nc3 Ne7 Red1 Kh7 Be3 Rb8 b4 Ra8 Qc2 Rxa3 Bxb6 Rb8 Bc5 Nd5 Nxd5 cxd5 Ra1 Raa8 Rxa8 Rxa8 d4 f4 dxe5 fxg3 fxg3 Bxe5 h5 Qf7 hxg6+ Qxg6 Qxg6+ Kxg6 Bxd5 Bxd5 Rxd5 Bxg3 Kg2 Bf4 b5 Ra2 Kf3 Bh2 b6 Rb2 Be3 Rb4 Rd8 Rb5 Rh8 h5 Kg2 Be5 Rh6+ Kf5 Rxh5+ Ke4 Bf2 Rb2 Rh4+ Kd5 e4+ Kc4 Kf3 Rb3+ Kg4 Rb5 Rh6 Bc3 Rc6+ Kd3 Kf3 Rb1 Rd6+ Kc4 Rd7 Kb5 Rc7 Ba5 Kg4 Rb2 Bd4 Rb4 Rd7 Kc6 Rd8 Bxb6 Bxb6 Rxe4+ Kf3 Re7 Be3 Kc7 Ra8 Re6 Ke2 Kc6 Kd3 Rd6+ Kc4 Rd1 Ra6+ Kb7 Rf6 Re1 Bc5 Rc1+ Kb5 Rb1+ Bb4 Rc1 Bc5 Rb1+ Kc4 Rh1 Rb6+ Kc7 Ra6 Kb7 Re6 Rd1 Kb5 Rb1+ Bb4 Rc1 Ra6 Rc2 Ra1 Rh2 Bc5 Rb2+ Kc4 Rh2 Ra7+ Kc6 Ra6+ Kb7 Rb6+ Kc7 Rg6 Rd2 Bd4 Kb7 Kd5 Rc2 Rb6+ Kc7 Ra6 Kd7 Rg6 Re2 Rd6+ Ke7 Rg6 Kd7 Rh6 Rc2 Rd6+ Kc7 Rg6 Kb7 Bc5 Rd2+ Ke5 Rd1 Rg7+ Ka6 Bd4 Rc1 Kd5 Rc8 Ra7+ Kb5 Rb7+ Ka6 Rb6+ Ka5 Bc5 Rd8+ Kc4 Rd1 Rb2 Rc1+ Kd5 Ka4 Rb4+ Ka5 Kc6 Rc3 Rb8 Ka4 Rb7 Rc2 Kd5 Rd2+ Bd4 Rc2 Ke4 Ka5 Rb6 Rc4 Rb2 Rc1 Kd5 Ka4 Bc5 Ka5 Kc6 Rc4 Rb3 Rg4 Ra3+ Ra4 Rd3 Rg4 Kd5 Kb5 Rb3+ Ka4 Rb2 Rh4 Bd4 Ka3 Rb7 Ka2 Kc4 Rg4 Rb2+ Ka3 Rb1 Rg2 Rb7,g1f3 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 g2g3 f8g7 c3d5 d8d5 f1g2 e8g8 e1g1 b8c6 d2d3 d5d8 a2a3 e7e5 c1g5 d8d6 d1c2 c8g4 g5e3 f8e8 a1c1 a8c8 f1e1 c6e7 f3g5 e7d5 c2b3 c7c6 e3a7 d6e7 h2h4 h7h6 a7c5 e7d7 g5e4 b7b6 c5b4 g4e6 b3a4 e8d8 b4d2 f7f5 e4c3 d5e7 e1d1 g8h7 d2e3 c8b8 b2b4 b8a8 a4c2 a8a3 e3b6 d8b8 b6c5 e7d5 c3d5 c6d5 c1a1 a3a8 a1a8 b8a8 d3d4 f5f4 d4e5 f4g3 f2g3 g7e5 h4h5 d7f7 h5g6 f7g6 c2g6 h7g6 g2d5 e6d5 d1d5 e5g3 g1g2 g3f4 b4b5 a8a2 g2f3 f4h2 b5b6 a2b2 c5e3 b2b4 d5d8 b4b5 d8h8 h6h5 f3g2 h2e5 h8h6 g6f5 h6h5 f5e4 e3f2 b5b2 h5h4 e4d5 e2e4 d5c4 g2f3 b2b3 f3g4 b3b5 h4h6 e5c3 h6c6 c4d3 g4f3 b5b1 c6d6 d3c4 d6d7 c4b5 d7c7 c3a5 f3g4 b1b2 f2d4 b2b4 c7d7 b5c6 d7d8 a5b6 d4b6 b4e4 g4f3 e4e7 b6e3 c6c7 d8a8 e7e6 f3e2 c7c6 e2d3 e6d6 d3c4 d6d1 a8a6 c6b7 a6f6 d1e1 e3c5 e1c1 c4b5 c1b1 c5b4 b1c1 b4c5 c1b1 b5c4 b1h1 f6b6 b7c7 b6a6 c7b7 a6e6 h1d1 c4b5 d1b1 c5b4 b1c1 e6a6 c1c2 a6a1 c2h2 b4c5 h2b2 b5c4 b2h2 a1a7 b7c6 a7a6 c6b7 a6b6 b7c7 b6g6 h2d2 c5d4 c7b7 c4d5 d2c2 g6b6 b7c7 b6a6 c7d7 a6g6 c2e2 g6d6 d7e7 d6g6 e7d7 g6h6 e2c2 h6d6 d7c7 d6g6 c7b7 d4c5 c2d2 d5e5 d2d1 g6g7 b7a6 c5d4 d1c1 e5d5 c1c8 g7a7 a6b5 a7b7 b5a6 b7b6 a6a5 d4c5 c8d8 d5c4 d8d1 b6b2 d1c1 c4d5 a5a4 b2b4 a4a5 d5c6 c1c3 b4b8 a5a4 b8b7 c3c2 c6d5 c2d2 c5d4 d2c2 d5e4 a4a5 b7b6 c2c4 b6b2 c4c1 e4d5 a5a4 d4c5 a4a5 d5c6 c1c4 b2b3 c4g4 b3a3 g4a4 a3d3 a4g4 c6d5 a5b5 d3b3 b5a4 b3b2 g4h4 c5d4 a4a3 b2b7 a3a2 d5c4 h4g4 b7b2 a2a3 b2b1 g4g2 b1b7,66.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.03,3.4,"Abdusattorov,Nodirbek","Rahman,Adel",2024.0,2167.0,1-0,1,C67,87,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Bf1 Nxe5 Rxe5 O-O d4 Bf6 Re1 Re8 c3 Rxe1 Qxe1 Qe8 Qxe8+ Nxe8 Bf4 d5 Bd3 Nd6 Nd2 Bg4 a4 a5 f3 Bh5 Kf2 Re8 Nb3 b6 Bxd6 cxd6 f4 Bg4 Nd2 Bd7 Nf1 g5 f5 Rb8 Ne3 Bc6 Bb5 Ba8 Be2 Kg7 Ra3 Bc6 h3 Bd8 g4 Bf6 Nc2 Bd8 b4 b5 axb5 axb4 Nxb4 Bxb5 Nxd5 Bc6 Nb4 Be8 Ra6 Bc7 Nd5 Rc8 f6+ Kf8 Nxc7 Rxc7 Ra8 Rb7 d5 Rb2 Ke3,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5f1 c6e5 e1e5 e8g8 d2d4 e7f6 e5e1 f8e8 c2c3 e8e1 d1e1 d8e8 e1e8 d6e8 c1f4 d7d5 f1d3 e8d6 b1d2 c8g4 a2a4 a7a5 f2f3 g4h5 g1f2 a8e8 d2b3 b7b6 f4d6 c7d6 f3f4 h5g4 b3d2 g4d7 d2f1 g7g5 f4f5 e8b8 f1e3 d7c6 d3b5 c6a8 b5e2 g8g7 a1a3 a8c6 h2h3 f6d8 g2g4 d8f6 e3c2 f6d8 b2b4 b6b5 a4b5 a5b4 c2b4 c6b5 b4d5 b5c6 d5b4 c6e8 a3a6 d8c7 b4d5 b8c8 f5f6 g7f8 d5c7 c8c7 a6a8 c7b7 d4d5 b7b2 f2e3,-143.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.04,4.4,"Guseynov,A","Abdusattorov,Nodirbek",2192.0,2024.0,1/2-1/2,0,D85,109,c4 Nf6 Nc3 d5 d4 g6 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5 Be3 Nc6 Rc1 cxd4 cxd4 O-O Qd2 Bg4 d5 Bxf3 gxf3 Ne5 Be2 Qd7 Qd1 Qd6 O-O g5 Bxg5 Ng6 f4 h6 f5 hxg5 fxg6 Qxg6 Rc4 Be5 Bg4 Kg7 Qf3 Qf6 Qxf6+ Kxf6 Rb1 b6 a4 Rab8 h3 Bd6 Be2 Rbc8 Rc6 Ke5 Bd3 Rxc6 dxc6 Rc8 Bb5 Kxe4 Kg2 Ke5 Rd1 a6 Bxa6 Rxc6 Re1+ Kf6 Bb5 Rc2 Re2 Rc3 Re3 Rc1 Rf3+ Kg7 Be8 f6 Re3 Rc5 Bb5 Be5 Re2 f5 Bd3 e6 Rc2 Bc3 Bb5 Kf6 Kf3 e5 Ke2 e4 f3 Ke5 fxe4 fxe4 Rc1 Bb4 Rc4 Ba5 Ke3 Kd5 Rd4+,c2c4 g8f6 b1c3 d7d5 d2d4 g7g6 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 c1e3 b8c6 a1c1 c5d4 c3d4 e8g8 d1d2 c8g4 d4d5 g4f3 g2f3 c6e5 f1e2 d8d7 d2d1 d7d6 e1g1 g6g5 e3g5 e5g6 f3f4 h7h6 f4f5 h6g5 f5g6 d6g6 c1c4 g7e5 e2g4 g8g7 d1f3 g6f6 f3f6 g7f6 f1b1 b7b6 a2a4 a8b8 h2h3 e5d6 g4e2 b8c8 c4c6 f6e5 e2d3 c8c6 d5c6 f8c8 d3b5 e5e4 g1g2 e4e5 b1d1 a7a6 b5a6 c8c6 d1e1 e5f6 a6b5 c6c2 e1e2 c2c3 e2e3 c3c1 e3f3 f6g7 b5e8 f7f6 f3e3 c1c5 e8b5 d6e5 e3e2 f6f5 b5d3 e7e6 e2c2 e5c3 d3b5 g7f6 g2f3 e6e5 f3e2 e5e4 f2f3 f6e5 f3e4 f5e4 c2c1 c3b4 c1c4 b4a5 e2e3 e5d5 c4d4,168.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.05,5.3,"Abdusattorov,Nodirbek","Karimov,I",2024.0,2292.0,0-1,-1,A15,64,c4 Nf6 Nf3 g6 Nc3 Bg7 g3 O-O Bg2 d5 cxd5 Nxd5 O-O c5 Nxd5 Qxd5 d3 Nc6 Be3 Qd6 Rc1 Nd4 Nxd4 cxd4 Bf4 Be5 Bd2 Be6 Qa4 a5 Qb5 Ra6 f4 Bf6 Bxa5 Bd7 Qb4 Qe6 Qd2 Rfa8 Bb4 Rxa2 Rc7 Bc6 Bxc6 bxc6 Qc2 Ra1 Ba3 R8xa3 bxa3 Ra2 Qd1 Rxe2 Rxc6 Qa2 Rf3 Rg2+ Kf1 Rxh2 Ke1 Qg2 Rc8+ Kg7,c2c4 g8f6 g1f3 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d5 c4d5 f6d5 e1g1 c7c5 c3d5 d8d5 d2d3 b8c6 c1e3 d5d6 a1c1 c6d4 f3d4 c5d4 e3f4 g7e5 f4d2 c8e6 d1a4 a7a5 a4b5 a8a6 f2f4 e5f6 d2a5 e6d7 b5b4 d6e6 b4d2 f8a8 a5b4 a6a2 c1c7 d7c6 g2c6 b7c6 d2c2 a2a1 b4a3 a8a3 b2a3 a1a2 c2d1 a2e2 c7c6 e6a2 f1f3 e2g2 g1f1 g2h2 f1e1 a2g2 c6c8 g8g7,-268.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.06,6.5,"Vladimirov,V UZB","Abdusattorov,Nodirbek",2121.0,2024.0,1/2-1/2,0,C67,131,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Ba4 Nxe5 Rxe5 O-O d4 Bf6 Re1 Nf5 c3 d5 Bf4 Nd6 Nd2 Bg5 Bxg5 Qxg5 Re5 Bf5 Rxd5 f6 Bd7 Qg6 Bxf5 Nxf5 Qc2 Nd6 Qxg6 hxg6 Ra5 Rfd8 Re1 Kf7 Nf3 c6 Ra3 Nc4 Ra4 b5 Ra6 Nxb2 Rxc6 Rac8 d5 Rxc6 dxc6 Na4 Rc1 Nb6 Kf1 a6 Nd4 Nc4 Ke2 Rc8 a4 bxa4 Ra1 a3 f4 Na5 Rxa3 Nxc6 Rxa6 Ne7 Nb5 Rc5 c4 Nc6 Ra8 g5 fxg5 Rxg5 Rc8 Ne7 Rc7 Rxg2+ Kd3 Rxh2 c5 f5 Nd4 Kf6 Rd7 Rh3+ Kc4 Re3 c6 Nxc6 Nxc6 g6 Rd6+ Kg5 Kd4 Re4+ Kd3 Kh5 Nd4 Re7 Rf6 Re5 Re6 Ra5 Ke3 g5 Kf3 f4 Re1 Ra3+ Ke4 Kg6 Nc6 Ra4+ Kf3 Kf6 Kg4 Ra3 Rg1 Ra2 Nd4,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5a4 c6e5 e1e5 e8g8 d2d4 e7f6 e5e1 d6f5 c2c3 d7d5 c1f4 f5d6 b1d2 f6g5 f4g5 d8g5 e1e5 c8f5 e5d5 f7f6 a4d7 g5g6 d7f5 d6f5 d1c2 f5d6 c2g6 h7g6 d5a5 f8d8 a1e1 g8f7 d2f3 c7c6 a5a3 d6c4 a3a4 b7b5 a4a6 c4b2 a6c6 a8c8 d4d5 c8c6 d5c6 b2a4 e1c1 a4b6 g1f1 a7a6 f3d4 b6c4 f1e2 d8c8 a2a4 b5a4 c1a1 a4a3 f2f4 c4a5 a1a3 a5c6 a3a6 c6e7 d4b5 c8c5 c3c4 e7c6 a6a8 g6g5 f4g5 c5g5 a8c8 c6e7 c8c7 g5g2 e2d3 g2h2 c4c5 f6f5 b5d4 f7f6 c7d7 h2h3 d3c4 h3e3 c5c6 e7c6 d4c6 g7g6 d7d6 f6g5 c4d4 e3e4 d4d3 g5h5 c6d4 e4e7 d6f6 e7e5 f6e6 e5a5 d3e3 g6g5 e3f3 f5f4 e6e1 a5a3 f3e4 h5g6 d4c6 a3a4 e4f3 g6f6 f3g4 a4a3 e1g1 a3a2 c6d4,97.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.07,7.2,"Abdusattorov,Nodirbek","Vokhidov,Shamsiddin",2024.0,2022.0,1-0,1,C67,147,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Bf1 Nxe5 Rxe5 O-O d4 Bf6 Re1 Re8 c3 Rxe1 Qxe1 Qe8 Qxe8+ Nxe8 Bf4 d5 Bd3 Be7 Nd2 Bd6 Re1 Be6 Be5 Bxe5 dxe5 g6 Nb3 b6 f4 c5 Nd2 Kg7 h3 f6 g4 fxe5 Rxe5 Kf6 Nf3 Nc7 Kf2 Re8 Kg3 Bf7 h4 h6 Rxe8 Bxe8 g5+ hxg5 hxg5+ Kg7 Ne5 Ne6 Kg4 Nd8 Kf3 Nc6 Ng4 Ne7 Ke3 Bd7 Nf6 Bc6 Ng4 Be8 Ne5 Kg8 b4 Kg7 bxc5 bxc5 Kd2 Nc6 Bxg6 Bxg6 Nxc6 a6 Ne5 Bf5 a4 Kf8 a5 Ke7 Ke3 Ke6 Nd3 Kd6 Ne1 Ke6 Nf3 Be4 Ne5 Bf5 Kf3 Be4+ Kg4 Bf5+ Kg3 Ke7 Kh4 Ke6 Kh5 d4 cxd4 cxd4 Nf3 Kd5 g6 d3 g7 Bh7 Kg4 Bg8 Nd2 Kd4 Kf5 Ke3 Nb1 Ke2 Ke5 Kd1 Nc3+ Kc2 Ne4 d2 Nxd2 Kxd2 f5 Ke3 f6 Kf3 Kd6 Kg4 Ke7,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5f1 c6e5 e1e5 e8g8 d2d4 e7f6 e5e1 f8e8 c2c3 e8e1 d1e1 d8e8 e1e8 d6e8 c1f4 d7d5 f1d3 f6e7 b1d2 e7d6 a1e1 c8e6 f4e5 d6e5 d4e5 g7g6 d2b3 b7b6 f2f4 c7c5 b3d2 g8g7 h2h3 f7f6 g2g4 f6e5 e1e5 g7f6 d2f3 e8c7 g1f2 a8e8 f2g3 e6f7 h3h4 h7h6 e5e8 f7e8 g4g5 h6g5 h4g5 f6g7 f3e5 c7e6 g3g4 e6d8 g4f3 d8c6 e5g4 c6e7 f3e3 e8d7 g4f6 d7c6 f6g4 c6e8 g4e5 g7g8 b2b4 g8g7 b4c5 b6c5 e3d2 e7c6 d3g6 e8g6 e5c6 a7a6 c6e5 g6f5 a2a4 g7f8 a4a5 f8e7 d2e3 e7e6 e5d3 e6d6 d3e1 d6e6 e1f3 f5e4 f3e5 e4f5 e3f3 f5e4 f3g4 e4f5 g4g3 e6e7 g3h4 e7e6 h4h5 d5d4 c3d4 c5d4 e5f3 e6d5 g5g6 d4d3 g6g7 f5h7 h5g4 h7g8 f3d2 d5d4 g4f5 d4e3 d2b1 e3e2 f5e5 e2d1 b1c3 d1c2 c3e4 d3d2 e4d2 c2d2 f4f5 d2e3 f5f6 e3f3 e5d6 f3g4 d6e7,2.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.08,8.6,"Faizulaev,A","Abdusattorov,Nodirbek",2322.0,2024.0,1-0,1,A16,103,c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nb6 Nf3 Bg7 O-O O-O d3 Na6 Bf4 c6 Qd2 Re8 Bh6 e5 b3 f6 Rac1 Be6 Bxg7 Kxg7 d4 exd4 Nxd4 Nc7 Rfd1 Qe7 Ne4 Bf7 Nd6 Qd7 Nxb7 Ncd5 Nc5 Qc8 e4 Ne7 Qf4 a5 Qc7 Rb8 Qxc8 Rexc8 Bh3 Re8 f3 Kg8 Nd7 Nxd7 Bxd7 Red8 Nxc6 Nxc6 Bxc6 Kg7 Kf2 Rxd1 Rxd1 Rc8 Rd6 Kf8 Rxf6 Ke7 e5 Be6 Be4 Rc1 h4 Ra1 h5 Rxa2+ Ke3 gxh5 Rh6 Bxb3 Rxh7+ Ke6 Rh6+ Ke7 Bf5 Ra1 Rh7+ Kf8 Kf4 Rf1 Ra7 a4 Be4 Rg1 Kg5 Bf7 Kf6 Be8 e6 Rxg3 e7+,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6 g1f3 f8g7 e1g1 e8g8 d2d3 b8a6 c1f4 c7c6 d1d2 f8e8 f4h6 e7e5 b2b3 f7f6 a1c1 c8e6 h6g7 g8g7 d3d4 e5d4 f3d4 a6c7 f1d1 d8e7 c3e4 e6f7 e4d6 e7d7 d6b7 c7d5 b7c5 d7c8 e2e4 d5e7 d2f4 a7a5 f4c7 a8b8 c7c8 e8c8 g2h3 c8e8 f2f3 g7g8 c5d7 b6d7 h3d7 e8d8 d4c6 e7c6 d7c6 g8g7 g1f2 d8d1 c1d1 b8c8 d1d6 g7f8 d6f6 f8e7 e4e5 f7e6 c6e4 c8c1 h2h4 c1a1 h4h5 a1a2 f2e3 g6h5 f6h6 e6b3 h6h7 e7e6 h7h6 e6e7 e4f5 a2a1 h6h7 e7f8 e3f4 a1f1 h7a7 a5a4 f5e4 f1g1 f4g5 b3f7 g5f6 f7e8 e5e6 g1g3 e6e7,298.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.09,9.1,"Abdusattorov,Nodirbek","Begmuratov,Alisher",2024.0,2157.0,0-1,-1,B07,114,e4 d6 d4 Nf6 Nc3 c6 Nf3 Bg4 Be2 e6 O-O d5 h3 Bh5 e5 Nfd7 Be3 c5 g4 Bg6 dxc5 Bxc5 Bxc5 Nxc5 Nb5 O-O Nbd4 Nc6 c3 Be4 Qd2 Bxf3 Nxf3 Nd7 c4 dxc4 Qf4 Qc7 Bxc4 Ndxe5 Nxe5 Qxe5 Qxe5 Nxe5 Be2 Rfd8 Rfd1 g5 h4 h6 hxg5 hxg5 Kg2 Kg7 Rac1 Rac8 Rxd8 Rxc1 Bf3 Nxf3 Kxf3 Rc2 Ra8 a6 b4 Rxa2 b5 Ra3+ Ke2 Ra4 bxa6 Rxa6 Rb8 Rb6 Kf3 Kf6 Rg8 Rb3+ Ke4 Rb4+ Kf3 b5 Kg3 Rf4 Rb8 b4 f3 e5 Re8 Rc4 Rb8 e4 Rb6+ Kg7 f4 Rc3+ Kf2 Rf3+ Ke2 Rxf4 Rxb4 Rxg4 Rb6 Rg3 Rd6 f5 Rc6 Ra3 Rd6 f4 Re6 Ra2+ Ke1 e3,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 g1f3 c8g4 f1e2 e7e6 e1g1 d6d5 h2h3 g4h5 e4e5 f6d7 c1e3 c6c5 g2g4 h5g6 d4c5 f8c5 e3c5 d7c5 c3b5 e8g8 b5d4 b8c6 c2c3 g6e4 d1d2 e4f3 d4f3 c5d7 c3c4 d5c4 d2f4 d8c7 e2c4 d7e5 f3e5 c7e5 f4e5 c6e5 c4e2 f8d8 f1d1 g7g5 h3h4 h7h6 h4g5 h6g5 g1g2 g8g7 a1c1 a8c8 d1d8 c8c1 e2f3 e5f3 g2f3 c1c2 d8a8 a7a6 b2b4 c2a2 b4b5 a2a3 f3e2 a3a4 b5a6 a4a6 a8b8 a6b6 e2f3 g7f6 b8g8 b6b3 f3e4 b3b4 e4f3 b7b5 f3g3 b4f4 g8b8 b5b4 f2f3 e6e5 b8e8 f4c4 e8b8 e5e4 b8b6 f6g7 f3f4 c4c3 g3f2 c3f3 f2e2 f3f4 b6b4 f4g4 b4b6 g4g3 b6d6 f7f5 d6c6 g3a3 c6d6 f5f4 d6e6 a3a2 e2e1 e4e3,-133.0
ch-UZB 1st League 2014,Tashkent UZB,2014.03.10,10.6,"Abdusattorov,Nodirbek","Sattarov,B",2024.0,2271.0,1-0,1,C41,63,e4 d6 d4 Nf6 Nc3 Nbd7 Nf3 e5 Bc4 Be7 O-O O-O Re1 a6 a4 b6 b3 Bb7 Bb2 c6 Bd3 Re8 Ne2 Bf8 Ng3 Qc7 c4 exd4 Nxd4 Rad8 Qc2 g6 Rad1 h5 Ndf5 Re6 Qc1 Kh7 Qf4 Rde8 Qh4 Qd8 Nd4 R6e7 f4 c5 Ndf5 Re6 Bc2 Kg8 e5 dxe5 Rxe5 Rxe5 Bxe5 Bc6 Qg5 Kh7 Nxh5 Nxh5 Qxh5+ gxh5 Ne7+,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 g1f3 e7e5 f1c4 f8e7 e1g1 e8g8 f1e1 a7a6 a2a4 b7b6 b2b3 c8b7 c1b2 c7c6 c4d3 f8e8 c3e2 e7f8 e2g3 d8c7 c2c4 e5d4 f3d4 a8d8 d1c2 g7g6 a1d1 h7h5 d4f5 e8e6 c2c1 g8h7 c1f4 d8e8 f4h4 c7d8 f5d4 e6e7 f2f4 c6c5 d4f5 e7e6 d3c2 h7g8 e4e5 d6e5 e1e5 e6e5 b2e5 b7c6 h4g5 g8h7 g3h5 f6h5 g5h5 g6h5 f5e7,-247.0
