event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U20,Kiljava,1984.??.??,?,"Anand, Viswanathan","Wolff, Patrick G",2285.0,2225.0,0-1,-1,B09,44,e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O e5 Nfd7 h4 c5 e6 fxe6 h5 gxh5 Rxh5 Nf6 Rh4 Nc6 Be3 Qa5 Bd3 cxd4 Nxd4 Nxd4 Bxd4 e5 fxe5 dxe5 Be3 e4 Bc4+ Kh8 Qd4 Bg4 Bb3 Rac8 Bd2 Qa6 Qe3 Nd5,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6d7 h2h4 c7c5 e5e6 f7e6 h4h5 g6h5 h1h5 d7f6 h5h4 b8c6 c1e3 d8a5 f1d3 c5d4 f3d4 c6d4 e3d4 e6e5 f4e5 d6e5 d4e3 e5e4 d3c4 g8h8 d1d4 c8g4 c4b3 a8c8 e3d2 a5a6 d4e3 f6d5,60.0
Lloyds Bank op,London,1984.??.??,5,"Chandler, Murray G","Anand, Viswanathan",2540.0,2345.0,1-0,1,B66,75,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 d6 Bg5 e6 Qd2 a6 O-O-O h6 Be3 Be7 Be2 Bd7 f4 b5 Bf3 Rc8 Nb3 Na5 Nxa5 Qxa5 Kb1 b4 Ne2 Bc6 Ng3 O-O Bd4 d5 e5 Ne4 Bxe4 dxe4 Qe2 Bd5 b3 f5 exf6 Bxf6 Bxf6 Rxf6 Rhf1 Rcf8 Qe3 Qc7 f5 Qb7 fxe6 Rxf1 Nxf1 Bxe6 Ng3 Bd5 Qc5 Bf7 Nf5 Qb5 Qxb5 axb5 Rd4 Re8 Ne3 Bg6 Rxb4 Rf8 Rxb5 Rf2 Rc5,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 f8e7 f1e2 c8d7 f2f4 b7b5 e2f3 a8c8 d4b3 c6a5 b3a5 d8a5 c1b1 b5b4 c3e2 d7c6 e2g3 e8g8 e3d4 d6d5 e4e5 f6e4 f3e4 d5e4 d2e2 c6d5 b2b3 f7f5 e5f6 e7f6 d4f6 f8f6 h1f1 c8f8 e2e3 a5c7 f4f5 c7b7 f5e6 f6f1 g3f1 d5e6 f1g3 e6d5 e3c5 d5f7 g3f5 b7b5 c5b5 a6b5 d1d4 f8e8 f5e3 f7g6 d4b4 e8f8 b4b5 f8f2 b5c5,195.0
Lloyds Bank op,London,1984.??.??,8,"Anand, Viswanathan","Wells, Peter K",2345.0,2350.0,1/2-1/2,0,B17,46,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Nf3 Ngf6 Ng3 e6 Bd3 c5 O-O cxd4 Nxd4 Bc5 Nf3 O-O Qe2 b6 Ne4 Be7 Bf4 Bb7 Rad1 Nxe4 Bxe4 Bxe4 Qxe4 Qc8 c3 Nf6 Qe2 Qb7 Nd4 g6 Rfe1 Rfd8 a3 b5 h3 Rac8 Bg3 Nd5,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4g3 e7e6 f1d3 c6c5 e1g1 c5d4 f3d4 f8c5 d4f3 e8g8 d1e2 b7b6 g3e4 c5e7 c1f4 c8b7 a1d1 f6e4 d3e4 b7e4 e2e4 d8c8 c2c3 d7f6 e4e2 c8b7 f3d4 g7g6 f1e1 f8d8 a2a3 b6b5 h2h3 a8c8 f4g3 f6d5,-5.0
Lloyds Bank op,London,1984.??.??,9,"Anand, Viswanathan","Greenfeld, Alon",2345.0,2485.0,1-0,1,B49,159,e4 c5 Nf3 e6 Nc3 a6 d4 cxd4 Nxd4 Qc7 Be2 Nf6 O-O Nc6 Be3 Bb4 Na4 O-O Nxc6 bxc6 Nb6 Rb8 Nxc8 Rfxc8 Bxa6 Rd8 Bd3 Bd6 Kh1 Be5 c3 Rxb2 Qc1 Ng4 f4 Nxe3 Qxb2 Rb8 Qf2 Nxf1 fxe5 Nxh2 Kxh2 Qxe5+ Qg3 Qh5+ Kg1 Qc5+ Kh1 Ra8 Bc2 Qh5+ Qh3 Qe5 Qd3 g6 Bb3 Ra5 Rf1 Qc7 Rf3 Rh5+ Rh3 Rg5 Kg1 Qf4 Rf3 Qh4 Qe3 Re5 Qf4 Qxf4 Rxf4 g5 Rg4 f6 Bc2 Ra5 a4 Kf8 Rg3 h5 Kf2 Ke7 Ke3 g4 Kd2 Rg5 Re3 Kd6 Re1 Ke5 Ke3 d5 a5 dxe4 Bxe4 f5 Bd3 f4+ Kf2+ Kd6 Ra1 Rg8 a6 Kc7 Bc4 Kb6 Bxe6 Rg7 Bc8 Ka7 Bb7 Rd7 Bxc6 Rc7 Be8 h4 Bh5 h3 Bxg4 hxg2 Be2 Rxc3 Kxg2 Rb3 Kf2 Rg3 Ra4 Re3 Rxf4 Re7 Bc4 Kb6 Kf3 Rh7 Ke4 Kc5 Kd3 Rh3+ Kc2 Rh1 Bf1 Rh7 Rf6 Kb4 Bg2 Rc7+ Kd2 Rd7+ Ke2 Rc7 Bb7 Rc2+ Kd3 Ra2 Kd4 Kb5 Rc6,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 d8c7 f1e2 g8f6 e1g1 b8c6 c1e3 f8b4 c3a4 e8g8 d4c6 b7c6 a4b6 a8b8 b6c8 f8c8 e2a6 c8d8 a6d3 b4d6 g1h1 d6e5 c2c3 b8b2 d1c1 f6g4 f2f4 g4e3 c1b2 d8b8 b2f2 e3f1 f4e5 f1h2 h1h2 c7e5 f2g3 e5h5 h2g1 h5c5 g1h1 b8a8 d3c2 c5h5 g3h3 h5e5 h3d3 g7g6 c2b3 a8a5 a1f1 e5c7 f1f3 a5h5 f3h3 h5g5 h1g1 c7f4 h3f3 f4h4 d3e3 g5e5 e3f4 h4f4 f3f4 g6g5 f4g4 f7f6 b3c2 e5a5 a2a4 g8f8 g4g3 h7h5 g1f2 f8e7 f2e3 g5g4 e3d2 a5g5 g3e3 e7d6 e3e1 d6e5 d2e3 d7d5 a4a5 d5e4 c2e4 f6f5 e4d3 f5f4 e3f2 e5d6 e1a1 g5g8 a5a6 d6c7 d3c4 c7b6 c4e6 g8g7 e6c8 b6a7 c8b7 g7d7 b7c6 d7c7 c6e8 h5h4 e8h5 h4h3 h5g4 h3g2 g4e2 c7c3 f2g2 c3b3 g2f2 b3g3 a1a4 g3e3 a4f4 e3e7 e2c4 a7b6 f2f3 e7h7 f3e4 b6c5 e4d3 h7h3 d3c2 h3h1 c4f1 h1h7 f4f6 c5b4 f1g2 h7c7 c2d2 c7d7 d2e2 d7c7 g2b7 c7c2 e2d3 c2a2 d3d4 b4b5 f6c6,-140.0
Thessaloniki ol (Men),Thessaloniki,1984.??.??,1,"Barumba, G.","Anand, Viswanathan",,2345.0,0-1,-1,E94,82,d4 Nf6 c4 g6 Nc3 Bg7 Nf3 O-O e4 d6 Be2 Nbd7 O-O e5 dxe5 dxe5 b3 Qe7 Qc2 c6 Bb2 Re8 Rad1 Nf8 h3 Nh5 Nh2 Nf4 Bc1 N4e6 Be3 Nd4 Qc1 Nfe6 Bg4 Qb4 Bxe6 Bxe6 Bxd4 exd4 Ne2 Rad8 Rd3 Bc8 f3 f5 Qg5 Qe7 Qxe7 Rxe7 Rfd1 fxe4 fxe4 Rxe4 Ng3 Re7 Nf3 c5 Kh2 Rde8 Kg1 b6 Kf2 Bb7 R1d2 Bh6 Re2 Be3+ Kf1 h5 Nh1 Rf8 Nf2 Ref7 Rdxe3 dxe3 Rxe3 Bxf3 gxf3 Rxf3 Rxf3 Rxf3,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e4 d7d6 f1e2 b8d7 e1g1 e7e5 d4e5 d6e5 b2b3 d8e7 d1c2 c7c6 c1b2 f8e8 a1d1 d7f8 h2h3 f6h5 f3h2 h5f4 b2c1 f4e6 c1e3 e6d4 c2c1 f8e6 e2g4 e7b4 g4e6 c8e6 e3d4 e5d4 c3e2 a8d8 d1d3 e6c8 f2f3 f7f5 c1g5 b4e7 g5e7 e8e7 f1d1 f5e4 f3e4 e7e4 e2g3 e4e7 h2f3 c6c5 g1h2 d8e8 h2g1 b7b6 g1f2 c8b7 d1d2 g7h6 d2e2 h6e3 f2f1 h7h5 g3h1 e8f8 h1f2 e7f7 d3e3 d4e3 e2e3 b7f3 g2f3 f7f3 e3f3 f8f3,
Thessaloniki ol (Men),Thessaloniki,1984.??.??,2,"Anand, Viswanathan","Lirindzakis, Timotheos",2345.0,2305.0,1/2-1/2,0,C43,62,e4 e5 Nf3 Nf6 d4 Nxe4 Bd3 d5 Nxe5 Nd7 Nxd7 Bxd7 O-O Qf6 Be3 Qh4 c4 Nf6 Re1 O-O-O g3 Qg4 f3 Qh5 c5 g6 Bf2 Re8 Rxe8+ Bxe8 Nc3 Bd7 Bf1 Qf5 a4 h5 Nb5 a6 Bd3 Qh3 Nc3 Ng4 fxg4 hxg4 Ne2 Qxh2+ Kf1 Bh6 Ng1 f5 c6 Bxc6 Ra3 Re8 Be2 Kb8 Rc3 Rf8 Ke1 Re8 Kf1 Rf8,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7 e5d7 c8d7 e1g1 d8f6 c1e3 f6h4 c2c4 e4f6 f1e1 e8c8 g2g3 h4g4 f2f3 g4h5 c4c5 g7g6 e3f2 d8e8 e1e8 d7e8 b1c3 e8d7 d3f1 h5f5 a2a4 h7h5 c3b5 a7a6 f1d3 f5h3 b5c3 f6g4 f3g4 h5g4 c3e2 h3h2 g1f1 f8h6 e2g1 f7f5 c5c6 d7c6 a1a3 h8e8 d3e2 c8b8 a3c3 e8f8 f1e1 f8e8 e1f1 e8f8,40.0
Thessaloniki ol (Men),Thessaloniki,1984.??.??,3,"Van der Wiel, John TH","Anand, Viswanathan",2535.0,2345.0,1-0,1,B42,53,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Bd3 Nc6 Nxc6 bxc6 O-O g6 e5 Bg7 f4 d6 Nd2 dxe5 fxe5 Bxe5 Nc4 Bd4+ Kh1 Ne7 Bh6 f5 Qe1 Nd5 Rd1 Bf6 g4 Qe7 gxf5 gxf5 Qg3 Qc7 Qh3 Bb7 Qh5+ Kd8 Bxf5 exf5 Qxf5 Be7 Ne5 Qc8 Qf7 Qh3 Bg5 Kc8 Rf3,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 b8c6 d4c6 b7c6 e1g1 g7g6 e4e5 f8g7 f2f4 d7d6 b1d2 d6e5 f4e5 g7e5 d2c4 e5d4 g1h1 g8e7 c1h6 f7f5 d1e1 e7d5 a1d1 d4f6 g2g4 d8e7 g4f5 g6f5 e1g3 e7c7 g3h3 c8b7 h3h5 e8d8 d3f5 e6f5 h5f5 f6e7 c4e5 c7c8 f5f7 c8h3 h6g5 d8c8 f1f3,190.0
Thessaloniki ol (Men),Thessaloniki,1984.??.??,4,"Anand, Viswanathan","Hergott, Deen",2345.0,2240.0,1-0,1,B33,75,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb5 Nf6 N1c3 d6 Bg5 a6 Na3 b5 Nd5 Qa5+ Bd2 Qd8 Nxf6+ Qxf6 c4 Qg6 f3 Be7 cxb5 Nd4 Be3 O-O Bxd4 exd4 Qd2 d5 Bd3 Bg5 Qe2 dxe4 Bxe4 Bf5 O-O Be3+ Kh1 Bxe4 fxe4 Qxe4 Rad1 axb5 Nxb5 Rxa2 Nxd4 Qe5 Nf5 Bf4 Qg4 g5 Rde1 h5 Nh6+ Kg7 Qxh5 Qxb2 Nf5+ Kg8 Qg4 Qd2 Rd1 Qb4 Rd4 Qb8 h3 Kh7 Rdxf4 gxf4 Qg7#,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 g8f6 b1c3 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d5f6 d8f6 c2c4 f6g6 f2f3 f8e7 c4b5 c6d4 d2e3 e8g8 e3d4 e5d4 d1d2 d6d5 f1d3 e7g5 d2e2 d5e4 d3e4 c8f5 e1g1 g5e3 g1h1 f5e4 f3e4 g6e4 a1d1 a6b5 a3b5 a8a2 b5d4 e4e5 d4f5 e3f4 e2g4 g7g5 d1e1 h7h5 f5h6 g8g7 g4h5 e5b2 h6f5 g7g8 h5g4 b2d2 e1d1 d2b4 d1d4 b4b8 h2h3 g8h7 d4f4 g5f4 g4g7,105.0
Thessaloniki ol (Men),Thessaloniki,1984.??.??,5,"Anand, Viswanathan","Ochoa de Echaguen, F Javier",2345.0,2430.0,0-1,-1,B33,80,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Nd5 Qa5+ Bd2 Qd8 Nxf6+ gxf6 c4 f5 cxb5 Nd4 Bc3 Bg7 Bxd4 exd4 Bd3 O-O O-O axb5 Nxb5 fxe4 Bxe4 d5 Bd3 Ra6 Nxd4 Rh6 Nf5 Bxf5 Bxf5 Bxb2 Rb1 Be5 g3 Qg5 Bg4 Bg7 Rb5 Rd6 Bf3 Rfd8 Qb3 Bd4 Rd1 Qf6 Rd2 Bc3 Rdxd5 Qxf3 Rxd6 Rxd6 Rg5+ Kf8 Qb8+ Ke7 Qc7+ Ke6 Qc4+ Kf6 Qf4+ Qxf4 gxf4 Rd2 a4 Bd4,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d5f6 g7f6 c2c4 f6f5 c4b5 c6d4 d2c3 f8g7 c3d4 e5d4 f1d3 e8g8 e1g1 a6b5 a3b5 f5e4 d3e4 d6d5 e4d3 a8a6 b5d4 a6h6 d4f5 c8f5 d3f5 g7b2 a1b1 b2e5 g2g3 d8g5 f5g4 e5g7 b1b5 h6d6 g4f3 f8d8 d1b3 g7d4 f1d1 g5f6 d1d2 d4c3 d2d5 f6f3 d5d6 d8d6 b5g5 g8f8 b3b8 f8e7 b8c7 e7e6 c7c4 e6f6 c4f4 f3f4 g3f4 d6d2 a2a4 c3d4,-85.0
Thessaloniki ol (Men),Thessaloniki,1984.??.??,7,"Ostermeyer, Peter","Anand, Viswanathan",2470.0,2345.0,0-1,-1,A15,82,Nf3 Nf6 c4 g6 b3 Bg7 Bb2 O-O g3 d6 Bg2 e5 O-O c6 e3 h6 d4 e4 Nfd2 d5 Nc3 Be6 Rc1 Nbd7 cxd5 cxd5 Qe2 a6 Na4 b6 Ba3 Re8 Rc2 Bg4 Qe1 Rc8 Rxc8 Qxc8 h3 b5 hxg4 bxa4 Qd1 Qc3 Nb1 Qc6 Re1 Rb8 Bf1 axb3 axb3 Bf8 Bxf8 Nxf8 Be2 Rc8 Kg2 a5 Qd2 Qb6 Qa2 Ne6 Nd2 Ng5 Ra1 Kg7 Qb2 Qe6 Rxa5 Nxg4 Rc5 Qf5 f3 exf3+ Bxf3 Nxe3+ Kg1 Nxf3+ Nxf3 Qxf3 Rxc8 Qf1+,g1f3 g8f6 c2c4 g7g6 b2b3 f8g7 c1b2 e8g8 g2g3 d7d6 f1g2 e7e5 e1g1 c7c6 e2e3 h7h6 d2d4 e5e4 f3d2 d6d5 b1c3 c8e6 a1c1 b8d7 c4d5 c6d5 d1e2 a7a6 c3a4 b7b6 b2a3 f8e8 c1c2 e6g4 e2e1 a8c8 c2c8 d8c8 h2h3 b6b5 h3g4 b5a4 e1d1 c8c3 d2b1 c3c6 f1e1 e8b8 g2f1 a4b3 a2b3 g7f8 a3f8 d7f8 f1e2 b8c8 g1g2 a6a5 d1d2 c6b6 d2a2 f8e6 b1d2 e6g5 e1a1 g8g7 a2b2 b6e6 a1a5 f6g4 a5c5 e6f5 f2f3 e4f3 e2f3 g4e3 g2g1 g5f3 d2f3 f5f3 c5c8 f3f1,125.0
