event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Negulescu, Adrian",,,1/2-1/2,0,A37,50,c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 e5 d3 Nge7 h4 h6 Nd5 Nxd5 cxd5 Nd4 h5 Nxf3+ Bxf3 g5 e4 d6 Bg4 Bxg4 Qxg4 Qd7 Qf3 O-O g4 Rfc8 Bd2 c4 dxc4 Rxc4 O-O Rac8 Rfc1 Rxc1+ Rxc1 Rxc1+ Bxc1 Qa4 a3 Qc2 Be3 a6 b4 Qd3,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 d2d3 g8e7 h2h4 h7h6 c3d5 e7d5 c4d5 c6d4 h4h5 d4f3 g2f3 g6g5 e2e4 d7d6 f3g4 c8g4 d1g4 d8d7 g4f3 e8g8 g3g4 f8c8 c1d2 c5c4 d3c4 c8c4 e1g1 a8c8 f1c1 c4c1 a1c1 c8c1 d2c1 d7a4 a2a3 a4c2 c1e3 a7a6 b2b4 c2d3,
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Plaskett, Jim",,2410.0,1-0,1,A28,112,c4 e5 Nc3 Nf6 Nf3 Nc6 e3 Bb4 Qc2 d6 Be2 a5 O-O Bxc3 Qxc3 Bg4 d3 O-O b3 a4 Ba3 Re8 Qc2 e4 dxe4 Nxe4 b4 Qf6 b5 Ne5 Nxe5 Bxe2 Qxe2 Qxe5 Bb2 Qg5 Rad1 Re6 Rd5 Qh4 Rh5 Qe7 Rd1 Re8 Qc2 Rg6 Bd4 Ng5 Qf5 h6 Kf1 Ne6 Qf3 b6 Rf5 Ng5 Qd5 Re6 h4 Ne4 Rf4 Rg6 Rd3 Nf6 Qf3 Ne4 Qh5 Nf6 Qf5 Ne4 Qd5 Re6 Ra3 Nf6 Bxf6 Rxf6 Rxf6 Qxf6 g3 Re5 Qa8+ Kh7 Kg2 Qf5 Qxa4 Rc5 Rc3 d5 Qc2 Kg6 h5+ Kf6 Qd2 Qe5 Rc1 Rxc4 Rxc4 dxc4 Qd8+ Ke6 Qe8+ Kd6 Qc6+ Ke7 Qxc4 Kf8 g4 Kg8 a4 Kf8 Qd4 Qg5,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 d7d6 f1e2 a7a5 e1g1 b4c3 c2c3 c8g4 d2d3 e8g8 b2b3 a5a4 c1a3 f8e8 c3c2 e5e4 d3e4 f6e4 b3b4 d8f6 b4b5 c6e5 f3e5 g4e2 c2e2 f6e5 a3b2 e5g5 a1d1 e8e6 d1d5 g5h4 d5h5 h4e7 f1d1 a8e8 e2c2 e6g6 b2d4 e4g5 c2f5 h7h6 g1f1 g5e6 f5f3 b7b6 h5f5 e6g5 f3d5 g6e6 h2h4 g5e4 f5f4 e6g6 d1d3 e4f6 d5f3 f6e4 f3h5 e4f6 h5f5 f6e4 f5d5 g6e6 d3a3 e4f6 d4f6 e6f6 f4f6 e7f6 g2g3 e8e5 d5a8 g8h7 f1g2 f6f5 a8a4 e5c5 a3c3 d6d5 a4c2 h7g6 h4h5 g6f6 c2d2 f5e5 c3c1 c5c4 c1c4 d5c4 d2d8 f6e6 d8e8 e6d6 e8c6 d6e7 c6c4 e7f8 g3g4 f8g8 a2a4 g8f8 c4d4 e5g5,
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Damljanovic, Branko",,,1-0,1,A28,69,c4 e5 Nc3 Nf6 Nf3 Nc6 e3 Bb4 Qc2 Bxc3 Qxc3 Qe7 Be2 d5 cxd5 Nxd5 Qb3 Nb6 d3 Be6 Qc2 Nb4 Qb1 Bf5 a3 Nc6 Nd2 a5 O-O O-O Ne4 Be6 Qc2 Nd7 b3 f5 Nd2 Qc5 Qd1 Nf6 Bb2 Rad8 Rc1 Qe7 Qc2 Rd7 Nf3 Bd5 Rfd1 Qf7 Qc3 Qg6 g3 Re8 Qc2 Kh8 Nh4 Qf7 Qc5 Bxb3 Rf1 Nd5 Qb5 Nb6 Bf3 e4 dxe4 fxe4 Bh5,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 b4c3 c2c3 d8e7 f1e2 d7d5 c4d5 f6d5 c3b3 d5b6 d2d3 c8e6 b3c2 c6b4 c2b1 e6f5 a2a3 b4c6 f3d2 a7a5 e1g1 e8g8 d2e4 f5e6 b1c2 b6d7 b2b3 f7f5 e4d2 e7c5 c2d1 d7f6 c1b2 a8d8 a1c1 c5e7 d1c2 d8d7 d2f3 e6d5 f1d1 e7f7 c2c3 f7g6 g2g3 f8e8 c3c2 g8h8 f3h4 g6f7 c2c5 d5b3 d1f1 f6d5 c5b5 d5b6 e2f3 e5e4 d3e4 f5e4 f3h5,
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Elyoseph, Harel",,,1-0,1,E74,51,c4 g6 Nc3 Bg7 d4 Nf6 e4 d6 Be2 O-O Bg5 c5 d5 h6 Bf4 e6 dxe6 Bxe6 Bxd6 Re8 Nf3 Nc6 O-O Qa5 Nd2 Rad8 e5 Nd7 f4 Nd4 Bd3 a6 Nd5 Bxd5 cxd5 b5 Nb3 Qb4 Qe1 Qa4 Qc3 b4 Nxc5 bxc3 Nxa4 cxb2 Nxb2 Rc8 Bxa6 Rc2 Rf2,c2c4 g7g6 b1c3 f8g7 d2d4 g8f6 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4d5 h7h6 g5f4 e7e6 d5e6 c8e6 f4d6 f8e8 g1f3 b8c6 e1g1 d8a5 f3d2 a8d8 e4e5 f6d7 f2f4 c6d4 e2d3 a7a6 c3d5 e6d5 c4d5 b7b5 d2b3 a5b4 d1e1 b4a4 e1c3 b5b4 b3c5 b4c3 c5a4 c3b2 a4b2 d8c8 d3a6 c8c2 f1f2,
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Franzoni, Giancarlo",,,0-1,-1,A35,140,c4 c5 Nc3 Nc6 Nf3 g6 e3 Bg7 d4 d6 Be2 Nf6 d5 Ne5 Nxe5 dxe5 e4 O-O Be3 b6 a3 Bd7 b4 Qc7 O-O Ne8 f3 Nd6 bxc5 bxc5 Qc2 Rfb8 Rfb1 Rxb1+ Rxb1 Qa5 a4 h5 Nb5 a6 Bd2 Qd8 Na3 Kh7 Bc3 Rb8 Bd1 Rxb1 Qxb1 Qc7 Kf2 f6 Bc2 Bh8 Ke2 Kg7 Kd3 Kf7 g3 Bh3 Qg1 Qc8 Ke2 f5 exf5 Bxf5 Qb1 Bxc2 Qxc2 e4 f4 Qg4+ Kd2 Qf3 Kc1 Nxc4 Nxc4 Qf1+ Be1 Qxe1+ Qd1 Qc3+ Qc2 Qe1+ Qd1 Qc3+ Qc2 Qa1+ Qb1 Qd4 Qb3 Kg7 Ne3 Kh7 Kc2 Bg7 h3 c4 Nxc4 Qxd5 Nd2 e6 Qxd5 exd5 Nb3 Kg8 Nc5 Bf8 Nd7 Kf7 Ne5+ Kf6 Nd7+ Kf7 Ne5+ Kg7 Kc3 Bc5 Nc6 Kf6 g4 Ke6 Kd2 d4 Ne5 hxg4 hxg4 g5 Ng6 Kf6 f5 d3 Nh8 Bd6 Ng6 Kg7 Kc3 Bb4+ Kb3 Kf6,c2c4 c7c5 b1c3 b8c6 g1f3 g7g6 e2e3 f8g7 d2d4 d7d6 f1e2 g8f6 d4d5 c6e5 f3e5 d6e5 e3e4 e8g8 c1e3 b7b6 a2a3 c8d7 b2b4 d8c7 e1g1 f6e8 f2f3 e8d6 b4c5 b6c5 d1c2 f8b8 f1b1 b8b1 a1b1 c7a5 a3a4 h7h5 c3b5 a7a6 e3d2 a5d8 b5a3 g8h7 d2c3 a8b8 e2d1 b8b1 c2b1 d8c7 g1f2 f7f6 d1c2 g7h8 f2e2 h7g7 e2d3 g7f7 g2g3 d7h3 b1g1 c7c8 d3e2 f6f5 e4f5 h3f5 g1b1 f5c2 b1c2 e5e4 f3f4 c8g4 e2d2 g4f3 d2c1 d6c4 a3c4 f3f1 c3e1 f1e1 c2d1 e1c3 d1c2 c3e1 c2d1 e1c3 d1c2 c3a1 c2b1 a1d4 b1b3 f7g7 c4e3 g7h7 c1c2 h8g7 h2h3 c5c4 e3c4 d4d5 c4d2 e7e6 b3d5 e6d5 d2b3 h7g8 b3c5 g7f8 c5d7 g8f7 d7e5 f7f6 e5d7 f6f7 d7e5 f7g7 c2c3 f8c5 e5c6 g7f6 g3g4 f6e6 c3d2 d5d4 c6e5 h5g4 h3g4 g6g5 e5g6 e6f6 f4f5 d4d3 g6h8 c5d6 h8g6 f6g7 d2c3 d6b4 c3b3 g7f6,
EU-ch U20,Groningen,1979.??.??,?,"Ernst, Thomas","Azmaiparashvili, Zurab",,,0-1,-1,B96,134,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Nbd7 Qe2 Qc7 O-O-O Be7 g4 h6 Bh4 g5 fxg5 Nh7 Nf5 exf5 Nd5 Qd8 exf5 Ne5 f6 Bf8 g6 Bxg4 g7 Bxe2 gxh8=Q Bxd1 Kxd1 Qa5 Bg2 Ng5 Bxg5 hxg5 Qh3 Qc5 Qb3 Rc8 Kc1 Qf2 Be4 b5 Kb1 Rc4 Qh3 g4 Qg2 Rxc2 Qxf2 Rxf2 b3 Bh6 Nc7+ Kd7 Nxa6 Bd2 a3 Bc3 Bc2 Nf3 Rd1 Nd4 Nb4 Rxh2 Nd5 Nxc2 Nxc3 Nxa3+ Ka1 g3 Rg1 b4 Nd5 Rd2 Nf4 Nb5 Rxg3 Nc3 Rg2 Rxg2 Nxg2 Ke6 Kb2 Kxf6 Kc2 Ke5 Kd3 d5 Ne1 Ne4 Nc2 Nc5+ Ke3 Nxb3 Nxb4 d4+ Kf3 Nc5 Nc6+ Kd5 Ne7+ Kc4 Ke2 Ne4 Kf3 Nc5 Ke2 f6 Ng8 Ne4 Ne7 d3+ Ke3 Ng3 Kd2 f5 Nc6 Nf1+ Ke1 d2+ Ke2 Kc3 Na7 Kc2,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 b8d7 d1e2 d8c7 e1c1 f8e7 g2g4 h7h6 g5h4 g7g5 f4g5 f6h7 d4f5 e6f5 c3d5 c7d8 e4f5 d7e5 f5f6 e7f8 g5g6 c8g4 g6g7 g4e2 g7h8q e2d1 c1d1 d8a5 f1g2 h7g5 h4g5 h6g5 h8h3 a5c5 h3b3 a8c8 d1c1 c5f2 g2e4 b7b5 c1b1 c8c4 b3h3 g5g4 h3g2 c4c2 g2f2 c2f2 b2b3 f8h6 d5c7 e8d7 c7a6 h6d2 a2a3 d2c3 e4c2 e5f3 h1d1 f3d4 a6b4 f2h2 b4d5 d4c2 d5c3 c2a3 b1a1 g4g3 d1g1 b5b4 c3d5 h2d2 d5f4 a3b5 g1g3 b5c3 g3g2 d2g2 f4g2 d7e6 a1b2 e6f6 b2c2 f6e5 c2d3 d6d5 g2e1 c3e4 e1c2 e4c5 d3e3 c5b3 c2b4 d5d4 e3f3 b3c5 b4c6 e5d5 c6e7 d5c4 f3e2 c5e4 e2f3 e4c5 f3e2 f7f6 e7g8 c5e4 g8e7 d4d3 e2e3 e4g3 e3d2 f6f5 e7c6 g3f1 d2e1 d3d2 e1e2 c4c3 c6a7 c3c2,
EU-ch U20,Groningen,1979.??.??,?,"Rivas Pastor, Manuel","Azmaiparashvili, Zurab",2365.0,,1/2-1/2,0,E12,83,d4 Nf6 c4 e6 Nf3 b6 Bf4 Bb7 e3 Bb4+ Nbd2 Be7 h3 d5 Rc1 Nbd7 Bd3 c5 O-O O-O Re1 Rc8 a3 cxd4 exd4 dxc4 Nxc4 b5 Nce5 Rxc1 Bxc1 a6 Bg5 Nd5 Nxd7 Qxd7 Ne5 Qe8 Bd2 Nf6 Ba5 Qa8 Bf1 Rc8 a4 Bd5 axb5 axb5 b4 Bc4 Bxc4 bxc4 Qe2 Qd5 Rc1 c3 Qa6 Ra8 Qc6 Rb8 Qxc3 Bf8 Qc7 Rb7 Qc8 Qb5 Nc6 Qg5 Rc5 Qd2 Qxb7 Qe1+ Kh2 Qxf2 Rc3 Bd6+ Ne5 Qf4+ Rg3 Ne4 Qc8+ Bf8 Nd7,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 c1f4 c8b7 e2e3 f8b4 b1d2 b4e7 h2h3 d7d5 a1c1 b8d7 f1d3 c7c5 e1g1 e8g8 f1e1 a8c8 a2a3 c5d4 e3d4 d5c4 d2c4 b6b5 c4e5 c8c1 f4c1 a7a6 c1g5 f6d5 e5d7 d8d7 f3e5 d7e8 g5d2 d5f6 d2a5 e8a8 d3f1 f8c8 a3a4 b7d5 a4b5 a6b5 b2b4 d5c4 f1c4 b5c4 d1e2 a8d5 e1c1 c4c3 e2a6 c8a8 a6c6 a8b8 c6c3 e7f8 c3c7 b8b7 c7c8 d5b5 e5c6 b5g5 c1c5 g5d2 c8b7 d2e1 g1h2 e1f2 c5c3 f8d6 c6e5 f2f4 c3g3 f6e4 b7c8 d6f8 e5d7,
EU-ch U20,Groningen,1979.??.??,?,"Azmaiparashvili, Zurab","Sanna, Gianlazzaro",,,1/2-1/2,0,E18,118,Nf3 Nf6 c4 b6 g3 Bb7 Bg2 e6 O-O Be7 d4 O-O Nc3 Ne4 Nxe4 Bxe4 Ne1 d5 Qa4 Qd7 Qxd7 Nxd7 Bxe4 dxe4 Nc2 Rfd8 Rd1 Bf6 Be3 c5 Rab1 cxd4 Bxd4 Bxd4 Rxd4 Nf6 Rbd1 Rxd4 Rxd4 Kf8 Kf1 Ke7 Ke1 Rc8 Ne3 Rc6 Kd1 Rd6 Rd2 g5 b4 Nd7 Kc2 f5 Rxd6 Kxd6 Kc3 Nf6 h3 h5 a4 f4 gxf4 gxf4 Nc2 h4 Nd4 Ng4 c5+ bxc5 bxc5+ Ke7 f3 exf3 Nxf3 Nf2 Nxh4 Nxh3 Ng6+ Kd7 Kd4 Kc7 Kc4 Kc6 a5 Kb7 Kd4 Kc7 Ke5 Kc6 Kd4 Kd7 Kd3 Kc6 Kc4 Kb7 Ne5 Nf2 Kd4 Nd1 Nd3 Kc6 a6 Kb5 Ke5 Nc3 Kd6 Ne4+ Kxe6 Nxc5+ Nxc5 Kxc5 Ke5 Kb6 Kxf4 Kxa6 e4 Kb7,g1f3 g8f6 c2c4 b7b6 g2g3 c8b7 f1g2 e7e6 e1g1 f8e7 d2d4 e8g8 b1c3 f6e4 c3e4 b7e4 f3e1 d7d5 d1a4 d8d7 a4d7 b8d7 g2e4 d5e4 e1c2 f8d8 f1d1 e7f6 c1e3 c7c5 a1b1 c5d4 e3d4 f6d4 d1d4 d7f6 b1d1 d8d4 d1d4 g8f8 g1f1 f8e7 f1e1 a8c8 c2e3 c8c6 e1d1 c6d6 d4d2 g7g5 b2b4 f6d7 d1c2 f7f5 d2d6 e7d6 c2c3 d7f6 h2h3 h7h5 a2a4 f5f4 g3f4 g5f4 e3c2 h5h4 c2d4 f6g4 c4c5 b6c5 b4c5 d6e7 f2f3 e4f3 d4f3 g4f2 f3h4 f2h3 h4g6 e7d7 c3d4 d7c7 d4c4 c7c6 a4a5 c6b7 c4d4 b7c7 d4e5 c7c6 e5d4 c6d7 d4d3 d7c6 d3c4 c6b7 g6e5 h3f2 c4d4 f2d1 e5d3 b7c6 a5a6 c6b5 d4e5 d1c3 e5d6 c3e4 d6e6 e4c5 d3c5 b5c5 e6e5 c5b6 e5f4 b6a6 e2e4 a6b7,
EU-ch U20,Groningen,1979.??.??,?,"Santo Roman, Marc","Azmaiparashvili, Zurab",,,0-1,-1,B52,80,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 c4 Nc6 Nc3 Ne5 Nxe5 dxe5 Qa4 Qxa4 Nxa4 e6 d3 b6 Ke2 Ne7 Bd2 Nc6 Bc3 Bd6 b3 Ke7 Nb2 Rhb8 Rhb1 a6 Nd1 g6 Ne3 f5 f3 h5 Nc2 Nd4+ Kd2 Rf8 h3 Rad8 Rf1 Rf7 Rae1 f4 Rd1 g5 Nxd4 exd4 Bb2 Rg8 Ke2 g4 hxg4 hxg4 Bc1 Rh7 Rf2 Rh2 Rg1 gxf3+ Kxf3 Rg3+ Ke2 e5 Bd2 Ke6 Be1 Be7 Kd2 Bg5 Kc2 f3 Rff1 Rgxg2+ Rxg2 fxg2,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 c2c4 b8c6 b1c3 c6e5 f3e5 d6e5 d1a4 d7a4 c3a4 e7e6 d2d3 b7b6 e1e2 g8e7 c1d2 e7c6 d2c3 f8d6 b2b3 e8e7 a4b2 h8b8 h1b1 a7a6 b2d1 g7g6 d1e3 f7f5 f2f3 h7h5 e3c2 c6d4 e2d2 b8f8 h2h3 a8d8 b1f1 f8f7 a1e1 f5f4 e1d1 g6g5 c2d4 e5d4 c3b2 d8g8 d2e2 g5g4 h3g4 h5g4 b2c1 f7h7 f1f2 h7h2 d1g1 g4f3 e2f3 g8g3 f3e2 e6e5 c1d2 e7e6 d2e1 d6e7 e2d2 e7g5 d2c2 f4f3 f2f1 g3g2 g1g2 f3g2,
URS Spartakiad,URS,1979.??.??,?,"Polovodin, Igor A","Azmaiparashvili, Zurab",2355.0,2200.0,1/2-1/2,0,B06,44,e4 d6 d4 g6 Nf3 Bg7 Be2 Bg4 h4 Bxf3 Bxf3 c5 dxc5 Qa5+ c3 dxc5 Qb3 Qc7 Na3 Nd7 Nc4 Ngf6 O-O O-O Re1 e6 g3 Rab8 a4 b6 Bf4 e5 Bg5 a6 Ne3 b5 axb5 axb5 Nd5 Nxd5 Qxd5 Bf6 Be3 Be7,e2e4 d7d6 d2d4 g7g6 g1f3 f8g7 f1e2 c8g4 h2h4 g4f3 e2f3 c7c5 d4c5 d8a5 c2c3 d6c5 d1b3 a5c7 b1a3 b8d7 a3c4 g8f6 e1g1 e8g8 f1e1 e7e6 g2g3 a8b8 a2a4 b7b6 c1f4 e6e5 f4g5 a7a6 c4e3 b6b5 a4b5 a6b5 e3d5 f6d5 b3d5 g7f6 g5e3 f6e7,155.0
