event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
HUN-ch,Budapest,1946.??.??,?,"Bakonyi, Elek","Benko, Pal C",,,1-0,1,B44,79,c4 Nf6 Nc3 e6 e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Bb4 Nxc6 bxc6 Bd3 O-O O-O d5 e5 Nd7 cxd5 Nxe5 Bxh7+ Kxh7 Qh5+ Kg8 Qxe5 cxd5 f4 f6 Qd4 Qb6 Be3 Qxd4 Bxd4 Bd7 Rad1 Bc6 a3 Bd6 Be3 Rfd8 Rf2 g6 h4 Kf7 h5 gxh5 f5 e5 Nxd5 Rd7 Nc3 Rad8 Rfd2 Bb8 Rxd7+ Rxd7 Bc5 Ba4 Rf1 Bb3 Rf2 a6 Kf1 Rd3 Ke1 Rg3 Rd2 Ke8 Ne4 Rg7 Nxf6+ Kf7 Nxh5 Rg5 Rd7+ Kg8 Nf6+,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 f8b4 d4c6 b7c6 f1d3 e8g8 e1g1 d7d5 e4e5 f6d7 c4d5 d7e5 d3h7 g8h7 d1h5 h7g8 h5e5 c6d5 f2f4 f7f6 e5d4 d8b6 c1e3 b6d4 e3d4 c8d7 a1d1 d7c6 a2a3 b4d6 d4e3 f8d8 f1f2 g7g6 h2h4 g8f7 h4h5 g6h5 f4f5 e6e5 c3d5 d8d7 d5c3 a8d8 f2d2 d6b8 d2d7 d8d7 e3c5 c6a4 d1f1 a4b3 f1f2 a7a6 g1f1 d7d3 f1e1 d3g3 f2d2 f7e8 c3e4 g3g7 e4f6 e8f7 f6h5 g7g5 d2d7 f7g8 h5f6,
HUN-ch,Budapest,1946.??.??,?,"Barcza, Gedeon","Benko, Pal C",,,0-1,-1,A06,110,Nf3 d5 b3 c5 Bb2 f6 d4 cxd4 Qxd4 e5 Qd2 Nc6 e3 Bb4 c3 Ba5 b4 Bb6 a4 Be6 a5 Bc7 a6 bxa6 Bxa6 Nge7 Na3 O-O O-O e4 Ne1 Nxb4 Nb5 Nxa6 Rxa6 Bb6 Nd4 Bc8 Ra2 Nf5 Nec2 Nxd4 Nxd4 Qd7 f3 exf3 Rxf3 Re8 Qd3 a5 Ba3 Ba6 Qf5 Qxf5 Nxf5 Bc4 Rd2 Rad8 Kf2 g6 Nd6 Re6 Nxc4 dxc4 Rxd8+ Bxd8 Rf4 Rc6 Kf3 f5 Ke2 Bg5 Rf1 a4 Kd2 Re6 Bc5 Re5 Bd4 Ra5 Kc2 a3 Kb1 Kf7 Ka2 Be7 Rb1 Ra6 Rb7 Rc6 Bb6 Ke6 Ba5 h5 Rb1 Kd5 Bb4 Bxb4 cxb4 c3 Kxa3 c2 Rc1 Ke4 b5 Rc8 b6 Kd3 Kb3 Rb8,g1f3 d7d5 b2b3 c7c5 c1b2 f7f6 d2d4 c5d4 d1d4 e7e5 d4d2 b8c6 e2e3 f8b4 c2c3 b4a5 b3b4 a5b6 a2a4 c8e6 a4a5 b6c7 a5a6 b7a6 f1a6 g8e7 b1a3 e8g8 e1g1 e5e4 f3e1 c6b4 a3b5 b4a6 a1a6 c7b6 b5d4 e6c8 a6a2 e7f5 e1c2 f5d4 c2d4 d8d7 f2f3 e4f3 f1f3 f8e8 d2d3 a7a5 b2a3 c8a6 d3f5 d7f5 d4f5 a6c4 a2d2 a8d8 g1f2 g7g6 f5d6 e8e6 d6c4 d5c4 d2d8 b6d8 f3f4 e6c6 f2f3 f6f5 f3e2 d8g5 f4f1 a5a4 e2d2 c6e6 a3c5 e6e5 c5d4 e5a5 d2c2 a4a3 c2b1 g8f7 b1a2 g5e7 f1b1 a5a6 b1b7 a6c6 d4b6 f7e6 b6a5 h7h5 b7b1 e6d5 a5b4 e7b4 c3b4 c4c3 a2a3 c3c2 b1c1 d5e4 b4b5 c6c8 b5b6 e4d3 a3b3 c8b8,
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Fuster, Geza",,,1-0,1,A12,51,Nf3 Nf6 g3 d5 Bg2 c6 b3 Bf5 Bb2 e6 c4 Nbd7 O-O Bd6 Nc3 O-O d4 Qe7 Nd2 Ba3 Bxa3 Qxa3 e4 dxe4 Ndxe4 Rfd8 Qe2 Bxe4 Bxe4 Nb6 Rad1 Rd7 Rd2 Rad8 Rfd1 g6 Bf3 Qa5 Qe3 e5 dxe5 Rxd2 Rxd2 Nfd7 Bg4 Qb4 e6 fxe6 Bxe6+ Kg7 Qd4+,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 b2b3 c8f5 c1b2 e7e6 c2c4 b8d7 e1g1 f8d6 b1c3 e8g8 d2d4 d8e7 f3d2 d6a3 b2a3 e7a3 e2e4 d5e4 d2e4 f8d8 d1e2 f5e4 g2e4 d7b6 a1d1 d8d7 d1d2 a8d8 f1d1 g7g6 e4f3 a3a5 e2e3 e6e5 d4e5 d7d2 d1d2 f6d7 f3g4 a5b4 e5e6 f7e6 g4e6 g8g7 e3d4,
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Szilagyi, Gyorgy",,,1-0,1,D26,89,c4 Nf6 Nc3 d5 d4 c5 e3 cxd4 exd4 e6 Nf3 dxc4 Bxc4 Be7 O-O O-O Bg5 Nbd7 Qe2 Nb6 Bb3 Nbd5 Rad1 b6 Nxd5 exd5 Rfe1 Be6 Ne5 Rc8 Nxf7 Bxf7 Qxe7 Re8 Qxd8 Rcxd8 f3 Kf8 Kf2 Rxe1 Rxe1 Rc8 Rc1 Rxc1 Bxc1 Ke7 Bf4 a6 g4 h6 Be5 Ke6 Bc2 g6 Bd3 b5 Kg3 Be8 h4 a5 Bc7 a4 Be5 Ng8 Bf4 h5 Bg5 b4 a3 bxa3 bxa3 Nf6 Bxf6 Kxf6 g5+ Kf7 Kf4 Ke6 Bc2 Kd6 Ke3 Ke6 Kd2 Kd6 Kc3 Ke7 Kb4 Ke6 Bxa4,c2c4 g8f6 b1c3 d7d5 d2d4 c7c5 e2e3 c5d4 e3d4 e7e6 g1f3 d5c4 f1c4 f8e7 e1g1 e8g8 c1g5 b8d7 d1e2 d7b6 c4b3 b6d5 a1d1 b7b6 c3d5 e6d5 f1e1 c8e6 f3e5 a8c8 e5f7 e6f7 e2e7 f8e8 e7d8 c8d8 f2f3 g8f8 g1f2 e8e1 d1e1 d8c8 e1c1 c8c1 g5c1 f8e7 c1f4 a7a6 g2g4 h7h6 f4e5 e7e6 b3c2 g7g6 c2d3 b6b5 f2g3 f7e8 h2h4 a6a5 e5c7 a5a4 c7e5 f6g8 e5f4 h6h5 f4g5 b5b4 a2a3 b4a3 b2a3 g8f6 g5f6 e6f6 g4g5 f6f7 g3f4 f7e6 d3c2 e6d6 f4e3 d6e6 e3d2 e6d6 d2c3 d6e7 c3b4 e7e6 c2a4,
HUN-ch,Budapest,1946.??.??,?,"Benko, Pal C","Toth, V.",,,0-1,-1,D36,90,d4 Nf6 c4 e6 Nf3 d5 Nc3 c6 cxd5 exd5 Bg5 Be7 Qc2 Nbd7 e3 Nf8 Bd3 Ne6 Bh4 g6 O-O Ng7 b4 a6 Na4 O-O Nc5 Nf5 Bxf6 Bxf6 a4 Nd6 Ra2 a5 bxa5 Rxa5 Rb1 Re8 Nd2 Re7 Ndb3 Ra7 a5 Kg7 Na4 Bf5 Bxf5 Nxf5 Nb6 Re4 Nc5 Rg4 g3 h5 Qe2 Be7 Nd3 Bd6 Kh1 Qe8 Rg1 Bc7 Ne1 Qd8 f3 Rg5 f4 Rg4 Nd3 Bxb6 axb6 Rxa2 Qxa2 Qxb6 Ne5 Qd8 e4 Nxd4 h3 f6 Nxg4 hxg4 hxg4 dxe4 Qb2 b5 Ra1 Qd7 Qc3 Ne2,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c4d5 e6d5 c1g5 f8e7 d1c2 b8d7 e2e3 d7f8 f1d3 f8e6 g5h4 g7g6 e1g1 e6g7 b2b4 a7a6 c3a4 e8g8 a4c5 g7f5 h4f6 e7f6 a2a4 f5d6 a1a2 a6a5 b4a5 a8a5 f1b1 f8e8 f3d2 e8e7 d2b3 a5a7 a4a5 g8g7 c5a4 c8f5 d3f5 d6f5 a4b6 e7e4 b3c5 e4g4 g2g3 h7h5 c2e2 f6e7 c5d3 e7d6 g1h1 d8e8 b1g1 d6c7 d3e1 e8d8 f2f3 g4g5 f3f4 g5g4 e1d3 c7b6 a5b6 a7a2 e2a2 d8b6 d3e5 b6d8 e3e4 f5d4 h2h3 f7f6 e5g4 h5g4 h3g4 d5e4 a2b2 b7b5 g1a1 d8d7 b2c3 d4e2,
HUN-ch,Budapest,1946.??.??,?,"Tipary, Lajos","Benko, Pal C",,,1-0,1,A48,97,d4 Nf6 Nf3 g6 c3 Bg7 Bg5 d6 Nbd2 Nc6 e4 O-O Bd3 e5 d5 Ne7 Qc2 c6 c4 h6 Bxf6 Bxf6 h3 cxd5 cxd5 Bd7 Qb3 Bc8 O-O-O a6 g4 b5 Nf1 g5 Ne3 Ng6 Rdg1 Nh4 Be2 Ra7 Nf5 Bxf5 gxf5 Nxf3 Qxf3 Kh7 Kb1 Qd7 Qh5 Rc7 h4 gxh4 Rxh4 Bxh4 Qxh4 Qd8 f6 Rg8 Bg4 Rg6 Bf5 Qg8 Rh1 Qf8 f4 exf4 Qxf4 Rc4 Qh4 Kg8 Bxg6 fxg6 Qf4 h5 Rg1 Kh7 f7 Rc7 Rf1 a5 Qf6 b4 Qe6 Kg7 Qf6+ Kh7 e5 dxe5 d6 Rc6 Qe7 Rc8 d7 Ra8 Qe8 Kg7 Qxa8,d2d4 g8f6 g1f3 g7g6 c2c3 f8g7 c1g5 d7d6 b1d2 b8c6 e2e4 e8g8 f1d3 e7e5 d4d5 c6e7 d1c2 c7c6 c3c4 h7h6 g5f6 g7f6 h2h3 c6d5 c4d5 c8d7 c2b3 d7c8 e1c1 a7a6 g2g4 b7b5 d2f1 g6g5 f1e3 e7g6 d1g1 g6h4 d3e2 a8a7 e3f5 c8f5 g4f5 h4f3 b3f3 g8h7 c1b1 d8d7 f3h5 a7c7 h3h4 g5h4 h1h4 f6h4 h5h4 d7d8 f5f6 f8g8 e2g4 g8g6 g4f5 d8g8 g1h1 g8f8 f2f4 e5f4 h4f4 c7c4 f4h4 h7g8 f5g6 f7g6 h4f4 h6h5 h1g1 g8h7 f6f7 c4c7 g1f1 a6a5 f4f6 b5b4 f6e6 h7g7 e6f6 g7h7 e4e5 d6e5 d5d6 c7c6 f6e7 c6c8 d6d7 c8a8 e7e8 h7g7 e8a8,
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Balogh, Janos",,,1-0,1,A30,91,Nf3 Nf6 g3 b6 Bg2 Bb7 c4 e6 O-O Be7 b3 O-O Bb2 c5 d4 cxd4 Qxd4 Nc6 Qd2 d5 cxd5 Nxd5 Rd1 Bf6 Na3 Bxb2 Qxb2 Qf6 Qxf6 Nxf6 Ne5 Nxe5 Bxb7 Rab8 Ba6 Rfd8 Nb5 Rxd1+ Rxd1 Nc6 a3 Kf8 Rc1 Nd8 Rc7 Nd5 Rxa7 Nc6 Rd7 Ke8 Rd6 Ne5 e4 Nf6 f4 Ned7 e5 Ne4 Rd4 Nec5 Nd6+ Ke7 Bc4 b5 Nxb5 Nxb3 Bxb3 Rxb5 Rxd7+ Kxd7 Ba4 Kc6 Kf2 Kc5 Bxb5 Kxb5 Ke3 Kc4 g4 h6 h4 g6 Ke4 h5 gxh5 gxh5 f5 Kc5 Kf4 Kd4 a4,g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 c2c4 e7e6 e1g1 f8e7 b2b3 e8g8 c1b2 c7c5 d2d4 c5d4 d1d4 b8c6 d4d2 d7d5 c4d5 f6d5 f1d1 e7f6 b1a3 f6b2 d2b2 d8f6 b2f6 d5f6 f3e5 c6e5 g2b7 a8b8 b7a6 f8d8 a3b5 d8d1 a1d1 e5c6 a2a3 g8f8 d1c1 c6d8 c1c7 f6d5 c7a7 d8c6 a7d7 f8e8 d7d6 c6e5 e2e4 d5f6 f2f4 e5d7 e4e5 f6e4 d6d4 e4c5 b5d6 e8e7 a6c4 b6b5 d6b5 c5b3 c4b3 b8b5 d4d7 e7d7 b3a4 d7c6 g1f2 c6c5 a4b5 c5b5 f2e3 b5c4 g3g4 h7h6 h2h4 g7g6 e3e4 h6h5 g4h5 g6h5 f4f5 c4c5 e4f4 c5d4 a3a4,
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Ban, Jeno",,,1-0,1,B75,103,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 Nc6 Qd2 a6 O-O-O Qc7 g4 b5 g5 Nd7 Nd5 Qb7 Nxc6 Qxc6 Bd4 Bxd4 Qxd4 e5 Nb4 Qxc2+ Kxc2 exd4 Rxd4 Ne5 f4 Ng4 Nd5 Kf8 h3 Nf2 Rh2 Nxe4 Rxe4 Bf5 Bd3 Bxe4 Bxe4 Rc8+ Kd2 Kg7 h4 h6 Rh1 hxg5 hxg5 Rxh1 Bxh1 Rh8 Be4 Rh2+ Kc3 a5 a3 Rh3+ Bd3 Rf3 Kd4 b4 axb4 axb4 Ke4 Rf2 b3 Rg2 Nxb4 f6 gxf6+ Kxf6 Nd5+ Ke6 b4 g5 f5+ Kd7 Bb5+ Kd8 Kf3 Rd2 Bc6 Rd1 f6 Rg1 Kf2 Rh1 f7 Rh8 b5 g4 Kg3 Kc8 Ne7+,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 a7a6 e1c1 d8c7 g2g4 b7b5 g4g5 f6d7 c3d5 c7b7 d4c6 b7c6 e3d4 g7d4 d2d4 e7e5 d5b4 c6c2 c1c2 e5d4 d1d4 d7e5 f3f4 e5g4 b4d5 e8f8 h2h3 g4f2 h1h2 f2e4 d4e4 c8f5 f1d3 f5e4 d3e4 a8c8 c2d2 f8g7 h3h4 h7h6 h2h1 h6g5 h4g5 h8h1 e4h1 c8h8 h1e4 h8h2 d2c3 a6a5 a2a3 h2h3 e4d3 h3f3 c3d4 b5b4 a3b4 a5b4 d4e4 f3f2 b2b3 f2g2 d5b4 f7f6 g5f6 g7f6 b4d5 f6e6 b3b4 g6g5 f4f5 e6d7 d3b5 d7d8 e4f3 g2d2 b5c6 d2d1 f5f6 d1g1 f3f2 g1h1 f6f7 h1h8 b4b5 g5g4 f2g3 d8c8 d5e7,
HUN-ch,Budapest,1947.??.??,?,"Benko, Pal C","Gereben, Erno",,,1/2-1/2,0,D13,84,Nf3 d5 d4 Nf6 c4 c6 cxd5 cxd5 Nc3 Nc6 Bf4 e6 e3 Bd6 Bg3 O-O Bd3 b6 a3 Bb7 O-O Bxg3 hxg3 Qe7 Rc1 Rfc8 Ne5 Nxe5 dxe5 Nd7 f4 f6 exf6 Nxf6 Qd2 e5 Be2 d4 exd4 exd4 Nb5 Ne4 Qd3 Nc5 Qc4+ Kh8 Kh2 Rc6 Bg4 Rh6+ Bh3 d3 Rce1 Qd7 b4 d2 Rd1 Bxg2 Kxg2 Qxh3+ Kf2 Qh2+ Kf3 Rg6 Rg1 Re8 bxc5 Rge6 Nd4 Re3+ Kg4 h5+ Kg5 Rxg3+ Rxg3 Qxg3+ Kxh5 Qh3+ Kg5 Qg3+ Kf5 Qh3+ Kg5 Qg3+,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 e7e6 e2e3 f8d6 f4g3 e8g8 f1d3 b7b6 a2a3 c8b7 e1g1 d6g3 h2g3 d8e7 a1c1 f8c8 f3e5 c6e5 d4e5 f6d7 f2f4 f7f6 e5f6 d7f6 d1d2 e6e5 d3e2 d5d4 e3d4 e5d4 c3b5 f6e4 d2d3 e4c5 d3c4 g8h8 g1h2 c8c6 e2g4 c6h6 g4h3 d4d3 c1e1 e7d7 b2b4 d3d2 e1d1 b7g2 h2g2 d7h3 g2f2 h3h2 f2f3 h6g6 f1g1 a8e8 b4c5 g6e6 b5d4 e6e3 f3g4 h7h5 g4g5 e3g3 g1g3 h2g3 g5h5 g3h3 h5g5 h3g3 g5f5 g3h3 f5g5 h3g3,
HUN-ch,Budapest,1947.??.??,?,"Barcza, Gedeon","Benko, Pal C",,,1-0,1,E61,83,c4 e5 Nc3 Nf6 Nf3 d6 e3 g6 d4 Nbd7 Be2 Bg7 O-O O-O b3 Re8 Bb2 a5 Nb5 Ne4 Nd2 exd4 exd4 Ndc5 f3 Nxd2 Qxd2 Ne6 d5 Nf4 Rf2 Bxb2 Qxb2 c6 dxc6 bxc6 Nd4 Qf6 Bf1 Bd7 Rd1 Re5 Ne2 Nxe2+ Rxe2 Qe7 Red2 Re6 Rd3 c5 f4 Bc8 Qf2 Bb7 f5 gxf5 Qxf5 Rg6 Qf4 Qe5 Qxe5 dxe5 Rd8+ Kg7 Rxa8 Bxa8 Rd7 Ra6 Rc7 Bc6 a3 Kg6 b4 cxb4 axb4 a4 c5 a3 Bxa6 a2 Bd3+ e4 Rxc6+,c2c4 e7e5 b1c3 g8f6 g1f3 d7d6 e2e3 g7g6 d2d4 b8d7 f1e2 f8g7 e1g1 e8g8 b2b3 f8e8 c1b2 a7a5 c3b5 f6e4 f3d2 e5d4 e3d4 d7c5 f2f3 e4d2 d1d2 c5e6 d4d5 e6f4 f1f2 g7b2 d2b2 c7c6 d5c6 b7c6 b5d4 d8f6 e2f1 c8d7 a1d1 e8e5 d4e2 f4e2 f2e2 f6e7 e2d2 e5e6 d2d3 c6c5 f3f4 d7c8 b2f2 c8b7 f4f5 g6f5 f2f5 e6g6 f5f4 e7e5 f4e5 d6e5 d3d8 g8g7 d8a8 b7a8 d1d7 g6a6 d7c7 a8c6 a2a3 g7g6 b3b4 c5b4 a3b4 a5a4 c4c5 a4a3 f1a6 a3a2 a6d3 e5e4 c7c6,
