event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Lone Pine,Lone Pine,1976.??.??,1,"De Firmian, Nick E","Martinovsky, Eugene",2200.0,2200.0,1-0,1.0,C62,101,e4 e5 Nf3 Nc6 Bb5 d6 d4 Bd7 O-O exd4 Nxd4 g6 Nc3 Bg7 Nxc6 bxc6 Bc4 Nf6 Bg5 h6 Bh4 O-O f4 Qb8 Bb3 a5 e5 Nh7 exd6 cxd6 Be7 a4 Bxf8 Nxf8 Nxa4 Rxa4 Bxa4 Qa7+ Kh1 Qxa4 c3 Qb5 a4 Qxb2 a5 Bxc3 a6 Bd4 a7 Bxa7 Rxa7 d5 Qa1 Qxa1 Rfxa1 Kg7 Kg1 Kf6 Kf2 Ke7 Ke3 Ne6 g4 f5 gxf5 gxf5 Rg1 d4+ Kd2 Kd6 Rg6 c5 Rxh6 c4 Ra5 Ke7 Rxf5 c3+ Kd3 Bc8 Rxe6+ Bxe6 Rc5 c2 Kxd4 Bf5 Ke5 Bd3 f5 Kd7 h4 Ke7 h5 Kf7 Rc7+ Kg8 Kf6 Be4 h6 Bd3 Kg6,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 e1g1 e5d4 f3d4 g7g6 b1c3 f8g7 d4c6 b7c6 b5c4 g8f6 c1g5 h7h6 g5h4 e8g8 f2f4 d8b8 c4b3 a7a5 e4e5 f6h7 e5d6 c7d6 h4e7 a5a4 e7f8 h7f8 c3a4 a8a4 b3a4 b8a7 g1h1 a7a4 c2c3 a4b5 a2a4 b5b2 a4a5 g7c3 a5a6 c3d4 a6a7 d4a7 a1a7 d6d5 d1a1 b2a1 f1a1 g8g7 h1g1 g7f6 g1f2 f6e7 f2e3 f8e6 g2g4 f7f5 g4f5 g6f5 a1g1 d5d4 e3d2 e7d6 g1g6 c6c5 g6h6 c5c4 a7a5 d6e7 a5f5 c4c3 d2d3 d7c8 h6e6 c8e6 f5c5 c3c2 d3d4 e6f5 d4e5 f5d3 f4f5 e7d7 h2h4 d7e7 h4h5 e7f7 c5c7 f7g8 e5f6 d3e4 h5h6 e4d3 f6g6,0.0
Lone Pine,Lone Pine,1976.??.??,2,"Weinstein, Norman","De Firmian, Nick E",2430.0,2200.0,1-0,1.0,E74,153,c4 Nf6 Nc3 g6 e4 d6 d4 Bg7 Be2 O-O Bg5 c5 dxc5 Qa5 Bd2 Qxc5 Nf3 Bg4 Be3 Qa5 O-O Nc6 Rc1 Rfc8 b3 Nd7 Bd2 Nc5 h3 Be6 Qc2 a6 Nd5 Qd8 Rfd1 h6 Be3 Qa5 Qb1 Bxd5 Rxd5 Nb4 Rd2 Ne6 a4 Rc7 Rdd1 Rac8 Ne1 Qe5 Nc2 Nxc2 Qxc2 h5 Rd5 Qf6 Bf1 Kh7 Rxh5+ Kg8 Rd5 Nf4 Rdd1 Ne6 Rd5 Nf4 Rdd1 Ne6 Be2 b5 a5 bxc4 Bxc4 Rc6 Qd2 Qe5 Bd5 Rxc1 Rxc1 Rxc1+ Qxc1 Qc3 Qxc3 Bxc3 Bb6 Nc5 f3 e6 Bc4 Kf8 Kf2 Ke8 Ke2 Kd7 Kd1 Kc6 Kc2 Be1 g4 Nb7 Bxa6 Nxa5 Bd8 Kc5 Bg5 Bf2 Be2 Nc6 Kd2 Nd4 Bd1 f5 h4 fxg4 fxg4 d5 Be7+ Kc6 Kd3 dxe4+ Kxe4 Kd7 Bf6 Nb5 Kf3 Bc5 Kf4 Ke8 Be2 Kf7 Be5 Nd4 Bc4 Nc6 Bc7 Bb4 Kf3 Kf6 g5+ Kf7 Bg3 Na5 Bf2 Bc3 Ke4 Nxc4 bxc4 Ke7 c5 Ba5 Bg3 Kd7 c6+,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f1e2 e8g8 c1g5 c7c5 d4c5 d8a5 g5d2 a5c5 g1f3 c8g4 d2e3 c5a5 e1g1 b8c6 a1c1 f8c8 b2b3 f6d7 e3d2 d7c5 h2h3 g4e6 d1c2 a7a6 c3d5 a5d8 f1d1 h7h6 d2e3 d8a5 c2b1 e6d5 d1d5 c6b4 d5d2 c5e6 a2a4 c8c7 d2d1 a8c8 f3e1 a5e5 e1c2 b4c2 b1c2 h6h5 d1d5 e5f6 e2f1 g8h7 d5h5 h7g8 h5d5 e6f4 d5d1 f4e6 d1d5 e6f4 d5d1 f4e6 f1e2 b7b5 a4a5 b5c4 e2c4 c7c6 c2d2 f6e5 c4d5 c6c1 d1c1 c8c1 d2c1 e5c3 c1c3 g7c3 e3b6 e6c5 f2f3 e7e6 d5c4 g8f8 g1f2 f8e8 f2e2 e8d7 e2d1 d7c6 d1c2 c3e1 g2g4 c5b7 c4a6 b7a5 b6d8 c6c5 d8g5 e1f2 a6e2 a5c6 c2d2 c6d4 e2d1 f7f5 h3h4 f5g4 f3g4 d6d5 g5e7 c5c6 d2d3 d5e4 d3e4 c6d7 e7f6 d4b5 e4f3 f2c5 f3f4 d7e8 d1e2 e8f7 f6e5 b5d4 e2c4 d4c6 e5c7 c5b4 f4f3 f7f6 g4g5 f6f7 c7g3 c6a5 g3f2 b4c3 f3e4 a5c4 b3c4 f7e7 c4c5 c3a5 f2g3 e7d7 c5c6,230.0
Lone Pine,Lone Pine,1976.??.??,3,"Evans, Larry D","De Firmian, Nick E",2200.0,2200.0,1-0,1.0,B22,69,e4 c5 c3 e6 d4 d5 exd5 Qxd5 Nf3 Nc6 Na3 cxd4 Nb5 Bd6 Bc4 Qe4+ Be2 Bb8 cxd4 Qd5 O-O Nge7 Nc3 Qa5 Bd3 h6 Qe2 Bd7 a3 Qh5 h3 Na5 Qc2 Bc6 Ne5 Bxe5 dxe5 Qxe5 b4 Nd5 Ne4 Nxb4 axb4 Qxa1 Bb2 Qa2 bxa5 Qxa5 Bxg7 Rg8 Bc3 Qd8 Bf6 Qd5 Bh4 Rg6 f3 Qd4+ Bf2 Qd5 Bc5 Rd8 Nd6+ Rxd6 Bxg6 Rd8 Bxf7+ Kd7 Rd1,e2e4 c7c5 c2c3 e7e6 d2d4 d7d5 e4d5 d8d5 g1f3 b8c6 b1a3 c5d4 a3b5 f8d6 f1c4 d5e4 c4e2 d6b8 c3d4 e4d5 e1g1 g8e7 b5c3 d5a5 e2d3 h7h6 d1e2 c8d7 a2a3 a5h5 h2h3 c6a5 e2c2 d7c6 f3e5 b8e5 d4e5 h5e5 b2b4 e7d5 c3e4 d5b4 a3b4 e5a1 c1b2 a1a2 b4a5 a2a5 b2g7 h8g8 g7c3 a5d8 c3f6 d8d5 f6h4 g8g6 f2f3 d5d4 h4f2 d4d5 f2c5 a8d8 e4d6 d8d6 d3g6 d6d8 g6f7 e8d7 f1d1,0.0
Lone Pine,Lone Pine,1976.??.??,4,"De Firmian, Nick E","Silman, Jeremy D",2200.0,2310.0,0-1,-1.0,C92,70,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3 Qd7 d4 Re8 Nbd2 Bf8 d5 Ne7 c4 c6 a4 bxc4 dxc6 Qxc6 Nxc4 Be6 Na5 Bxb3 Qxb3 Qc7 Bd2 Rab8 Qc3 Qb6 Nc4 Qc6 Qd3 Ng6 Nh2 d5 exd5 Nxd5 Rac1 Ndf4 Qg3 Bb4 Nf3 Bxd2 Nfxd2 Nh4 Ne4 Nhxg2 Ncd6 Nxe1 Nf6+ Kf8 Nxh7+ Ke7 Nf5+ Kd7 Rxe1 Qg6 Ng5 Qxg5,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 d8d7 d2d4 f8e8 b1d2 e7f8 d4d5 c6e7 c3c4 c7c6 a2a4 b5c4 d5c6 d7c6 d2c4 c8e6 c4a5 e6b3 d1b3 c6c7 c1d2 a8b8 b3c3 c7b6 a5c4 b6c6 c3d3 e7g6 f3h2 d6d5 e4d5 f6d5 a1c1 d5f4 d3g3 f8b4 h2f3 b4d2 f3d2 g6h4 d2e4 h4g2 c4d6 g2e1 e4f6 g8f8 f6h7 f8e7 d6f5 e7d7 c1e1 c6g6 h7g5 g6g5,-110.0
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",2200.0,2200.0,1/2-1/2,0.0,A41,55,d4 d6 Nf3 g6 c4 Bg7 g3 e5 Nc3 Nc6 d5 Nce7 Bg2 h6 O-O f5 e4 Nf6 Ne1 O-O Nd3 fxe4 Nxe4 g5 Qe2 Bf5 Bd2 Qd7 Bc3 Bg4 f3 Nxe4 Qxe4 Bf5 Qe2 b5 Nb4 a5 Nc6 Nxc6 dxc6 Qxc6 cxb5 Qb6+ Kh1 Rae8 Rad1 a4 Qc4+ Be6 Qxa4 Ra8 Qe4 Bxa2 f4,d2d4 d7d6 g1f3 g7g6 c2c4 f8g7 g2g3 e7e5 b1c3 b8c6 d4d5 c6e7 f1g2 h7h6 e1g1 f7f5 e2e4 g8f6 f3e1 e8g8 e1d3 f5e4 c3e4 g6g5 d1e2 c8f5 c1d2 d8d7 d2c3 f5g4 f2f3 f6e4 e2e4 g4f5 e4e2 b7b5 d3b4 a7a5 b4c6 e7c6 d5c6 d7c6 c4b5 c6b6 g1h1 a8e8 a1d1 a5a4 e2c4 f5e6 c4a4 e8a8 a4e4 e6a2 f3f4,0.0
Lone Pine,Lone Pine,1976.??.??,6,"Blumenfeld, Rudy","De Firmian, Nick E",2200.0,2200.0,0-1,-1.0,B99,82,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Be7 Qf3 Qc7 O-O-O Nbd7 Bd3 b5 Rhe1 Bb7 Qg3 b4 Nd5 exd5 exd5 Kd8 Nf5 Bf8 Qe3 Qc5 Qd2 Rc8 Kb1 Kc7 Bh4 Nxd5 Bf2 Qa5 Bc4 Nc3+ bxc3 bxc3 Qe3 Qxf5 Qxc3 Kd8 g4 Qb5+ Bxb5 Rxc3 Bd4 Rf3 Bc4 Rxf4 h3 d5 Bb3 Bb4 Bxg7 Rg8 Bh6 Rf6 Bd2 Bxd2 Rxd2 Rd6 c4 d4 Bc2 h6 Red1 Bf3 Rxd4 Rb6+ Kc1 Bxd1 Bf5 Ba4 c5 Rb7,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 f1d3 b7b5 h1e1 c8b7 f3g3 b5b4 c3d5 e6d5 e4d5 e8d8 d4f5 e7f8 g3e3 c7c5 e3d2 a8c8 c1b1 d8c7 g5h4 f6d5 h4f2 c5a5 d3c4 d5c3 b2c3 b4c3 d2e3 a5f5 e3c3 c7d8 g2g4 f5b5 c4b5 c8c3 f2d4 c3f3 b5c4 f3f4 h2h3 d6d5 c4b3 f8b4 d4g7 h8g8 g7h6 f4f6 h6d2 b4d2 d1d2 f6d6 c2c4 d5d4 b3c2 h7h6 e1d1 b7f3 d2d4 d6b6 b1c1 f3d1 c2f5 d1a4 c4c5 b6b7,0.0
Lone Pine,Lone Pine,1976.??.??,7,"Strauss, David J","De Firmian, Nick E",2300.0,2200.0,0-1,-1.0,B25,35,e4 c5 Nc3 g6 g3 Bg7 Bg2 Nc6 d3 d6 Be3 e5 f4 Nge7 Nf3 O-O O-O Nd4 Qd2 Rb8 Nh4 exf4 Bxf4 b5 a3 a5 Rae1 Qc7 Kh1 b4 axb4 cxb4 Nb1 Nxc2 Qxc2,e2e4 c7c5 b1c3 g7g6 g2g3 f8g7 f1g2 b8c6 d2d3 d7d6 c1e3 e7e5 f2f4 g8e7 g1f3 e8g8 e1g1 c6d4 d1d2 a8b8 f3h4 e5f4 e3f4 b7b5 a2a3 a7a5 a1e1 d8c7 g1h1 b5b4 a3b4 c5b4 c3b1 d4c2 d2c2,100.0
Paul Masson op,?,1977.??.??,2,"Harari, Zaki","De Firmian, Nick E",2270.0,2395.0,1-0,1.0,A76,55,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 c5 d5 e6 O-O exd5 cxd5 Re8 Qc2 Nbd7 h3 a6 a4 Rb8 Bf4 Qe7 Nd2 Ne5 Be3 Nh5 f4 Bh6 Bxh5 gxh5 Rae1 Ng6 e5 dxe5 f5 Bxe3+ Rxe3 Nf8 Rg3+ Kh8 f6 Qd7 Nde4 Ng6 Qd2 Rg8 Qh6 Qe8 Ng5 Nf8 Nxh7,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 c7c5 d4d5 e7e6 e1g1 e6d5 c4d5 f8e8 d1c2 b8d7 h2h3 a7a6 a2a4 a8b8 c1f4 d8e7 f3d2 d7e5 f4e3 f6h5 f2f4 g7h6 e2h5 g6h5 a1e1 e5g6 e4e5 d6e5 f4f5 h6e3 e1e3 g6f8 e3g3 g8h8 f5f6 e7d7 d2e4 f8g6 c2d2 e8g8 d2h6 d7e8 e4g5 g6f8 g5h7,-125.0
Paul Masson op,?,1977.??.??,3,"De Firmian, Nick E","Fritzinger, Dennis",2395.0,2275.0,0-1,-1.0,C41,78,e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Bc4 Be7 O-O O-O a4 c6 Bb3 Qe8 Re1 Bd8 a5 Bc7 Bg5 h6 Bh4 Qd8 d5 g5 Bg3 Nc5 dxc6 bxc6 Bc4 Rb8 Ra2 Be6 Bxe6 Nxe6 a6 Rb4 h4 g4 Nd2 Kh7 b3 Rg8 Nc4 Nh5 Qd2 Rb8 Qe3 Nd4 Ne2 c5 Qd3 Rg6 Ne3 Nf3+ gxf3 gxf3 Nf5 fxe2 Qxe2 Nf4 Qd2 d5 exd5 Qd7 Ne3 Qh3 d6 Rbg8 c4 Ba5 Qd5 Rxg3+ fxg3 Rxg3+ Kf2 Qh2+,e2e4 e7e5 g1f3 d7d6 d2d4 g8f6 b1c3 b8d7 f1c4 f8e7 e1g1 e8g8 a2a4 c7c6 c4b3 d8e8 f1e1 e7d8 a4a5 d8c7 c1g5 h7h6 g5h4 e8d8 d4d5 g7g5 h4g3 d7c5 d5c6 b7c6 b3c4 a8b8 a1a2 c8e6 c4e6 c5e6 a5a6 b8b4 h2h4 g5g4 f3d2 g8h7 b2b3 f8g8 d2c4 f6h5 d1d2 b4b8 d2e3 e6d4 c3e2 c6c5 e3d3 g8g6 c4e3 d4f3 g2f3 g4f3 e3f5 f3e2 d3e2 h5f4 e2d2 d6d5 e4d5 d8d7 f5e3 d7h3 d5d6 b8g8 c2c4 c7a5 d2d5 g6g3 f2g3 g8g3 g1f2 h3h2,120.0
Golden Gate op,San Francisco,1977.??.??,?,"Harari, Zaki","De Firmian, Nick E",,,1-0,1.0,E76,91,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O Nf3 c5 dxc5 dxc5 Qxd8 Rxd8 e5 Ne8 Nd5 Nc6 Be3 b6 O-O-O Bg4 Be2 f6 exf6 Nxf6 h3 Bd7 Rhe1 Rac8 Nc3 Ne8 Ne5 Nxe5 fxe5 Bxe5 Nd5 Bf6 Bf4 Be6 Bf3 Kf7 g4 g5 Bg3 Nd6 Nxf6 Kxf6 Be5+ Kf7 b3 Rd7 Re2 Ne8 Rf1 Kg8 Bb2 Bf7 Be4 e6 Ref2 Nd6 Bc2 Rf8 Bf6 h6 Bc3 Ne8 Be5 Rd8 h4 gxh4 g5 Ng7 gxh6 Nf5 Rxf5 exf5 Rg1+ Kh7 Bxf5+ Kxh6 Bf4+ Kh5 Rg5+ Kh6 Rg8+ Kh5 Bg4#,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 g1f3 c7c5 d4c5 d6c5 d1d8 f8d8 e4e5 f6e8 c3d5 b8c6 c1e3 b7b6 e1c1 c8g4 f1e2 f7f6 e5f6 e8f6 h2h3 g4d7 h1e1 a8c8 d5c3 f6e8 f3e5 c6e5 f4e5 g7e5 c3d5 e5f6 e3f4 d7e6 e2f3 g8f7 g2g4 g6g5 f4g3 e8d6 d5f6 f7f6 g3e5 f6f7 b2b3 d8d7 e1e2 d6e8 d1f1 f7g8 e5b2 e6f7 f3e4 e7e6 e2f2 e8d6 e4c2 c8f8 b2f6 h7h6 f6c3 d6e8 c3e5 d7d8 h3h4 g5h4 g4g5 e8g7 g5h6 g7f5 f2f5 e6f5 f1g1 g8h7 c2f5 h7h6 e5f4 h6h5 g1g5 h5h6 g5g8 h6h5 f5g4,
