event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Capablanca mem-D,Cienfuegos,1996.??.??,2,"Dominguez Perez, Lenier","Rios, Eyleen",,2150.0,1/2-1/2,0,C80,97,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 Nbd2 Nc5 c3 d4 Ng5 Bd5 Nxf7 Kxf7 Qf3+ Ke6 Ne4 Nxb3 Qg4+ Kf7 Qf5+ Ke8 e6 Bxe6 Qxe6+ Ne7 Qxb3 Qd5 Qxd5 Nxd5 cxd4 h6 Bd2 Rd8 Rac1 Kd7 Nc5+ Bxc5 Rxc5 c6 Rfc1 Rc8 f3 Rhe8 Kf2 Re6 Re1 Rce8 Rcc1 Kd6 Rxe6+ Rxe6 Re1 Rxe1 Kxe1 Ke6 Ke2 Nc7 Bf4 Nd5 Be5 g6 g3 Nb6 Bg7 h5 Kd3 Kf5 h3 Nd5 Be5 Nb4+ Kd2 Nxa2 Bd6 a5 Bc7 a4 Bd6 Ke6 Bc5 Kf5 Bd6 Ke6 Bc5 Kf5 Bd6,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 e4c5 c2c3 d5d4 f3g5 e6d5 g5f7 e8f7 d1f3 f7e6 d2e4 c5b3 f3g4 e6f7 g4f5 f7e8 e5e6 d5e6 f5e6 c6e7 e6b3 d8d5 b3d5 e7d5 c3d4 h7h6 c1d2 a8d8 a1c1 e8d7 e4c5 f8c5 c1c5 c7c6 f1c1 d8c8 f2f3 h8e8 g1f2 e8e6 c1e1 c8e8 c5c1 d7d6 e1e6 e8e6 c1e1 e6e1 f2e1 d6e6 e1e2 d5c7 d2f4 c7d5 f4e5 g7g6 g2g3 d5b6 e5g7 h6h5 e2d3 e6f5 h2h3 b6d5 g7e5 d5b4 d3d2 b4a2 e5d6 a6a5 d6c7 a5a4 c7d6 f5e6 d6c5 e6f5 c5d6 f5e6 d6c5 e6f5 c5d6,
Capablanca mem-D,Cienfuegos,1996.??.??,3,"Escobar Forero, Alder","Dominguez Perez, Lenier",2335.0,,1-0,1,B82,74,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f4 e6 Bd3 Be7 O-O O-O Kh1 Qc7 Qe2 Nbd7 Bd2 b5 Rae1 Bb7 e5 Nd5 exd6 Qxd6 Ne4 Qb6 c3 N7f6 Ng3 b4 f5 bxc3 bxc3 e5 Qxe5 Bd6 Qe2 Qc7 c4 Nb4 Bxb4 Bxb4 Rb1 Bc3 Nf3 h6 Qc2 Ba5 Be4 Nxe4 Nxe4 Bc6 f6 Rfe8 Ng3 g6 Nh4 Kh7 Nxg6 fxg6 f7 Bxg2+ Qxg2 Rf8 Ne4 Rad8 Rf6 Rxf7 Qxg6+ Kh8,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e6 f1d3 f8e7 e1g1 e8g8 g1h1 d8c7 d1e2 b8d7 c1d2 b7b5 a1e1 c8b7 e4e5 f6d5 e5d6 c7d6 c3e4 d6b6 c2c3 d7f6 e4g3 b5b4 f4f5 b4c3 b2c3 e6e5 e2e5 e7d6 e5e2 b6c7 c3c4 d5b4 d2b4 d6b4 e1b1 b4c3 d4f3 h7h6 e2c2 c3a5 d3e4 f6e4 g3e4 b7c6 f5f6 f8e8 e4g3 g7g6 f3h4 g8h7 h4g6 f7g6 f6f7 c6g2 c2g2 e8f8 g3e4 a8d8 f1f6 f8f7 g2g6 h7h8,
Capablanca mem-D,Cienfuegos,1996.??.??,4,"Dominguez Perez, Lenier","Ramon, Vivian",,2220.0,1/2-1/2,0,C61,84,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxd4 exd4 O-O g6 d3 Bg7 Bc4 c6 Qf3 Qe7 Bg5 Bf6 Bxf6 Qxf6 Qg3 d6 f4 Be6 Nd2 Qe7 e5 d5 f5 Bxf5 Rxf5 gxf5 Qg7 dxc4 Qxh8 O-O-O Nxc4 Nh6 Qg7 Qe6 Qxh7 Ng4 Rf1 b5 h3 bxc4 hxg4 cxd3 cxd3 fxg4 Qxf7 Qxe5 Qf5+ Qxf5 Rxf5 Re8 Rf4 Re2 Rxg4 Rxb2 Rxd4 Rxa2 g4 Ra5 Kf2 Rg5 Kf3 Kc7 Kf4 Rg8 g5 Rd8 Ke5 Rxd4 Kxd4 Kd6 Kc4 Ke6 Kc5 a5 d4 Kf5 Kxc6 a4,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 g7g6 d2d3 f8g7 b5c4 c7c6 d1f3 d8e7 c1g5 g7f6 g5f6 e7f6 f3g3 d7d6 f2f4 c8e6 b1d2 f6e7 e4e5 d6d5 f4f5 e6f5 f1f5 g6f5 g3g7 d5c4 g7h8 e8c8 d2c4 g8h6 h8g7 e7e6 g7h7 h6g4 a1f1 b7b5 h2h3 b5c4 h3g4 c4d3 c2d3 f5g4 h7f7 e6e5 f7f5 e5f5 f1f5 d8e8 f5f4 e8e2 f4g4 e2b2 g4d4 b2a2 g2g4 a2a5 g1f2 a5g5 f2f3 c8c7 f3f4 g5g8 g4g5 g8d8 f4e5 d8d4 e5d4 c7d6 d4c4 d6e6 c4c5 a7a5 d3d4 e6f5 c5c6 a5a4,
Capablanca mem-D,Cienfuegos,1996.??.??,5,"Fandino, Roquelina","Dominguez Perez, Lenier",2145.0,,1-0,1,B52,57,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Nxd7 O-O Ngf6 Re1 g6 c3 Bg7 d4 cxd4 cxd4 d5 e5 Ne4 Nc3 Nxc3 bxc3 Nf8 Rb1 Qd7 Qb3 Rb8 c4 dxc4 Qxc4 b5 Qb3 Ne6 d5 Nc5 e6 fxe6 Qe3 Qxd5 Ba3 b4 Bxb4 Na6 Rbd1 Qf5 Bxe7 Kxe7 Qxa7+ Kf6 Rd7 Rhf8 Rxg7 Rbe8 Rxh7 e5 Qg7+,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 b8d7 e1g1 g8f6 f1e1 g7g6 c2c3 f8g7 d2d4 c5d4 c3d4 d6d5 e4e5 f6e4 b1c3 e4c3 b2c3 d7f8 a1b1 d8d7 d1b3 a8b8 c3c4 d5c4 b3c4 b7b5 c4b3 f8e6 d4d5 e6c5 e5e6 f7e6 b3e3 d7d5 c1a3 b5b4 a3b4 c5a6 b1d1 d5f5 b4e7 e8e7 e3a7 e7f6 d1d7 h8f8 d7g7 b8e8 g7h7 e6e5 a7g7,
Capablanca mem-D,Cienfuegos,1996.??.??,6,"Dominguez Perez, Lenier","Hernandez, Yadira",,2215.0,1-0,1,B48,85,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nc3 Qc7 Be3 a6 Bd3 Nf6 O-O b5 a3 Ne5 h3 Bb7 Nb3 Nc4 Bxc4 bxc4 Nd2 Be7 f4 O-O Bd4 Bc5 Bxc5 Qxc5+ Kh2 Rab8 Rb1 e5 Qf3 d5 exd5 Nxd5 Nxd5 Bxd5 Qf2 Qc7 fxe5 Qxe5+ Qf4 Rfe8 Qxe5 Rxe5 Rfe1 Rbe8 Rxe5 Rxe5 Rd1 g6 Nb1 Rg5 Rd2 h5 Nc3 Bc6 Nd1 Kg7 Ne3 Rc5 Rd4 Bb5 c3 f5 h4 Kf7 Kg3 Rc8 Kf4 Rc5 g3 Rc6 a4 Bxa4 Nxc4 Kf6 Ne5 Rc5 Rxa4,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 g8f6 e1g1 b7b5 a2a3 c6e5 h2h3 c8b7 d4b3 e5c4 d3c4 b5c4 b3d2 f8e7 f2f4 e8g8 e3d4 e7c5 d4c5 c7c5 g1h2 a8b8 a1b1 e6e5 d1f3 d7d5 e4d5 f6d5 c3d5 b7d5 f3f2 c5c7 f4e5 c7e5 f2f4 f8e8 f4e5 e8e5 f1e1 b8e8 e1e5 e8e5 b1d1 g7g6 d2b1 e5g5 d1d2 h7h5 b1c3 d5c6 c3d1 g8g7 d1e3 g5c5 d2d4 c6b5 c2c3 f7f5 h3h4 g7f7 h2g3 c5c8 g3f4 c8c5 g2g3 c5c6 a3a4 b5a4 e3c4 f7f6 c4e5 c6c5 d4a4,
Capablanca mem-D,Cienfuegos,1996.??.??,7,"Delgado Crespo, Mairelys","Dominguez Perez, Lenier",2170.0,,1/2-1/2,0,B82,87,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f4 e6 Qf3 Qc7 g4 Nc6 Nb3 b5 g5 Nd7 Bd3 Bb7 a3 Nc5 Be3 O-O-O Qf2 Qb6 e5 Nxe5 fxe5 Bxh1 Nxc5 dxc5 O-O-O Qb7 Bxc5 Bxc5 Qxc5+ Kb8 Qb4 Bc6 Rf1 Rd7 a4 bxa4 Qa5 Ka7 Nxa4 Bxa4 Qxa4 Rb8 b3 Rc7 Kb2 Qb6 Ra1 a5 Qxa5+ Qxa5 Rxa5+ Kb6 b4 Kc6 Kb3 Kd7 c4 Ke7 c5 Rd8 Bb5 f6 gxf6+ gxf6 exf6+ Kxf6 Ra2 e5 Rf2+ Kg5 c6 e4 Rc2 Rd6 Ka4 Ra7+ Kb3,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e6 d1f3 d8c7 g2g4 b8c6 d4b3 b7b5 g4g5 f6d7 f1d3 c8b7 a2a3 d7c5 c1e3 e8c8 f3f2 c7b6 e4e5 c6e5 f4e5 b7h1 b3c5 d6c5 e1c1 b6b7 e3c5 f8c5 f2c5 c8b8 c5b4 h1c6 d1f1 d8d7 a3a4 b5a4 b4a5 b8a7 c3a4 c6a4 a5a4 h8b8 b2b3 d7c7 c1b2 b7b6 f1a1 a6a5 a4a5 b6a5 a1a5 a7b6 b3b4 b6c6 b2b3 c6d7 c2c4 d7e7 c4c5 b8d8 d3b5 f7f6 g5f6 g7f6 e5f6 e7f6 a5a2 e6e5 a2f2 f6g5 c5c6 e5e4 f2c2 d8d6 b3a4 c7a7 a4b3,
Capablanca mem-D,Cienfuegos,1996.??.??,8,"Dominguez Perez, Lenier","Fierro Baquero, Martha Lorena",,2165.0,1/2-1/2,0,B31,87,e4 c5 Nf3 Nc6 Bb5 g6 Bxc6 bxc6 O-O Bg7 Re1 Nf6 Nc3 O-O d3 d6 h3 e5 Ne2 c4 Bg5 h6 Bxf6 Qxf6 Ng3 Be6 dxc4 Bxc4 b3 Ba6 c4 Rad8 Qd2 Bc8 Nh2 h5 Rad1 Rd7 Qa5 Qd8 Qa4 Qb6 Nf3 a5 Rd3 Rfd8 Nf1 Bb7 Ne3 f5 Ng5 Bh6 Ne6 Re8 Nd5 Qa7 Nf6+ Kf7 Nxd7 Rxe6 c5 Ke8 Nb6 fxe4 Rxe4 Bg7 Re1 Kf8 Nc4 Qxc5 Rf3+ Kg8 Nxa5 Ba8 Nc4 Re8 Qa5 Qxa5 Nxa5 e4 Nc4 d5 Nd2 Bb7 Rfe3 c5 Rc1,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 b7c6 e1g1 f8g7 f1e1 g8f6 b1c3 e8g8 d2d3 d7d6 h2h3 e7e5 c3e2 c5c4 c1g5 h7h6 g5f6 d8f6 e2g3 c8e6 d3c4 e6c4 b2b3 c4a6 c2c4 a8d8 d1d2 a6c8 f3h2 h6h5 a1d1 d8d7 d2a5 f6d8 a5a4 d8b6 h2f3 a7a5 d1d3 f8d8 g3f1 c8b7 f1e3 f7f5 f3g5 g7h6 g5e6 d8e8 e3d5 b6a7 d5f6 g8f7 f6d7 e8e6 c4c5 f7e8 d7b6 f5e4 e1e4 h6g7 e4e1 e8f8 b6c4 a7c5 d3f3 f8g8 c4a5 b7a8 a5c4 e6e8 a4a5 c5a5 c4a5 e5e4 a5c4 d6d5 c4d2 a8b7 f3e3 c6c5 e1c1,
Capablanca mem-D,Cienfuegos,1996.??.??,9,"Andonovski, Ljubisa","Dominguez Perez, Lenier",2260.0,,0-1,-1,E73,104,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Be2 O-O Be3 e5 d5 a5 g4 Ne8 h4 f5 gxf5 gxf5 exf5 Bxf5 Bg4 Qd7 Bxf5 Qxf5 Nge2 Qf3 Ng3 Qxd1+ Rxd1 Nd7 Rg1 Kh8 Nge4 h6 Rg6 Kh7 Re6 Rf7 c5 dxc5 Bxc5 Nxc5 Nxc5 Nd6 N3e4 Nxe4 Nxe4 Rf4 Ng3 Raf8 Rd2 R8f7 h5 Rd4 Rxd4 exd4 Ne4 Rf5 Re7 Kg8 Re8+ Kf7 d6 Re5 Rxe5 Bxe5 dxc7 Bxc7 Ke2 Ke6 Kd3 Bb6 Nd2 Kf5 Nc4 Bc7 Kxd4 Kg5 Ke4 Kxh5 Kf5 Kh4 Nd2 h5 Ne4 Kh3 f4 h4 Kg5 Bd8+ Kh5 Kg2 Kg4 h3 Ng3 h2 b3 b5 a4 bxa4 bxa4 Be7,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1e3 e7e5 d4d5 a7a5 g2g4 f6e8 h2h4 f7f5 g4f5 g6f5 e4f5 c8f5 e2g4 d8d7 g4f5 d7f5 g1e2 f5f3 e2g3 f3d1 a1d1 b8d7 h1g1 g8h8 g3e4 h7h6 g1g6 h8h7 g6e6 f8f7 c4c5 d6c5 e3c5 d7c5 e4c5 e8d6 c3e4 d6e4 c5e4 f7f4 e4g3 a8f8 d1d2 f8f7 h4h5 f4d4 d2d4 e5d4 g3e4 f7f5 e6e7 h7g8 e7e8 g8f7 d5d6 f5e5 e8e5 g7e5 d6c7 e5c7 e1e2 f7e6 e2d3 c7b6 e4d2 e6f5 d2c4 b6c7 d3d4 f5g5 d4e4 g5h5 e4f5 h5h4 c4d2 h6h5 d2e4 h4h3 f2f4 h5h4 f5g5 c7d8 g5h5 h3g2 h5g4 h4h3 e4g3 h3h2 b2b3 b7b5 a2a4 b5a4 b3a4 d8e7,
Capablanca mem-D,Cienfuegos,1996.??.??,10,"Dominguez Perez, Lenier","Lopez, C.",,2370.0,1/2-1/2,0,C92,25,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3 Bb7 d4 Re8 Ng5 Rf8 Nf3 Re8 Ng5,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 f3g5 e8f8 g5f3 f8e8 f3g5,
Capablanca mem-D,Cienfuegos,1996.??.??,11,"Arribas, Maritza","Dominguez Perez, Lenier",2270.0,,1-0,1,B51,131,e4 c5 Nf3 d6 Bb5+ Nd7 O-O Nf6 Re1 e6 c3 Be7 d4 O-O Nbd2 Nb6 Bd3 Bd7 Nf1 cxd4 cxd4 d5 e5 Ne4 Ng3 Bc6 Nxe4 dxe4 Bxe4 Bxe4 Rxe4 Qd5 Qd3 Rac8 b3 Rc3 Qxc3 Qxe4 Qe3 Qc2 Ne1 Qc6 Bd2 Nd5 Qe4 Rc8 h4 Ba3 Rd1 h6 Kh2 Bb2 Qg4 Kf8 Rb1 Ba3 Qf3 Nc3 Bxc3 Qxf3 Nxf3 Rxc3 Rd1 Rc2 Rd2 Rxd2 Nxd2 Bb2 Nf3 Ke7 Kg3 Kd7 Kf4 Kc6 Ke4 Kb5 d5 exd5+ Kxd5 Kb4 Nd2 b5 f4 Ka3 f5 Kxa2 e6 fxe6+ fxe6 Bf6 h5 Kb2 Kc6 Kc2 Ne4 Be7 b4 Kd3 Nd6 a5 bxa5 b4 a6 b3 a7 b2 a8=Q b1=Q Qa3+ Ke2 Qf3+ Ke1 Qe4+ Qxe4+ Nxe4 Kf1 Kd7 Bf8 e7 Bxe7 Kxe7 Kxg2 Kf7 Kf3 Kxg7 Kxe4 Kxh6 Kf5 Kg7 Kg5 h6,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 e1g1 g8f6 f1e1 e7e6 c2c3 f8e7 d2d4 e8g8 b1d2 d7b6 b5d3 c8d7 d2f1 c5d4 c3d4 d6d5 e4e5 f6e4 f1g3 d7c6 g3e4 d5e4 d3e4 c6e4 e1e4 d8d5 d1d3 a8c8 b2b3 c8c3 d3c3 d5e4 c3e3 e4c2 f3e1 c2c6 c1d2 b6d5 e3e4 f8c8 h2h4 e7a3 a1d1 h7h6 g1h2 a3b2 e4g4 g8f8 d1b1 b2a3 g4f3 d5c3 d2c3 c6f3 e1f3 c8c3 b1d1 c3c2 d1d2 c2d2 f3d2 a3b2 d2f3 f8e7 h2g3 e7d7 g3f4 d7c6 f4e4 c6b5 d4d5 e6d5 e4d5 b5b4 f3d2 b7b5 f2f4 b4a3 f4f5 a3a2 e5e6 f7e6 f5e6 b2f6 h4h5 a2b2 d5c6 b2c2 d2e4 f6e7 b3b4 c2d3 e4d6 a7a5 b4a5 b5b4 a5a6 b4b3 a6a7 b3b2 a7a8q b2b1q a8a3 d3e2 a3f3 e2e1 f3e4 b1e4 d6e4 e1f1 c6d7 e7f8 e6e7 f8e7 d7e7 f1g2 e7f7 g2f3 f7g7 f3e4 g7h6 e4f5 h6g7 f5g5 h5h6,
