event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
8th Mayors Cup Open 2015,Mumbai IND,2015.06.02,1.1,"Kokarev,Dm","Erigaisi,Arjun",2639.0,2120.0,1-0,1,A05,95,Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O c4 d6 Nc3 e5 d3 Nc6 Rb1 Bf5 Bg5 h6 Bxf6 Bxf6 b4 Qd7 Nd5 Bg7 Nd2 Nd8 Ne4 Bxe4 Bxe4 Ne6 Bg2 c6 Nc3 f5 b5 Kh7 bxc6 bxc6 Qa4 e4 dxe4 Bxc3 exf5 Nc5 fxg6+ Kg7 Qa3 Bf6 Rbd1 Qc7 Qf3 Rae8 e3 Ne4 Qg4 Nc3 Rd2 d5 cxd5 cxd5 h4 Qc8 Qb4 Qa6 Rc2 Qd3 Rfc1 d4 Kh2 Qxg6 exd4 Ne2 Rc7+ Rf7 R1c4 Ree7 R7c6 Qf5 d5 h5 Qc5 Be5 d6 Re6 Rc7 Rxd6 f4 Nxf4 Rxf7+ Kxf7 Rxf4 Qxf4 gxf4 Bxf4+ Kg1,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 c2c4 d7d6 b1c3 e7e5 d2d3 b8c6 a1b1 c8f5 c1g5 h7h6 g5f6 g7f6 b2b4 d8d7 c3d5 f6g7 f3d2 c6d8 d2e4 f5e4 g2e4 d8e6 e4g2 c7c6 d5c3 f7f5 b4b5 g8h7 b5c6 b7c6 d1a4 e5e4 d3e4 g7c3 e4f5 e6c5 f5g6 h7g7 a4a3 c3f6 b1d1 d7c7 a3f3 a8e8 e2e3 c5e4 f3g4 e4c3 d1d2 d6d5 c4d5 c6d5 h2h4 c7c8 g4b4 c8a6 d2c2 a6d3 f1c1 d5d4 g1h2 d3g6 e3d4 c3e2 c2c7 f8f7 c1c4 e8e7 c7c6 g6f5 d4d5 h6h5 b4c5 f6e5 d5d6 e7e6 c6c7 e6d6 f2f4 e2f4 c7f7 g7f7 c4f4 f5f4 g3f4 e5f4 h2g1,519.0
8th Mayors Cup Open 2015,Mumbai IND,2015.06.06,7.20,"Semcesen,D","Erigaisi,Arjun",2471.0,2120.0,1-0,1,D35,89,d4 e6 c4 Nf6 Nc3 d5 cxd5 exd5 Bg5 Be7 e3 O-O Bd3 h6 Bh4 c6 f3 Re8 Bf2 Nbd7 Nge2 c5 O-O cxd4 Nxd4 Ne5 Bc2 Bc5 Re1 Nc6 Nce2 Qb6 Rb1 Nxd4 Nxd4 Bd7 Qd3 Bxd4 Qxd4 Qxd4 exd4 Rac8 Bd3 a6 Re5 Bb5 Bf5 Rcd8 Rbe1 Bd7 Bd3 Be6 Bh4 g5 Bf2 Nd7 R5e2 Nf8 h4 f6 Rc1 Kf7 Rc5 Bc8 Rc7+ Rd7 Rec2 Rxc7 Rxc7+ Nd7 h5 Ke7 Bg6 Rf8 g4 Kd8 Bg3 Rh8 Kf2 Nf8 Rf7 Nxg6 hxg6 Rg8 Rxf6 Ke7 Be5 Be6 g7,d2d4 e7e6 c2c4 g8f6 b1c3 d7d5 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 f1d3 h7h6 g5h4 c7c6 f2f3 f8e8 h4f2 b8d7 g1e2 c6c5 e1g1 c5d4 e2d4 d7e5 d3c2 e7c5 f1e1 e5c6 c3e2 d8b6 a1b1 c6d4 e2d4 c8d7 d1d3 c5d4 d3d4 b6d4 e3d4 a8c8 c2d3 a7a6 e1e5 d7b5 d3f5 c8d8 b1e1 b5d7 f5d3 d7e6 f2h4 g7g5 h4f2 f6d7 e5e2 d7f8 h2h4 f7f6 e1c1 g8f7 c1c5 e6c8 c5c7 d8d7 e2c2 d7c7 c2c7 f8d7 h4h5 f7e7 d3g6 e8f8 g2g4 e7d8 f2g3 f8h8 g1f2 d7f8 c7f7 f8g6 h5g6 h8g8 f7f6 d8e7 g3e5 c8e6 g6g7,351.0
8th Chennai Open 2016,Chennai IND,2016.01.19,3.9,"Erigaisi,Arjun","Dzhumaev,M",2238.0,2495.0,1/2-1/2,0,E70,69,d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O Be2 c6 Nf3 d5 e5 Ne4 O-O Nxc3 bxc3 dxc4 Bxc4 c5 Qe2 Nc6 Rd1 cxd4 Nxd4 Qc7 e6 Bxe6 Bxe6 Nxd4 cxd4 fxe6 Qxe6+ Kh8 Be3 Rad8 Rac1 Qd7 d5 b6 Bg5 Bf6 Bh6 Rfe8 g3 Bb2 Rb1 Qa4 Rd2 Rd6 Qf7 Bf6 Rb4 Qd7 Rf4 Rg8 h4 Bg7 Re2 Bxh6 Rxe7 Qxe7 Qxe7 Bxf4 gxf4 Rxd5 Qf6+ Rg7 Qf8+,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 c7c6 g1f3 d7d5 e4e5 f6e4 e1g1 e4c3 b2c3 d5c4 e2c4 c6c5 d1e2 b8c6 f1d1 c5d4 f3d4 d8c7 e5e6 c8e6 c4e6 c6d4 c3d4 f7e6 e2e6 g8h8 c1e3 a8d8 a1c1 c7d7 d4d5 b7b6 e3g5 g7f6 g5h6 f8e8 g2g3 f6b2 c1b1 d7a4 d1d2 d8d6 e6f7 b2f6 b1b4 a4d7 b4f4 e8g8 h2h4 f6g7 d2e2 g7h6 e2e7 d7e7 f7e7 h6f4 g3f4 d6d5 e7f6 g8g7 f6f8,-257.0
8th Chennai Open 2016,Chennai IND,2016.01.21,6.13,"David,Alb","Erigaisi,Arjun",2597.0,2238.0,1/2-1/2,0,C00,102,e4 e6 d3 b5 g3 Bb7 Bg2 c5 Nh3 Nf6 O-O d6 Qe2 Nc6 c3 Be7 f4 O-O Nd2 a5 g4 a4 g5 Nd7 Nf3 Re8 Be3 a3 b3 d5 Qf2 c4 exd5 exd5 dxc4 dxc4 bxc4 bxc4 f5 Qa5 g6 fxg6 fxg6 Qxc3 gxh7+ Kh8 Nf4 Bf6 Nd5 Qb2 Nxf6 Qxf2+ Bxf2 Nxf6 Rab1 Na5 Rfe1 Be4 Rbc1 Nd5 Bg3 Nb4 Rc3 Bxf3 Rxe8+ Rxe8 Bxf3 Nb3 Rxc4 Nxa2 Ra4 Kxh7 Rxa3 Nac1 Kf2 Nd3+ Kg2 Nbc5 Rc3 Re3 Rc4 Ne5 Rh4+ Kg6 Bd1 Ned3 Rd4 Kf6 Rd6+ Re6 Rd5 Re3 Bg4 Ne4 Bc7 g5 Rf5+ Kg6 Rf1 Nf4+ Kg1 Nh3+,e2e4 e7e6 d2d3 b7b5 g2g3 c8b7 f1g2 c7c5 g1h3 g8f6 e1g1 d7d6 d1e2 b8c6 c2c3 f8e7 f2f4 e8g8 b1d2 a7a5 g3g4 a5a4 g4g5 f6d7 d2f3 f8e8 c1e3 a4a3 b2b3 d6d5 e2f2 c5c4 e4d5 e6d5 d3c4 d5c4 b3c4 b5c4 f4f5 d8a5 g5g6 f7g6 f5g6 a5c3 g6h7 g8h8 h3f4 e7f6 f4d5 c3b2 d5f6 b2f2 e3f2 d7f6 a1b1 c6a5 f1e1 b7e4 b1c1 f6d5 f2g3 d5b4 c1c3 e4f3 e1e8 a8e8 g2f3 a5b3 c3c4 b4a2 c4a4 h8h7 a4a3 a2c1 g1f2 c1d3 f2g2 b3c5 a3c3 e8e3 c3c4 d3e5 c4h4 h7g6 f3d1 e5d3 h4d4 g6f6 d4d6 e3e6 d6d5 e6e3 d1g4 c5e4 g3c7 g7g5 d5f5 f6g6 f5f1 d3f4 g2g1 f4h3,359.0
Aeroflot Open A 2016,Moscow RUS,2016.03.01,1.43,"Erigaisi,Arjun","Dragun,K",2379.0,2594.0,0-1,-1,E46,94,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O Ne2 Re8 a3 Bf8 Ng3 d5 Be2 b6 cxd5 exd5 O-O g6 Bd3 Bb7 b4 Nbd7 Ra2 Bg7 Re1 c5 bxc5 bxc5 dxc5 Nxc5 Bb5 Re7 Rd2 Qa5 Bb2 h5 Bf1 h4 Nge2 Nce4 Nxe4 Nxe4 Rc2 Bxb2 Rxb2 Qxa3 Rb3 Qa2 f3 Nc5 Rc3 Na4 Rd3 Rc8 Rd4 Nb2 Qd2 Qa3 Nf4 Nc4 Bxc4 dxc4 Rd8+ Re8 Rd7 Bc6 Rd6 Qc5 Kh1 a5 Nxg6 fxg6 Rxg6+ Kf7 Rg4 Qb4 Qf2 Rh8 Rc1 Qb3 e4 Rcd8 Rg1 Rh5 e5 h3 Rf4+ Ke8 gxh3 Rd1 Qg3 Rg5,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 f8e8 a2a3 b4f8 e2g3 d7d5 f1e2 b7b6 c4d5 e6d5 e1g1 g7g6 e2d3 c8b7 b2b4 b8d7 a1a2 f8g7 f1e1 c7c5 b4c5 b6c5 d4c5 d7c5 d3b5 e8e7 a2d2 d8a5 c1b2 h7h5 b5f1 h5h4 g3e2 c5e4 c3e4 f6e4 d2c2 g7b2 c2b2 a5a3 b2b3 a3a2 f2f3 e4c5 b3c3 c5a4 c3d3 a8c8 d3d4 a4b2 d1d2 a2a3 e2f4 b2c4 f1c4 d5c4 d4d8 e7e8 d8d7 b7c6 d7d6 a3c5 g1h1 a7a5 f4g6 f7g6 d6g6 g8f7 g6g4 c5b4 d2f2 e8h8 e1c1 b4b3 e3e4 c8d8 c1g1 h8h5 e4e5 h4h3 g4f4 f7e8 g2h3 d8d1 f2g3 h5g5,-215.0
Aeroflot Open A 2016,Moscow RUS,2016.03.02,2.43,"Kotronias,V","Erigaisi,Arjun",2541.0,2379.0,1-0,1,C06,103,e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 c3 c5 Bd3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 Nf3 Bd6 O-O Qc7 Bg5 O-O Rc1 b6 Bh4 Nh5 Bg3 Nxg3 hxg3 g5 Bb5 Bd7 Qd3 Kg7 Qe3 Qd8 Rfe1 Ne7 Bxd7 Qxd7 Ne5 Qe8 g4 Ng6 Ng3 Nf4 Rc3 Rc8 Nh5+ Nxh5 Rxc8 Qxc8 gxh5 Rf4 Qd3 Rf5 Ng4 Bb4 Rd1 Qe8 Qb3 Qe7 g3 Bd6 Re1 Rf8 Qe3 Re8 Qf3 Rf8 Qe2 Re8 Ne3 Bb4 Rf1 Bd6 Rc1 Qf7 Kg2 a6 a3 Bb8 Rc3 e5 Rb3 b5 a4 exd4 Nf5+ Kf8 Qc2 Qe6 axb5 axb5 Rxb5 Ba7 Rb7 Rc8 Qd3 Bb8 Qa3+,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f1d3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 d2f3 f8d6 e1g1 d8c7 c1g5 e8g8 a1c1 b7b6 g5h4 f6h5 h4g3 h5g3 h2g3 g7g5 d3b5 c8d7 d1d3 g8g7 d3e3 c7d8 f1e1 c6e7 b5d7 d8d7 f3e5 d7e8 g3g4 e7g6 e2g3 g6f4 c1c3 a8c8 g3h5 f4h5 c3c8 e8c8 g4h5 f8f4 e3d3 f4f5 e5g4 d6b4 e1d1 c8e8 d3b3 e8e7 g2g3 b4d6 d1e1 f5f8 b3e3 f8e8 e3f3 e8f8 f3e2 f8e8 g4e3 d6b4 e1f1 b4d6 f1c1 e7f7 g1g2 a7a6 a2a3 d6b8 c1c3 e6e5 c3b3 b6b5 a3a4 e5d4 e3f5 g7f8 e2c2 f7e6 a4b5 a6b5 b3b5 b8a7 b5b7 e8c8 c2d3 a7b8 d3a3,162.0
Aeroflot Open A 2016,Moscow RUS,2016.03.03,3.43,"Erigaisi,Arjun","Van Foreest,Jorden",2379.0,2557.0,0-1,-1,D10,118,d4 d5 c4 c6 e3 Nf6 Nc3 Bf5 Nf3 e6 Bd3 Bg6 O-O Nbd7 Qe2 Bd6 e4 dxc4 Bxc4 b5 e5 bxc4 Qxc4 Qc7 exd6 Qxd6 Ne5 O-O Bf4 Nb6 Qxc6 Qxd4 Nxg6 hxg6 Be3 Qh4 Rad1 Nbd5 Bd4 Rfc8 Qd6 Nxc3 bxc3 a5 Rd3 Rd8 Qe7 Qe4 Re3 Qc6 Rh3 Nd5 Qh4 f6 f4 Rab8 Rg3 Kf7 Re1 Ne7 Qg4 Qd5 Rge3 Rd6 h4 Rb2 R3e2 Rxa2 Rxa2 Qxa2 h5 Qd5 h6 gxh6 Qh4 Ng8 Rb1 Rd8 Qf2 h5 Qe2 Ne7 Rb5 Qd6 Bc5 Qd1+ Qxd1 Rxd1+ Kf2 Nd5 Rxa5 Nxf4 Ra7+ Kg8 g3 Nd5 c4 Nc3 Ra8+ Kg7 Ra7+ Kh6 Bf8+ Kg5 c5 Rc1 c6 Nd5 Ra6 Kf5 Bd6 Rc2+ Ke1 e5 Kd1 Ne3+ Ke1 Kg4,d2d4 d7d5 c2c4 c7c6 e2e3 g8f6 b1c3 c8f5 g1f3 e7e6 f1d3 f5g6 e1g1 b8d7 d1e2 f8d6 e3e4 d5c4 d3c4 b7b5 e4e5 b5c4 e2c4 d8c7 e5d6 c7d6 f3e5 e8g8 c1f4 d7b6 c4c6 d6d4 e5g6 h7g6 f4e3 d4h4 a1d1 b6d5 e3d4 f8c8 c6d6 d5c3 b2c3 a7a5 d1d3 c8d8 d6e7 h4e4 d3e3 e4c6 e3h3 f6d5 e7h4 f7f6 f2f4 a8b8 h3g3 g8f7 f1e1 d5e7 h4g4 c6d5 g3e3 d8d6 h2h4 b8b2 e3e2 b2a2 e2a2 d5a2 h4h5 a2d5 h5h6 g7h6 g4h4 e7g8 e1b1 d6d8 h4f2 h6h5 f2e2 g8e7 b1b5 d5d6 d4c5 d6d1 e2d1 d8d1 g1f2 e7d5 b5a5 d5f4 a5a7 f7g8 g2g3 f4d5 c3c4 d5c3 a7a8 g8g7 a8a7 g7h6 c5f8 h6g5 c4c5 d1c1 c5c6 c3d5 a7a6 g5f5 f8d6 c1c2 f2e1 e6e5 e1d1 d5e3 d1e1 f5g4,-178.0
Aeroflot Open A 2016,Moscow RUS,2016.03.04,4.43,"Korchmar,V","Erigaisi,Arjun",2450.0,2379.0,1-0,1,D02,71,Nf3 d5 d4 Nf6 c4 e6 g3 c6 Bg2 dxc4 Ne5 Bb4+ Bd2 Bxd2+ Qxd2 O-O Na3 Qc7 Naxc4 Rd8 O-O Nbd7 Rfd1 Nxe5 Nxe5 Bd7 Rac1 Be8 b4 Qe7 a4 Nd5 Nd3 f6 e4 Nc7 Qc3 Rac8 Nc5 b6 Nd3 c5 bxc5 Bxa4 cxb6 axb6 Rd2 Qd7 Bh3 Nb5 Qb4 Rxc1+ Nxc1 Nxd4 Kg2 Bc6 Nb3 Bxe4+ Kf1 Qb7 Rxd4 Bd5 Bxe6+ Bxe6 Rxd8+ Kf7 Nd2 Qh1+ Ke2 Qxh2 Qh4,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 g2g3 c7c6 f1g2 d5c4 f3e5 f8b4 c1d2 b4d2 d1d2 e8g8 b1a3 d8c7 a3c4 f8d8 e1g1 b8d7 f1d1 d7e5 c4e5 c8d7 a1c1 d7e8 b2b4 c7e7 a2a4 f6d5 e5d3 f7f6 e2e4 d5c7 d2c3 a8c8 d3c5 b7b6 c5d3 c6c5 b4c5 e8a4 c5b6 a7b6 d1d2 e7d7 g2h3 c7b5 c3b4 c8c1 d3c1 b5d4 g1g2 a4c6 c1b3 c6e4 g2f1 d7b7 d2d4 e4d5 h3e6 d5e6 d4d8 g8f7 b3d2 b7h1 f1e2 h1h2 b4h4,71.0
Aeroflot Open A 2016,Moscow RUS,2016.03.05,5.43,"Erigaisi,Arjun","Anton Guijarro,D",2379.0,2641.0,0-1,-1,A80,120,d4 f5 Bg5 g6 Nc3 Bg7 e3 c6 Qd2 d5 f4 Be6 Nf3 Nd7 Bd3 Ngf6 Ne5 O-O O-O Rc8 Na4 b6 b4 Ne4 Bxe4 dxe4 Qe2 Qe8 Nb2 c5 bxc5 Nxe5 fxe5 h6 Bh4 bxc5 c3 g5 Be1 Rb8 Rf2 cxd4 cxd4 Qc6 g3 Bd5 h4 Qg6 hxg5 hxg5 Rg2 Rfc8 Na4 Bc4 Qd1 g4 Nc5 Bh6 Bf2 Qc6 Qc2 Bd5 Rf1 Kg7 Rh2 Rh8 Rb1 Bg5 Rxb8 Rxb8 Kg2 Qb5 Rh5 Kg6 Rh1 Qb2 Rc1 Qxa2 Qxa2 Bxa2 Na4 Bd5 Rc5 e6 Nc3 Bb3 Kf1 Bd8 Ke1 Kf7 Kd2 Bb6 Rb5 Bc4 Rb4 Bd3 Be1 Rh8 Kd1 Rh1 Na2 Ke7 Ra4 Kd7 Nb4 Bc4 Ra3 Rh2 Rc3 Be2+ Kc1 Bb5 Bd2 Rh1+ Kc2 Rg1 d5 Rxg3 d6 Rg1,d2d4 f7f5 c1g5 g7g6 b1c3 f8g7 e2e3 c7c6 d1d2 d7d5 f2f4 c8e6 g1f3 b8d7 f1d3 g8f6 f3e5 e8g8 e1g1 a8c8 c3a4 b7b6 b2b4 f6e4 d3e4 d5e4 d2e2 d8e8 a4b2 c6c5 b4c5 d7e5 f4e5 h7h6 g5h4 b6c5 c2c3 g6g5 h4e1 c8b8 f1f2 c5d4 c3d4 e8c6 g2g3 e6d5 h2h4 c6g6 h4g5 h6g5 f2g2 f8c8 b2a4 d5c4 e2d1 g5g4 a4c5 g7h6 e1f2 g6c6 d1c2 c4d5 a1f1 g8g7 g2h2 c8h8 f1b1 h6g5 b1b8 h8b8 g1g2 c6b5 h2h5 g7g6 h5h1 b5b2 h1c1 b2a2 c2a2 d5a2 c5a4 a2d5 c1c5 e7e6 a4c3 d5b3 g2f1 g5d8 f1e1 g6f7 e1d2 d8b6 c5b5 b3c4 b5b4 c4d3 f2e1 b8h8 d2d1 h8h1 c3a2 f7e7 b4a4 e7d7 a2b4 d3c4 a4a3 h1h2 a3c3 c4e2 d1c1 e2b5 e1d2 h2h1 c1c2 h1g1 d4d5 g1g3 d5d6 g3g1,-262.0
Aeroflot Open A 2016,Moscow RUS,2016.03.06,6.43,"Sivuk,V","Erigaisi,Arjun",2554.0,2379.0,1-0,1,E11,101,d4 e6 c4 Nf6 Nf3 Bb4+ Nbd2 b6 g3 Bb7 Bg2 O-O O-O Bxd2 Qxd2 d6 b3 Nbd7 Bb2 Ne4 Qc2 d5 cxd5 exd5 Rac1 Rc8 Rfd1 Qf6 e3 Rfe8 Qe2 c6 Rc2 Qd6 Nh4 g6 Nf3 f6 Ne1 a5 Nd3 Nb8 Qg4 Rc7 Qf4 Qd8 Qh6 Rg7 Re2 Bc8 f3 g5 g4 Rg6 Qh3 h5 Nf2 Nxf2 Rxf2 hxg4 fxg4 Na6 Qg3 Nc7 Rc1 Re6 Rfc2 Bd7 h3 Nb5 e4 dxe4 Re1 Rg7 Rxe4 Rxe4 Bxe4 Qe8 Bg2 Qe6 a4 Nd6 Bxc6 Ne4 Qb8+ Kh7 d5 Qe7 Qxb6 Bxc6 Rxc6 Nc5 Qxc5 Qe1+ Kg2 Qd2+ Kh1 Qxb2 Qc2+ Qxc2 Rxc2,d2d4 e7e6 c2c4 g8f6 g1f3 f8b4 b1d2 b7b6 g2g3 c8b7 f1g2 e8g8 e1g1 b4d2 d1d2 d7d6 b2b3 b8d7 c1b2 f6e4 d2c2 d6d5 c4d5 e6d5 a1c1 a8c8 f1d1 d8f6 e2e3 f8e8 c2e2 c7c6 c1c2 f6d6 f3h4 g7g6 h4f3 f7f6 f3e1 a7a5 e1d3 d7b8 e2g4 c8c7 g4f4 d6d8 f4h6 c7g7 c2e2 b7c8 f2f3 g6g5 g3g4 g7g6 h6h3 h7h5 d3f2 e4f2 e2f2 h5g4 f3g4 b8a6 h3g3 a6c7 d1c1 e8e6 f2c2 c8d7 h2h3 c7b5 e3e4 d5e4 c1e1 g6g7 e1e4 e6e4 g2e4 d8e8 e4g2 e8e6 a2a4 b5d6 g2c6 d6e4 g3b8 g8h7 d4d5 e6e7 b8b6 d7c6 c2c6 e4c5 b6c5 e7e1 g1g2 e1d2 g2h1 d2b2 c5c2 b2c2 c6c2,175.0
