event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Lone Pine,Lone Pine,1976.??.??,1,"Rohde, Michael A","Fedorowicz, John P",2360.0,2200.0,0-1,-1.0,B07,70,Nf3 g6 e4 Bg7 d4 d6 c3 Nf6 Bd3 O-O O-O Nc6 Nbd2 e5 dxe5 dxe5 Nc4 Nh5 Ne3 Nf4 Bb5 a6 Bxc6 bxc6 Qa4 Qf6 Nd2 a5 Ndc4 Ba6 Bd2 Qe6 b3 Rfd8 Qa3 Nd3 Nxa5 Nf4 Be1 Bxf1 Kxf1 Bf8 b4 c5 Qb3 Qxb3 Nxb3 cxb4 cxb4 Nd3 a3 Nxe1 Kxe1 Rxa3 Rxa3 Bxb4+ Ke2 Bxa3 Nc4 Bd6 Nba5 f6 f3 Kf7 Ne3 Ra8 Nac4 Ra2+ Kd3 Bc5,g1f3 g7g6 e2e4 f8g7 d2d4 d7d6 c2c3 g8f6 f1d3 e8g8 e1g1 b8c6 b1d2 e7e5 d4e5 d6e5 d2c4 f6h5 c4e3 h5f4 d3b5 a7a6 b5c6 b7c6 d1a4 d8f6 f3d2 a6a5 d2c4 c8a6 c1d2 f6e6 b2b3 f8d8 a4a3 f4d3 c4a5 d3f4 d2e1 a6f1 g1f1 g7f8 b3b4 c6c5 a3b3 e6b3 a5b3 c5b4 c3b4 f4d3 a2a3 d3e1 f1e1 a8a3 a1a3 f8b4 e1e2 b4a3 e3c4 a3d6 b3a5 f7f6 f2f3 g8f7 c4e3 d8a8 a5c4 a8a2 e2d3 d6c5,160.0
Lone Pine,Lone Pine,1976.??.??,2,"Bisguier, Arthur Bernard","Fedorowicz, John P",2440.0,2200.0,1-0,1.0,A42,79,d4 g6 c4 d6 Nc3 Nd7 Bg5 Bg7 e4 f6 Be3 e5 f4 c6 Nf3 Nh6 h3 O-O Qd2 Nf7 Be2 exf4 Bxf4 c5 Rd1 Re8 O-O a6 Rfe1 cxd4 Nxd4 Nc5 Bf1 Ng5 Nf3 Nxf3+ gxf3 Ne6 Qxd6 Qxd6 Bxd6 Ng5 Kf2 f5 e5 Be6 f4 Nf7 c5 g5 fxg5 Nxg5 Bg2 Ra7 h4 Nf7 Nd5 Rd8 Nc7 Bxa2 e6 Bf6 Kg3 Bxe6 Rxe6 Bxb2 Bd5 Kh8 Rde1 Nxd6 cxd6 Ba3 Re8+ Rxe8 Rxe8+ Kg7 Ne6+ Kf7 d7,d2d4 g7g6 c2c4 d7d6 b1c3 b8d7 c1g5 f8g7 e2e4 f7f6 g5e3 e7e5 f2f4 c7c6 g1f3 g8h6 h2h3 e8g8 d1d2 h6f7 f1e2 e5f4 e3f4 c6c5 a1d1 f8e8 e1g1 a7a6 f1e1 c5d4 f3d4 d7c5 e2f1 f7g5 d4f3 g5f3 g2f3 c5e6 d2d6 d8d6 f4d6 e6g5 g1f2 f6f5 e4e5 c8e6 f3f4 g5f7 c4c5 g6g5 f4g5 f7g5 f1g2 a8a7 h3h4 g5f7 c3d5 e8d8 d5c7 e6a2 e5e6 g7f6 f2g3 a2e6 e1e6 f6b2 g2d5 g8h8 d1e1 f7d6 c5d6 b2a3 e6e8 d8e8 e1e8 h8g7 c7e6 g7f7 d6d7,240.0
Lone Pine,Lone Pine,1976.??.??,3,"Fedorowicz, John P","Loftsson, Julius H",2200.0,2200.0,1/2-1/2,0.0,A07,109,g3 Nf6 Bg2 d5 Nf3 c6 O-O Bf5 d3 h6 Nbd2 e6 b3 Be7 Bb2 O-O Qe1 a5 a3 Bh7 e4 c5 Qe2 Nc6 Rfe1 Re8 h3 a4 g4 Nd7 Nh2 Bf6 exd5 exd5 Qxe8+ Qxe8 Rxe8+ Rxe8 Bxf6 Nxf6 Nhf3 axb3 Nxb3 b6 Nfd2 Rc8 f4 Kf8 g5 Nh5 Rf1 Nd4 Nxd4 cxd4 Nb3 Rxc2 Nxd4 Rc3 Nb5 Rxd3 Nd6 Ng3 Rb1 Ne2+ Kh2 Nxf4 Re1 Be4 gxh6 gxh6 Nxe4 dxe4 Rxe4 Nxg2 Kxg2 Rxa3 Rb4 Ra6 Kf3 Ke7 Kg4 Kd6 Rf4 Kc5 Rf5+ Kc4 Rf6 Kc5 Rxh6 Ra7 h4 b5 Rh8 Rb7 Rc8+ Kd4 h5 b4 Rd8+ Ke3 h6 Ke2 h7 f5+ Kg5 Rxh7 Rb8 Rf7 Rxb4,g2g3 g8f6 f1g2 d7d5 g1f3 c7c6 e1g1 c8f5 d2d3 h7h6 b1d2 e7e6 b2b3 f8e7 c1b2 e8g8 d1e1 a7a5 a2a3 f5h7 e2e4 c6c5 e1e2 b8c6 f1e1 f8e8 h2h3 a5a4 g3g4 f6d7 f3h2 e7f6 e4d5 e6d5 e2e8 d8e8 e1e8 a8e8 b2f6 d7f6 h2f3 a4b3 d2b3 b7b6 f3d2 e8c8 f2f4 g8f8 g4g5 f6h5 a1f1 c6d4 b3d4 c5d4 d2b3 c8c2 b3d4 c2c3 d4b5 c3d3 b5d6 h5g3 f1b1 g3e2 g1h2 e2f4 b1e1 h7e4 g5h6 g7h6 d6e4 d5e4 e1e4 f4g2 h2g2 d3a3 e4b4 a3a6 g2f3 f8e7 f3g4 e7d6 b4f4 d6c5 f4f5 c5c4 f5f6 c4c5 f6h6 a6a7 h3h4 b6b5 h6h8 a7b7 h8c8 c5d4 h4h5 b5b4 c8d8 d4e3 h5h6 e3e2 h6h7 f7f5 g4g5 b7h7 d8b8 h7f7 b8b4,0.0
Lone Pine,Lone Pine,1976.??.??,4,"Fedorowicz, John P","Saidy, Anthony Fred",2200.0,2435.0,1/2-1/2,0.0,A07,147,g3 e5 Bg2 Nf6 d3 d5 Nf3 Nc6 O-O Be7 c3 O-O Qc2 d4 Nbd2 Be6 a3 a5 cxd4 exd4 b3 h6 Bb2 Qd7 Rfe1 Rfd8 Rac1 Bd5 Qb1 Ra6 Nc4 Bc5 Rc2 Nh7 h4 Nf8 Rec1 b6 Ncd2 Ne6 Ba1 Qe7 Ne4 Bxe4 dxe4 Na7 a4 Nc6 Rd2 f6 Qd3 Ra7 Bh3 Ne5 Nxe5 fxe5 Qc4 Re8 Rd3 Kh8 Rf3 c6 Rd1 Nd8 Rdd3 Nf7 Bf5 Nd6 Qc2 Nxf5 Rxf5 g6 Rff3 h5 Bb2 Qe6 Bc1 Bf8 Bg5 Bg7 Rd1 c5 Kg2 Raa8 Qc4 Qc6 Qd5 Re6 Rf7 Rd6 Qxc6 Rxc6 Rc1 Rac8 Rc4 R8c7 Rxc7 Rxc7 Kf1 Kg8 Ke1 Kf7 Kd2 Ke6 Kd3 Rf7 f3 Bf6 Bd2 Kd7 Rc1 Kc6 Kc4 Re7 Rg1 Re6 Rh1 Re7 Rf1 Re8 Rg1 Re6 Bg5 Bxg5 hxg5 Re8 Rf1 Re7 Rh1 Rb7 Kd3 b5 axb5+ Kxb5 f4 Kc6 Kc2 exf4 gxf4 Re7 Kd3 Rb7 Kc2 Re7 Kd3 Rb7 Kc2,g2g3 e7e5 f1g2 g8f6 d2d3 d7d5 g1f3 b8c6 e1g1 f8e7 c2c3 e8g8 d1c2 d5d4 b1d2 c8e6 a2a3 a7a5 c3d4 e5d4 b2b3 h7h6 c1b2 d8d7 f1e1 f8d8 a1c1 e6d5 c2b1 a8a6 d2c4 e7c5 c1c2 f6h7 h2h4 h7f8 e1c1 b7b6 c4d2 f8e6 b2a1 d7e7 d2e4 d5e4 d3e4 c6a7 a3a4 a7c6 c2d2 f7f6 b1d3 a6a7 g2h3 c6e5 f3e5 f6e5 d3c4 d8e8 d2d3 g8h8 d3f3 c7c6 c1d1 e6d8 d1d3 d8f7 h3f5 f7d6 c4c2 d6f5 f3f5 g7g6 f5f3 h6h5 a1b2 e7e6 b2c1 c5f8 c1g5 f8g7 d3d1 c6c5 g1g2 a7a8 c2c4 e6c6 c4d5 e8e6 f3f7 e6d6 d5c6 d6c6 d1c1 a8c8 c1c4 c8c7 f7c7 c6c7 g2f1 h8g8 f1e1 g8f7 e1d2 f7e6 d2d3 c7f7 f2f3 g7f6 g5d2 e6d7 c4c1 d7c6 d3c4 f7e7 c1g1 e7e6 g1h1 e6e7 h1f1 e7e8 f1g1 e8e6 d2g5 f6g5 h4g5 e6e8 g1f1 e8e7 f1h1 e7b7 c4d3 b6b5 a4b5 c6b5 f3f4 b5c6 d3c2 e5f4 g3f4 b7e7 c2d3 e7b7 d3c2 b7e7 c2d3 e7b7 d3c2,-235.0
Lone Pine,Lone Pine,1976.??.??,5,"Silman, Jeremy D","Fedorowicz, John P",2310.0,2200.0,1-0,1.0,B78,89,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Bd7 Bb3 Rc8 O-O-O Ne5 Bg5 Nc4 Bxc4 Rxc4 Nb3 Rxc3 bxc3 Be6 e5 Ne8 Bh6 Bxe5 Bxf8 Kxf8 Rhe1 Bf6 Rxe6 fxe6 Qe3 Qc8 Rd3 Nc7 Nd4 a6 f4 Kg8 Qh3 Nd5 Qxe6+ Qxe6 Nxe6 Nxc3 Kd2 Nxa2 Rb3 b5 Nc7 b4 Nd5 a5 Nxf6+ exf6 Rd3 Nc3 Ke3 d5 Kd4 Kf7 Re3 a4 Re1 a3 Kc5 a2 Ra1 Ke6 Kxb4 Ne2 g3 Nd4 Rxa2 Nf3 c3 d4 Rf2 Ne1 Re2+,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 c4b3 a8c8 e1c1 c6e5 e3g5 e5c4 b3c4 c8c4 d4b3 c4c3 b2c3 d7e6 e4e5 f6e8 g5h6 g7e5 h6f8 g8f8 h1e1 e5f6 e1e6 f7e6 d2e3 d8c8 d1d3 e8c7 b3d4 a7a6 f3f4 f8g8 e3h3 c7d5 h3e6 c8e6 d4e6 d5c3 c1d2 c3a2 d3b3 b7b5 e6c7 b5b4 c7d5 a6a5 d5f6 e7f6 b3d3 a2c3 d2e3 d6d5 e3d4 g8f7 d3e3 a5a4 e3e1 a4a3 d4c5 a3a2 e1a1 f7e6 c5b4 c3e2 g2g3 e2d4 a1a2 d4f3 c2c3 d5d4 a2f2 f3e1 f2e2,110.0
Lone Pine,Lone Pine,1976.??.??,6,"Fedorowicz, John P","Evans, Larry D",2200.0,2200.0,0-1,-1.0,A25,70,c4 e5 Nc3 Nc6 g3 Nf6 Bg2 Bb4 e3 Bxc3 bxc3 d6 d3 O-O Ne2 Qe7 e4 a6 O-O b5 cxb5 axb5 f4 Nd7 f5 f6 a3 Qf7 g4 Nc5 g5 Qb3 Qd2 Qf7 Rb1 Nb3 g6 hxg6 fxg6 Qe6 Rxb3 Qxb3 Rf3 Bg4 Rg3 Qe6 Qe3 Ne7 Bf3 f5 exf5 Qxf5 Bg2 Nxg6 Qg5 Qf2+ Kh1 Qxe2 Bd5+ Kh7 Rxg4 Rf1+ Rg1 Rxg1+ Qxg1 Rf8 Bg2 Nh4 Be4+ Kh8,c2c4 e7e5 b1c3 b8c6 g2g3 g8f6 f1g2 f8b4 e2e3 b4c3 b2c3 d7d6 d2d3 e8g8 g1e2 d8e7 e3e4 a7a6 e1g1 b7b5 c4b5 a6b5 f2f4 f6d7 f4f5 f7f6 a2a3 e7f7 g3g4 d7c5 g4g5 f7b3 d1d2 b3f7 a1b1 c5b3 g5g6 h7g6 f5g6 f7e6 b1b3 e6b3 f1f3 c8g4 f3g3 b3e6 d2e3 c6e7 g2f3 f6f5 e4f5 e6f5 f3g2 e7g6 e3g5 f5f2 g1h1 f2e2 g2d5 g8h7 g3g4 f8f1 g4g1 f1g1 g5g1 a8f8 d5g2 g6h4 g2e4 h7h8,0.0
Lone Pine,Lone Pine,1976.??.??,7,"Fedorowicz, John P","Martinovsky, Eugene",2200.0,2200.0,0-1,-1.0,B31,102,e4 c5 Nf3 Nc6 Bb5 g6 O-O Bg7 Re1 e6 c3 Nf6 d4 cxd4 cxd4 d5 e5 Ne4 Bd3 f5 exf6 Nxf6 Ng5 O-O Bc2 Qb6 Nf3 Nh5 Be3 Qxb2 Nbd2 Nb4 Bb3 a5 Nf1 Bd7 Bd2 Nc6 Rb1 Qa3 Ba4 Rab8 Re3 Qd6 Bc1 Nb4 Ba3 b5 Bc2 Rf4 Ne5 Bxe5 dxe5 Qc5 Bb3 Rbf8 Rc1 Qb6 Qd2 Rxf2 Qxf2 Rxf2 Kxf2 Nd3+ Kg1 b4 Rd1 Bb5 Bc2 Nxe5 Bb2 Bxf1 Bd4 Qc6 Rxf1 Qxc2 Bxe5 Qc5 Re1 Ng7 Kh1 Nf5 Rf3 d4 h3 Qd5 Rf2 h5 Bh2 d3 Rd2 Qc4 Be5 a4 Rb2 g5 Bf6 Ng3+ Kh2 Ne4 Be5 d2,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 e7e6 c2c3 g8f6 d2d4 c5d4 c3d4 d7d5 e4e5 f6e4 b5d3 f7f5 e5f6 e4f6 f3g5 e8g8 d3c2 d8b6 g5f3 f6h5 c1e3 b6b2 b1d2 c6b4 c2b3 a7a5 d2f1 c8d7 e3d2 b4c6 a1b1 b2a3 b3a4 a8b8 e1e3 a3d6 d2c1 c6b4 c1a3 b7b5 a4c2 f8f4 f3e5 g7e5 d4e5 d6c5 c2b3 b8f8 b1c1 c5b6 d1d2 f4f2 d2f2 f8f2 g1f2 b4d3 f2g1 b5b4 c1d1 d7b5 b3c2 d3e5 a3b2 b5f1 b2d4 b6c6 d1f1 c6c2 d4e5 c2c5 f1e1 h5g7 g1h1 g7f5 e3f3 d5d4 h2h3 c5d5 f3f2 h7h5 e5h2 d4d3 f2d2 d5c4 h2e5 a5a4 d2b2 g6g5 e5f6 f5g3 h1h2 g3e4 f6e5 d3d2,0.0
Hastings7778,Hastings,1977.??.??,1,"Hort, Vlastimil","Fedorowicz, John P",2620.0,2440.0,1-0,1.0,A59,91,d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 g6 Nf3 d6 e4 Bxf1 Kxf1 Bg7 g3 O-O Kg2 Nbd7 Re1 Qa5 Re2 Rfb8 Rc2 Rb7 Qe2 Ne8 Bd2 Nc7 Re1 Qa6 Bc1 Qxe2 Rexe2 Na6 a3 Nc7 h3 Kf8 g4 Nb6 Ng5 h6 Nf3 Na4 Nxa4 Rxa4 Nd2 Nb5 Rc4 Ra8 Nf3 Nc7 Rec2 Kg8 b4 cxb4 axb4 Nb5 Rc8+ Rxc8 Rxc8+ Kh7 g5 h5 Bd2 Nc7 Kf1 Bb2 Ne1 Bd4 Ke2 Nb5 Nc2 Bb6 f4 Kg7 Kd3 Bg1 Bc1 Bh2 Kc4 Na7 Ra8 Bg1 Bb2+ f6 Bd4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 g7g6 g1f3 d7d6 e2e4 a6f1 e1f1 f8g7 g2g3 e8g8 f1g2 b8d7 h1e1 d8a5 e1e2 f8b8 e2c2 b8b7 d1e2 f6e8 c1d2 e8c7 a1e1 a5a6 d2c1 a6e2 e1e2 c7a6 a2a3 a6c7 h2h3 g8f8 g3g4 d7b6 f3g5 h7h6 g5f3 b6a4 c3a4 a8a4 f3d2 c7b5 c2c4 a4a8 d2f3 b5c7 e2c2 f8g8 b2b4 c5b4 a3b4 c7b5 c4c8 a8c8 c2c8 g8h7 g4g5 h6h5 c1d2 b5c7 g2f1 g7b2 f3e1 b2d4 f1e2 c7b5 e1c2 d4b6 f2f4 h7g7 e2d3 b6g1 d2c1 g1h2 d3c4 b5a7 c8a8 h2g1 c1b2 f7f6 b2d4,180.0
Hastings7778,Hastings,1977.??.??,2,"Fedorowicz, John P","Nunn, John DM",2440.0,2410.0,0-1,-1.0,B97,74,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Qb6 Qd2 Qxb2 Rb1 Qa3 f5 Nc6 fxe6 fxe6 Nxc6 bxc6 e5 dxe5 Bxf6 gxf6 Ne4 Be7 Be2 h5 Rb3 Qa4 c4 f5 Ng3 h4 Nh5 Ra7 Qc3 Qxa2 Qxe5 Qxb3 Qxh8+ Bf8 Nf6+ Ke7 Ng8+ Kd8 Qf6+ Be7 Nxe7 Qb4+ Kf2 Qc5+ Kf3 Rxe7 Qxh4 e5 g3 Kc7 Rd1 Rd7 Rxd7+ Bxd7 Qh8 Qd4 Qa8 f4 Kg2 Qe3 Bh5 e4,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 f4f5 b8c6 f5e6 f7e6 d4c6 b7c6 e4e5 d6e5 g5f6 g7f6 c3e4 f8e7 f1e2 h7h5 b1b3 a3a4 c2c4 f6f5 e4g3 h5h4 g3h5 a8a7 d2c3 a4a2 c3e5 a2b3 e5h8 e7f8 h5f6 e8e7 f6g8 e7d8 h8f6 f8e7 g8e7 b3b4 e1f2 b4c5 f2f3 a7e7 f6h4 e6e5 g2g3 d8c7 h1d1 e7d7 d1d7 c8d7 h4h8 c5d4 h8a8 f5f4 f3g2 d4e3 e2h5 e5e4,30.0
Hastings7778,Hastings,1977.??.??,3,"Mestel, A Jonathan","Fedorowicz, John P",2420.0,2440.0,1-0,1.0,B33,47,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Nd5 Nxd5 exd5 Ne7 c4 Nf5 Bd3 a6 Qa4 Ke7 Nc3 f6 O-O g6 Ne4 Kf7 f4 exf4 Bxf4 Be7 c5 dxc5 d6 Bf8 g4 b5 Bxb5 Rb8 Bc4+ Kg7 gxf5 Bxf5 Rae1 Rxb2 Qxa6,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c3d5 f6d5 e4d5 c6e7 c2c4 e7f5 f1d3 a7a6 d1a4 e8e7 b5c3 f7f6 e1g1 g7g6 c3e4 e7f7 f2f4 e5f4 c1f4 f8e7 c4c5 d6c5 d5d6 e7f8 g2g4 b7b5 d3b5 a8b8 b5c4 f7g7 g4f5 c8f5 a1e1 b8b2 a4a6,-20.0
Hastings7778,Hastings,1977.??.??,4,"Fedorowicz, John P","Shamkovich, Leonid",2440.0,2485.0,1-0,1.0,A37,121,c4 g6 g3 Bg7 Bg2 c5 Nc3 Nc6 Nf3 e6 h4 h6 b3 Nge7 Bb2 b6 Qb1 e5 Nd5 Rb8 h5 d6 hxg6 fxg6 Nh4 g5 Ng6 Bf5 Be4 Bxe4 Qxe4 Nxg6 Qxg6+ Kf8 f4 Ne7 Nxe7 Qxe7 fxe5 dxe5 O-O+ Kg8 Rf5 Qe8 Qxe8+ Rxe8 Raf1 Re7 e4 Kh7 Kf2 Kg6 Ke2 g4 a3 Rd8 d3 a5 Bc3 Ra8 Rh1 Rh8 Rhh5 a4 bxa4 Rhe8 Rh1 Ra8 Rb1 Re6 a5 bxa5 Rb5 Rc8 Rxa5 h5 Rb5 Ra6 a4 Re6 a5 Rcc6 Rb1 Rc8 Rff1 Bf6 Rb6 Rxb6 axb6 Rb8 Rb1 Rb7 Rb5 Bg7 Rxc5 Rxb6 Rb5 Ra6 c5 Bf6 Rb6 Ra2+ Bb2 Kf7 Kf1 Ke7 Bc3 Rc2 Bb4 Bg5 c6+ Kd8 d4 exd4 Ba5 Ke8 Rb8+ Kf7 c7 Rc1+ Ke2,c2c4 g7g6 g2g3 f8g7 f1g2 c7c5 b1c3 b8c6 g1f3 e7e6 h2h4 h7h6 b2b3 g8e7 c1b2 b7b6 d1b1 e6e5 c3d5 a8b8 h4h5 d7d6 h5g6 f7g6 f3h4 g6g5 h4g6 c8f5 g2e4 f5e4 b1e4 e7g6 e4g6 e8f8 f2f4 c6e7 d5e7 d8e7 f4e5 d6e5 e1g1 f8g8 f1f5 e7e8 g6e8 b8e8 a1f1 e8e7 e2e4 g8h7 g1f2 h7g6 f2e2 g5g4 a2a3 h8d8 d2d3 a7a5 b2c3 d8a8 f1h1 a8h8 h1h5 a5a4 b3a4 h8e8 h5h1 e8a8 h1b1 e7e6 a4a5 b6a5 b1b5 a8c8 b5a5 h6h5 a5b5 e6a6 a3a4 a6e6 a4a5 c8c6 b5b1 c6c8 f5f1 g7f6 b1b6 e6b6 a5b6 c8b8 f1b1 b8b7 b1b5 f6g7 b5c5 b7b6 c5b5 b6a6 c4c5 g7f6 b5b6 a6a2 c3b2 g6f7 e2f1 f7e7 b2c3 a2c2 c3b4 f6g5 c5c6 e7d8 d3d4 e5d4 b4a5 d8e8 b6b8 e8f7 c6c7 c2c1 f1e2,-45.0
Hastings7778,Hastings,1977.??.??,5,"Tisdall, Jonathan D","Fedorowicz, John P",2375.0,2440.0,1/2-1/2,0.0,B52,35,Nf3 c5 e4 d6 Bb5+ Bd7 a4 Nc6 O-O Nf6 Re1 e5 c3 Be7 d4 cxd4 cxd4 a6 Bxc6 Bxc6 Nc3 O-O Bg5 h6 Bh4 Nh5 Bxe7 Qxe7 dxe5 dxe5 Nd5 Bxd5 exd5 e4 d6,g1f3 c7c5 e2e4 d7d6 f1b5 c8d7 a2a4 b8c6 e1g1 g8f6 f1e1 e7e5 c2c3 f8e7 d2d4 c5d4 c3d4 a7a6 b5c6 d7c6 b1c3 e8g8 c1g5 h7h6 g5h4 f6h5 h4e7 d8e7 d4e5 d6e5 c3d5 c6d5 e4d5 e5e4 d5d6,-65.0
Hastings7778,Hastings,1977.??.??,6,"Fedorowicz, John P","Sveshnikov, Evgeny",2440.0,2520.0,1/2-1/2,0.0,D35,78,c4 e6 Nc3 d5 cxd5 exd5 d4 c6 Bf4 Nf6 e3 Bf5 Nf3 Qb6 Qb3 Qxb3 axb3 Nbd7 Be2 Be7 O-O h6 Rfc1 O-O Nd2 Rfe8 h3 Bb4 g4 Bh7 h4 Nf8 Bg3 Ne6 Bd1 Bd3 f4 c5 g5 cxd4 gxf6 dxc3 bxc3 Bc5 Bf2 Nc7 Nf3 Bxe3 Bxe3 Rxe3 Kf2 Re4 fxg7 Kxg7 Nd2 Re7 Bf3 Ne6 Re1 Rd7 Re5 Nxf4 Kg3 Ng6 Rxd5 Rxd5 Bxd5 f5 Bxb7 f4+ Kf2 Re8 Bf3 Nxh4 Rxa7+ Kf6 Ra4 Kg5,c2c4 e7e6 b1c3 d7d5 c4d5 e6d5 d2d4 c7c6 c1f4 g8f6 e2e3 c8f5 g1f3 d8b6 d1b3 b6b3 a2b3 b8d7 f1e2 f8e7 e1g1 h7h6 f1c1 e8g8 f3d2 f8e8 h2h3 e7b4 g2g4 f5h7 h3h4 d7f8 f4g3 f8e6 e2d1 h7d3 f2f4 c6c5 g4g5 c5d4 g5f6 d4c3 b2c3 b4c5 g3f2 e6c7 d2f3 c5e3 f2e3 e8e3 g1f2 e3e4 f6g7 g8g7 f3d2 e4e7 d1f3 c7e6 c1e1 e7d7 e1e5 e6f4 f2g3 f4g6 e5d5 d7d5 f3d5 f7f5 d5b7 f5f4 g3f2 a8e8 b7f3 g6h4 a1a7 g7f6 a7a4 f6g5,-80.0
