event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U10,St Lorenzo,1995.??.??,1,"Gashimov, Vugar","Valois, Vinicius M",,,1-0,1,B72,75,e4 c5 Nf3 d6 Nc3 Nf6 d4 cxd4 Nxd4 g6 Be3 Bg7 Bc4 Ng4 Bb5+ Kf8 O-O Nxe3 fxe3 Kg8 Qf3 Qf8 Nd5 Nd7 Rad1 Ne5 Qg3 h5 Nc7 h4 Qf2 Rb8 h3 a6 Ba4 Bh6 Bb3 a5 Qe2 Qd8 Nd5 Bd7 a4 Qe8 Kh1 Rh7 Qf2 Bg5 Nb5 Qf8 Qd2 Ra8 Ndc7 Bxb5 axb5 Rc8 Ne6 Qe8 Nxg5 Rg7 Qf2 Rc5 Qxh4 Rxb5 Ba4 Qc6 Rd5 Qc4 Bxb5 Qxc2 Qf2 Qc8 Rd2 Qc5 Rc2,e2e4 c7c5 g1f3 d7d6 b1c3 g8f6 d2d4 c5d4 f3d4 g7g6 c1e3 f8g7 f1c4 f6g4 c4b5 e8f8 e1g1 g4e3 f2e3 f8g8 d1f3 d8f8 c3d5 b8d7 a1d1 d7e5 f3g3 h7h5 d5c7 h5h4 g3f2 a8b8 h2h3 a7a6 b5a4 g7h6 a4b3 a6a5 f2e2 f8d8 c7d5 c8d7 a2a4 d8e8 g1h1 h8h7 e2f2 h6g5 d4b5 e8f8 f2d2 b8a8 d5c7 d7b5 a4b5 a8c8 c7e6 f8e8 e6g5 h7g7 d2f2 c8c5 f2h4 c5b5 b3a4 e8c6 d1d5 c6c4 a4b5 c4c2 h4f2 c2c8 d5d2 c8c5 d2c2,
Wch U10,St Lorenzo,1995.??.??,2,"Stojanovic, Ognjen","Gashimov, Vugar",,,1-0,1,D20,57,d4 d5 c4 dxc4 e3 Nf6 Nc3 e6 Bxc4 c5 Nge2 a6 a4 Nc6 Bd2 cxd4 exd4 Nxd4 Be3 Nc6 Qxd8+ Nxd8 O-O Nc6 Rad1 Be7 Nd4 Bd7 Nxc6 Bxc6 Rd2 O-O Bb6 Nd7 Be3 Rad8 Rfd1 Ne5 Rxd8 Rxd8 Rxd8+ Bxd8 Be2 Bd5 Bd4 Nd7 Bd1 Nb6 b3 f6 f4 Nd7 Be2 Bb6 Bxb6 Nxb6 Bd3,d2d4 d7d5 c2c4 d5c4 e2e3 g8f6 b1c3 e7e6 f1c4 c7c5 g1e2 a7a6 a2a4 b8c6 c1d2 c5d4 e3d4 c6d4 d2e3 d4c6 d1d8 c6d8 e1g1 d8c6 a1d1 f8e7 e2d4 c8d7 d4c6 d7c6 d1d2 e8g8 e3b6 f6d7 b6e3 a8d8 f1d1 d7e5 d2d8 f8d8 d1d8 e7d8 c4e2 c6d5 e3d4 e5d7 e2d1 d7b6 b2b3 f7f6 f2f4 b6d7 d1e2 d8b6 d4b6 d7b6 e2d3,
Wch U10,St Lorenzo,1995.??.??,3,"Gashimov, Vugar","Wajner, F.",,,1-0,1,B49,39,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nc3 a6 Be3 Qc7 Be2 Nf6 O-O Bb4 f3 O-O Nb3 Bd6 f4 e5 f5 b6 g4 h6 h4 h5 g5 Ng4 Bxg4 hxg4 Nd5 Qb8 Qxg4 Be7 Nf6+ gxf6 gxf6+,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 c1e3 d8c7 f1e2 g8f6 e1g1 f8b4 f2f3 e8g8 d4b3 b4d6 f3f4 e6e5 f4f5 b7b6 g2g4 h7h6 h2h4 h6h5 g4g5 f6g4 e2g4 h5g4 c3d5 c7b8 d1g4 d6e7 d5f6 g7f6 g5f6,
Wch U10,St Lorenzo,1995.??.??,4,"Fier, Alexandr Santos","Gashimov, Vugar",,,0-1,-1,B01,74,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Nc6 Bf4 Bg4 Be2 O-O-O Qd2 Bxf3 Bxf3 Nxd4 O-O-O Nb3+ cxb3 Rxd2 Rxd2 e6 Rhd1 Bb4 Rc2 c6 a3 Be7 Bd2 Qf5 a4 Rd8 Nb5 Kb8 Nc3 e5 Re1 Bc5 Ne4 Bd4 Bg5 h6 Bxf6 gxf6 Kb1 Qe6 Ka2 f5 Nc3 e4 g3 Qf6 Bg2 Bb6 Ree2 Rd3 h3 Ba5 Nb1 Qe6 Nc3 Qf6 Nb1 h5 Rc1 Qg5 Rcc2 Rd1 Bxe4 fxe4 Rxe4 Re1,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 b8c6 c1f4 c8g4 f1e2 e8c8 d1d2 g4f3 e2f3 c6d4 e1c1 d4b3 c2b3 d8d2 d1d2 e7e6 h1d1 f8b4 d2c2 c7c6 a2a3 b4e7 f4d2 a5f5 a3a4 h8d8 c3b5 c8b8 b5c3 e6e5 d1e1 e7c5 c3e4 c5d4 d2g5 h7h6 g5f6 g7f6 c1b1 f5e6 b1a2 f6f5 e4c3 e5e4 g2g3 e6f6 f3g2 d4b6 e1e2 d8d3 h2h3 b6a5 c3b1 f6e6 b1c3 e6f6 c3b1 h6h5 c2c1 f6g5 c1c2 d3d1 g2e4 f5e4 e2e4 d1e1,
Wch U10,St Lorenzo,1995.??.??,5,"Gashimov, Vugar","Aleskerov, Faik",,,1/2-1/2,0,B13,53,e4 c6 d4 d5 exd5 cxd5 Bd3 Nc6 c3 Nf6 h3 g6 Nf3 Bg7 O-O O-O Bf4 Ne4 Nbd2 Bf5 Bxe4 Bxe4 Nxe4 dxe4 Nd2 Qd5 Re1 f5 Nf1 e5 dxe5 Qxd1 Raxd1 Bxe5 Bh6 Bg7 Bxg7 Kxg7 Rd7+ Rf7 Red1 Ne5 Rxf7+ Kxf7 Rd5 Ke6 Rb5 b6 Ne3 Rd8 Kf1 f4 Nc2,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6 h2h3 g7g6 g1f3 f8g7 e1g1 e8g8 c1f4 f6e4 b1d2 c8f5 d3e4 f5e4 d2e4 d5e4 f3d2 d8d5 f1e1 f7f5 d2f1 e7e5 d4e5 d5d1 a1d1 g7e5 f4h6 e5g7 h6g7 g8g7 d1d7 f8f7 e1d1 c6e5 d7f7 g7f7 d1d5 f7e6 d5b5 b7b6 f1e3 a8d8 g1f1 f5f4 e3c2,
Wch U10,St Lorenzo,1995.??.??,6,"Vermeulen, Bram","Gashimov, Vugar",,,1/2-1/2,0,C35,55,e4 e5 f4 exf4 Nf3 Be7 Bc4 Nf6 Nc3 Nxe4 Nxe4 d5 Bxd5 Qxd5 Nc3 Qd8 d3 Bh4+ Kf1 O-O Bxf4 Bf6 Qd2 Re8 Re1 Rxe1+ Nxe1 b6 Nd1 Bb7 Nc3 Nd7 Nf3 Nf8 Ne4 Ne6 Nxf6+ Qxf6 Be5 Qg6 Bg3 Bxf3 gxf3 h6 Qe3 Qh5 Qe4 Rd8 Qc6 Qd5 Qxd5 Rxd5 Kf2 g5 Re1,e2e4 e7e5 f2f4 e5f4 g1f3 f8e7 f1c4 g8f6 b1c3 f6e4 c3e4 d7d5 c4d5 d8d5 e4c3 d5d8 d2d3 e7h4 e1f1 e8g8 c1f4 h4f6 d1d2 f8e8 a1e1 e8e1 f3e1 b7b6 c3d1 c8b7 d1c3 b8d7 e1f3 d7f8 c3e4 f8e6 e4f6 d8f6 f4e5 f6g6 e5g3 b7f3 g2f3 h7h6 d2e3 g6h5 e3e4 a8d8 e4c6 h5d5 c6d5 d8d5 f1f2 g7g5 h1e1,
Wch U10,St Lorenzo,1995.??.??,7,"Gashimov, Vugar","Munoz, J.",,,0-1,-1,B35,80,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Nc3 Bg7 Be3 d6 Bc4 Nf6 h3 O-O Bb3 Bd7 O-O Qa5 f4 Qh5 Qd2 Na5 Nf3 h6 e5 Ne8 Nd5 Nc6 exd6 exd6 c3 Rd8 Qf2 b6 Rad1 Be6 Rd2 Nf6 Nxf6+ Bxf6 Rfd1 d5 Kh2 Na5 Bxd5 Nc4 Bxc4 Bxc4 Rxd8 Rxd8 Rxd8+ Bxd8 Ne5 Bxa2 Qd2 Bc7 Ng4 Qh4 Qd4 Be6 g3 Qd8 Nxh6+ Kh7 Qxd8 Bxd8 Ng4 Bd5 Bd4 Bb3 Kg2 Kg8 Kf3 Kf8 Ke4 f5+ Ke3 fxg4,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 d7d6 f1c4 g8f6 h2h3 e8g8 c4b3 c8d7 e1g1 d8a5 f2f4 a5h5 d1d2 c6a5 d4f3 h7h6 e4e5 f6e8 c3d5 a5c6 e5d6 e7d6 c2c3 a8d8 d2f2 b7b6 a1d1 d7e6 d1d2 e8f6 d5f6 g7f6 f1d1 d6d5 g1h2 c6a5 b3d5 a5c4 d5c4 e6c4 d2d8 f8d8 d1d8 f6d8 f3e5 c4a2 f2d2 d8c7 e5g4 h5h4 d2d4 a2e6 g2g3 h4d8 g4h6 g8h7 d4d8 c7d8 h6g4 e6d5 e3d4 d5b3 h2g2 h7g8 g2f3 g8f8 f3e4 f7f5 e4e3 f5g4,
Wch U10,St Lorenzo,1995.??.??,8,"Gashimov, Vugar","Baimoldinov, Aidar",,,1-0,1,B07,81,e4 g6 d4 d6 Nc3 Bg7 Bg5 Nf6 e5 Nfd7 exd6 cxd6 Nf3 Nf6 Bd3 Nbd7 O-O O-O Qd2 Re8 Rfe1 b6 Rad1 Bb7 Ne4 Rc8 c3 Qc7 h3 Nxe4 Bxe4 Nf6 Bxb7 Qxb7 Qf4 Qd5 a3 Qb5 Rd2 Qd7 Qh4 Qf5 Rde2 Rc7 Nd2 Rd7 Nf1 h5 Ng3 Qd5 f4 b5 f5 a5 fxg6 fxg6 Qf4 Qf7 Rf1 Rf8 Qe3 Qc4 Bh6 Rf7 Bxg7 Kxg7 Qg5 Kh7 h4 b4 Qxa5 bxa3 bxa3 Qd3 Qg5 Qxc3 Qf4 Qc4 Ref2 Rf8 Qg5,e2e4 g7g6 d2d4 d7d6 b1c3 f8g7 c1g5 g8f6 e4e5 f6d7 e5d6 c7d6 g1f3 d7f6 f1d3 b8d7 e1g1 e8g8 d1d2 f8e8 f1e1 b7b6 a1d1 c8b7 c3e4 a8c8 c2c3 d8c7 h2h3 f6e4 d3e4 d7f6 e4b7 c7b7 d2f4 b7d5 a2a3 d5b5 d1d2 b5d7 f4h4 d7f5 d2e2 c8c7 f3d2 c7d7 d2f1 h7h5 f1g3 f5d5 f2f4 b6b5 f4f5 a7a5 f5g6 f7g6 h4f4 d5f7 e1f1 e8f8 f4e3 f7c4 g5h6 f8f7 h6g7 g8g7 e3g5 g7h7 h3h4 b5b4 g5a5 b4a3 b2a3 c4d3 a5g5 d3c3 g5f4 c3c4 e2f2 f7f8 f4g5,
Wch U10,St Lorenzo,1995.??.??,9,"Fernandez, Daniel","Gashimov, Vugar",,,1/2-1/2,0,B01,60,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bg4 Be2 Nc6 O-O O-O-O Be3 e5 Ng5 Be6 Nxe6 fxe6 Nb5 Nxd4 Nxd4 exd4 Bxd4 Bc5 c3 Bxd4 cxd4 e5 Qb3 Rxd4 Qe6+ Kb8 Rad1 Qd5 Qe7 Re8 Qa3 Rd8 h3 a6 Bf3 Qe6 Rxd4 exd4 Qb4 c6 Rd1 Qd6 Qb6 Rd7 Rc1 Rc7 Rd1 Rd7 Rc1 Rc7 Rd1 Rd7,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 f1e2 b8c6 e1g1 e8c8 c1e3 e7e5 f3g5 g4e6 g5e6 f7e6 c3b5 c6d4 b5d4 e5d4 e3d4 f8c5 c2c3 c5d4 c3d4 e6e5 d1b3 d8d4 b3e6 c8b8 a1d1 a5d5 e6e7 h8e8 e7a3 e8d8 h2h3 a7a6 e2f3 d5e6 d1d4 e5d4 a3b4 c7c6 f1d1 e6d6 b4b6 d8d7 d1c1 d7c7 c1d1 c7d7 d1c1 d7c7 c1d1 c7d7,
Wch U10,St Lorenzo,1995.??.??,10,"Tan, Justin","Gashimov, Vugar",,,1-0,1,C78,62,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Bb7 Re1 Bc5 c3 d6 d4 Bb6 Bg5 h6 Bh4 Qe7 a4 g5 Bg3 h5 axb5 axb5 Rxa8+ Bxa8 dxe5 dxe5 Bd5 Nd7 h4 g4 Ng5 f6 Ne6 Bb7 b4 Nf8 Nxf8 Kxf8 Na3 Kg7 Qb3 Rd8 Nxb5 Qd7 Na3 Ba8 Nc4 Ne7 Nxb6 Bxd5 Nxd5 Nxd5 exd5 Qxd5 Qxd5 Rxd5,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7 f1e1 f8c5 c2c3 d7d6 d2d4 c5b6 c1g5 h7h6 g5h4 d8e7 a2a4 g7g5 h4g3 h6h5 a4b5 a6b5 a1a8 b7a8 d4e5 d6e5 b3d5 f6d7 h2h4 g5g4 f3g5 f7f6 g5e6 a8b7 b2b4 d7f8 e6f8 e8f8 b1a3 f8g7 d1b3 h8d8 a3b5 e7d7 b5a3 b7a8 a3c4 c6e7 c4b6 a8d5 b6d5 e7d5 e4d5 d7d5 b3d5 d8d5,
Wch U10,St Lorenzo,1995.??.??,11,"Gashimov, Vugar","Fortin, Marc",,,1-0,1,C26,80,e4 e5 Nc3 Nf6 g3 Bc5 Bg2 d6 Nge2 Ng4 O-O Qf6 d4 Bb6 h3 Nh6 Nd5 Qg6 dxe5 dxe5 Nec3 c6 Nxb6 axb6 Be3 Ra6 Re1 Nd7 Qe2 O-O Rad1 f6 Rd2 Rd8 Red1 Qf7 Bf1 b5 Rd6 Qe8 Bxh6 gxh6 Qg4+ Kh8 a4 Qf7 Qf5 Kg7 Qg4+ Kh8 axb5 cxb5 Bxb5 Rxd6 Rxd6 Nf8 Qd1 Rxd6 Qxd6 Bxh3 Nd5 Kg7 Be8 Qe6 Qc7+ Nd7 Bh5 Qc6 Qxc6 bxc6 Ne7 Nb8 g4 Kf8 Nf5 Nd7 Ng3 Nc5 Kh2 Bf1,e2e4 e7e5 b1c3 g8f6 g2g3 f8c5 f1g2 d7d6 g1e2 f6g4 e1g1 d8f6 d2d4 c5b6 h2h3 g4h6 c3d5 f6g6 d4e5 d6e5 e2c3 c7c6 d5b6 a7b6 c1e3 a8a6 f1e1 b8d7 d1e2 e8g8 a1d1 f7f6 d1d2 f8d8 e1d1 g6f7 g2f1 b6b5 d2d6 f7e8 e3h6 g7h6 e2g4 g8h8 a2a4 e8f7 g4f5 h8g7 f5g4 g7h8 a4b5 c6b5 f1b5 a6d6 d1d6 d7f8 g4d1 d8d6 d1d6 c8h3 c3d5 h8g7 b5e8 f7e6 d6c7 f8d7 e8h5 e6c6 c7c6 b7c6 d5e7 d7b8 g3g4 g7f8 e7f5 b8d7 f5g3 d7c5 g1h2 h3f1,
