event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Minsk tt,Minsk,1986.??.??,?,"Gelfand, Boris","Raisky, E.",,,1-0,1,D46,81,d4 d5 c4 c6 Nf3 Nf6 Nc3 e6 e3 Nbd7 Bd3 Bd6 O-O O-O e4 dxe4 Nxe4 Nxe4 Bxe4 h6 Bc2 e5 b3 Re8 Re1 exd4 Rxe8+ Qxe8 Qxd4 Bc5 Qc3 Qe7 Bb2 Qf6 Re1 Qxc3 Re8+ Bf8 Bxc3 Nb6 Bd4 Bd7 Rxa8 Nxa8 Bxa7 Bd6 Bd4 Nc7 Be5 Ne8 Bxd6 Nxd6 c5 Nb5 Bd3 Nc3 a3 Kf8 Kf1 Ke7 Ke1 Nd5 Kd2 Nf4 Bf1 Ne6 b4 Nd8 Bc4 Bf5 Nd4 Bc8 a4 Bd7 b5 cxb5 axb5 Kf6 f4 g5 Ke3,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 f8d6 e1g1 e8g8 e3e4 d5e4 c3e4 f6e4 d3e4 h7h6 e4c2 e6e5 b2b3 f8e8 f1e1 e5d4 e1e8 d8e8 d1d4 d6c5 d4c3 e8e7 c1b2 e7f6 a1e1 f6c3 e1e8 c5f8 b2c3 d7b6 c3d4 c8d7 e8a8 b6a8 d4a7 f8d6 a7d4 a8c7 d4e5 c7e8 e5d6 e8d6 c4c5 d6b5 c2d3 b5c3 a2a3 g8f8 g1f1 f8e7 f1e1 c3d5 e1d2 d5f4 d3f1 f4e6 b3b4 e6d8 f1c4 d7f5 f3d4 f5c8 a3a4 c8d7 b4b5 c6b5 a4b5 e7f6 f2f4 g7g5 d2e3,
Minsk tt,Minsk,1986.??.??,?,"Zagrebelny, Sergey","Gelfand, Boris",,,1/2-1/2,0,B92,62,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e5 Nb3 Be7 O-O O-O Be3 Be6 Qd2 Nbd7 a4 Rc8 a5 Qc7 Rfd1 Qc6 Bf3 Rfe8 Qe1 Ra8 Rac1 b5 axb6 Nxb6 Nd5 Nc4 Na5 Nxa5 Nxe7+ Rxe7 Qxa5 Rb7 Qa3 Nxe4 Bxe4 Qxe4 Rxd6 h5 f3 Qg6 Qc3 Qf5 b3 Rc8 Qd2 Rd7 Rxd7 Bxd7 Rd1 Bc6 Qe2 Bb7,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 c1e3 c8e6 d1d2 b8d7 a2a4 a8c8 a4a5 d8c7 f1d1 c7c6 e2f3 f8e8 d2e1 c8a8 a1c1 b7b5 a5b6 d7b6 c3d5 b6c4 b3a5 c4a5 d5e7 e8e7 e1a5 e7b7 a5a3 f6e4 f3e4 c6e4 d1d6 h7h5 f2f3 e4g6 a3c3 g6f5 b2b3 a8c8 c3d2 b7d7 d6d7 e6d7 c1d1 d7c6 d2e2 c6b7,
Minsk tt,Minsk,1986.??.??,?,"Yakovich, Yuri","Gelfand, Boris",2480.0,,1/2-1/2,0,D37,57,d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bf4 O-O e3 b6 cxd5 Nxd5 Nxd5 Qxd5 Bd3 Qa5+ Nd2 Ba6 Bxa6 Qxa6 Qe2 c5 Bxb8 Qxe2+ Kxe2 Raxb8 dxc5 Bxc5 Rac1 Rfc8 Rc2 Bd6 Rhc1 Rxc2 Rxc2 Kf8 Rc6 Ke7 Nc4 Rd8 f4 Bb8 b4 g5 g3 gxf4 gxf4 Rg8 Kf2 Kd7 b5 Rg6 Nd2 e5 Rc4,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 b7b6 c4d5 f6d5 c3d5 d8d5 f1d3 d5a5 f3d2 c8a6 d3a6 a5a6 d1e2 c7c5 f4b8 a6e2 e1e2 a8b8 d4c5 e7c5 a1c1 f8c8 c1c2 c5d6 h1c1 c8c2 c1c2 g8f8 c2c6 f8e7 d2c4 b8d8 f2f4 d6b8 b2b4 g7g5 g2g3 g5f4 g3f4 d8g8 e2f2 e7d7 b4b5 g8g6 c4d2 e6e5 c6c4,
Minsk tt,Minsk,1986.??.??,?,"Mowsziszian, Karen","Gelfand, Boris",,,1-0,1,B87,115,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Bb3 b5 O-O Be7 Qf3 Qb6 Be3 Qb7 a3 O-O Rfe1 Nbd7 Bg5 Nc5 Ba2 Qc7 Rad1 Bb7 b4 Ncd7 Qh3 Ne5 f4 Nc4 Kh1 Nb2 Rb1 Na4 Nxa4 bxa4 Qd3 Rac8 c4 h6 Bxf6 Bxf6 Rbc1 Rfd8 Bb1 Qb6 Nf3 Kf8 Bc2 Qc6 Bd1 Rc7 Qc2 Rdc8 e5 Qxc4 Qxc4 Rxc4 Rxc4 Rxc4 exf6 Rc3 fxg7+ Kxg7 Bxa4 Rxa3 Bc2 Bxf3 gxf3 Rxf3 Rb1 Rc3 Bd1 Kf6 Kg2 Kf5 Rb3 Rc6 Kf3 d5 Be2 Rb6 Bd3+ Kf6 Ke3 e5 Bf1 Ke6 fxe5 Kxe5 Rb1 f5 Kd3 f4 Re1+ Kf5 Kc3 f3 Ra1 Ke4 Rxa6 d4+ Kb3 Rb8 Re6+ Kf5 Rxh6 Rc8 Bh3+,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8b6 c1e3 b6b7 a2a3 e8g8 f1e1 b8d7 e3g5 d7c5 b3a2 b7c7 a1d1 c8b7 b2b4 c5d7 f3h3 d7e5 f2f4 e5c4 g1h1 c4b2 d1b1 b2a4 c3a4 b5a4 h3d3 a8c8 c2c4 h7h6 g5f6 e7f6 b1c1 f8d8 a2b1 c7b6 d4f3 g8f8 b1c2 b6c6 c2d1 c8c7 d3c2 d8c8 e4e5 c6c4 c2c4 c7c4 c1c4 c8c4 e5f6 c4c3 f6g7 f8g7 d1a4 c3a3 a4c2 b7f3 g2f3 a3f3 e1b1 f3c3 c2d1 g7f6 h1g2 f6f5 b1b3 c3c6 g2f3 d6d5 d1e2 c6b6 e2d3 f5f6 f3e3 e6e5 d3f1 f6e6 f4e5 e6e5 b3b1 f7f5 e3d3 f5f4 b1e1 e5f5 d3c3 f4f3 e1a1 f5e4 a1a6 d5d4 c3b3 b6b8 a6e6 e4f5 e6h6 b8c8 f1h3,
Minsk tt,Minsk,1986.??.??,?,"Gelfand, Boris","Orlov, Pavle",,2395.0,1-0,1,C07,169,e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4 Bc4 Qd6 O-O Nf6 Nb3 Nc6 Nbxd4 Nxd4 Qxd4 Qxd4 Nxd4 a6 Bf4 Bc5 Nb3 Be7 Be2 Nd5 Bg3 Bd7 Rfd1 Nb4 c3 Nc6 Bf3 f6 Bc7 Rc8 Bb6 Rb8 Nc5 Bxc5 Bxc5 Ne5 Bh5+ g6 Bd6 Rc8 Bxe5 gxh5 Bxf6 Rg8 f3 Rg6 Bh4 Rc4 Bf2 Rf4 Bg3 Rf5 Kf2 Bc6 Rd2 Rg7 Re1 Kf7 c4 h4 Bxh4 Rf4 Bg3 Rxc4 Be5 Rg8 Bc3 Rc5 g4 Rd5 Rxd5 Bxd5 a3 Rd8 Re5 Bc6 Rg5 Kf8 Ke3 Rd1 Rh5 Rd7 Rh6 Bd5 f4 Kg8 Rh5 Bc6 Bd4 Bd5 Rg5+ Kf8 Bc3 Bc6 Rh5 Kg8 Ke2 Bb5+ Kf2 Bc6 Ke3 Bd5 Rg5+ Kf8 h4 Bc6 Bb4+ Kf7 Bc3 Kf8 Rh5 Bd5 Re5 Kf7 Rg5 Kf8 h5 Bb3 Bb4+ Kf7 h6 Kf6 Bc3+ Kf7 Kf2 Bc2 Kg3 Ke8 Rg8+ Kf7 Rc8 Be4 Kh4 Rd1 Bb4 Bc6 Rf8+ Kg6 Rg8+ Kf6 Rf8+ Kg6 Rg8+ Kf6 Bc3+ e5 Bxe5+ Ke6 Bc3 Bf3 f5+ Kd5 f6 Ke6 Re8+ Kf7 Re7+ Kf8 Rxh7 Bd5 Bb4+,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 d1d4 d6d4 f3d4 a7a6 c1f4 f8c5 d4b3 c5e7 c4e2 f6d5 f4g3 c8d7 f1d1 d5b4 c2c3 b4c6 e2f3 f7f6 g3c7 a8c8 c7b6 c8b8 b3c5 e7c5 b6c5 c6e5 f3h5 g7g6 c5d6 b8c8 d6e5 g6h5 e5f6 h8g8 f2f3 g8g6 f6h4 c8c4 h4f2 c4f4 f2g3 f4f5 g1f2 d7c6 d1d2 g6g7 a1e1 e8f7 c3c4 h5h4 g3h4 f5f4 h4g3 f4c4 g3e5 g7g8 e5c3 c4c5 g2g4 c5d5 d2d5 c6d5 a2a3 g8d8 e1e5 d5c6 e5g5 f7f8 f2e3 d8d1 g5h5 d1d7 h5h6 c6d5 f3f4 f8g8 h6h5 d5c6 c3d4 c6d5 h5g5 g8f8 d4c3 d5c6 g5h5 f8g8 e3e2 c6b5 e2f2 b5c6 f2e3 c6d5 h5g5 g8f8 h2h4 d5c6 c3b4 f8f7 b4c3 f7f8 g5h5 c6d5 h5e5 f8f7 e5g5 f7f8 h4h5 d5b3 c3b4 f8f7 h5h6 f7f6 b4c3 f6f7 e3f2 b3c2 f2g3 f7e8 g5g8 e8f7 g8c8 c2e4 g3h4 d7d1 c3b4 e4c6 c8f8 f7g6 f8g8 g6f6 g8f8 f6g6 f8g8 g6f6 b4c3 e6e5 c3e5 f6e6 e5c3 c6f3 f4f5 e6d5 f5f6 d5e6 g8e8 e6f7 e8e7 f7f8 e7h7 f3d5 c3b4,
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Psakhis, Lev",,2555.0,1/2-1/2,0,C08,121,d4 e6 e4 d5 Nd2 c5 exd5 exd5 Bb5+ Bd7 Qe2+ Be7 dxc5 Nf6 Nb3 O-O Be3 Re8 Nf3 a6 Bd3 Ba4 Nbd4 Bxc5 O-O Bd7 h3 Nc6 Qd1 Qb6 Rb1 Ne4 c3 Qc7 Re1 Ne7 Bc2 h6 Bb3 Rad8 Nc2 Bd6 Bd4 Be6 Ne3 Bf4 Qc2 f5 Rbd1 Kh7 Nf1 Bf7 N3h2 Bg6 f3 Nc5 Qf2 Bd6 Bc2 Nd7 Re6 Nc6 Rxg6 Kxg6 Bxf5+ Kf7 Ng4 Nf8 Qh4 Nxd4 cxd4 Qe7 Qh5+ Kg8 Bc2 Qf7 Qxf7+ Kxf7 Bb3 Bf4 Kf2 Ng6 g3 h5 Nge3 Bxe3+ Nxe3 Ne7 Rc1 Rd7 Ba4 b5 Bb3 Red8 h4 Rd6 Rc5 Ke6 Ng2 Kf6 Nf4 g6 a3 Kg7 Bc2 Rc8 b4 Rxc5 dxc5 Rd7 g4 hxg4 fxg4 Ra7 Ne6+ Kf6 Nd4 Ra8 g5+ Ke5 Ke3,d2d4 e7e6 e2e4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 c8d7 d1e2 f8e7 d4c5 g8f6 d2b3 e8g8 c1e3 f8e8 g1f3 a7a6 b5d3 d7a4 b3d4 e7c5 e1g1 a4d7 h2h3 b8c6 e2d1 d8b6 a1b1 f6e4 c2c3 b6c7 f1e1 c6e7 d3c2 h7h6 c2b3 a8d8 d4c2 c5d6 e3d4 d7e6 c2e3 d6f4 d1c2 f7f5 b1d1 g8h7 e3f1 e6f7 f3h2 f7g6 f2f3 e4c5 c2f2 f4d6 b3c2 c5d7 e1e6 e7c6 e6g6 h7g6 c2f5 g6f7 h2g4 d7f8 f2h4 c6d4 c3d4 c7e7 h4h5 f7g8 f5c2 e7f7 h5f7 g8f7 c2b3 d6f4 g1f2 f8g6 g2g3 h6h5 g4e3 f4e3 f1e3 g6e7 d1c1 d8d7 b3a4 b7b5 a4b3 e8d8 h3h4 d7d6 c1c5 f7e6 e3g2 e6f6 g2f4 g7g6 a2a3 f6g7 b3c2 d8c8 b2b4 c8c5 d4c5 d6d7 g3g4 h5g4 f3g4 d7a7 f4e6 g7f6 e6d4 a7a8 g4g5 f6e5 f2e3,
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Mikhalchishin, Adrian",,2525.0,1-0,1,E12,75,d4 Nf6 c4 e6 Nf3 b6 Nc3 Bb7 a3 d5 cxd5 Nxd5 Qc2 Nxc3 bxc3 c5 e4 Nd7 Bf4 cxd4 cxd4 Rc8 Qb3 Qf6 Qe3 Qg6 Bd3 Be7 O-O O-O e5 Qh5 Be4 Bxe4 Qxe4 Rc7 Rfc1 Rfc8 Rxc7 Rxc7 Qa8+ Nf8 d5 exd5 e6 Rc3 Qxa7 Rxf3 exf7+ Kxf7 gxf3 Qxf3 Bg3 h5 h4 Qe4 Qxb6 Bxh4 Qb4 Qxb4 axb4 Bf6 Ra7+ Ke6 b5 Nd7 Ra6+ Ke7 b6 h4 Bh2 d4 b7 d3 Kf1,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1c2 d5c3 b2c3 c7c5 e2e4 b8d7 c1f4 c5d4 c3d4 a8c8 c2b3 d8f6 b3e3 f6g6 f1d3 f8e7 e1g1 e8g8 e4e5 g6h5 d3e4 b7e4 e3e4 c8c7 f1c1 f8c8 c1c7 c8c7 e4a8 d7f8 d4d5 e6d5 e5e6 c7c3 a8a7 c3f3 e6f7 g8f7 g2f3 h5f3 f4g3 h7h5 h2h4 f3e4 a7b6 e7h4 b6b4 e4b4 a3b4 h4f6 a1a7 f7e6 b4b5 f8d7 a7a6 e6e7 b5b6 h5h4 g3h2 d5d4 b6b7 d4d3 g1f1,
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Kupreichik, Viktor D",,2490.0,1-0,1,A00,1,d4,d2d4,
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Kosten, Anthony C",,2405.0,0-1,-1,C06,74,e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 c3 c5 Bd3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 Nf3 Qc7 O-O Bd6 h3 O-O Be3 Bd7 Rc1 Rae8 Nc3 a6 Na4 Qa5 Bd2 Qd8 Nc5 Bc8 Be3 e5 dxe5 Nxe5 Nxe5 Bxe5 Qb3 Rf7 Bd2 Bc7 Qa4 Ref8 Nb3 Nh5 Qb4 Nf4 Bxf4 Rxf4 Qc3 Bb6 Nc5 Qg5 b4 Bxc5 bxc5 Rf3 h4 Qxh4 Qd2 Bh3 gxf3 Rf4 Bxh7+ Kxh7 Qxd5 Rf5 Qd6 Rg5+,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f1d3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 d2f3 d8c7 e1g1 f8d6 h2h3 e8g8 c1e3 c8d7 a1c1 a8e8 e2c3 a7a6 c3a4 c7a5 e3d2 a5d8 a4c5 d7c8 d2e3 e6e5 d4e5 c6e5 f3e5 d6e5 d1b3 f8f7 e3d2 e5c7 b3a4 e8f8 c5b3 f6h5 a4b4 h5f4 d2f4 f7f4 b4c3 c7b6 b3c5 d8g5 b2b4 b6c5 b4c5 f4f3 h3h4 g5h4 c3d2 c8h3 g2f3 f8f4 d3h7 g8h7 d2d5 f4f5 d5d6 f5g5,
Minsk Int,Minsk,1986.??.??,?,"Gelfand, Boris","Dorfman, Josif D",,2520.0,0-1,-1,D85,76,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 cxd5 Nxd5 e4 Nxc3 bxc3 c5 Rb1 O-O Be2 cxd4 cxd4 Qa5+ Bd2 Qxa2 O-O b6 Qc1 Qe6 Bc4 Qxe4 Re1 Qb7 Bb4 Be6 Rxe6 fxe6 Ng5 Kh8 Nxe6 Nd7 Bxe7 Rfc8 Nxg7 Qc6 Rb4 b5 Ne8 Qe4 Nd6 Qxe7 Nxc8 Qxb4 Bd5 Rb8 h4 Qxd4 Qc6 Qc5 Qxd7 Rxc8 g3 Rf8 Bf7 Qc3 h5 Qf6 hxg6 hxg6 Bd5 Qxf2+ Kh1 Qf1+ Kh2 Qf2+ Kh3 Qf5+ Qxf5 Rxf5,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 a1b1 e8g8 f1e2 c5d4 c3d4 d8a5 c1d2 a5a2 e1g1 b7b6 d1c1 a2e6 e2c4 e6e4 f1e1 e4b7 d2b4 c8e6 e1e6 f7e6 f3g5 g8h8 g5e6 b8d7 b4e7 f8c8 e6g7 b7c6 b1b4 b6b5 g7e8 c6e4 e8d6 e4e7 d6c8 e7b4 c4d5 a8b8 h2h4 b4d4 c1c6 d4c5 c6d7 b8c8 g2g3 c8f8 d5f7 c5c3 h4h5 c3f6 h5g6 h7g6 f7d5 f6f2 g1h1 f2f1 h1h2 f1f2 h2h3 f2f5 d7f5 f8f5,
