event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U10,Menorca,1996.??.??,2,"Gashimov, Vugar","Harikrishna, Penteala",2250.0,,1-0,1,B07,32,e4 d6 d4 Nf6 Nc3 g6 Bg5 Bg7 e5 Ng8 Nf3 Bg4 h3 Bxf3 Qxf3 Qc8 Bc4 e6 O-O-O Nd7 exd6 cxd6 Nb5 Bf8 Rhe1 a6 Nc3 b5 Bd5 Ra7 Bc6 Nf6,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 f8g7 e4e5 f6g8 g1f3 c8g4 h2h3 g4f3 d1f3 d8c8 f1c4 e7e6 e1c1 b8d7 e5d6 c7d6 c3b5 g7f8 h1e1 a7a6 b5c3 b7b5 c4d5 a8a7 d5c6 g8f6,
Wch U10,Menorca,1996.??.??,4,"Torma, Robert","Harikrishna, Penteala",,,0-1,-1,B09,26,e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O e5 Nfd7 Bc4 Nb6 Bb3 Bg4 O-O c5 Nd5 dxe5 dxc5 N6d7 Be3 Bxf3 Qxf3 Nxc5,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6d7 f1c4 d7b6 c4b3 c8g4 e1g1 c7c5 c3d5 d6e5 d4c5 b6d7 c1e3 g4f3 d1f3 d7c5,
Wch U10,Menorca,1996.??.??,5,"Harikrishna, Penteala","Radjabov, Teimour",,,1-0,1,A10,59,c4 f5 Nc3 Nf6 d3 e6 e4 d6 g3 b6 Bg2 Bb7 Nge2 g6 O-O Qd7 Bg5 Be7 Nf4 c6 exf5 e5 Ne6 gxf5 Ng7+ Kf7 Nh5 Ng8 Bxe7 Nxe7 f4 Rf8 fxe5 dxe5 Qg4 Ke8 Qg7 Qd4+ Kh1 Nd7 Ne4 Kd8 Ng5 Qd6 Qxf8+ Nxf8 Nf7+ Kd7 Nxd6 Kxd6 Ng7 Bc8 Bh3 Nfg6 Bxf5 Nxf5 Nxf5+ Bxf5 Rxf5,c2c4 f7f5 b1c3 g8f6 d2d3 e7e6 e2e4 d7d6 g2g3 b7b6 f1g2 c8b7 g1e2 g7g6 e1g1 d8d7 c1g5 f8e7 e2f4 c7c6 e4f5 e6e5 f4e6 g6f5 e6g7 e8f7 g7h5 f6g8 g5e7 g8e7 f2f4 h8f8 f4e5 d6e5 d1g4 f7e8 g4g7 d7d4 g1h1 b8d7 c3e4 e8d8 e4g5 d4d6 g7f8 d7f8 g5f7 d8d7 f7d6 d7d6 h5g7 b7c8 g2h3 f8g6 h3f5 e7f5 g7f5 c8f5 f1f5,
Wch U10,Menorca,1996.??.??,6,"Guseinov, Kadir","Harikrishna, Penteala",,,0-1,-1,E87,58,e4 d6 d4 Nf6 f3 g6 c4 Bg7 Nc3 O-O Be3 e5 d5 Ne8 Qd2 f5 O-O-O f4 Bf2 a6 g3 Bd7 Kb1 Qc8 h4 b5 c5 fxg3 Be3 dxc5 Bxc5 Nd6 Qg5 a5 Bxd6 cxd6 Nxb5 Bxb5 Bxb5 Qc5 a4 Na6 Qxg3 Rfc8 Qg2 Nb4 Nh3 Qe3 b3 Rc3 Bc4 Rxc4 bxc4 Rb8 Qb2 Na6 Rh2 Qxf3,e2e4 d7d6 d2d4 g8f6 f2f3 g7g6 c2c4 f8g7 b1c3 e8g8 c1e3 e7e5 d4d5 f6e8 d1d2 f7f5 e1c1 f5f4 e3f2 a7a6 g2g3 c8d7 c1b1 d8c8 h2h4 b7b5 c4c5 f4g3 f2e3 d6c5 e3c5 e8d6 d2g5 a6a5 c5d6 c7d6 c3b5 d7b5 f1b5 c8c5 a2a4 b8a6 g5g3 f8c8 g3g2 a6b4 g1h3 c5e3 b2b3 c8c3 b5c4 c3c4 b3c4 a8b8 g2b2 b4a6 h1h2 e3f3,
Wch U10,Menorca,1996.??.??,7,"Harikrishna, Penteala","Alavi, Sayed Javad",,2280.0,1-0,1,A26,80,c4 Nf6 Nc3 g6 g3 Bg7 Bg2 O-O e4 d6 Nge2 e5 O-O Nc6 d3 Nh5 h3 f5 exf5 gxf5 Nd5 Nf6 Bg5 Ne7 Nec3 c6 Nxe7+ Qxe7 Qd2 Be6 Rae1 Qf7 b3 Nh5 Kh2 f4 Bf3 Qg6 Bh4 Qh6 Kg2 Rae8 g4 Nf6 Bxf6 Qxf6 Rh1 Qh4 Reg1 Rd8 Kf1 d5 Qc2 Bf7 g5 Bh5 Bg4 Rfe8 Ne2 f3 Ng3 Bxg4 hxg4 Qxg4 Nh5 Qe6 Nf6+ Bxf6 gxf6+ Kh8 Rg7 Qf5 Qd2 dxc4 Rhxh7+ Qxh7 Rxh7+ Kxh7 Qg5 Rd7,c2c4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 b8c6 d2d3 f6h5 h2h3 f7f5 e4f5 g6f5 c3d5 h5f6 c1g5 c6e7 e2c3 c7c6 d5e7 d8e7 d1d2 c8e6 a1e1 e7f7 b2b3 f6h5 g1h2 f5f4 g2f3 f7g6 g5h4 g6h6 h2g2 a8e8 g3g4 h5f6 h4f6 h6f6 f1h1 f6h4 e1g1 e8d8 g2f1 d6d5 d2c2 e6f7 g4g5 f7h5 f3g4 f8e8 c3e2 f4f3 e2g3 h5g4 h3g4 h4g4 g3h5 g4e6 h5f6 g7f6 g5f6 g8h8 g1g7 e6f5 c2d2 d5c4 h1h7 f5h7 g7h7 h8h7 d2g5 d8d7,
Wch U10,Menorca,1996.??.??,8,"Harikrishna, Penteala","Hera, Imre Jr",,2065.0,1-0,1,A26,74,c4 Nc6 Nc3 e5 g3 g6 Bg2 Bg7 d3 Nge7 e4 d6 Nge2 O-O O-O Be6 h3 Qd7 Kh2 Rae8 f4 f5 Be3 Nd4 Qd2 Nec6 Rae1 Nxe2 Rxe2 Nd4 Ree1 Kh8 b3 c6 Ne2 Nxe2 Rxe2 b5 cxb5 cxb5 Qa5 Rf7 Rc2 fxe4 dxe4 Qb7 Rfc1 Rc8 Rxc8+ Bxc8 Qd8+ Rf8 Qxd6 exf4 Bxf4 Qb6 Qxb6 axb6 Rc6 Bd4 b4 Re8 Bd6 Bf2 e5 Kg7 Bd5 h6 e6 Kf6 Kg2 Bd4 Bb3 Be3,c2c4 b8c6 b1c3 e7e5 g2g3 g7g6 f1g2 f8g7 d2d3 g8e7 e2e4 d7d6 g1e2 e8g8 e1g1 c8e6 h2h3 d8d7 g1h2 a8e8 f2f4 f7f5 c1e3 c6d4 d1d2 e7c6 a1e1 d4e2 e1e2 c6d4 e2e1 g8h8 b2b3 c7c6 c3e2 d4e2 e1e2 b7b5 c4b5 c6b5 d2a5 f8f7 e2c2 f5e4 d3e4 d7b7 f1c1 e8c8 c2c8 e6c8 a5d8 f7f8 d8d6 e5f4 e3f4 b7b6 d6b6 a7b6 c1c6 g7d4 b3b4 f8e8 f4d6 d4f2 e4e5 h8g7 g2d5 h7h6 e5e6 g7f6 h2g2 f2d4 d5b3 d4e3,
Wch U10,Menorca,1996.??.??,9,"Erwich, Marc","Harikrishna, Penteala",,,1/2-1/2,0,B08,88,e4 d6 d4 Nf6 Nc3 g6 Be2 Bg7 Nf3 O-O O-O c6 a4 Bg4 Be3 Qc7 Qd2 Nbd7 h3 Bxf3 Bxf3 Rfd8 Rad1 Nf8 Rfe1 e5 dxe5 dxe5 Qe2 Ne6 Nb1 Nd7 c3 Qa5 Qc2 Qc7 Na3 Ndf8 b4 Qe7 Rxd8 Rxd8 Bxa7 Nf4 Be3 N8e6 Bxf4 Nxf4 Rd1 Rxd1+ Qxd1 Qg5 Kh2 Qh4 Qf1 Qf6 Bd1 Bh6 Bc2 Nh5 Bd3 Nf4 Bc4 Nh5 Nc2 Qf4+ g3 Qd2 Qe2 Qxc3 Qd3 Qxd3 Bxd3 Bd2 Kg2 Nf6 Kf3 Nd7 Ke2 Bh6 a5 Bf8 Kd2 Bd6 Kc3 Kf8 Ne3 Ke7,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g1f3 e8g8 e1g1 c7c6 a2a4 c8g4 c1e3 d8c7 d1d2 b8d7 h2h3 g4f3 e2f3 f8d8 a1d1 d7f8 f1e1 e7e5 d4e5 d6e5 d2e2 f8e6 c3b1 f6d7 c2c3 c7a5 e2c2 a5c7 b1a3 d7f8 b2b4 c7e7 d1d8 a8d8 e3a7 e6f4 a7e3 f8e6 e3f4 e6f4 e1d1 d8d1 c2d1 e7g5 g1h2 g5h4 d1f1 h4f6 f3d1 g7h6 d1c2 f4h5 c2d3 h5f4 d3c4 f4h5 a3c2 f6f4 g2g3 f4d2 f1e2 d2c3 e2d3 c3d3 c4d3 h6d2 h2g2 h5f6 g2f3 f6d7 f3e2 d2h6 a4a5 h6f8 e2d2 f8d6 d2c3 g8f8 c2e3 f8e7,
Wch U10,Menorca,1996.??.??,10,"Yakimov, V.","Harikrishna, Penteala",,,0-1,-1,B07,44,e4 d6 d3 g6 g3 Bg7 f4 e5 Nc3 Ne7 Nf3 Nbc6 Bg2 O-O O-O f5 Be3 h6 Qd2 Kh7 Rae1 Be6 fxe5 dxe5 Bc5 Rf7 Nh4 Qd7 Rf2 f4 gxf4 exf4 Nf3 g5 d4 g4 d5 gxf3 dxe6 Qxd2 Rxd2 Bxc3 bxc3 Rg7,e2e4 d7d6 d2d3 g7g6 g2g3 f8g7 f2f4 e7e5 b1c3 g8e7 g1f3 b8c6 f1g2 e8g8 e1g1 f7f5 c1e3 h7h6 d1d2 g8h7 a1e1 c8e6 f4e5 d6e5 e3c5 f8f7 f3h4 d8d7 f1f2 f5f4 g3f4 e5f4 h4f3 g6g5 d3d4 g5g4 d4d5 g4f3 d5e6 d7d2 f2d2 g7c3 b2c3 f7g7,
Wch U10,Menorca,1996.??.??,11,"Harikrishna, Penteala","Murariu, Andrei",,,1/2-1/2,0,A23,41,c4 e5 Nc3 Nf6 g3 c6 d4 exd4 Qxd4 d5 Bg5 Be7 cxd5 cxd5 e3 Be6 Bg2 Nc6 Qd2 O-O Nge2 Qa5 O-O Rfd8 a3 h6 b4 Qb6 Bxf6 Bxf6 Rab1 d4 Ne4 Be7 exd4 Nxd4 Nxd4 Rxd4 Qe3 Rad8 Nc5,c2c4 e7e5 b1c3 g8f6 g2g3 c7c6 d2d4 e5d4 d1d4 d7d5 c1g5 f8e7 c4d5 c6d5 e2e3 c8e6 f1g2 b8c6 d4d2 e8g8 g1e2 d8a5 e1g1 f8d8 a2a3 h7h6 b2b4 a5b6 g5f6 e7f6 a1b1 d5d4 c3e4 f6e7 e3d4 c6d4 e2d4 d8d4 d2e3 a8d8 e4c5,
Wch U12 Disney,Paris,1996.??.??,2,"Harikrishna, Penteala","Bhat, Vinay S",,2225.0,1/2-1/2,0,A25,46,c4 e5 Nc3 f5 g3 Nf6 Bg2 Nc6 d3 Bb4 Nf3 O-O O-O Bxc3 bxc3 d6 Qb3 Kh8 Bg5 h6 Bxf6 Qxf6 Nd2 Nd8 a4 Ne6 a5 Qg5 Qc2 c6 a6 Qe7 Rfb1 Nc5 axb7 Bxb7 Nb3 Rfb8 Na5 e4 d4 Ne6 Nb3 Nd8 Bh3 Bc8,c2c4 e7e5 b1c3 f7f5 g2g3 g8f6 f1g2 b8c6 d2d3 f8b4 g1f3 e8g8 e1g1 b4c3 b2c3 d7d6 d1b3 g8h8 c1g5 h7h6 g5f6 d8f6 f3d2 c6d8 a2a4 d8e6 a4a5 f6g5 b3c2 c7c6 a5a6 g5e7 f1b1 e6c5 a6b7 c8b7 d2b3 f8b8 b3a5 e5e4 d3d4 c5e6 a5b3 e6d8 g2h3 b7c8,
