event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U14,Cannes,1997.??.??,1,"Jobava, Baadur","Leal, Joao Victor",,,1-0,1.0,A76,57,d4 Nf6 c4 c5 d5 g6 Nc3 Bg7 Nf3 d6 e4 e6 Be2 exd5 cxd5 O-O O-O Re8 Qc2 Na6 Nd2 Nb4 Qd1 b6 Re1 Ba6 Bxa6 Nxa6 Nc4 Qd7 a4 Ng4 Nb5 Bf8 Nbxd6 Bxd6 Nxd6 Qxd6 Qxg4 Qxd5 Bg5 Qe5 Qh4 Re6 Rad1 Qxb2 f4 c4 f5 Rc6 e5 c3 Bh6 Re8 Qe7 Rcc8 Qf6,d2d4 g8f6 c2c4 c7c5 d4d5 g7g6 b1c3 f8g7 g1f3 d7d6 e2e4 e7e6 f1e2 e6d5 c4d5 e8g8 e1g1 f8e8 d1c2 b8a6 f3d2 a6b4 c2d1 b7b6 f1e1 c8a6 e2a6 b4a6 d2c4 d8d7 a2a4 f6g4 c3b5 g7f8 b5d6 f8d6 c4d6 d7d6 d1g4 d6d5 c1g5 d5e5 g4h4 e8e6 a1d1 e5b2 f2f4 c5c4 f4f5 e6c6 e4e5 c4c3 g5h6 a8e8 h4e7 c6c8 e7f6,
Wch U14,Cannes,1997.??.??,2,Zhang Zhuoya,"Jobava, Baadur",,,1/2-1/2,0.0,E60,133,d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 d6 O-O Nbd7 Qc2 e5 dxe5 dxe5 Rd1 Qe7 e4 Nc5 Nc3 Bg4 Be3 c6 b3 Rfd8 h3 Bxf3 Bxf3 Ne6 Ne2 b6 a3 Rxd1+ Qxd1 Rd8 Qc2 Nd4 Bxd4 exd4 Rd1 Nd7 Bg2 Ne5 Nxd4 Qd7 f4 Ng4 hxg4 Bxd4+ Kf1 Qxg4 Rd3 c5 Qe2 Qe6 e5 Re8 Bd5 Qf5 Be4 Qh3+ Qg2 Qh5 Qh1 Qg4 Qf3 Qh3+ Qg2 Qc8 Bb7 Qb8 Bc6 Re7 a4 Qc8 Bd5 Kg7 Qf3 h5 Kg2 Qd7 Bc6 Qc8 Bd5 a6 Ba8 f6 exf6+ Bxf6 Rd2 h4 gxh4 Bxh4 Be4 Rf7 Rd6 Rf6 Rxf6 Bxf6 Qg3 Qe8 Bd3 Qf7 Qg4 Qb7+ Qf3 Qd7 Qg3 Qc6+ Qf3 Qd7 Qg3 Qe6 Qf3 Qd6 Qg3 Bd8 f5 Qxg3+ Kxg3 g5 Kf3 Kf6 Ke4 g4 Kf4 g3 Kxg3 Ke5 Kf3 Kd4 Be4,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 d1c2 e7e5 d4e5 d6e5 f1d1 d8e7 e2e4 d7c5 b1c3 c8g4 c1e3 c7c6 b2b3 f8d8 h2h3 g4f3 g2f3 c5e6 c3e2 b7b6 a2a3 d8d1 c2d1 a8d8 d1c2 e6d4 e3d4 e5d4 a1d1 f6d7 f3g2 d7e5 e2d4 e7d7 f2f4 e5g4 h3g4 g7d4 g1f1 d7g4 d1d3 c6c5 c2e2 g4e6 e4e5 d8e8 g2d5 e6f5 d5e4 f5h3 e2g2 h3h5 g2h1 h5g4 h1f3 g4h3 f3g2 h3c8 e4b7 c8b8 b7c6 e8e7 a3a4 b8c8 c6d5 g8g7 g2f3 h7h5 f1g2 c8d7 d5c6 d7c8 c6d5 a7a6 d5a8 f7f6 e5f6 d4f6 d3d2 h5h4 g3h4 f6h4 a8e4 e7f7 d2d6 f7f6 d6f6 h4f6 f3g3 c8e8 e4d3 e8f7 g3g4 f7b7 g4f3 b7d7 f3g3 d7c6 g3f3 c6d7 f3g3 d7e6 g3f3 e6d6 f3g3 f6d8 f4f5 d6g3 g2g3 g6g5 g3f3 g7f6 f3e4 g5g4 e4f4 g4g3 f4g3 f6e5 g3f3 e5d4 d3e4,
Wch U14,Cannes,1997.??.??,3,"Jobava, Baadur","Nunez, Daniel",,,1-0,1.0,E69,103,d4 d6 c4 Nf6 Nc3 g6 Nf3 Bg7 g3 O-O Bg2 c6 e4 Qc7 O-O e5 h3 Nbd7 Be3 Re8 Re1 exd4 Nxd4 Nc5 Qc2 a5 Rad1 Bd7 f4 Re7 Nb3 Na6 c5 d5 e5 Ne8 Qd2 Be6 Na4 Nb8 Nb6 Ra7 Nxa5 h5 b4 Nd7 Nb3 f6 b5 Qd8 bxc6 bxc6 Nd4 Nb8 Nxe6 Rxe6 Bd4 fxe5 Bxe5 Bxe5 fxe5 Qe7 Qf2 Ra5 Nxd5 cxd5 Bxd5 Nc7 Bb3 Kg7 Rd6 Nd7 Bxe6 Nxe6 Qd2 Ra7 c6 Ndc5 Qf2 Ra3 Rf1 Qg5 Qf6+ Qxf6 Rxf6 Nc7 Rxg6+ Kh7 Rh6+ Kg7 Rdg6+ Kf7 Rf6+ Kg7 Rhg6+ Kh7 Rg5 Ne4 Rf7+ Kh6 Rg8 Nd5 c7,d2d4 d7d6 c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 c7c6 e2e4 d8c7 e1g1 e7e5 h2h3 b8d7 c1e3 f8e8 f1e1 e5d4 f3d4 d7c5 d1c2 a7a5 a1d1 c8d7 f2f4 e8e7 d4b3 c5a6 c4c5 d6d5 e4e5 f6e8 c2d2 d7e6 c3a4 a6b8 a4b6 a8a7 b3a5 h7h5 b2b4 b8d7 a5b3 f7f6 b4b5 c7d8 b5c6 b7c6 b3d4 d7b8 d4e6 e7e6 e3d4 f6e5 d4e5 g7e5 f4e5 d8e7 d2f2 a7a5 b6d5 c6d5 g2d5 e8c7 d5b3 g8g7 d1d6 b8d7 b3e6 c7e6 f2d2 a5a7 c5c6 d7c5 d2f2 a7a3 e1f1 e7g5 f2f6 g5f6 f1f6 e6c7 f6g6 g7h7 g6h6 h7g7 d6g6 g7f7 g6f6 f7g7 h6g6 g7h7 g6g5 c5e4 f6f7 h7h6 g5g8 c7d5 c6c7,
Wch U14,Cannes,1997.??.??,4,"Neiksans, Arthur","Jobava, Baadur",,,1-0,1.0,B84,59,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Nbd7 f4 b5 Bf3 Bb7 e5 Bxf3 Nxf3 dxe5 fxe5 Ng4 Qe1 Bc5+ Kh1 h5 h3 Qc7 hxg4 hxg4+ Nh2 f5 Bf4 O-O-O Rd1 Rdg8 Nd5 Qb7 b4 Bf8 Qc3+ Kb8 Kg1 Qc8 Qd4 Kb7 Ne7 Bxe7 Qxd7+ Qc7 Qxe6 Rd8 Qxf5 Qb6+ Kh1 Qf2 Rd7+,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 b8d7 f2f4 b7b5 e2f3 c8b7 e4e5 b7f3 d4f3 d6e5 f4e5 f6g4 d1e1 f8c5 g1h1 h7h5 h2h3 d8c7 h3g4 h5g4 f3h2 f7f5 c1f4 e8c8 a1d1 d8g8 c3d5 c7b7 b2b4 c5f8 e1c3 c8b8 h1g1 b7c8 c3d4 b8b7 d5e7 f8e7 d4d7 c8c7 d7e6 g8d8 e6f5 c7b6 g1h1 b6f2 d1d7,
Wch U14,Cannes,1997.??.??,5,"Jobava, Baadur",Lim Chuin Hoong,,,1-0,1.0,E68,91,d4 Nf6 c4 d6 Nc3 g6 Nf3 Bg7 g3 O-O Bg2 Nbd7 O-O e5 e4 Re8 h3 exd4 Nxd4 Nc5 Re1 a5 Qc2 Nfd7 Be3 Ne5 Qe2 c6 Rad1 Qe7 f4 Ned7 Bf2 a4 Qf1 Qd8 Nde2 Qa5 Bd4 Bxd4+ Rxd4 Ne6 Rd2 Qc5+ Qf2 Qxc4 Rxd6 Qb4 Red1 Nef8 R1d2 Nb6 e5 Be6 Ne4 Kh8 R6d4 Qe7 Nd6 Red8 Rb4 Nd5 Rxb7 Rd7 Rxd7 Qxd7 Nc3 Ra5 Nce4 Qe7 g4 Qa7 f5 Qxf2+ Rxf2 gxf5 gxf5 Bd7 Nxf7+ Kg7 e6 Nxe6 fxe6 Bxe6 Nd8 Bg8 Nxc6 Ra6 Nd4 Ne3 Re2,d2d4 g8f6 c2c4 d7d6 b1c3 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 b8d7 e1g1 e7e5 e2e4 f8e8 h2h3 e5d4 f3d4 d7c5 f1e1 a7a5 d1c2 f6d7 c1e3 d7e5 c2e2 c7c6 a1d1 d8e7 f2f4 e5d7 e3f2 a5a4 e2f1 e7d8 d4e2 d8a5 f2d4 g7d4 d1d4 c5e6 d4d2 a5c5 f1f2 c5c4 d2d6 c4b4 e1d1 e6f8 d1d2 d7b6 e4e5 c8e6 c3e4 g8h8 d6d4 b4e7 e4d6 e8d8 d4b4 b6d5 b4b7 d8d7 b7d7 e7d7 e2c3 a8a5 c3e4 d7e7 g3g4 e7a7 f4f5 a7f2 d2f2 g6f5 g4f5 e6d7 d6f7 h8g7 e5e6 f8e6 f5e6 d7e6 f7d8 e6g8 d8c6 a5a6 c6d4 d5e3 f2e2,
Wch U14,Cannes,1997.??.??,6,"Jobava, Baadur","Miton, Kamil",,2280.0,1/2-1/2,0.0,A86,83,d4 f5 g3 Nf6 Bg2 g6 Nh3 Bg7 Nf4 O-O c4 d6 d5 Na6 Nc3 Nc5 O-O e5 dxe6 c6 Be3 Nxe6 Qb3 Qe7 Rad1 Ng4 Bc1 Ne5 Rfe1 Nxf4 gxf4 Ng4 h3 Nf6 Qb4 Be6 e4 Qf7 Qxd6 fxe4 Nxe4 Nxe4 Rxe4 Rfe8 b3 Bf6 Qb4 Red8 Ree1 Bf5 Be3 Rd7 Kh2 Rad8 Rxd7 Qxd7 Re2 Qe7 Rd2 Rxd2 Qxd2 a6 c5 Qd7 Qb4 Be6 Qb6 Kf7 Bf1 Bd5 Qa7 Be6 Qb8 Qc8 Qa7 Qd7 b4 Bd8 a3 Bc7 Qa8 Qe8 Qxe8+,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 g1h3 f8g7 h3f4 e8g8 c2c4 d7d6 d4d5 b8a6 b1c3 a6c5 e1g1 e7e5 d5e6 c7c6 c1e3 c5e6 d1b3 d8e7 a1d1 f6g4 e3c1 g4e5 f1e1 e6f4 g3f4 e5g4 h2h3 g4f6 b3b4 c8e6 e2e4 e7f7 b4d6 f5e4 c3e4 f6e4 e1e4 f8e8 b2b3 g7f6 d6b4 e8d8 e4e1 e6f5 c1e3 d8d7 g1h2 a8d8 d1d7 f7d7 e1e2 d7e7 e2d2 d8d2 b4d2 a7a6 c4c5 e7d7 d2b4 f5e6 b4b6 g8f7 g2f1 e6d5 b6a7 d5e6 a7b8 d7c8 b8a7 c8d7 b3b4 f6d8 a2a3 d8c7 a7a8 d7e8 a8e8,
Wch U14,Cannes,1997.??.??,7,"Drozdovsky, Yuri","Jobava, Baadur",,,1-0,1.0,A57,59,d4 Nf6 c4 c5 d5 b5 Nf3 bxc4 Nc3 d6 e4 Ba6 Nd2 g6 Bxc4 Bxc4 Nxc4 Bg7 O-O O-O f4 Nfd7 Qe2 Nb6 Nxb6 Qxb6 e5 dxe5 fxe5 Nd7 Bf4 e6 Rad1 Rab8 dxe6 Qxe6 Rd6 Qe8 e6 fxe6 Rxe6 Qf7 Re7 Bd4+ Kh1 Qf5 g4 Qf6 Qc4+ Kh8 Rxd7 Rb4 Qd5 Rxb2 Ne4 Rb7 Rxh7+ Kxh7 Nxf6+,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3 b5c4 b1c3 d7d6 e2e4 c8a6 f3d2 g7g6 f1c4 a6c4 d2c4 f8g7 e1g1 e8g8 f2f4 f6d7 d1e2 d7b6 c4b6 d8b6 e4e5 d6e5 f4e5 b8d7 c1f4 e7e6 a1d1 a8b8 d5e6 b6e6 d1d6 e6e8 e5e6 f7e6 d6e6 e8f7 e6e7 g7d4 g1h1 f7f5 g2g4 f5f6 e2c4 g8h8 e7d7 b8b4 c4d5 b4b2 c3e4 b2b7 d7h7 h8h7 e4f6,
Wch U14,Cannes,1997.??.??,8,"Jobava, Baadur","Cernousek, Lukas",,,1-0,1.0,D18,75,d4 d5 c4 c6 Nc3 Nf6 Nf3 dxc4 a4 Bf5 e3 e6 Bxc4 Bb4 O-O Nbd7 Nh4 Bg4 f3 Bh5 g4 Bg6 Nxg6 hxg6 Qc2 Bd6 Rf2 Qe7 a5 Nd5 Ne4 Bc7 a6 Nb4 axb7 Rb8 Qa4 Rxb7 Bd2 O-O Rc1 Rc8 Qa3 Rcb8 Ba6 Rb6 Bxb4 Rxb4 Rxc6 Qd8 Rfc2 Rb3 Qa2 Bxh2+ Kxh2 Qh4+ Kg2 Rxe3 Rc8+ Rxc8 Rxc8+ Kh7 Rc1 Re1 Rxe1 Qxe1 Qc4 Nb6 Qc7 Nd5 Qh2+ Kg8 Qb8+ Kh7 Ng5+,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 f3h4 f5g4 f2f3 g4h5 g2g4 h5g6 h4g6 h7g6 d1c2 b4d6 f1f2 d8e7 a4a5 f6d5 c3e4 d6c7 a5a6 d5b4 a6b7 a8b8 c2a4 b8b7 c1d2 e8g8 a1c1 f8c8 a4a3 c8b8 c4a6 b7b6 d2b4 b6b4 c1c6 e7d8 f2c2 b4b3 a3a2 c7h2 g1h2 d8h4 h2g2 b3e3 c6c8 b8c8 c2c8 g8h7 c8c1 e3e1 c1e1 h4e1 a2c4 d7b6 c4c7 b6d5 c7h2 h7g8 h2b8 g8h7 e4g5,
Wch U14,Cannes,1997.??.??,9,"Smerdon, David","Jobava, Baadur",,,1/2-1/2,0.0,B22,121,e4 c5 c3 d6 d4 Nf6 Bd3 g6 Nf3 Bg7 O-O O-O h3 Nbd7 Be3 b6 Nbd2 Bb7 Qe2 e5 a4 Qc7 b4 d5 Nxe5 Nxe5 dxe5 dxe4 exf6 exd3 Qxd3 Bxf6 bxc5 Rad8 Qc4 bxc5 Ne4 Bxe4 Qxe4 Bxc3 Rac1 Qa5 Qc4 Bd4 Bxd4 cxd4 Rfd1 Rfe8 Qb5 Qxb5 axb5 Re5 Rc7 Rxb5 Rxa7 Rbd5 f3 Kg7 Kf2 g5 Ra6 f6 Rd3 Kg6 g4 Rc8 Rd2 Rc3 Ra4 Rb5 Raxd4 Rbb3 f4 Rf3+ Ke2 gxf4 h4 Rh3 Rxf4 Rxh4 Kf1 Rb1+ Kg2 Rhh1 Rdf2 Rbg1+ Kf3 Rh6 Ke2 Kg7 Rf1 Rg2+ R1f2 Rg3 R2f3 Rg2+ Rf2 Rg1 Rf1 Rxf1 Rxf1 Rh3 Kf2 Kg6 Kg2 Re3 Rf3 Re5 Ra3 Kg5 Kg3 Re4 Ra5+ Re5 Ra3 h6 Rb3 Kg6 Kf4 Rg5 Rb8,e2e4 c7c5 c2c3 d7d6 d2d4 g8f6 f1d3 g7g6 g1f3 f8g7 e1g1 e8g8 h2h3 b8d7 c1e3 b7b6 b1d2 c8b7 d1e2 e7e5 a2a4 d8c7 b2b4 d6d5 f3e5 d7e5 d4e5 d5e4 e5f6 e4d3 e2d3 g7f6 b4c5 a8d8 d3c4 b6c5 d2e4 b7e4 c4e4 f6c3 a1c1 c7a5 e4c4 c3d4 e3d4 c5d4 f1d1 f8e8 c4b5 a5b5 a4b5 e8e5 c1c7 e5b5 c7a7 b5d5 f2f3 g8g7 g1f2 g6g5 a7a6 f7f6 d1d3 g7g6 g2g4 d8c8 d3d2 c8c3 a6a4 d5b5 a4d4 b5b3 f3f4 c3f3 f2e2 g5f4 h3h4 f3h3 d4f4 h3h4 e2f1 b3b1 f1g2 h4h1 d2f2 b1g1 g2f3 h1h6 f3e2 g6g7 f2f1 g1g2 f1f2 g2g3 f2f3 g3g2 f3f2 g2g1 f2f1 g1f1 f4f1 h6h3 e2f2 g7g6 f2g2 h3e3 f1f3 e3e5 f3a3 g6g5 g2g3 e5e4 a3a5 e4e5 a5a3 h7h6 a3b3 g5g6 g3f4 e5g5 b3b8,
Wch U14,Cannes,1997.??.??,10,"Jobava, Baadur","Manesh Chandran, P.",,,1-0,1.0,E06,153,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 Qa4 Be7 Bg2 c6 Nc3 O-O O-O d5 Ne5 Bb7 Bf4 Nbd7 Rfd1 Nxe5 Bxe5 Nd7 Bf4 f5 Rac1 Kh8 Rc2 Nf6 Be5 Ng4 cxd5 cxd5 Nb5 Nxe5 dxe5 Bc5 b4 Bc6 bxc5 a6 cxb6 Qxb6 Qd4 Qxb5 Rdc1 Qa4 Qb6 Bd7 Qd6 Rae8 e3 Bb5 Bf1 Bxf1 Kxf1 Rd8 Qxe6 d4 Qc4 Qxc4+ Rxc4 dxe3 fxe3 Rfe8 Rc5 g6 Ke2 Rb8 R1c2 Rb4 Ra5 Re6 Rd5 Kg7 Kd3 Re4 Rcc5 Kh6 Ra5 Kh5 h3 Kg5 Ke2 Rc6 Rd4 Re6 Rdd5 Rc6 Rd4 Re6 Rxe4 fxe4 Kd2 Rc6 g4 h5 gxh5 gxh5 e6+ Kf6 Rxh5 Rd6+ Ke2 Rb6 Rh6+ Ke7 Rh7+ Ke8 Kf2 Rxe6 Rh4 Kf7 Kg3 Re5 a4 Kg6 Rf4 Kg5 h4+ Kh5 Kh3 Kg6 Kg4 Kh7 h5 Kg7 Rf5 Re6 Kg5 Re7 a5 Rc7 Re5 Rc1 Kf5 Kh6 Kxe4 Ra1 Re6+ Kxh5 Rxa6 Kg5 Ke5 Rb1 Rb6 Ra1 a6 Ra5+ Kd6 Rf5 a7,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4 f8e7 f1g2 c7c6 b1c3 e8g8 e1g1 d7d5 f3e5 a6b7 c1f4 b8d7 f1d1 d7e5 f4e5 f6d7 e5f4 f7f5 a1c1 g8h8 c1c2 d7f6 f4e5 f6g4 c4d5 c6d5 c3b5 g4e5 d4e5 e7c5 b2b4 b7c6 b4c5 a7a6 c5b6 d8b6 a4d4 b6b5 d1c1 b5a4 d4b6 c6d7 b6d6 a8e8 e2e3 d7b5 g2f1 b5f1 g1f1 e8d8 d6e6 d5d4 e6c4 a4c4 c2c4 d4e3 f2e3 f8e8 c4c5 g7g6 f1e2 d8b8 c1c2 b8b4 c5a5 e8e6 a5d5 h8g7 e2d3 b4e4 c2c5 g7h6 c5a5 h6h5 h2h3 h5g5 d3e2 e6c6 d5d4 c6e6 d4d5 e6c6 d5d4 c6e6 d4e4 f5e4 e2d2 e6c6 g3g4 h7h5 g4h5 g6h5 e5e6 g5f6 a5h5 c6d6 d2e2 d6b6 h5h6 f6e7 h6h7 e7e8 e2f2 b6e6 h7h4 e8f7 f2g3 e6e5 a2a4 f7g6 h4f4 g6g5 h3h4 g5h5 g3h3 h5g6 h3g4 g6h7 h4h5 h7g7 f4f5 e5e6 g4g5 e6e7 a4a5 e7c7 f5e5 c7c1 g5f5 g7h6 f5e4 c1a1 e5e6 h6h5 e6a6 h5g5 e4e5 a1b1 a6b6 b1a1 a5a6 a1a5 e5d6 a5f5 a6a7,
