event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Kautsky mem9,Prague,1934.??.??,12,"Opocensky, Karel","Karjakin, Sergei",,,0-1,-1,D02,68,d4 d5 Nf3 c6 e3 e6 Bd3 Nd7 Nbd2 f5 c4 Qf6 Rb1 a5 b3 Bd6 Bb2 Nh6 Qc2 O-O Nf1 g6 Ng3 Ng4 Ne2 Nh6 Bc3 Bc7 b4 axb4 Bxb4 Re8 Nc3 Nb6 O-O Nxc4 Bxc4 dxc4 e4 b5 a4 Bd7 e5 Qg7 axb5 cxb5 d5 Bxe5 Rfe1 Nf7 Qd2 exd5 Nxd5 Bc6 Nxe5 Nxe5 f4 Rad8 Ne7+ Qxe7 Bxe7 Rxd2 Rxe5 Rxg2+ Kf1 Rxh2 Rb4 Ra8,d2d4 d7d5 g1f3 c7c6 e2e3 e7e6 f1d3 b8d7 b1d2 f7f5 c2c4 d8f6 a1b1 a7a5 b2b3 f8d6 c1b2 g8h6 d1c2 e8g8 d2f1 g7g6 f1g3 h6g4 g3e2 g4h6 b2c3 d6c7 b3b4 a5b4 c3b4 f8e8 e2c3 d7b6 e1g1 b6c4 d3c4 d5c4 e3e4 b7b5 a2a4 c8d7 e4e5 f6g7 a4b5 c6b5 d4d5 c7e5 f1e1 h6f7 c2d2 e6d5 c3d5 d7c6 f3e5 f7e5 f2f4 a8d8 d5e7 g7e7 b4e7 d8d2 e1e5 d2g2 g1f1 g2h2 b1b4 e8a8,
Kautsky mem12,Prague,1935.??.??,3,"Karjakin, Sergei","Petkevic, B.",,,1-0,1,A47,41,d4 Nf6 Nf3 e6 Nbd2 c5 e3 Nc6 c3 b6 Bd3 Bb7 Qe2 d6 O-O Qc7 e4 e5 dxe5 dxe5 Nc4 g6 Bg5 Bg7 Ne3 Ne7 Bb5+ Bc6 Rad1 Nxe4 Bxe7 Kxe7 Bxc6 Nxc3 bxc3 Qxc6 Nxe5 Bxe5 Nd5+ Ke6 f4,d2d4 g8f6 g1f3 e7e6 b1d2 c7c5 e2e3 b8c6 c2c3 b7b6 f1d3 c8b7 d1e2 d7d6 e1g1 d8c7 e3e4 e6e5 d4e5 d6e5 d2c4 g7g6 c1g5 f8g7 c4e3 c6e7 d3b5 b7c6 a1d1 f6e4 g5e7 e8e7 b5c6 e4c3 b2c3 c7c6 f3e5 g7e5 e3d5 e7e6 f2f4,
Kautsky mem12,Prague,1935.??.??,9,"Dobias, Josef","Karjakin, Sergei",,,1-0,1,A83,55,d4 f5 e4 fxe4 Nc3 Nf6 Bg5 c6 Bxf6 exf6 Nxe4 d5 Ng3 g6 Bd3 Qb6 Qe2+ Kf7 O-O-O Bh6+ Kb1 Re8 Qf3 Nd7 h4 Nf8 h5 Bg7 hxg6+ hxg6 Nh3 Bxh3 Rxh3 Re7 Ne2 g5 Ng3 Rae8 c3 Re1 Qh5+ Kg8 Rh1 Rxd1+ Rxd1 Qd8 Bg6 Re7 Nf5 Rd7 Rh1 Nxg6 Qxg6 Qc7 Nxg7,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 c7c6 g5f6 e7f6 c3e4 d7d5 e4g3 g7g6 f1d3 d8b6 d1e2 e8f7 e1c1 f8h6 c1b1 h8e8 e2f3 b8d7 h2h4 d7f8 h4h5 h6g7 h5g6 h7g6 g1h3 c8h3 h1h3 e8e7 g3e2 g6g5 e2g3 a8e8 c2c3 e7e1 f3h5 f7g8 h3h1 e1d1 h1d1 b6d8 d3g6 e8e7 g3f5 e7d7 d1h1 f8g6 h5g6 d8c7 f5g7,
Kautsky mem12,Prague,1935.??.??,10,"Opocensky, Karel","Karjakin, Sergei",,,1-0,1,A11,49,Nf3 d5 c4 c6 e3 Nf6 b4 Bg4 h3 Bh5 cxd5 Bxf3 Qxf3 cxd5 Bb2 Qd6 Nc3 a6 Be2 Qxb4 Rb1 Qd6 e4 dxe4 Nxe4 Nxe4 Qxe4 Nc6 O-O e6 Bc3 Rb8 Bf3 f6 Rfe1 e5 Qc4 Kd7 d4 b5 Bxc6+ Qxc6 Qf7+ Be7 dxe5 Rbe8 exf6 gxf6 Bb4,g1f3 d7d5 c2c4 c7c6 e2e3 g8f6 b2b4 c8g4 h2h3 g4h5 c4d5 h5f3 d1f3 c6d5 c1b2 d8d6 b1c3 a7a6 f1e2 d6b4 a1b1 b4d6 e3e4 d5e4 c3e4 f6e4 f3e4 b8c6 e1g1 e7e6 b2c3 a8b8 e2f3 f7f6 f1e1 e6e5 e4c4 e8d7 d2d4 b7b5 f3c6 d6c6 c4f7 f8e7 d4e5 b8e8 e5f6 g7f6 c3b4,
Keres mem op,Tallin,1998.06.14,1,"Karjakin, Sergei","Miezis, Normunds",,2505.0,1/2-1/2,0,A60,79,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 Bd6 e4 O-O Nf3 Re8 Bd3 Bc7 O-O d6 h3 a6 a4 Nbd7 Bf4 Nf8 Qc2 Ng6 Bh2 Rb8 Rfe1 Bd7 Rad1 b5 axb5 axb5 e5 dxe5 d6 Ba5 Nxe5 b4 Nxd7 Rxe1+ Rxe1 Nxd7 Nd5 b3 Qe2 Bxe1 Ne7+ Kh8 Qxe1 Ra8 Bg3 Ra2 Bxg6 fxg6 Qe6 Rxb2 Nc6 Qa8 Qxd7 Re2 Be5 Rxe5 Nxe5 Qa1+ Kh2 Qxe5+ g3 h5 Qc8+ Kh7 d7 Qf5 d8=Q Qxf2+ Kh1 Qf1+ Kh2,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 f8d6 e2e4 e8g8 g1f3 f8e8 f1d3 d6c7 e1g1 d7d6 h2h3 a7a6 a2a4 b8d7 c1f4 d7f8 d1c2 f8g6 f4h2 a8b8 f1e1 c8d7 a1d1 b7b5 a4b5 a6b5 e4e5 d6e5 d5d6 c7a5 f3e5 b5b4 e5d7 e8e1 d1e1 f6d7 c3d5 b4b3 c2e2 a5e1 d5e7 g8h8 e2e1 b8a8 h2g3 a8a2 d3g6 f7g6 e1e6 a2b2 e7c6 d8a8 e6d7 b2e2 g3e5 e2e5 c6e5 a8a1 g1h2 a1e5 g2g3 h7h5 d7c8 h8h7 d6d7 e5f5 d7d8q f5f2 h2h1 f2f1 h1h2,
Keres mem op,Tallin,1998.06.15,2,"Krupenski, Juri","Karjakin, Sergei",,,1/2-1/2,0,A32,44,d4 Nf6 c4 c5 Nf3 cxd4 Nxd4 e6 Nc3 d5 g3 e5 Nf3 d4 Nb1 Nc6 Bg2 Bc5 O-O O-O Ng5 h6 Ne4 Nxe4 Bxe4 Be6 b3 Qd7 Ba3 b6 e3 Rad8 exd4 exd4 Bb2 Ne5 Nd2 f5 Bg2 Nd3 Qc2 Nxb2 Qxb2 a5,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e6 b1c3 d7d5 g2g3 e6e5 d4f3 d5d4 c3b1 b8c6 f1g2 f8c5 e1g1 e8g8 f3g5 h7h6 g5e4 f6e4 g2e4 c8e6 b2b3 d8d7 c1a3 b7b6 e2e3 a8d8 e3d4 e5d4 a3b2 c6e5 b1d2 f7f5 e4g2 e5d3 d1c2 d3b2 c2b2 a7a5,
Keres mem op,Tallin,1998.06.16,3,"Karjakin, Sergei","Koskela, Niina",,2190.0,0-1,-1,D94,82,e4 g6 d4 d6 c4 Bg7 Nf3 Nf6 Nc3 O-O Be2 c6 O-O d5 exd5 cxd5 cxd5 Nxd5 Qb3 Nb6 Rd1 Na6 Be3 Qd6 a3 Bf5 Rac1 Nc7 d5 Rfd8 Nb5 Nxb5 Qxb5 Bd7 Qa5 Bxb2 Bc5 Qf4 Rb1 Na4 Bxe7 Re8 Bg5 Qd6 Qd2 Bc3 Qa2 Bg7 Bc4 Nc3 Qd2 Nxd1 Qxd1 Rac8 Qb3 b5 Bf1 a6 Bd2 Bf5 Bb4 Qd7 Bd3 Bg4 Nd2 Rcd8 Be4 Bf5 Bf3 Rc8 Rf1 Bc2 Qa2 Bd3 g3 Bh6 Ra1 Qa7 Bg4 Rc2 Qb3 Qd4,e2e4 g7g6 d2d4 d7d6 c2c4 f8g7 g1f3 g8f6 b1c3 e8g8 f1e2 c7c6 e1g1 d6d5 e4d5 c6d5 c4d5 f6d5 d1b3 d5b6 f1d1 b8a6 c1e3 d8d6 a2a3 c8f5 a1c1 a6c7 d4d5 f8d8 c3b5 c7b5 b3b5 f5d7 b5a5 g7b2 e3c5 d6f4 c1b1 b6a4 c5e7 d8e8 e7g5 f4d6 a5d2 b2c3 d2a2 c3g7 e2c4 a4c3 a2d2 c3d1 d2d1 a8c8 d1b3 b7b5 c4f1 a7a6 g5d2 d7f5 d2b4 d6d7 f1d3 f5g4 f3d2 c8d8 d3e4 g4f5 e4f3 d8c8 b1f1 f5c2 b3a2 c2d3 g2g3 g7h6 f1a1 d7a7 f3g4 c8c2 a2b3 a7d4,
Keres mem op,Tallin,1998.06.17,4,"Martonov, Anatoli","Karjakin, Sergei",,,0-1,-1,B22,66,e4 c5 c3 d5 exd5 Qxd5 d4 Nf6 Nf3 Bg4 Be2 e6 Be3 cxd4 cxd4 Nc6 Nc3 Bb4 O-O Qd6 a3 Ba5 b4 Bb6 Qa4 O-O Rfd1 Rac8 Rac1 Rfd8 b5 Ne7 Bg5 Ned5 Nxd5 Qxd5 Bxf6 gxf6 h3 Bh5 Qb4 Rxc1 Rxc1 Bxf3 Bxf3 Qxd4 Qe1 Qb2 Rc4 Qd2 Qf1 Qa2 Rg4+ Kf8 Rh4 Rd2 Qc4 Bxf2+ Kh2 Qa1 Qc8+ Ke7 Qc7+ Rd7 Qxd7+ Kxd7,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 c8g4 f1e2 e7e6 c1e3 c5d4 c3d4 b8c6 b1c3 f8b4 e1g1 d5d6 a2a3 b4a5 b2b4 a5b6 d1a4 e8g8 f1d1 a8c8 a1c1 f8d8 b4b5 c6e7 e3g5 e7d5 c3d5 d6d5 g5f6 g7f6 h2h3 g4h5 a4b4 c8c1 d1c1 h5f3 e2f3 d5d4 b4e1 d4b2 c1c4 b2d2 e1f1 d2a2 c4g4 g8f8 g4h4 d8d2 f1c4 b6f2 g1h2 a2a1 c4c8 f8e7 c8c7 d2d7 c7d7 e7d7,
Keres mem op,Tallin,1998.06.18,5,"Karjakin, Sergei","Raud, Rainer",,2385.0,1-0,1,A41,57,e4 g6 d4 Bg7 Nf3 d6 c4 Bg4 Be2 c6 O-O Bxf3 Bxf3 Qb6 Be3 Qxb2 Nd2 Qb6 Rb1 Qc7 Qb3 b6 c5 dxc5 dxc5 b5 Rfd1 Nd7 Be2 Ngf6 f4 O-O Bf3 e5 f5 Rfe8 g4 Bf8 Rbc1 a5 g5 Nh5 Bxh5 gxh5 Qd3 Qa7 Qe2 a4 Qxh5 b4 Kh1 Qb7 Rg1 Bg7 f6 Bh8 g6,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c4 c8g4 f1e2 c7c6 e1g1 g4f3 e2f3 d8b6 c1e3 b6b2 b1d2 b2b6 a1b1 b6c7 d1b3 b7b6 c4c5 d6c5 d4c5 b6b5 f1d1 b8d7 f3e2 g8f6 f2f4 e8g8 e2f3 e7e5 f4f5 f8e8 g2g4 g7f8 b1c1 a7a5 g4g5 f6h5 f3h5 g6h5 b3d3 c7a7 d3e2 a5a4 e2h5 b5b4 g1h1 a7b7 d1g1 f8g7 f5f6 g7h8 g5g6,
Keres mem op,Tallin,1998.06.19,6,"Svirjov, Igor","Karjakin, Sergei",2355.0,,1-0,1,E61,75,d4 Nf6 c4 g6 Nf3 Bg7 Nc3 O-O Bg5 d6 e3 Nbd7 Be2 h6 Bh4 e5 Qc2 c6 O-O g5 Bg3 Nh5 dxe5 Nxg3 hxg3 dxe5 g4 h5 Ne4 hxg4 Nfxg5 f5 Ne6 Qh4 g3 Qh5 Nxf8 Nxf8 Nd6 e4 c5 Be5 Rfd1 Be6 Bc4 Kg7 Qb3 Nd7 Qxb7 Rh8 Nxf5+ Bxf5 Rxd7+ Bxd7 Qxd7+ Kf6 Qe6+ Kg7 Qe7+ Kh6 Qe6+ Kg7 Qe7+ Kh6 Rd1 Re8 Qf7 Qxf7 Bxf7 Rb8 b3 Rb5 Rc1 Rb8 Rc4,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b1c3 e8g8 c1g5 d7d6 e2e3 b8d7 f1e2 h7h6 g5h4 e7e5 d1c2 c7c6 e1g1 g6g5 h4g3 f6h5 d4e5 h5g3 h2g3 d6e5 g3g4 h6h5 c3e4 h5g4 f3g5 f7f5 g5e6 d8h4 g2g3 h4h5 e6f8 d7f8 e4d6 e5e4 c4c5 g7e5 f1d1 c8e6 e2c4 g8g7 c2b3 f8d7 b3b7 a8h8 d6f5 e6f5 d1d7 f5d7 b7d7 g7f6 d7e6 f6g7 e6e7 g7h6 e7e6 h6g7 e6e7 g7h6 a1d1 h8e8 e7f7 h5f7 c4f7 e8b8 b2b3 b8b5 d1c1 b5b8 c1c4,
