event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U16,Wattignies,1976.08.27,?,"Chandler, Murray G","Kasparov, Gary",,,1-0,1.0,B22,82,e4 c5 c3 Nf6 e5 Nd5 d4 Nc6 Nf3 cxd4 cxd4 e6 a3 d6 Bd3 Qa5+ Bd2 Qb6 Nc3 Nxc3 Bxc3 dxe5 dxe5 Be7 O-O Bd7 Nd2 Qc7 Qg4 O-O-O Rfc1 Kb8 Qc4 Rc8 b4 f6 Nf3 Qb6 Qe4 f5 Qe1 a6 Rab1 g5 Nd2 Nd4 Qe3 Rxc3 Rxc3 f4 Qe1 g4 Ne4 Bc6 Nc5 Ka7 a4 Bf3 a5 Qd8 Bc4 Bxc5 bxc5 Qh4 gxf3 gxf3 Kh1 Rg8 Qe4 Rg7 Qxd4 Qg5 c6+ Kb8 c7+ Rxc7 Rg1 Qh5 Rg8+ Rc8 Qd6+ Ka7,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 b8c6 g1f3 c5d4 c3d4 e7e6 a2a3 d7d6 f1d3 d8a5 c1d2 a5b6 b1c3 d5c3 d2c3 d6e5 d4e5 f8e7 e1g1 c8d7 f3d2 b6c7 d1g4 e8c8 f1c1 c8b8 g4c4 d8c8 b2b4 f7f6 d2f3 c7b6 c4e4 f6f5 e4e1 a7a6 a1b1 g7g5 f3d2 c6d4 e1e3 c8c3 c1c3 f5f4 e3e1 g5g4 d2e4 d7c6 e4c5 b8a7 a3a4 c6f3 a4a5 b6d8 d3c4 e7c5 b4c5 d8h4 g2f3 g4f3 g1h1 h8g8 e1e4 g8g7 e4d4 h4g5 c5c6 a7b8 c6c7 g7c7 b1g1 g5h5 g1g8 c7c8 d4d6 b8a7,
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Galle, Andre",,,1-0,1.0,C11,75,e4 e6 d4 d5 Nd2 Nf6 e5 Ne4 Nxe4 dxe4 Be3 b6 Ne2 Bb7 Ng3 c5 dxc5 Qxd1+ Rxd1 Bxc5 Bxc5 bxc5 Bb5+ Ke7 O-O Bc6 Bxc6 Nxc6 Nxe4 Nxe5 Nxc5 Rac8 b4 Rhd8 f3 a5 c3 axb4 cxb4 Nc6 Rxd8 Rxd8 b5 Nb4 Rb1 Nd5 b6 Rb8 b7 Nc7 Rb6 Kd8 Kf2 Nd5 Rd6+ Kc7 Rxd5 exd5 Na6+ Kxb7 Nxb8 Kxb8 Ke3 Kc7 Kd4 Kc6 a4 Kb6 Kxd5 Ka5 Kd6 Kxa4 Ke7 f5 Kf7,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6e4 d2e4 d5e4 c1e3 b7b6 g1e2 c8b7 e2g3 c7c5 d4c5 d8d1 a1d1 f8c5 e3c5 b6c5 f1b5 e8e7 e1g1 b7c6 b5c6 b8c6 g3e4 c6e5 e4c5 a8c8 b2b4 h8d8 f2f3 a7a5 c2c3 a5b4 c3b4 e5c6 d1d8 c8d8 b4b5 c6b4 f1b1 b4d5 b5b6 d8b8 b6b7 d5c7 b1b6 e7d8 g1f2 c7d5 b6d6 d8c7 d6d5 e6d5 c5a6 c7b7 a6b8 b7b8 f2e3 b8c7 e3d4 c7c6 a2a4 c6b6 d4d5 b6a5 d5d6 a5a4 d6e7 f7f5 e7f7,
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Grinberg, Nir",,,1/2-1/2,0.0,B45,33,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 Ndb5 Bb4 a3 Bxc3+ Nxc3 d5 exd5 exd5 Bd3 O-O O-O d4 Ne4 Bf5 Bg5 Bxe4 Bxe4 h6 Bxf6 Qxf6 Qh5 Rfe8 Rfe1,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4b5 f8b4 a2a3 b4c3 b5c3 d7d5 e4d5 e6d5 f1d3 e8g8 e1g1 d5d4 c3e4 c8f5 c1g5 f5e4 d3e4 h7h6 g5f6 d8f6 d1h5 f8e8 f1e1,
Wch U16,Wattignies,1976.??.??,?,"Roos, Louis","Kasparov, Gary",,,0-1,-1.0,B50,50,e4 c5 Nc3 e6 Nf3 d6 g3 Nc6 Bg2 Nf6 d3 Be7 O-O O-O h3 Rb8 a4 b6 Re1 Bb7 Bg5 h6 Be3 e5 g4 Nd4 Kh2 Nh7 Ng1 Bg5 Nd5 Ne6 Ne2 Bxd5 exd5 Nf4 Bxf4 Bxf4+ Nxf4 exf4 Be4 g6 Qd2 Qf6 c3 Rbe8 f3 Qh4 Qg2 Ng5,e2e4 c7c5 b1c3 e7e6 g1f3 d7d6 g2g3 b8c6 f1g2 g8f6 d2d3 f8e7 e1g1 e8g8 h2h3 a8b8 a2a4 b7b6 f1e1 c8b7 c1g5 h7h6 g5e3 e6e5 g3g4 c6d4 g1h2 f6h7 f3g1 e7g5 c3d5 d4e6 g1e2 b7d5 e4d5 e6f4 e3f4 g5f4 e2f4 e5f4 g2e4 g7g6 d1d2 d8f6 c2c3 b8e8 f2f3 f6h4 d2g2 h7g5,
Wch U16,Wattignies,1976.??.??,?,"Van der Wiel, John TH","Kasparov, Gary",,,1-0,1.0,B93,83,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f4 Qc7 a4 g6 Bd3 Bg7 Nf3 Bg4 Be3 Nc6 O-O O-O Qe1 Bxf3 Rxf3 e6 Qh4 Qd8 Rh3 h5 Be2 d5 e5 Nd7 Qf2 Qe7 g4 hxg4 Bxg4 Rad8 Rd1 f5 Bf3 Rf7 Kh1 g5 Bh5 g4 Bxf7+ Qxf7 Rg3 Qh5 Kg2 Nf8 Ne2 Ng6 h3 Nh4+ Kf1 Kf7 Ng1 d4 Bc1 gxh3 Qe2 Qxe2+ Nxe2 Ng6 Rxh3 Bf8 Rb3 Rd7 Rbd3 Bc5 c3 Ba7 Be3 Rd5 cxd4 Nb4 Rb3 a5 Bd2,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 d8c7 a2a4 g7g6 f1d3 f8g7 d4f3 c8g4 c1e3 b8c6 e1g1 e8g8 d1e1 g4f3 f1f3 e7e6 e1h4 c7d8 f3h3 h7h5 d3e2 d6d5 e4e5 f6d7 h4f2 d8e7 g2g4 h5g4 e2g4 a8d8 a1d1 f7f5 g4f3 f8f7 g1h1 g6g5 f3h5 g5g4 h5f7 e7f7 h3g3 f7h5 h1g2 d7f8 c3e2 f8g6 h2h3 g6h4 g2f1 g8f7 e2g1 d5d4 e3c1 g4h3 f2e2 h5e2 g1e2 h4g6 g3h3 g7f8 h3b3 d8d7 b3d3 f8c5 c2c3 c5a7 c1e3 d7d5 c3d4 c6b4 d3b3 a6a5 e3d2,
Wch U16,Wattignies,1976.??.??,?,"Dunne, David Joseph","Kasparov, Gary",,,0-1,-1.0,B51,114,e4 c5 Nf3 d6 Bb5+ Nd7 d4 Nf6 Nc3 cxd4 Qxd4 e5 Qd3 h6 Be3 Be7 O-O O-O Rad1 a6 Bc4 Qc7 a4 Nc5 Bxc5 Qxc5 Nd5 Nxd5 Bxd5 Rb8 Nd2 Bd7 Bb3 b5 a5 Rbc8 Nf3 Be6 Rfe1 Rfd8 Re2 Rc7 Red2 Rdc8 h3 Qb4 Bxe6 fxe6 Qb3 Rc4 Re2 Qxb3 cxb3 Rc1 Rxc1 Rxc1+ Kh2 Kf7 Ne1 Bd8 Nd3 Rd1 Nb4 Bxa5 Nxa6 Rc1 b4 Bb6 b3 Rc3 Ra2 Rxb3 Rc2 Bd4 Rc7+ Kf6 f3 Ra3 Rc6 Rc3 Rc7 Rxc7 Nxc7 Bc3 Nxb5 Bxb4 Na7 Kf7 Kg3 Ke8 Kg4 Kd7 f4 g6 h4 Kc7 f5 exf5+ exf5 gxf5+ Kxf5 Kb7 Nb5 Kb6 Nxd6 Bxd6 g4 Kc6 g5 hxg5 hxg5 Kd5 g6 Bf8,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 d2d4 g8f6 b1c3 c5d4 d1d4 e7e5 d4d3 h7h6 c1e3 f8e7 e1g1 e8g8 a1d1 a7a6 b5c4 d8c7 a2a4 d7c5 e3c5 c7c5 c3d5 f6d5 c4d5 a8b8 f3d2 c8d7 d5b3 b7b5 a4a5 b8c8 d2f3 d7e6 f1e1 f8d8 e1e2 c8c7 e2d2 d8c8 h2h3 c5b4 b3e6 f7e6 d3b3 c7c4 d2e2 b4b3 c2b3 c4c1 d1c1 c8c1 g1h2 g8f7 f3e1 e7d8 e1d3 c1d1 d3b4 d8a5 b4a6 d1c1 b3b4 a5b6 b2b3 c1c3 e2a2 c3b3 a2c2 b6d4 c2c7 f7f6 f2f3 b3a3 c7c6 a3c3 c6c7 c3c7 a6c7 d4c3 c7b5 c3b4 b5a7 f6f7 h2g3 f7e8 g3g4 e8d7 f3f4 g7g6 h3h4 d7c7 f4f5 e6f5 e4f5 g6f5 g4f5 c7b7 a7b5 b7b6 b5d6 b4d6 g2g4 b6c6 g4g5 h6g5 h4g5 c6d5 g5g6 d6f8,
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Rogers, Ian",,1865.0,1-0,1.0,B33,67,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 Be6 Nc4 Rc8 Ne3 Be7 Bxf6 Bxf6 Bc4 O-O Bb3 Nd4 O-O Bg5 Ncd5 Nxb3 axb3 g6 Kh1 Bh6 Qd3 f5 exf5 gxf5 f4 Kh8 Rad1 Qh4 Qe2 exf4 Nc4 Bf7 Qd3 Bh5 Nxd6 Bxd1 Nxc8 Bh5 Nce7 f3 gxf3 Qh3 Nf4 Qh4 Qd4+ Qf6 Qxf6+ Rxf6 Nxh5 Rf7 Nd5 f4 Re1,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 c8e6 a3c4 a8c8 c4e3 f8e7 g5f6 e7f6 f1c4 e8g8 c4b3 c6d4 e1g1 f6g5 c3d5 d4b3 a2b3 g7g6 g1h1 g5h6 d1d3 f7f5 e4f5 g6f5 f2f4 g8h8 a1d1 d8h4 d3e2 e5f4 e3c4 e6f7 e2d3 f7h5 c4d6 h5d1 d6c8 d1h5 c8e7 f4f3 g2f3 h4h3 d5f4 h3h4 d3d4 h4f6 d4f6 f8f6 f4h5 f6f7 e7d5 f5f4 f1e1,
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Cramling, Pia",,,1/2-1/2,0.0,C42,37,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Qe2 Qe7 d3 Nf6 Bg5 Nbd7 Nc3 Qxe2+ Bxe2 h6 Bh4 g6 d4 a6 O-O-O Bg7 Rhe1 O-O Bc4 b5 Bd5 Rb8 Bc6 Nb6 a3 Bb7 Bxb7 Rxb7 Bxf6,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 c1g5 b8d7 b1c3 e7e2 f1e2 h7h6 g5h4 g7g6 d3d4 a7a6 e1c1 f8g7 h1e1 e8g8 e2c4 b7b5 c4d5 a8b8 d5c6 d7b6 a2a3 c8b7 c6b7 b8b7 h4f6,
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Sendur, Adnan",,,1-0,1.0,B08,43,e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Be2 Nbd7 O-O O-O e5 dxe5 dxe5 Ng4 e6 Nde5 Qxd8 Rxd8 Nxe5 Nxe5 Nb5 c6 Nc7 Rb8 f4 Ng4 Bxg4 Bd4+ Kh1 Bb6 f5 Bxc7 fxg6 fxg6 Bh6 Be5 Rad1 Rxd1 Rxd1 Bd6 Rf1,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 b8d7 e1g1 e8g8 e4e5 d6e5 d4e5 f6g4 e5e6 d7e5 d1d8 f8d8 f3e5 g4e5 c3b5 c7c6 b5c7 a8b8 f2f4 e5g4 e2g4 g7d4 g1h1 d4b6 f4f5 b6c7 f5g6 f7g6 c1h6 c7e5 a1d1 d8d1 f1d1 e5d6 d1f1,
Telechess ol1 7778,telex,1977.??.??,?,"Kasparov, Gary","West, Guy",,,1-0,1.0,B40,23,e4 c5 Nf3 Nf6 Nc3 e6 d4 cxd4 Nxd4 Bb4 e5 Nd5 Bd2 Nxc3 bxc3 Bf8 Bd3 d6 Qe2 Nd7 Nxe6 Qb6 Nc7+,e2e4 c7c5 g1f3 g8f6 b1c3 e7e6 d2d4 c5d4 f3d4 f8b4 e4e5 f6d5 c1d2 d5c3 b2c3 b4f8 f1d3 d7d6 d1e2 b8d7 d4e6 d8b6 e6c7,
