event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.22,1.18,"Keymer,Vincent","Yankelevich,L",2014.0,2310.0,0-1,-1,E81,132,c4 Nf6 Nc3 g6 d4 Bg7 e4 d6 f3 O-O Be3 a6 Qd2 Nbd7 Bd3 c5 d5 b5 cxb5 Qa5 Nge2 Ne5 a4 axb5 Bxb5 Ba6 b3 Bxb5 Nxb5 Nd3+ Kd1 Qxb5 axb5 Rxa1+ Kc2 Nb4+ Qxb4 Nxd5 exd5 cxb4 Rxa1 Bxa1 Bd4 Bxd4 Nxd4 Rb8 Kd3 Kf8 Kc4 Ke8 Nc6 Rb7 Kxb4 Kd7 Ka5 e6 Ka6 Kc7 dxe6 fxe6 Nd4 Rb6+ Ka5 d5 f4 g5 g3 gxf4 gxf4 Rd6 h3 h6 Kb4 Kb6 Kc3 Kc5 b4+ Kb6 Kd3 Kc7 Nc6 Rd7 Kd4 Kd6 Ke3 Rb7 Nd4 Ra7 h4 Ra4 Nc2 e5 fxe5+ Kxe5 Kd3 Ra7 Ke3 Rc7 Kd3 Rg7 Ne3 h5 Nc2 Rg3+ Kd2 Ke4 Ne1 Rg6 Nc2 d4 Ne1 Rb6 Nd3 Rxb5 Ke2 Rb8 Nc5+ Kd5 Nd3 Re8+ Kf2 Re4 b5 Rxh4 b6 Kc6 Kg3 Rg4+ Kf3 Kxb6 Ne5 Kc5,c2c4 g8f6 b1c3 g7g6 d2d4 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 a7a6 d1d2 b8d7 f1d3 c7c5 d4d5 b7b5 c4b5 d8a5 g1e2 d7e5 a2a4 a6b5 d3b5 c8a6 b2b3 a6b5 c3b5 e5d3 e1d1 a5b5 a4b5 a8a1 d1c2 d3b4 d2b4 f6d5 e4d5 c5b4 h1a1 g7a1 e3d4 a1d4 e2d4 f8b8 c2d3 g8f8 d3c4 f8e8 d4c6 b8b7 c4b4 e8d7 b4a5 e7e6 a5a6 d7c7 d5e6 f7e6 c6d4 b7b6 a6a5 d6d5 f3f4 g6g5 g2g3 g5f4 g3f4 b6d6 h2h3 h7h6 a5b4 c7b6 b4c3 b6c5 b3b4 c5b6 c3d3 b6c7 d4c6 d6d7 d3d4 c7d6 d4e3 d7b7 c6d4 b7a7 h3h4 a7a4 d4c2 e6e5 f4e5 d6e5 e3d3 a4a7 d3e3 a7c7 e3d3 c7g7 c2e3 h6h5 e3c2 g7g3 d3d2 e5e4 c2e1 g3g6 e1c2 d5d4 c2e1 g6b6 e1d3 b6b5 d2e2 b5b8 d3c5 e4d5 c5d3 b8e8 e2f2 e8e4 b4b5 e4h4 b5b6 d5c6 f2g3 h4g4 g3f3 c6b6 d3e5 b6c5,-296.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.23,2.21,"Ruppert,W","Keymer,Vincent",2136.0,2014.0,1/2-1/2,0,A08,83,e4 c5 Nf3 e6 d3 Nc6 g3 d5 Nbd2 Nf6 Bg2 Be7 O-O O-O Re1 Qc7 e5 Nd7 Qe2 b5 Nf1 a5 Bf4 Ba6 h4 b4 N1h2 c4 Ng5 cxd3 Qh5 Bxg5 hxg5 dxc2 Ng4 Qd8 Be4 dxe4 Kg2 Re8 Rh1 Kf8 Qxh7 Ke7 g6 Nf8 Qxg7 Kd7 Nf6+ Kc7 Nxe8+ Qxe8 gxf7 Qe7 Rh8 Nd4 Qf6 Kd7 Rc1 Bd3 Bh6 Ne2 Re1 Rc8 Bc1 Qxf6 exf6 e5 Bh6 Ke6 Rxf8 Rxf8 Bxf8 c1=Q Rxc1 Nxc1 Bh6 Kxf7 Bxc1 Kxf6 Be3 Kf5 Kh3,e2e4 c7c5 g1f3 e7e6 d2d3 b8c6 g2g3 d7d5 b1d2 g8f6 f1g2 f8e7 e1g1 e8g8 f1e1 d8c7 e4e5 f6d7 d1e2 b7b5 d2f1 a7a5 c1f4 c8a6 h2h4 b5b4 f1h2 c5c4 f3g5 c4d3 e2h5 e7g5 h4g5 d3c2 h2g4 c7d8 g2e4 d5e4 g1g2 f8e8 e1h1 g8f8 h5h7 f8e7 g5g6 d7f8 h7g7 e7d7 g4f6 d7c7 f6e8 d8e8 g6f7 e8e7 h1h8 c6d4 g7f6 c7d7 a1c1 a6d3 f4h6 d4e2 c1e1 a8c8 h6c1 e7f6 e5f6 e6e5 c1h6 d7e6 h8f8 c8f8 h6f8 c2c1q e1c1 e2c1 f8h6 e6f7 h6c1 f7f6 c1e3 f6f5 g2h3,122.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.23,3.23,"Keymer,Vincent","Hahn,F",2014.0,2116.0,1-0,1,E32,91,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3+ Qxc3 Ne4 Qc2 f5 e3 b6 Bd3 Bb7 Ne2 Qh4 O-O Rf6 f3 Rh6 h3 Ng5 d5 Na6 b4 Rf8 Bb2 Nxh3+ gxh3 Qxh3 Be5 d6 Bg3 Rg6 Kf2 Rxg3 Nxg3 Qh2+ Ke1 Qxg3+ Ke2 Qe5 Rac1 Nb8 dxe6 Nc6 Kd2 Qh2+ Be2 Qh6 f4 Qxe6 Bf3 Nd8 Qd3 Bxf3 Rxf3 Nf7 Rg3 Nh6 Re1 Re8 Qd5 Ng4 e4 Nh6 exf5 Qxd5+ cxd5 Rxe1 Kxe1 Nxf5 Rc3 Ne7 Rxc7 Nxd5 Rxa7 h5 f5 Ne3 Rb7 Nc4 a4 Kf8 Rc7 d5 Rxc4,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 f6e4 c3c2 f7f5 e2e3 b7b6 f1d3 c8b7 g1e2 d8h4 e1g1 f8f6 f2f3 f6h6 h2h3 e4g5 d4d5 b8a6 b2b4 a8f8 c1b2 g5h3 g2h3 h4h3 b2e5 d7d6 e5g3 h6g6 g1f2 g6g3 e2g3 h3h2 f2e1 h2g3 e1e2 g3e5 a1c1 a6b8 d5e6 b8c6 e2d2 e5h2 d3e2 h2h6 f3f4 h6e6 e2f3 c6d8 c2d3 b7f3 f1f3 d8f7 f3g3 f7h6 c1e1 f8e8 d3d5 h6g4 e3e4 g4h6 e4f5 e6d5 c4d5 e8e1 d2e1 h6f5 g3c3 f5e7 c3c7 e7d5 c7a7 h7h5 f4f5 d5e3 a7b7 e3c4 a3a4 g8f8 b7c7 d6d5 c7c4,-102.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.24,4.14,"Manigk,S","Keymer,Vincent",2218.0,2014.0,1/2-1/2,0,E06,56,d4 d5 c4 e6 Nf3 Be7 g3 Nf6 Bg2 O-O O-O b6 cxd5 exd5 Nc3 Bf5 Bf4 c6 Rc1 Bd6 Be5 Qe7 Qa4 Nfd7 Bxd6 Qxd6 Nd2 b5 Qd1 a6 e4 Be6 Nb3 Rd8 e5 Qe7 f4 f5 exf6 Nxf6 f5 Bf7 g4 h5 Re1 Qd6 g5 Ng4 h3 Qh2+ Kf1 Qf4+ Kg1 Qh2+ Kf1 Qf4+,d2d4 d7d5 c2c4 e7e6 g1f3 f8e7 g2g3 g8f6 f1g2 e8g8 e1g1 b7b6 c4d5 e6d5 b1c3 c8f5 c1f4 c7c6 a1c1 e7d6 f4e5 d8e7 d1a4 f6d7 e5d6 e7d6 f3d2 b6b5 a4d1 a7a6 e2e4 f5e6 d2b3 f8d8 e4e5 d6e7 f2f4 f7f5 e5f6 d7f6 f4f5 e6f7 g3g4 h7h5 f1e1 e7d6 g4g5 f6g4 h2h3 d6h2 g1f1 h2f4 f1g1 f4h2 g1f1 h2f4,204.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.24,5.17,"Keymer,Vincent","Rolle,E",2014.0,2256.0,1-0,1,A65,71,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 e4 g6 Bd3 Bg7 h3 O-O Nf3 a6 a4 Nbd7 O-O Qc7 Re1 Re8 Bf4 Rb8 Rc1 Re7 Qd2 Nh5 Bh2 Ne5 Be2 Nxf3+ Bxf3 b5 Bxh5 gxh5 Qg5 Kh8 e5 dxe5 Ne4 Qd8 Rxc5 Rd7 Qxh5 f6 f4 Bb7 fxe5 Rxd5 Rc3 fxe5 Rg3 Qe8 Qg5 Qg6 Qe7 Qb6+ Kh1 Rg8 Ng5 h6 Ne6 Qd6 Rxg7 Qxe7 Rxe7 Rxg2 Rxb7,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f1d3 f8g7 h2h3 e8g8 g1f3 a7a6 a2a4 b8d7 e1g1 d8c7 f1e1 f8e8 c1f4 a8b8 a1c1 e8e7 d1d2 f6h5 f4h2 d7e5 d3e2 e5f3 e2f3 b7b5 f3h5 g6h5 d2g5 g8h8 e4e5 d6e5 c3e4 c7d8 c1c5 e7d7 g5h5 f7f6 f2f4 c8b7 f4e5 d7d5 c5c3 f6e5 c3g3 d8e8 h5g5 e8g6 g5e7 g6b6 g1h1 b8g8 e4g5 h7h6 g5e6 b6d6 g3g7 d6e7 g7e7 g8g2 e7b7,-242.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.25,6.9,"Neelotpal,D","Keymer,Vincent",2428.0,2014.0,1-0,1,D30,77,d4 d5 c4 e6 Nf3 Nf6 g3 Bb4+ Bd2 Be7 Bg2 O-O O-O c6 Qc2 b6 Rd1 Bb7 Ne5 Qc8 Nc3 Rd8 Bf4 Nbd7 Rac1 c5 dxc5 Nxe5 Bxe5 dxc4 Rxd8+ Bxd8 Ne4 Bd5 Nxf6+ gxf6 e4 Bb7 Bd6 b5 Qe2 Bc7 Qg4+ Kh8 Qf4 Bxd6 Qxf6+ Kg8 Qg5+ Kh8 cxd6 Qd7 Rd1 Rg8 Qf6+ Rg7 h4 Kg8 h5 Bc6 e5 Bxg2 Kxg2 Kf8 Qf3 Rg8 b3 h6 bxc4 bxc4 Rd4 Rg5 Rxc4 Rxe5 Rc7 Qe8 d7,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 f8b4 c1d2 b4e7 f1g2 e8g8 e1g1 c7c6 d1c2 b7b6 f1d1 c8b7 f3e5 d8c8 b1c3 f8d8 d2f4 b8d7 a1c1 c6c5 d4c5 d7e5 f4e5 d5c4 d1d8 e7d8 c3e4 b7d5 e4f6 g7f6 e2e4 d5b7 e5d6 b6b5 c2e2 d8c7 e2g4 g8h8 g4f4 c7d6 f4f6 h8g8 f6g5 g8h8 c5d6 c8d7 c1d1 a8g8 g5f6 g8g7 h2h4 h8g8 h4h5 b7c6 e4e5 c6g2 g1g2 g8f8 f6f3 g7g8 b2b3 h7h6 b3c4 b5c4 d1d4 g8g5 d4c4 g5e5 c4c7 d7e8 d6d7,414.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.25,7.15,"Keymer,Vincent","Werner,Di",2014.0,2103.0,0-1,-1,C41,52,e4 e5 Nf3 d6 d4 Nd7 Nc3 c6 Bc4 Be7 O-O Ngf6 a4 O-O d5 a5 Re1 Nc5 h3 cxd5 Bxd5 Be6 Bxe6 fxe6 b3 Rc8 Qd2 Nh5 Qe3 Nf4 g3 Nh5 Ba3 Qe8 Rad1 Qg6 Kg2 Rf7 Rd2 Rcf8 Nxe5 dxe5 Bxc5 Bg5 f4 Bxf4 Qd3 Bxd2 Qxd2 Qxg3+ Kh1 Rf1+,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 b1c3 c7c6 f1c4 f8e7 e1g1 g8f6 a2a4 e8g8 d4d5 a7a5 f1e1 d7c5 h2h3 c6d5 c4d5 c8e6 d5e6 f7e6 b2b3 a8c8 d1d2 f6h5 d2e3 h5f4 g2g3 f4h5 c1a3 d8e8 a1d1 e8g6 g1g2 f8f7 d1d2 c8f8 f3e5 d6e5 a3c5 e7g5 f2f4 g5f4 e3d3 f4d2 d3d2 g6g3 g2h1 f7f1,-89.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.26,8.21,"Humburg,Philipp","Keymer,Vincent",2088.0,2014.0,1-0,1,B40,93,e4 c5 Nf3 e6 Qe2 Nc6 g3 a6 Bg2 b5 c3 Qb6 a4 Bb7 axb5 axb5 Rxa8+ Bxa8 Na3 c4 d3 Na5 Be3 Qb8 Bf4 Qb6 Nd2 cxd3 Qxd3 Bc6 b4 Nb7 O-O d6 Ra1 Bd7 Be3 Qc6 e5 d5 Nb3 Nd8 Nd4 Qb7 Naxb5 Be7 Ra7 Qc8 Nc7+ Kf8 Qa6 Qxa6 Nxa6 Bc8 Bf1 f6 f4 Nh6 Ra8 Bd7 b5 Kf7 b6 Ng4 exf6 gxf6 b7 Nxb7 Rxh8 Nxe3 Rxh7+ Kf8 Bh3 f5 Nb8 Ba4 Nxe6+ Ke8 Nd4 Nd6 Nbc6 Bf6 Ne5 Bd1 Rh6 Ne4 Bxf5 Nxf5 Nxf5 Kd8 Rh7 Kc8 Ne7+,e2e4 c7c5 g1f3 e7e6 d1e2 b8c6 g2g3 a7a6 f1g2 b7b5 c2c3 d8b6 a2a4 c8b7 a4b5 a6b5 a1a8 b7a8 b1a3 c5c4 d2d3 c6a5 c1e3 b6b8 e3f4 b8b6 f3d2 c4d3 e2d3 a8c6 b2b4 a5b7 e1g1 d7d6 f1a1 c6d7 f4e3 b6c6 e4e5 d6d5 d2b3 b7d8 b3d4 c6b7 a3b5 f8e7 a1a7 b7c8 b5c7 e8f8 d3a6 c8a6 c7a6 d7c8 g2f1 f7f6 f2f4 g8h6 a7a8 c8d7 b4b5 f8f7 b5b6 h6g4 e5f6 g7f6 b6b7 d8b7 a8h8 g4e3 h8h7 f7f8 f1h3 f6f5 a6b8 d7a4 d4e6 f8e8 e6d4 b7d6 b8c6 e7f6 c6e5 a4d1 h7h6 d6e4 h3f5 e3f5 d4f5 e8d8 h6h7 d8c8 f5e7,74.0
2nd Hofheim Spring Open 2014,Hofheim GER,2014.04.26,9.22,"Keymer,Vincent","Buckels,Valentin",2014.0,2074.0,1-0,1,A20,157,c4 e5 g3 Nc6 Bg2 f5 Nc3 Nf6 e3 d5 cxd5 Nb4 d3 Nfxd5 Nxd5 Nxd5 Nf3 Bd6 O-O Nf6 b3 O-O Bb2 Qe7 Nd2 c6 Nc4 Rd8 Qc2 Nd5 a3 Nb6 Nd2 Be6 Rfe1 Qf7 Rab1 Re8 b4 Rad8 Nf3 Bb3 Qe2 Bb8 Bxe5 Rxe5 Qb2 Re7 Qxb3 Red7 Qxf7+ Kxf7 Bf1 Kf6 Rbc1 g5 Nd2 Be5 Rc2 Rg7 Kh1 Rgd7 Nb3 h5 Nc5 Rh7 Kg1 h4 d4 Bb8 Bd3 hxg3 fxg3 Re7 Rf2 f4 h4 gxh4 Ne4+ Kg7 gxf4 Nd5 Rg2+ Kh6 Kf2 Bxf4 Rg4 Bxe3+ Rxe3 Nxe3 Rxh4+ Kg7 Kxe3 a5 Rg4+ Kh6 b5 Rd5 a4 cxb5 Bxb5 Rf5 Rf4 Kg6 Rxf5 Kxf5 Kf3 Ke6 Bc4+ Kd7 Ke3 Rg7 d5 Rg1 Bb5+ Kd8 Kd4 b6 d6 Rd1+ Ke5 Re1 Kd5 Rc1 d7 Rd1+ Ke6 Re1 Bc6 Re3 Kd6 Rd3+ Bd5 Rd4 Ng5 Rxd5+ Kxd5 Kxd7 Ne6 Kc8 Kc6 Kb8 Kxb6 Ka8 Kxa5 Ka7 Kb5 Kb7 a5 Ka7 a6 Kb8 Kb6 Ka8 Nc7+ Kb8 a7+,c2c4 e7e5 g2g3 b8c6 f1g2 f7f5 b1c3 g8f6 e2e3 d7d5 c4d5 c6b4 d2d3 f6d5 c3d5 b4d5 g1f3 f8d6 e1g1 d5f6 b2b3 e8g8 c1b2 d8e7 f3d2 c7c6 d2c4 f8d8 d1c2 f6d5 a2a3 d5b6 c4d2 c8e6 f1e1 e7f7 a1b1 d8e8 b3b4 a8d8 d2f3 e6b3 c2e2 d6b8 b2e5 e8e5 e2b2 e5e7 b2b3 e7d7 b3f7 g8f7 g2f1 f7f6 b1c1 g7g5 f3d2 b8e5 c1c2 d7g7 g1h1 g7d7 d2b3 h7h5 b3c5 d7h7 h1g1 h5h4 d3d4 e5b8 f1d3 h4g3 f2g3 h7e7 c2f2 f5f4 h2h4 g5h4 c5e4 f6g7 g3f4 b6d5 f2g2 g7h6 g1f2 b8f4 g2g4 f4e3 e1e3 d5e3 g4h4 h6g7 f2e3 a7a5 h4g4 g7h6 b4b5 d8d5 a3a4 c6b5 d3b5 d5f5 g4f4 h6g6 f4f5 g6f5 e3f3 f5e6 b5c4 e6d7 f3e3 e7g7 d4d5 g7g1 c4b5 d7d8 e3d4 b7b6 d5d6 g1d1 d4e5 d1e1 e5d5 e1c1 d6d7 c1d1 d5e6 d1e1 b5c6 e1e3 e6d6 e3d3 c6d5 d3d4 e4g5 d4d5 d6d5 d8d7 g5e6 d7c8 d5c6 c8b8 c6b6 b8a8 b6a5 a8a7 a5b5 a7b7 a4a5 b7a7 a5a6 a7b8 b5b6 b8a8 e6c7 a8b8 a6a7,-60.0
85th ch-GER 2014,Verden an der Aller GER,2014.11.21,1.20,"Keymer,Vincent","Thiel,T",2116.0,2323.0,1/2-1/2,0,D10,116,d4 d5 c4 c6 Nc3 Nf6 e3 g6 Nf3 Bg7 b3 O-O Bb2 c5 cxd5 cxd4 Nxd4 Nxd5 Rc1 Nb4 Bc4 a6 a3 N4c6 Ne4 Nxd4 Bxd4 Bxd4 exd4 b5 Be2 Bb7 Bf3 Bxe4 Bxe4 Ra7 b4 Rd7 d5 e6 O-O exd5 Bd3 Rc7 Qd2 Rxc1 Rxc1 Qd6 Be4 Rd8 Bf3 Nc6 Rc5 Ne5 Be2 Nc4 Qd3 d4 g3 Nb2 Qd2 Na4 Rc1 Nc3 Bf1 Qf6 Re1 Kg7 Qd3 h5 h4 Rd5 f4 Rd6 Re5 Rd5 Re1 Na4 Kf2 Nb2 Qb3 Nc4 Bxc4 bxc4 Qxc4 Qf5 Ke2 Rd6 Qc5 Qf6 Rd1 Kh7 Rd3 Qe6+ Kd1 Qe4 Qc4 Qh1+ Kd2 Qg2+ Kd1 Kg7 Qc5 Rd5 Qc4 Qf1+ Kd2 Rd6 Qc5 Qg2+ Kd1 Rd5 Qc4 Kh7 Qc7 Kg7,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 g7g6 g1f3 f8g7 b2b3 e8g8 c1b2 c6c5 c4d5 c5d4 f3d4 f6d5 a1c1 d5b4 f1c4 a7a6 a2a3 b4c6 c3e4 c6d4 b2d4 g7d4 e3d4 b7b5 c4e2 c8b7 e2f3 b7e4 f3e4 a8a7 b3b4 a7d7 d4d5 e7e6 e1g1 e6d5 e4d3 d7c7 d1d2 c7c1 f1c1 d8d6 d3e4 f8d8 e4f3 b8c6 c1c5 c6e5 f3e2 e5c4 d2d3 d5d4 g2g3 c4b2 d3d2 b2a4 c5c1 a4c3 e2f1 d6f6 c1e1 g8g7 d2d3 h7h5 h2h4 d8d5 f2f4 d5d6 e1e5 d6d5 e5e1 c3a4 g1f2 a4b2 d3b3 b2c4 f1c4 b5c4 b3c4 f6f5 f2e2 d5d6 c4c5 f5f6 e1d1 g7h7 d1d3 f6e6 e2d1 e6e4 c5c4 e4h1 d1d2 h1g2 d2d1 h7g7 c4c5 d6d5 c5c4 g2f1 d1d2 d5d6 c4c5 f1g2 d2d1 d6d5 c5c4 g7h7 c4c7 h7g7,-207.0
