event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Levin, Felix",,2295.0,0-1,-1,E12,85,d4 Nf6 c4 e6 Nf3 b6 Nc3 Bb7 a3 d5 cxd5 Nxd5 Qa4+ c6 e4 Nxc3 bxc3 Nd7 Bd3 Be7 Qc2 c5 Bb2 Qc7 Qe2 O-O O-O Rfe8 Rad1 Rac8 Rfe1 Bf8 e5 h6 Nd2 Bd5 f4 c4 Bb1 f5 exf6 Nxf6 Nf3 Bxf3 Qxf3 Bd6 g3 Qc6 Qf1 Qb5 Rd2 Kf7 Rde2 Re7 Qf2 Qc6 h3 Rce8 g4 Nd5 Re4 Kg8 g5 Rf8 Qc2 Bxf4 Rf1 Bxg5 Ree1 Rxf1+ Rxf1 Rf7 Qh7+ Kf8 Rxf7+ Kxf7 Bg6+ Kf6 Be4 Qe8 Bf3 Qg6 Qxg6+ Kxg6 a4,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1a4 c7c6 e2e4 d5c3 b2c3 b8d7 f1d3 f8e7 a4c2 c6c5 c1b2 d8c7 c2e2 e8g8 e1g1 f8e8 a1d1 a8c8 f1e1 e7f8 e4e5 h7h6 f3d2 b7d5 f2f4 c5c4 d3b1 f7f5 e5f6 d7f6 d2f3 d5f3 e2f3 f8d6 g2g3 c7c6 f3f1 c6b5 d1d2 g8f7 d2e2 e8e7 f1f2 b5c6 h2h3 c8e8 g3g4 f6d5 e2e4 f7g8 g4g5 e8f8 f2c2 d6f4 e1f1 f4g5 e4e1 f8f1 e1f1 e7f7 c2h7 g8f8 f1f7 f8f7 b1g6 f7f6 g6e4 c6e8 e4f3 e8g6 h7g6 f6g6 a3a4,
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Tseitlin, Mark D",,2445.0,1-0,1,E91,97,Nf3 Nf6 c4 g6 Nc3 Bg7 e4 O-O d4 d6 Be2 Bg4 Be3 Nfd7 Ng1 Bxe2 Ngxe2 e5 O-O exd4 Nxd4 Re8 Qd2 Nc5 Rae1 Nc6 Nxc6 bxc6 Bd4 Bxd4 Qxd4 a5 f4 Qb8 Rf2 Qb4 a3 Qb3 e5 f5 Rfe2 Ne6 exd6 Nxd4 Rxe8+ Rxe8 Rxe8+ Kf7 dxc7 Ne2+ Kf1 Nxc3 c8=Q Qd1+ Re1 Qd3+ Kg1 Qd4+ Kh1 Ne4 Qc7+ Kg8 h3 Qf2 Qd8+ Kg7 Rxe4 fxe4 Qe7+ Kg8 Qxe4 Qxb2 Kh2 Qxa3 Qxc6 a4 c5 Qc3 Qxa4 Qxc5 Qe8+ Kg7 Qe5+ Qxe5 fxe5 g5 Kg3 Kg6 e6 Kf6 Kg4 Kg6 e7 h5+ Kf3 Kf7 Ke4,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 d2d4 d7d6 f1e2 c8g4 c1e3 f6d7 f3g1 g4e2 g1e2 e7e5 e1g1 e5d4 e2d4 f8e8 d1d2 d7c5 a1e1 b8c6 d4c6 b7c6 e3d4 g7d4 d2d4 a7a5 f2f4 d8b8 f1f2 b8b4 a2a3 b4b3 e4e5 f7f5 f2e2 c5e6 e5d6 e6d4 e2e8 a8e8 e1e8 g8f7 d6c7 d4e2 g1f1 e2c3 c7c8q b3d1 e8e1 d1d3 f1g1 d3d4 g1h1 c3e4 c8c7 f7g8 h2h3 d4f2 c7d8 g8g7 e1e4 f5e4 d8e7 g7g8 e7e4 f2b2 h1h2 b2a3 e4c6 a5a4 c4c5 a3c3 c6a4 c3c5 a4e8 g8g7 e8e5 c5e5 f4e5 g6g5 h2g3 g7g6 e5e6 g6f6 g3g4 f6g6 e6e7 h7h5 g4f3 g6f7 f3e4,
Tbilisi,Tbilisi,1985.??.??,?,"Semeniuk, Alexander A","Krasenkow, Michal",,,1/2-1/2,0,B33,74,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Ndb5 d6 Bf4 e5 Bg5 a6 Na3 b5 Nd5 Be7 Bxf6 Bxf6 c3 Ne7 Nxe7 Bxe7 Be2 Be6 Bf3 Qb6 O-O O-O Nc2 Bg5 Bg4 Bh6 Bxe6 fxe6 Qe2 Rf7 Kh1 a5 f3 Rc7 a3 g6 Rad1 Qc6 Rd3 Qc4 Rfd1 Bf8 Qd2 Rb8 Ne3 Qc5 Ng4 b4 axb4 axb4 h3 Be7 Ra1 Qb6 cxb4 Qxb4 Ra8 Rb7 Qxb4 Rxb4 Rxb8+ Rxb8 b3 Rc8,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 c6e7 d5e7 f6e7 f1e2 c8e6 e2f3 d8b6 e1g1 e8g8 a3c2 e7g5 f3g4 g5h6 g4e6 f7e6 d1e2 f8f7 g1h1 a6a5 f2f3 f7c7 a2a3 g7g6 a1d1 b6c6 d1d3 c6c4 f1d1 h6f8 e2d2 a8b8 c2e3 c4c5 e3g4 b5b4 a3b4 a5b4 h2h3 f8e7 d1a1 c5b6 c3b4 b6b4 a1a8 c7b7 d2b4 b7b4 a8b8 b4b8 b2b3 b8c8,
Tbilisi,Tbilisi,1985.??.??,?,"Lanka, Zigurds","Krasenkow, Michal",2370.0,,1-0,1,B33,83,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Bxf6 gxf6 Nd5 f5 g3 fxe4 Bg2 Be6 Bxe4 Rc8 c3 Bg7 Qh5 Ne7 Rd1 Rc5 Nb4 Qb6 Qg5 Kf8 Qe3 f5 Bg2 e4 O-O Kf7 Rfe1 Ng6 Nac2 a5 Nd3 Rc6 Nd4 Rc4 Nf4 Nxf4 Qxf4 Bxd4 cxd4 d5 Qe3 Qc7 Qh6 Qe7 Bf1 Rcc8 Bxb5 Qf6 Qf4 Rc2 Be2 Kg6 h4 h6 Rd2 Rhc8 Red1 Bd7 Rxc2 Rxc2 Rd2 Rxd2 Qxd2 f4 h5+ Kg5 Qxa5,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 g2g3 f5e4 f1g2 c8e6 g2e4 a8c8 c2c3 f8g7 d1h5 c6e7 a1d1 c8c5 d5b4 d8b6 h5g5 e8f8 g5e3 f7f5 e4g2 e5e4 e1g1 f8f7 f1e1 e7g6 a3c2 a6a5 b4d3 c5c6 c2d4 c6c4 d3f4 g6f4 e3f4 g7d4 c3d4 d6d5 f4e3 b6c7 e3h6 c7e7 g2f1 c4c8 f1b5 e7f6 h6f4 c8c2 b5e2 f7g6 h2h4 h7h6 d1d2 h8c8 e1d1 e6d7 d2c2 c8c2 d1d2 c2d2 f4d2 f5f4 h4h5 g6g5 d2a5,
Tbilisi,Tbilisi,1985.??.??,?,"Lukianov, I.","Krasenkow, Michal",,,1/2-1/2,0,B33,124,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Ndb5 d6 Bf4 e5 Bg5 a6 Na3 b5 Nd5 Be7 Bxf6 Bxf6 c3 Ne7 Nxf6+ gxf6 g3 Bb7 Bg2 f5 Qd3 Qb6 O-O Ng6 Nc2 Rg8 exf5 Nf4 Qe3 Qxe3 Nxe3 Nxg2 Nxg2 Bxg2 Kxg2 Rg5 a4 Rb8 axb5 axb5 Ra6 Ke7 f4 Rxf5 fxe5 Rxe5 Ra7+ Ke6 Raxf7 h5 R7f4 Ra8 R1f2 Ra1 Rd4 Ra4 Kf3 Rxd4 cxd4 Rg5 Ke4 h4 d5+ Ke7 Rf5 Rg8 Kf3 hxg3 hxg3 Rc8 Rf4 Rc5 Ke4 b4 g4 b3 Rf3 Rc4+ Kf5 Rd4 Rxb3 Rxd5+ Kg6 Rd2 Re3+ Kd7 b3 d5 g5 d4 Rg3 Ke6 Kg7 Rc2 g6 Rc3 Rxc3 dxc3 Kf8 c2 g7 c1=Q g8=Q+ Kd6 Qg3+ Kc6 Qg2+ Kc5 Qb7 Qh6+ Ke8 Qh8+ Kd7 Qg7+,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 c6e7 d5f6 g7f6 g2g3 c8b7 f1g2 f6f5 d1d3 d8b6 e1g1 e7g6 a3c2 h8g8 e4f5 g6f4 d3e3 b6e3 c2e3 f4g2 e3g2 b7g2 g1g2 g8g5 a2a4 a8b8 a4b5 a6b5 a1a6 e8e7 f2f4 g5f5 f4e5 f5e5 a6a7 e7e6 a7f7 h7h5 f7f4 b8a8 f1f2 a8a1 f4d4 a1a4 g2f3 a4d4 c3d4 e5g5 f3e4 h5h4 d4d5 e6e7 f2f5 g5g8 e4f3 h4g3 h2g3 g8c8 f5f4 c8c5 f3e4 b5b4 g3g4 b4b3 f4f3 c5c4 e4f5 c4d4 f3b3 d4d5 f5g6 d5d2 b3e3 e7d7 b2b3 d6d5 g4g5 d5d4 e3g3 d7e6 g6g7 d2c2 g5g6 c2c3 g3c3 d4c3 g7f8 c3c2 g6g7 c2c1q g7g8q e6d6 g8g3 d6c6 g3g2 c6c5 g2b7 c1h6 f8e8 h6h8 e8d7 h8g7,
Tbilisi,Tbilisi,1985.??.??,?,"Naumkin, Igor","Krasenkow, Michal",2370.0,,1/2-1/2,0,D85,154,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5 Rb1 O-O Be2 Qa5 O-O cxd4 cxd4 Qxa2 Bg5 Re8 Bb5 Bd7 Bxd7 Nxd7 Rxb7 Nf6 Qd3 Rab8 Rfb1 Rxb7 Rxb7 Qa4 h3 Bf8 Ne5 Rd8 Bxf6 exf6 Qf3 Rd6 Nxf7 Rd7 e5 Qa1+ Kh2 Qxd4 Qxf6 Rxb7 Qh8+ Kxf7 e6+ Kxe6 Qxd4 Re7 g3 Kf7 Kg2 Kg8 Kf3 h6 Kg4 Rf7 f4 Kh7 Qd5 h5+ Kf3 Rf6 Qd7+ Bg7 Qxa7 Kg8 Qd7 Kh7 Ke4 Rf5 Qd8 Rc5 Qb8 Rf5 g4 hxg4 hxg4 Rf6 Qb3 Rf8 Qh3+ Kg8 Qh4 Rf6 Qh2 Ra6 Qd2 Rf6 Qc1 Kh7 Qc7 Kg8 Qe7 Kh7 Kf3 Ra6 Kg3 Kg8 Qe8+ Kh7 Qd7 Rf6 f5 Rf8 Kh4 gxf5 g5 f4 Kh5 f3 Qd3+ Kh8 Kg6 Be5 Qe4 Rg8+ Kh5 Bg7 Qxf3 Bf8 Qc3+ Rg7 Qf6 Kg8 Qe6+ Kh8 Kg4 Re7 Qd5 Rg7 Kf5 Re7 Kf6 Rg7 Qa8 Kg8 g6 Re7 Qb8 Rg7 Qb3+ Kh8 Qb8 Kg8,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 d8a5 e1g1 c5d4 c3d4 a5a2 c1g5 f8e8 e2b5 c8d7 b5d7 b8d7 b1b7 d7f6 d1d3 a8b8 f1b1 b8b7 b1b7 a2a4 h2h3 g7f8 f3e5 e8d8 g5f6 e7f6 d3f3 d8d6 e5f7 d6d7 e4e5 a4a1 g1h2 a1d4 f3f6 d7b7 f6h8 g8f7 e5e6 f7e6 h8d4 b7e7 g2g3 e6f7 h2g2 f7g8 g2f3 h7h6 f3g4 e7f7 f2f4 g8h7 d4d5 h6h5 g4f3 f7f6 d5d7 f8g7 d7a7 h7g8 a7d7 g8h7 f3e4 f6f5 d7d8 f5c5 d8b8 c5f5 g3g4 h5g4 h3g4 f5f6 b8b3 f6f8 b3h3 h7g8 h3h4 f8f6 h4h2 f6a6 h2d2 a6f6 d2c1 g8h7 c1c7 h7g8 c7e7 g8h7 e4f3 f6a6 f3g3 h7g8 e7e8 g8h7 e8d7 a6f6 f4f5 f6f8 g3h4 g6f5 g4g5 f5f4 h4h5 f4f3 d7d3 h7h8 h5g6 g7e5 d3e4 f8g8 g6h5 e5g7 e4f3 g7f8 f3c3 g8g7 c3f6 h8g8 f6e6 g8h8 h5g4 g7e7 e6d5 e7g7 g4f5 g7e7 f5f6 e7g7 d5a8 h8g8 g5g6 g7e7 a8b8 e7g7 b8b3 g8h8 b3b8 h8g8,
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Nenashev, Alexander",2635.0,2405.0,1-0,1,D31,57,d4 d5 c4 e6 Nc3 c6 Nf3 dxc4 Bg5 f6 Bf4 Ne7 e4 Ng6 Bd2 b5 h4 Bb4 h5 Ne7 h6 g6 b3 cxb3 Qxb3 a5 a4 Bxc3 Bxc3 b4 Bb2 Na6 d5 exd5 Bxf6 O-O Qb2 Nc5 Bh4 d4 Nxd4 Rf7 Nxc6 Qd3 Nxe7+ Rxe7 Bxe7 Qxe4+ Qe2 Nd3+ Kd2 Qd4 Qxd3 Qb2+ Ke3 Be6 Qd4,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 d5c4 c1g5 f7f6 g5f4 g8e7 e2e4 e7g6 f4d2 b7b5 h2h4 f8b4 h4h5 g6e7 h5h6 g7g6 b2b3 c4b3 d1b3 a7a5 a2a4 b4c3 d2c3 b5b4 c3b2 b8a6 d4d5 e6d5 b2f6 e8g8 b3b2 a6c5 f6h4 d5d4 f3d4 f8f7 d4c6 d8d3 c6e7 f7e7 h4e7 d3e4 b2e2 c5d3 e1d2 e4d4 e2d3 d4b2 d2e3 c8e6 d3d4,230.0
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Nenashev, Alexander",,2405.0,0-1,-1,C46,88,e4 e5 Nf3 Nc6 Nc3 Bc5 Nxe5 Bxf2+ Kxf2 Nxe5 d4 Nc6 Be3 d6 Bd3 Nh6 h3 O-O Rf1 Qh4+ Kg1 Bxh3 Bxh6 gxh6 Qf3 Bg4 Qf4 Ne7 Bc4 Ng6 Qf6 Qxf6 Rxf6 Rae8 Raf1 Be6 Bd3 Kg7 Ne2 h5 a4 Bg4 Nc3 Re6 R6f2 c6 Bc4 Re7 Rf6 Rd7 Nb1 a6 a5 d5 exd5 cxd5 Bd3 Re8 Nc3 h4 Na4 Rde7 Nb6 Rd8 Kh2 h5 R1f2 Nf8 c3 Ne6 Rf1 Ng5 R6f4 h3 g3 Re3 Bb1 Rde8 R4f2 Re2 Bd3 Nf3+ Kh1 Rxf2 Rxf2 Re1+ Rf1 Re3,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 f3e5 c5f2 e1f2 c6e5 d2d4 e5c6 c1e3 d7d6 f1d3 g8h6 h2h3 e8g8 h1f1 d8h4 f2g1 c8h3 e3h6 g7h6 d1f3 h3g4 f3f4 c6e7 d3c4 e7g6 f4f6 h4f6 f1f6 a8e8 a1f1 g4e6 c4d3 g8g7 c3e2 h6h5 a2a4 e6g4 e2c3 e8e6 f6f2 c7c6 d3c4 e6e7 f2f6 e7d7 c3b1 a7a6 a4a5 d6d5 e4d5 c6d5 c4d3 f8e8 b1c3 h5h4 c3a4 d7e7 a4b6 e8d8 g1h2 h7h5 f1f2 g6f8 c2c3 f8e6 f2f1 e6g5 f6f4 h4h3 g2g3 e7e3 d3b1 d8e8 f4f2 e3e2 b1d3 g5f3 h2h1 e2f2 f1f2 e8e1 f2f1 e1e3,
Vani,Vani,1985.??.??,?,"Tkebuchava, Gocha","Krasenkow, Michal",,,1-0,1,D00,93,d4 Nf6 Nf3 g6 Nc3 d5 Bf4 Bg7 Qd2 O-O Bh6 Bf5 Bxg7 Kxg7 e3 Qd6 Bd3 Nbd7 O-O c6 Bxf5 gxf5 Nh4 e6 Qd3 Kh8 f3 Rg8 Kh1 Nh5 Qd2 Qe7 Qf2 c5 g3 cxd4 exd4 Qb4 Rab1 Rg7 Rg1 Rag8 a3 Qd6 Ne2 Nf8 Qe3 Nf6 Nf4 Ng6 Nhg2 Rc8 c3 Nxf4 Nxf4 Rgg8 Nd3 Nd7 Rbf1 Rg7 g4 fxg4 fxg4 f6 g5 fxg5 Rxg5 Rcg8 Rh5 Qc7 Rh6 Rg2 Ne5 Rxb2 Qc1 Nxe5 Qxb2 Qg7 Rh3 Qg4 Rg3 Qe4+ Qg2 Qxg2+ Rxg2 Nc4 Rf7 Rxg2 Kxg2 Nxa3 Rxb7 a5 Kf3,d2d4 g8f6 g1f3 g7g6 b1c3 d7d5 c1f4 f8g7 d1d2 e8g8 f4h6 c8f5 h6g7 g8g7 e2e3 d8d6 f1d3 b8d7 e1g1 c7c6 d3f5 g6f5 f3h4 e7e6 d2d3 g7h8 f2f3 f8g8 g1h1 f6h5 d3d2 d6e7 d2f2 c6c5 g2g3 c5d4 e3d4 e7b4 a1b1 g8g7 f1g1 a8g8 a2a3 b4d6 c3e2 d7f8 f2e3 h5f6 e2f4 f8g6 h4g2 g8c8 c2c3 g6f4 g2f4 g7g8 f4d3 f6d7 b1f1 g8g7 g3g4 f5g4 f3g4 f7f6 g4g5 f6g5 g1g5 c8g8 g5h5 d6c7 h5h6 g7g2 d3e5 g2b2 e3c1 d7e5 c1b2 c7g7 h6h3 g7g4 h3g3 g4e4 b2g2 e4g2 g3g2 e5c4 f1f7 g8g2 h1g2 c4a3 f7b7 a7a5 g2f3,
Vani,Vani,1985.??.??,?,"Tunik, Gennady","Krasenkow, Michal",2435.0,,1-0,1,B22,39,e4 c5 c3 d5 exd5 Qxd5 d4 e6 Nf3 Nf6 Na3 Be7 Nb5 Na6 Be2 O-O O-O cxd4 Qxd4 b6 Qxd5 Nxd5 Nfd4 Bb7 Bf3 Nc5 b4 Nd3 c4 a6 cxd5 Bf6 Rd1 Nxb4 Ba3 axb5 Bxb4 Rfd8 d6,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 e7e6 g1f3 g8f6 b1a3 f8e7 a3b5 b8a6 f1e2 e8g8 e1g1 c5d4 d1d4 b7b6 d4d5 f6d5 f3d4 c8b7 e2f3 a6c5 b2b4 c5d3 c3c4 a7a6 c4d5 e7f6 f1d1 d3b4 c1a3 a6b5 a3b4 f8d8 d5d6,
