event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Aabybro m,Aabybro,1952.??.??,1,"Pedersen, Eigil","Larsen, Bent",,,0-1,-1,E48,80,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O Bd3 d5 Ne2 c5 O-O dxc4 Bxc4 Nc6 a3 cxd4 exd4 Bd6 Qd3 a6 Bb3 Qc7 Bc2 h6 Ng3 Rd8 Be3 b5 Rae1 b4 Nce4 Nxe4 Nxe4 Bxh2+ Kh1 Be5 Ng3 g6 Ne2 a5 Qe4 Bg7 Ba4 Bb7 Rc1 Rac8 Rfd1 Ba8 Nf4 Qd6 d5 Ne7 axb4 axb4 Rxc8 Rxc8 Nd3 Nxd5 Bc5 Rxc5 Nxc5 Qxc5 Be8 Nc3 Bxf7+ Kxf7 Rd7+ Kf6 Qf4+ Qf5 Qxf5+ Kxf5 Rxg7 Ne4 Rf7+ Nf6 f3 Bc6,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1e2 c7c5 e1g1 d5c4 d3c4 b8c6 a2a3 c5d4 e3d4 b4d6 d1d3 a7a6 c4b3 d8c7 b3c2 h7h6 e2g3 f8d8 c1e3 b7b5 a1e1 b5b4 c3e4 f6e4 g3e4 d6h2 g1h1 h2e5 e4g3 g7g6 g3e2 a6a5 d3e4 e5g7 c2a4 c8b7 e1c1 a8c8 f1d1 b7a8 e2f4 c7d6 d4d5 c6e7 a3b4 a5b4 c1c8 d8c8 f4d3 e7d5 e3c5 c8c5 d3c5 d6c5 a4e8 d5c3 e8f7 g8f7 d1d7 f7f6 e4f4 c5f5 f4f5 f6f5 d7g7 c3e4 g7f7 e4f6 f2f3 a8c6,
Aabybro m,Aabybro,1952.??.??,2,"Larsen, Bent","Pedersen, Eigil",,,0-1,-1,A10,118,c4 e6 Nc3 f5 e4 fxe4 Nxe4 Nf6 Nxf6+ Qxf6 d4 Bb4+ Bd2 O-O Nf3 Bxd2+ Qxd2 Nc6 Be2 d6 O-O Bd7 d5 Ne7 dxe6 Bxe6 Nd4 Nf5 Nxe6 Qxe6 Bf3 c6 Rac1 Nh4 Bh5 Qf5 Qe2 Qg5 g3 Nf5 f4 Qf6 Bf3 Rae8 Qd2 Re7 Qc3 Nd4 Rcd1 c5 Rd3 Rfe8 Bh5 Qh6 Bd1 Re2 h4 Qe6 Rd2 Re3 Rd3 Re2 Rd2 Qh3 Rxe2 Rxe2 Rf2 Rxf2 Kxf2 Qh2+ Ke1 Nf5 Bc2 Qxg3+ Qxg3 Nxg3 Kf2 Nh5 Kf3 Nf6 f5 Kf7 Kf4 Nd7 Be4 b6 h5 Ne5 Kg5 h6+ Kf4 Ke7 b3 a5 Bc2 a4 Ke4 a3 Kd5 Kd7 f6 gxf6 Bf5+ Ke7 Bb1 Nf3 Kc6 f5 Kxb6 f4 Ka5 Nd2 Bd3 Nxb3+ Ka4 Nd2 Kxa3 f3,c2c4 e7e6 b1c3 f7f5 e2e4 f5e4 c3e4 g8f6 e4f6 d8f6 d2d4 f8b4 c1d2 e8g8 g1f3 b4d2 d1d2 b8c6 f1e2 d7d6 e1g1 c8d7 d4d5 c6e7 d5e6 d7e6 f3d4 e7f5 d4e6 f6e6 e2f3 c7c6 a1c1 f5h4 f3h5 e6f5 d2e2 f5g5 g2g3 h4f5 f2f4 g5f6 h5f3 a8e8 e2d2 e8e7 d2c3 f5d4 c1d1 c6c5 d1d3 f8e8 f3h5 f6h6 h5d1 e7e2 h2h4 h6e6 d3d2 e2e3 d2d3 e3e2 d3d2 e6h3 d2e2 e8e2 f1f2 e2f2 g1f2 h3h2 f2e1 d4f5 d1c2 h2g3 c3g3 f5g3 e1f2 g3h5 f2f3 h5f6 f4f5 g8f7 f3f4 f6d7 c2e4 b7b6 h4h5 d7e5 f4g5 h7h6 g5f4 f7e7 b2b3 a7a5 e4c2 a5a4 f4e4 a4a3 e4d5 e7d7 f5f6 g7f6 c2f5 d7e7 f5b1 e5f3 d5c6 f6f5 c6b6 f5f4 b6a5 f3d2 b1d3 d2b3 a5a4 b3d2 a4a3 f4f3,
Aabybro m,Aabybro,1952.??.??,3,"Pedersen, Eigil","Larsen, Bent",,,1-0,1,C65,115,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Bc5 c3 O-O d4 Bb6 Bg5 d6 a4 a5 Na3 h6 Bxf6 Qxf6 Nc4 Bg4 Nxb6 cxb6 d5 Bxf3 Qxf3 Qxf3 gxf3 Ne7 Ra3 Rad8 Rb3 g6 Re1 Nc8 Bf1 Kg7 Rb5 f5 b4 axb4 cxb4 Rd7 Rc1 Kf6 a5 Na7 Rxb6 Nc8 Rxc8 Rxc8 Bb5 Rf7 Rxd6+ Kg5 h4+ Kf4 Rxg6 Kxf3 Rg3+ Kxe4 d6 f4 Rg6 Kf3 Rg2 Rc1+ Kh2 Rd1 Be8 Rf5 Bg6 Ke4 f3+ Kxf3 Bxf5 Ke3 d7 f3 b5 Kf4 a6 bxa6 bxa6 fxg2 Kxg2 Rd2+ Kh3 Kxf5 a7 Rd3+ Kg2 Rd2+ Kg3 Rd3+ Kf2 Rxd7 a8=Q Rf7 Ke3 Rf6 Qc8+ Re6 Qd7 e4 Qg7 Ra6 Qh7+ Kg4 Qxe4+ Kh5 Qd5+ Kxh4 Qc4+,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8c5 c2c3 e8g8 d2d4 c5b6 c1g5 d7d6 a2a4 a7a5 b1a3 h7h6 g5f6 d8f6 a3c4 c8g4 c4b6 c7b6 d4d5 g4f3 d1f3 f6f3 g2f3 c6e7 a1a3 a8d8 a3b3 g7g6 f1e1 e7c8 b5f1 g8g7 b3b5 f7f5 b2b4 a5b4 c3b4 d8d7 e1c1 g7f6 a4a5 c8a7 b5b6 a7c8 c1c8 f8c8 f1b5 d7f7 b6d6 f6g5 h2h4 g5f4 d6g6 f4f3 g6g3 f3e4 d5d6 f5f4 g3g6 e4f3 g6g2 c8c1 g1h2 c1d1 b5e8 f7f5 e8g6 f3e4 f2f3 e4f3 g6f5 f3e3 d6d7 f4f3 b4b5 e3f4 a5a6 b7a6 b5a6 f3g2 h2g2 d1d2 g2h3 f4f5 a6a7 d2d3 h3g2 d3d2 g2g3 d2d3 g3f2 d3d7 a7a8q d7f7 f2e3 f7f6 a8c8 f6e6 c8d7 e5e4 d7g7 e6a6 g7h7 f5g4 h7e4 g4h5 e4d5 h5h4 d5c4,
Aabybro m,Aabybro,1952.??.??,4,"Larsen, Bent","Pedersen, Eigil",,,1/2-1/2,0,B38,92,e4 c5 Nf3 d6 d4 cxd4 Nxd4 a6 c4 g6 Nc3 Bg7 Be2 Nf6 Be3 O-O f3 Nc6 Qd2 Bd7 O-O Ne5 h3 Rc8 b3 Bc6 g4 Ned7 Kg2 Ne8 b4 Nb6 a4 Bd7 Qa2 e5 Nc2 Be6 Nd5 Nxd5 cxd5 Bd7 b5 axb5 axb5 f5 Qb3 h5 Na3 Qa5 Nc4 Qxb5 Qd3 fxe4 Qxe4 Nf6 Qxg6 Be8 Qf5 Rxc4 Bd3 e4 Rab1 Rc2+ Bxc2 Qe2+ Rf2 Qxe3 Bxe4 Bd7 Qg6 Nxe4 Qxe4 Qxe4 fxe4 Rxf2+ Kxf2 b5 Rc1 hxg4 Rc7 Bd4+ Kf1 Be8 Rc8 Kf8 hxg4 Ke7 Ke2 Bd7 Rb8 Bc3,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 a7a6 c2c4 g7g6 b1c3 f8g7 f1e2 g8f6 c1e3 e8g8 f2f3 b8c6 d1d2 c8d7 e1g1 c6e5 h2h3 a8c8 b2b3 d7c6 g2g4 e5d7 g1g2 f6e8 b3b4 d7b6 a2a4 c6d7 d2a2 e7e5 d4c2 d7e6 c3d5 b6d5 c4d5 e6d7 b4b5 a6b5 a4b5 f7f5 a2b3 h7h5 c2a3 d8a5 a3c4 a5b5 b3d3 f5e4 d3e4 e8f6 e4g6 d7e8 g6f5 c8c4 e2d3 e5e4 a1b1 c4c2 d3c2 b5e2 f1f2 e2e3 c2e4 e8d7 f5g6 f6e4 g6e4 e3e4 f3e4 f8f2 g2f2 b7b5 b1c1 h5g4 c1c7 g7d4 f2f1 d7e8 c7c8 g8f8 h3g4 f8e7 f1e2 e8d7 c8b8 d4c3,
Copenhagen m,Copenhagen,1953.??.??,1,"Larsen, Bent","Enevoldsen, Jens",,,1/2-1/2,0,E04,118,Nf3 Nf6 g3 d5 Bg2 c5 O-O Nc6 d4 e6 c4 dxc4 Qa4 Bd7 dxc5 Bxc5 Qxc4 Be7 Nc3 O-O e4 Rc8 Qe2 e5 Rd1 Qa5 Nd5 Bg4 Bd2 Qa4 b3 Qa3 Bc3 Nxd5 Rxd5 Be6 Bb2 Qa6 Qxa6 bxa6 Rd2 f6 Bf1 a5 Bc4 Kf7 Nh4 g6 Ng2 Bxc4 bxc4 Ke6 Ne3 Bc5 Nd5 Rf7 Kg2 h5 f4 h4 Rf1 Bd4 f5+ gxf5 exf5+ Kd7 Nf4 hxg3 hxg3 Ke8 Ne6 Bxb2 Rxb2 Nb4 c5 Rh7 Rd1 Nc6 Rd6 Rd7 Rxd7 Kxd7 Rb7+ Ke8 Kf3 Nd4+ Ke4 Nxe6 fxe6 Rxc5 Kf5 Rc2 Kxf6 Rf2+ Kxe5 Rxa2 g4 Re2+ Kf6 Rf2+ Kg6 Re2 g5 Rxe6+ Kh7 a4 g6 Re3 Rxa7 a3 g7 Rh3+ Kg8 Re3 Ra6 Ke7 Ra5 Rg3,g1f3 g8f6 g2g3 d7d5 f1g2 c7c5 e1g1 b8c6 d2d4 e7e6 c2c4 d5c4 d1a4 c8d7 d4c5 f8c5 a4c4 c5e7 b1c3 e8g8 e2e4 a8c8 c4e2 e6e5 f1d1 d8a5 c3d5 d7g4 c1d2 a5a4 b2b3 a4a3 d2c3 f6d5 d1d5 g4e6 c3b2 a3a6 e2a6 b7a6 d5d2 f7f6 g2f1 a6a5 f1c4 g8f7 f3h4 g7g6 h4g2 e6c4 b3c4 f7e6 g2e3 e7c5 e3d5 f8f7 g1g2 h7h5 f2f4 h5h4 a1f1 c5d4 f4f5 g6f5 e4f5 e6d7 d5f4 h4g3 h2g3 d7e8 f4e6 d4b2 d2b2 c6b4 c4c5 f7h7 f1d1 b4c6 d1d6 h7d7 d6d7 e8d7 b2b7 d7e8 g2f3 c6d4 f3e4 d4e6 f5e6 c8c5 e4f5 c5c2 f5f6 c2f2 f6e5 f2a2 g3g4 a2e2 e5f6 e2f2 f6g6 f2e2 g4g5 e2e6 g6h7 a5a4 g5g6 e6e3 b7a7 a4a3 g6g7 e3h3 h7g8 h3e3 a7a6 e8e7 a6a5 e3g3,
Wch U20 fin-B,Copenhagen,1953.??.??,1,"Scafarelli, Francesco","Larsen, Bent",,,1-0,1,A30,81,Nf3 Nf6 c4 c5 g3 d5 cxd5 Nxd5 Bg2 Nc6 d4 Nf6 e3 Bf5 O-O cxd4 exd4 e6 Ne5 Be4 Bxe4 Nxe4 Qf3 Nxe5 dxe5 Qd5 Bf4 Bc5 Nc3 Nxc3 Qxc3 Rd8 Rac1 Bb6 Qa3 h6 Qa4+ Qd7 Qb3 O-O Rfd1 Qe7 Be3 Bxe3 Qxe3 Qb4 b3 Qa5 a4 a6 Qe4 Qb6 Rxd8 Rxd8 Rc3 Qa5 Re3 Qc7 Kg2 Rd5 Qb4 b5 axb5 axb5 Qe4 Qc5 h3 Qd4 Qxd4 Rxd4 Rc3 h5 Kf3 Rd5 Ke4 Rd2 f4 Rb2 Kd4 b4 Rd3,g1f3 g8f6 c2c4 c7c5 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 d2d4 d5f6 e2e3 c8f5 e1g1 c5d4 e3d4 e7e6 f3e5 f5e4 g2e4 f6e4 d1f3 c6e5 d4e5 d8d5 c1f4 f8c5 b1c3 e4c3 f3c3 a8d8 a1c1 c5b6 c3a3 h7h6 a3a4 d5d7 a4b3 e8g8 f1d1 d7e7 f4e3 b6e3 b3e3 e7b4 b2b3 b4a5 a2a4 a7a6 e3e4 a5b6 d1d8 f8d8 c1c3 b6a5 c3e3 a5c7 g1g2 d8d5 e4b4 b7b5 a4b5 a6b5 b4e4 c7c5 h2h3 c5d4 e4d4 d5d4 e3c3 h6h5 g2f3 d4d5 f3e4 d5d2 f2f4 d2b2 e4d4 b5b4 c3d3,
Wch U20 qual,Copenhagen,1953.??.??,1,"Larsen, Bent","Penrose, Jonathan",,,1-0,1,C32,44,e4 e5 f4 d5 exd5 e4 d3 Nf6 Qe2 Bf5 dxe4 Nxe4 Nc3 Qh4+ g3 Qe7 Nb5 a6 Nd4 g6 Be3 Bg7 O-O-O O-O c3 Nd6 Nxf5 Nxf5 Bf2 Qd6 Bh3 Nd7 Bxf5 gxf5 Qd3 Rfe8 Qxf5 Rad8 Nf3 Bxc3 bxc3 Qa3+ Kb1 Re2,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 d2d3 g8f6 d1e2 c8f5 d3e4 f6e4 b1c3 d8h4 g2g3 h4e7 c3b5 a7a6 b5d4 g7g6 c1e3 f8g7 e1c1 e8g8 c2c3 e4d6 d4f5 d6f5 e3f2 e7d6 f1h3 b8d7 h3f5 g6f5 e2d3 f8e8 d3f5 a8d8 g1f3 g7c3 b2c3 d6a3 c1b1 e8e2,
Wch U20 qual,Copenhagen,1953.??.??,2,"Sherwin, James T","Larsen, Bent",,,1-0,1,E98,63,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 e5 O-O Nc6 d5 Ne7 Ne1 c5 Nd3 Ne8 Be3 f5 f3 f4 Bf2 g5 b4 cxb4 Nxb4 Rf6 c5 Rg6 Rc1 Bd7 c6 Bc8 cxb7 Bxb7 Qa4 h5 Nc6 Nxc6 dxc6 Bc8 Nd5 Nc7 Qa5 Ne6 Qxd8+ Nxd8 Ne7+ Kf7 Nxg6 Kxg6 c7 Ne6 Bc4 Nxc7 Bb3 Nb5 Bd5 Rb8 Rb1,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 c7c5 e1d3 f6e8 c1e3 f7f5 f2f3 f5f4 e3f2 g6g5 b2b4 c5b4 d3b4 f8f6 c4c5 f6g6 a1c1 c8d7 c5c6 d7c8 c6b7 c8b7 d1a4 h7h5 b4c6 e7c6 d5c6 b7c8 c3d5 e8c7 a4a5 c7e6 a5d8 e6d8 d5e7 g8f7 e7g6 f7g6 c6c7 d8e6 e2c4 e6c7 c4b3 c7b5 b3d5 a8b8 c1b1,
Wch U20 fin-B,Copenhagen,1953.??.??,2,"Larsen, Bent","Farre Mallofre, Miguel",,,1-0,1,B52,95,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 O-O e5 c3 g6 d4 Bg7 Be3 b6 Nbd2 Nc6 dxc5 dxc5 Nc4 Qxd1 Rfxd1 Rd8 Rxd8+ Kxd8 a4 Kc7 a5 Bh6 axb6+ axb6 Ra8 Bg7 Ng5 Nh6 Rxh8 Bxh8 Nxh7 Bg7 Bg5 Ng8 Ne3 Kd6 Nd5 b5 Kf1 c4 Bh4 Bh6 Ng5 Nd8 Ke2 f6 Nf3 g5 Bg3 Kc6 Nd2 Nb7 b3 Nd6 bxc4 bxc4 f3 Kb5 Bf2 Nc8 Be3 Nd6 Kf2 Kc6 h4 Kb5 hxg5 Bxg5 Bxg5 fxg5 Kg3 Nh6 Ne3 Kc5 Ng4 Ndf7 Nxh6 Nxh6 Nf1 Kb5 Ne3 Kc5 Nf5 Nf7 Kg4 Kb5 Ne3,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 e7e5 c2c3 g7g6 d2d4 f8g7 c1e3 b7b6 b1d2 b8c6 d4c5 d6c5 d2c4 d7d1 f1d1 a8d8 d1d8 e8d8 a2a4 d8c7 a4a5 g7h6 a5b6 a7b6 a1a8 h6g7 f3g5 g8h6 a8h8 g7h8 g5h7 h8g7 e3g5 h6g8 c4e3 c7d6 e3d5 b6b5 g1f1 c5c4 g5h4 g7h6 h7g5 c6d8 f1e2 f7f6 g5f3 g6g5 h4g3 d6c6 f3d2 d8b7 b2b3 b7d6 b3c4 b5c4 f2f3 c6b5 g3f2 d6c8 f2e3 c8d6 e2f2 b5c6 h2h4 c6b5 h4g5 h6g5 e3g5 f6g5 f2g3 g8h6 d5e3 b5c5 e3g4 d6f7 g4h6 f7h6 d2f1 c5b5 f1e3 b5c5 e3f5 h6f7 g3g4 c5b5 f5e3,
Copenhagen m,Copenhagen,1953.??.??,2,"Enevoldsen, Jens","Larsen, Bent",,,1/2-1/2,0,C82,70,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Bc5 Qd3 Ne7 Be3 Bxe3 Qxe3 c5 Rd1 Qc7 Nbd2 Bf5 Nxe4 dxe4 Ng5 c4 Bc2 Qxe5 f4 Qc7 Bxe4 Bxe4 Qxe4 Qa7+ Kh1 h6 Nf3 O-O Rd4 Qc7 Rad1 Rad8 h3 Rxd4 Rxd4 Rd8 Qe5 Rd7 Qxc7 Rxc7 Rd8+ Kh7 Ra8 Nd5 g3 b4 cxb4 Nxb4 Kg2 c3 bxc3 Nxa2 Rxa6 Nxc3,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3 c6e7 c1e3 c5e3 d3e3 c7c5 f1d1 d8c7 b1d2 e6f5 d2e4 d5e4 f3g5 c5c4 b3c2 c7e5 f2f4 e5c7 c2e4 f5e4 e3e4 c7a7 g1h1 h7h6 g5f3 e8g8 d1d4 a7c7 a1d1 a8d8 h2h3 d8d4 d1d4 f8d8 e4e5 d8d7 e5c7 d7c7 d4d8 g8h7 d8a8 e7d5 g2g3 b5b4 c3b4 d5b4 h1g2 c4c3 b2c3 b4a2 a8a6 a2c3,
