event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
3rd All-China Games,Suzhou CHN,2006.05.20,1,Li Chao2,Gong Qianyun,2458.0,2355.0,1-0,1,C10,91,e4 e6 d4 d5 Nc3 h6 Nf3 Nf6 e5 Ne4 Bd3 Nxc3 bxc3 c5 O-O Nc6 a4 Bd7 Be3 Qc7 Kh1 Rc8 Nd2 c4 Be2 Qa5 Nf3 Qxc3 Bd2 Qb2 Rb1 Qa3 Rxb7 Qxa4 Bc3 Nd8 Rb1 Qc6 Ra1 Ra8 Qd2 Qc8 h4 Nc6 h5 Be7 Nh2 O-O Ng4 Qd8 f4 Kh7 Rf3 a5 Bb2 Rb8 c3 Qb6 Bc1 a4 Bd1 Na5 Nf6+ Bxf6 exf6 g6 hxg6+ fxg6 f5 g5 fxe6 Bxe6 Qc2+ Kh8 Qg6 Rf7 Bc2 Rbb7 Rxa4 Qd8 Kg1 Nb3 Qxh6+ Rh7 Bxh7 Rxh7 Qxg5 Nxc1 Qxc1 Qb8 Qf4,e2e4 e7e6 d2d4 d7d5 b1c3 h7h6 g1f3 g8f6 e4e5 f6e4 f1d3 e4c3 b2c3 c7c5 e1g1 b8c6 a2a4 c8d7 c1e3 d8c7 g1h1 a8c8 f3d2 c5c4 d3e2 c7a5 d2f3 a5c3 e3d2 c3b2 a1b1 b2a3 b1b7 a3a4 d2c3 c6d8 b7b1 a4c6 b1a1 c8a8 d1d2 c6c8 h2h4 d8c6 h4h5 f8e7 f3h2 e8g8 h2g4 c8d8 f2f4 g8h7 f1f3 a7a5 c3b2 a8b8 c2c3 d8b6 b2c1 a5a4 e2d1 c6a5 g4f6 e7f6 e5f6 g7g6 h5g6 f7g6 f4f5 g6g5 f5e6 d7e6 d2c2 h7h8 c2g6 f8f7 d1c2 b8b7 a1a4 b6d8 h1g1 a5b3 g6h6 f7h7 c2h7 b7h7 h6g5 b3c1 g5c1 d8b8 c1f4,103.0
3rd All-China Games,Suzhou CHN,2006.05.20,2,Hong Jiarong,Li Chao2,2333.0,2458.0,0-1,-1,D77,52,Nf3 Nf6 g3 g6 Bg2 Bg7 c4 O-O O-O d5 d4 dxc4 Ne5 Ne8 Na3 c5 e3 cxd4 exd4 Nd6 Be3 Nc6 Nxc6 bxc6 Qa4 Bd7 Nxc4 c5 Qc2 cxd4 Bxa8 Qxa8 Nxd6 exd6 Bf4 Bh3 f3 Bxf1 Rxf1 Qd5 b3 Be5 Bh6 d3 Qc4 Qxc4 bxc4 Rc8 Be3 Rxc4 Bxa7 d2,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 c2c4 e8g8 e1g1 d7d5 d2d4 d5c4 f3e5 f6e8 b1a3 c7c5 e2e3 c5d4 e3d4 e8d6 c1e3 b8c6 e5c6 b7c6 d1a4 c8d7 a3c4 c6c5 a4c2 c5d4 g2a8 d8a8 c4d6 e7d6 e3f4 d7h3 f2f3 h3f1 a1f1 a8d5 b2b3 g7e5 f4h6 d4d3 c2c4 d5c4 b3c4 f8c8 h6e3 c8c4 e3a7 d3d2,-125.0
3rd All-China Games,Suzhou CHN,2006.05.21,3,Li Chao2,Yu Shaoteng,2458.0,2542.0,0-1,-1,C11,68,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 f4 c5 Nf3 Nc6 Be3 Be7 Qd2 O-O dxc5 Bxc5 Bxc5 Nxc5 O-O-O Qa5 Kb1 Rd8 Bb5 Bd7 Qf2 a6 Bxc6 bxc6 Nd4 Rab8 Nb3 Nxb3 cxb3 c5 f5 d4 f6 dxc3 Qg3 g6 Qe3 c2+ Kxc2 c4 a3 Rxb3 Qh6 Rxb2+ Kxb2 Qxe5+ Ka2 Qxf6 Qe3 Ba4 Rxd8+ Qxd8 Rf1 Qd3 Qf3 f5 Rf2 Bb3+ Kb2 Qd4+ Kb1 c3,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 f8e7 d1d2 e8g8 d4c5 e7c5 e3c5 d7c5 e1c1 d8a5 c1b1 f8d8 f1b5 c8d7 d2f2 a7a6 b5c6 b7c6 f3d4 a8b8 d4b3 c5b3 c2b3 c6c5 f4f5 d5d4 f5f6 d4c3 f2g3 g7g6 g3e3 c3c2 b1c2 c5c4 a2a3 b8b3 e3h6 b3b2 c2b2 a5e5 b2a2 e5f6 h6e3 d7a4 d1d8 f6d8 h1f1 d8d3 e3f3 f7f5 f1f2 a4b3 a2b2 d3d4 b2b1 c4c3,-84.0
3rd All-China Games,Suzhou CHN,2006.05.21,4,Wang Rui,Li Chao2,2497.0,2458.0,0-1,-1,A39,118,Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 g6 g3 Bg7 Bg2 Nc6 O-O O-O Nc3 Nxd4 Qxd4 d6 Bg5 Be6 Qh4 Rc8 b3 Rc5 Nd5 Bxd5 cxd5 Rc2 Qa4 a6 Bf3 Rc5 Rac1 Ra5 Qb4 Rxa2 Qxb7 a5 Rc7 Rb2 Rfc1 Qb8 Qxb8 Rxb8 Rxe7 R2xb3 Ra7 R3b5 Bd2 Nxd5 Rxa5 Rxa5 Bxa5 Ne7 Bc7 Rc8 Bb7 Re8 Bxd6 Nf5 Ba3 Nd4 Kf1 h5 e3 Ne6 Bd5 Bf6 Kg2 Kg7 Rc6 Be7 Bb2+ Bf6 Ba3 Be7 Bc1 Bf6 h4 g5 hxg5 Bxg5 f4 Bf6 Kh3 Re7 Bf3 Kg6 Bd5 Kg7 Ba3 Ra7 Bd6 Ra1 Bf3 Re1 Bxh5 Rxe3 Rb6 Rd3 Rb7 Kh6 Rxf7 Bc3 Bf8+ Kxh5 Rf5+ Kg6 Rb5 Nxf8 Kg4 Nh7 f5+ Kh6 Rb3 Nf6+ Kh4 Ne4,g1f3 g8f6 c2c4 c7c5 d2d4 c5d4 f3d4 g7g6 g2g3 f8g7 f1g2 b8c6 e1g1 e8g8 b1c3 c6d4 d1d4 d7d6 c1g5 c8e6 d4h4 a8c8 b2b3 c8c5 c3d5 e6d5 c4d5 c5c2 h4a4 a7a6 g2f3 c2c5 a1c1 c5a5 a4b4 a5a2 b4b7 a6a5 c1c7 a2b2 f1c1 d8b8 b7b8 f8b8 c7e7 b2b3 e7a7 b3b5 g5d2 f6d5 a7a5 b5a5 d2a5 d5e7 a5c7 b8c8 f3b7 c8e8 c7d6 e7f5 d6a3 f5d4 g1f1 h7h5 e2e3 d4e6 b7d5 g7f6 f1g2 g8g7 c1c6 f6e7 a3b2 e7f6 b2a3 f6e7 a3c1 e7f6 h2h4 g6g5 h4g5 f6g5 f2f4 g5f6 g2h3 e8e7 d5f3 g7g6 f3d5 g6g7 c1a3 e7a7 a3d6 a7a1 d5f3 a1e1 f3h5 e1e3 c6b6 e3d3 b6b7 g7h6 b7f7 f6c3 d6f8 h6h5 f7f5 h5g6 f5b5 e6f8 h3g4 f8h7 f4f5 g6h6 b5b3 h7f6 g4h4 f6e4,39.0
3rd All-China Games,Suzhou CHN,2006.05.22,5,Li Chao2,Ruan Lufei,2458.0,2370.0,1/2-1/2,0,C54,148,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d3 a6 O-O Ba7 Be3 O-O Bxa7 Rxa7 Re1 d6 a4 Ne7 Nbd2 Ng6 Nf1 c6 Bb3 h6 Ng3 Be6 d4 Qc8 Bc2 Ra8 Nf5 Qc7 Ne3 Rae8 a5 Bc8 Nc4 exd4 Qxd4 d5 exd5 Nxd5 Nfe5 Nxe5 Nxe5 Nf6 Qc5 Nd7 Nxd7 Qxd7 Red1 Qe7 Qxe7 Rxe7 Bd3 Rd7 f3 Rfd8 Be2 Kf8 Kf2 Rxd1 Rxd1 Rxd1 Bxd1 Ke7 Ke3 Kd6 f4 Be6 b4 Bd5 g3 c5 Kd3 cxb4 cxb4 Bc6 Kd4 Bd5 Ba4 Bc6 Bb3 f6 Bf7 Bh1 Bg6 Bd5 h4 Bc6 Bd3 Bd7 Be4 Bc6 Bf5 Bd5 Bd3 Bc6 Bc4 Be8 Bd5 Bc6 Bf7 Bf3 Bg6 Bd5 h5 Bc6 Bf5 Bd5 Be4 Bxe4 Kxe4 Ke6 g4 Kd6 Kf5 Ke7 Ke4 Ke6 Kd4 Kd6 Kc4 Kc6 b5+ Kd6 bxa6 bxa6 Kd4 Kc6 Ke4 Kd6 Kf5 Ke7 Kg6 Kf8 g5 fxg5 fxg5 hxg5 Kxg5 Ke7 Kg6 Kf8 Kf5 Kf7,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a6 e1g1 c5a7 c1e3 e8g8 e3a7 a8a7 f1e1 d7d6 a2a4 c6e7 b1d2 e7g6 d2f1 c7c6 c4b3 h7h6 f1g3 c8e6 d3d4 d8c8 b3c2 a7a8 g3f5 c8c7 f5e3 a8e8 a4a5 e6c8 e3c4 e5d4 d1d4 d6d5 e4d5 f6d5 f3e5 g6e5 c4e5 d5f6 d4c5 f6d7 e5d7 c7d7 e1d1 d7e7 c5e7 e8e7 c2d3 e7d7 f2f3 f8d8 d3e2 g8f8 g1f2 d7d1 a1d1 d8d1 e2d1 f8e7 f2e3 e7d6 f3f4 c8e6 b2b4 e6d5 g2g3 c6c5 e3d3 c5b4 c3b4 d5c6 d3d4 c6d5 d1a4 d5c6 a4b3 f7f6 b3f7 c6h1 f7g6 h1d5 h2h4 d5c6 g6d3 c6d7 d3e4 d7c6 e4f5 c6d5 f5d3 d5c6 d3c4 c6e8 c4d5 e8c6 d5f7 c6f3 f7g6 f3d5 h4h5 d5c6 g6f5 c6d5 f5e4 d5e4 d4e4 d6e6 g3g4 e6d6 e4f5 d6e7 f5e4 e7e6 e4d4 e6d6 d4c4 d6c6 b4b5 c6d6 b5a6 b7a6 c4d4 d6c6 d4e4 c6d6 e4f5 d6e7 f5g6 e7f8 g4g5 f6g5 f4g5 h6g5 g6g5 f8e7 g5g6 e7f8 g6f5 f8f7,88.0
3rd All-China Games,Suzhou CHN,2006.05.22,6,Li Chao2,Kuang Yinghui,2458.0,2303.0,1-0,1,C91,145,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O d4 Bg4 d5 Na5 Bc2 Ne8 h3 Bxf3 Qxf3 g6 Nd2 Ng7 b4 Nb7 a4 Qd7 Qe2 c5 dxc6 Qxc6 Bb2 Ne6 Qf1 Nc7 Bb3 Bg5 Nf3 Bh6 Qd3 bxa4 Bxa4 Qb6 Reb1 Ne6 c4 Qc7 c5 dxc5 Bxe5 Qe7 Qd7 Qxd7 Bxd7 cxb4 Bc6 Ra7 Rxb4 Nbd8 Bd5 Nf4 Raa4 Rd7 Bxf4 Bxf4 Rxa6 Nb7 g3 Bb8 Rb1 Nc5 Ra5 Bd6 Rd1 Rc7 Nd4 Rcc8 Nc6 Rfe8 Na7 Rcd8 Bc6 Bf8 Rf1 Re6 Bd5 Ree8 Nc6 Rd7 f3 Kg7 Nd4 Rb8 Nc6 Re8 Rc1 Nd3 Rd1 Nb4 Rb1 Nxd5 exd5 Re2 Rd1 Bd6 f4 Rb7 Nd4 Reb2 h4 Bb4 Ra4 Re7 Rxb4 Rxb4 Nc6 Rbb7 Nxe7 Rxe7 Kf2 Kf6 Kf3 h5 Rd3 Kf5 Ra3 Rd7 Rd3 f6 Ke3 g5 fxg5 fxg5 hxg5 Kxg5 Ke4 Rd8 d6 Kf6 Kd5,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 d4d5 c6a5 b3c2 f6e8 h2h3 g4f3 d1f3 g7g6 b1d2 e8g7 b2b4 a5b7 a2a4 d8d7 f3e2 c7c5 d5c6 d7c6 c1b2 g7e6 e2f1 e6c7 c2b3 e7g5 d2f3 g5h6 f1d3 b5a4 b3a4 c6b6 e1b1 c7e6 c3c4 b6c7 c4c5 d6c5 b2e5 c7e7 d3d7 e7d7 a4d7 c5b4 d7c6 a8a7 b1b4 b7d8 c6d5 e6f4 a1a4 a7d7 e5f4 h6f4 a4a6 d8b7 g2g3 f4b8 b4b1 b7c5 a6a5 b8d6 b1d1 d7c7 f3d4 c7c8 d4c6 f8e8 c6a7 c8d8 d5c6 d6f8 d1f1 e8e6 c6d5 e6e8 a7c6 d8d7 f2f3 g8g7 c6d4 e8b8 d4c6 b8e8 f1c1 c5d3 c1d1 d3b4 d1b1 b4d5 e4d5 e8e2 b1d1 f8d6 f3f4 d7b7 c6d4 e2b2 h3h4 d6b4 a5a4 b7e7 a4b4 b2b4 d4c6 b4b7 c6e7 b7e7 g1f2 g7f6 f2f3 h7h5 d1d3 f6f5 d3a3 e7d7 a3d3 f7f6 f3e3 g6g5 f4g5 f6g5 h4g5 f5g5 e3e4 d7d8 d5d6 g5f6 e4d5,155.0
3rd All-China Games,Suzhou CHN,2006.05.24,7,Liang Chong,Li Chao2,2514.0,2458.0,1-0,1,A34,151,c4 Nf6 Nc3 c5 g3 g6 Bg2 Bg7 e3 O-O Nge2 e5 O-O Nc6 d3 d6 h3 Be6 Nd5 Ne8 Rb1 Rb8 b3 Qd7 Kh2 b5 Bb2 f5 f4 bxc4 dxc4 e4 Bxg7 Qxg7 g4 fxg4 Ng3 gxh3 Bxe4 Ne7 Rg1 Kh8 Qe2 Nf6 Nxf6 Qxf6 Rbd1 Rbd8 Rd2 Rfe8 Qf3 Bc8 Bb1 Qe6 e4 Rf8 Qc3+ Qf6 Qxf6+ Rxf6 Ne2 Nc6 Kg3 h5 e5 Re6 Rgd1 g5 Bf5 gxf4+ Nxf4 Rg8+ Kxh3 Rxe5 Bxc8 Re3+ Kh2 Rxc8 Rxd6 Nd4 Nxh5 Re2+ Kh3 Re3+ Kh2 Kh7 Nf6+ Kg7 Nh5+ Kf7 Rf1+ Ke7 Rh6 Nf3+ Kg2 Nh4+ Kf2 Rc3 Re1+ Kd8 Nf6 Rf3+ Ke2 Re3+ Kxe3 Nf5+ Ke4 Nxh6 Kd5 Kc7 Re7+ Kb6 Nd7+ Ka5 Nxc5 Kb4 Rb7+ Kc3 Rxa7 Ng4 Ne4+ Kd3 Nc5+ Kc3 Na4+ Kd3 c5 Nf6+ Ke6 Ne4 Rd7+ Ke3 Rd5 Re8+ Kf7 Rc8 Ke7 Kf4 Rh5 Kg4 Rd5 Rc6 Kd7 Ra6 Rd4 Kf5 c6 Nf6+ Ke7 Ke5 Rd1,c2c4 g8f6 b1c3 c7c5 g2g3 g7g6 f1g2 f8g7 e2e3 e8g8 g1e2 e7e5 e1g1 b8c6 d2d3 d7d6 h2h3 c8e6 c3d5 f6e8 a1b1 a8b8 b2b3 d8d7 g1h2 b7b5 c1b2 f7f5 f2f4 b5c4 d3c4 e5e4 b2g7 d7g7 g3g4 f5g4 e2g3 g4h3 g2e4 c6e7 f1g1 g8h8 d1e2 e8f6 d5f6 g7f6 b1d1 b8d8 d1d2 f8e8 e2f3 e6c8 e4b1 f6e6 e3e4 e8f8 f3c3 e6f6 c3f6 f8f6 g3e2 e7c6 h2g3 h7h5 e4e5 f6e6 g1d1 g6g5 b1f5 g5f4 e2f4 d8g8 g3h3 e6e5 f5c8 e5e3 h3h2 g8c8 d2d6 c6d4 f4h5 e3e2 h2h3 e2e3 h3h2 h8h7 h5f6 h7g7 f6h5 g7f7 d1f1 f7e7 d6h6 d4f3 h2g2 f3h4 g2f2 e3c3 f1e1 e7d8 h5f6 c3f3 f2e2 f3e3 e2e3 h4f5 e3e4 f5h6 e4d5 d8c7 e1e7 c7b6 f6d7 b6a5 d7c5 a5b4 e7b7 b4c3 b7a7 h6g4 c5e4 c3d3 e4c5 d3c3 c5a4 c3d3 c4c5 g4f6 d5e6 f6e4 a7d7 d3e3 d7d5 c8e8 e6f7 e8c8 f7e7 e3f4 d5h5 f4g4 h5d5 c8c6 e7d7 c6a6 d5d4 g4f5 c5c6 e4f6 d7e7 f5e5 d4d1,56.0
3rd All-China Games,Suzhou CHN,2006.05.24,8,Huang Qian,Li Chao2,2391.0,2458.0,0-1,-1,D92,118,d4 Nf6 c4 g6 Nc3 d5 Bf4 Bg7 e3 O-O Rc1 c5 dxc5 Be6 Nf3 Nc6 Be2 dxc4 O-O h6 Qa4 Nd7 Rfd1 Qc8 Bxc4 Bg4 Be2 Nxc5 Qa3 Ne6 Bg3 Kh7 h3 Bh5 b4 a6 Qb3 b5 a4 bxa4 Qxa4 Qb7 Nd5 Rfc8 Kf1 Ncd4 Rxc8 Rxc8 exd4 Qxd5 Qxa6 Rc2 Be5 f6 Bg3 Nxd4 Qd3 Rxe2 Qxe2 e5 Qd3 f5 Nxd4 Bxd1 Qxd1 exd4 Qd3 Qa2 b5 Qa1+ Ke2 Qb2+ Kf1 Qc1+ Ke2 f4 Bh2 Be5 Kf3 Kg7 h4 h5 Ke4 Kf6 Kf3 Qc3 Ke4 Qc7 Qa3 Qb7+ Kd3 Qxb5+ Kd2 Qb8 f3 Bd6 Qa6 Qb4+ Kd1 Qb3+ Kd2 Qe6 Kd1 Qb3+ Kd2 Qb4+ Kd1 Kg7 Qd3 Qa4+ Qc2 Qb5 Qe4 d3 Bxf4 Qb1+ Bc1 Qc2+,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 a1c1 c7c5 d4c5 c8e6 g1f3 b8c6 f1e2 d5c4 e1g1 h7h6 d1a4 f6d7 f1d1 d8c8 e2c4 e6g4 c4e2 d7c5 a4a3 c5e6 f4g3 g8h7 h2h3 g4h5 b2b4 a7a6 a3b3 b7b5 a2a4 b5a4 b3a4 c8b7 c3d5 f8c8 g1f1 c6d4 c1c8 a8c8 e3d4 b7d5 a4a6 c8c2 g3e5 f7f6 e5g3 e6d4 a6d3 c2e2 d3e2 e7e5 e2d3 f6f5 f3d4 h5d1 d3d1 e5d4 d1d3 d5a2 b4b5 a2a1 f1e2 a1b2 e2f1 b2c1 f1e2 f5f4 g3h2 g7e5 e2f3 h7g7 h3h4 h6h5 f3e4 g7f6 e4f3 c1c3 f3e4 c3c7 d3a3 c7b7 e4d3 b7b5 d3d2 b5b8 f2f3 e5d6 a3a6 b8b4 d2d1 b4b3 d1d2 b3e6 d2d1 e6b3 d1d2 b3b4 d2d1 f6g7 a6d3 b4a4 d3c2 a4b5 c2e4 d4d3 h2f4 b5b1 f4c1 b1c2,-67.0
3rd All-China Games,Suzhou CHN,2006.05.25,9,Li Chao2,Zhou Jianchao,2458.0,2525.0,1-0,1,B93,94,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f4 e5 Nf3 Nbd7 a4 Be7 Bd3 O-O O-O Nc5 Kh1 d5 Nxe5 Ncxe4 Be3 Bf5 Bd4 Qc7 Qe1 Rad8 Ne2 Ng4 Nf3 Bc8 h3 Ngf6 b4 Bd6 Ne5 Qe7 c3 Nh5 g4 f6 Bxe4 fxe5 Bxd5+ Kh8 fxe5 Rxf1+ Qxf1 Bxe5 Qf7 Qh4 Bxe5 Qxh3+ Bh2 Bxg4 Qe7 Bf3+ Bxf3 Qxf3+ Kg1 Rf8 Nd4 Qf2+ Kh1 Kg8 Rg1 Qd2 Be5 Qh6 Qe6+ Qxe6 Nxe6 Rf5 Nxg7 Rxe5 Nxh5+ Kf8 Nf4 Re3 Nd5 Rh3+ Kg2 Rd3 Rf1+ Kg7 Rf5 Rd2+ Kf3 Kg6 Ne7+ Kg7,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 b8d7 a2a4 f8e7 f1d3 e8g8 e1g1 d7c5 g1h1 d6d5 f3e5 c5e4 c1e3 c8f5 e3d4 d8c7 d1e1 a8d8 c3e2 f6g4 e5f3 f5c8 h2h3 g4f6 b2b4 e7d6 f3e5 c7e7 c2c3 f6h5 g2g4 f7f6 d3e4 f6e5 e4d5 g8h8 f4e5 f8f1 e1f1 d6e5 f1f7 e7h4 d4e5 h4h3 e5h2 c8g4 f7e7 g4f3 d5f3 h3f3 h1g1 d8f8 e2d4 f3f2 g1h1 h8g8 a1g1 f2d2 h2e5 d2h6 e7e6 h6e6 d4e6 f8f5 e6g7 f5e5 g7h5 g8f8 h5f4 e5e3 f4d5 e3h3 h1g2 h3d3 g1f1 f8g7 f1f5 d3d2 g2f3 g7g6 d5e7 g6g7,-67.0
3rd All-China Games,Suzhou CHN,2006.05.25,10,Wu Wenjin,Li Chao2,2508.0,2458.0,1/2-1/2,0,A30,261,Nf3 Nf6 c4 c5 Nc3 e6 g3 b6 Bg2 Bb7 O-O Be7 d4 cxd4 Qxd4 d6 Bg5 h6 Bxf6 Bxf6 Qd3 a6 Rfd1 Be7 Ne1 Bxg2 Nxg2 O-O Nf4 Nd7 b3 Nc5 Qe3 Re8 Qf3 Qb8 Qg4 Kh7 Qf3 Kg8 Nd3 Nxd3 Qxd3 Rd8 a4 Qc7 Rac1 Rac8 h4 Qc5 Qb1 Qb4 Rd3 Bf6 Ne4 Be5 f4 d5 Nf2 Bf6 cxd5 Rxc1+ Qxc1 exd5 Qd1 Bb2 Rxd5 Rxd5 Qxd5 Qe1+ Kg2 Qxe2 Qd8+ Kh7 Qxb6 g6 Qd6 a5 Qd3 Qe6 Qc4 Qd7 Qd3 Qb7+ Kh2 Kg7 Nd1 Bf6 Ne3 Qb6 Kg2 Qc5 Nc4 Qc6+ Qf3 Qd7 h5 Kh7 hxg6+ fxg6 Kf1 Qh3+ Ke2 Qe6+ Qe3 Qd5 Qf3 Qe6+ Kd3 Qd7+ Kc2 Qd4 g4 Qa1 f5 gxf5 Qxf5+ Kg7 Qd7+ Kg8 Qd5+ Kg7 Nd6 Qb2+ Kd3 Qc3+ Ke4 Qc2+ Qd3 Qg2+ Kf5 Bb2 Qe4 Qf2+ Ke6 Qb6 Qf3 Ba3 Qf6+ Kh7 Qe7+ Kg8 Qe8+ Kg7 Qd7+ Kg6 Qf7+ Kg5 Qh5+ Kf4 Qxh6+ Kxg4 Qg6+ Kh4 Kd7 Qa7+ Kc6 Qc5+ Kd7 Qa7+ Ke6 Qb6 Qe4+ Kg3 Qe5+ Kf2 Kd7 Qxb3 Qxa5 Qh3+ Kc6 Bxd6 Qd2+ Kf1 Qd1+ Kf2 Qxd6 Qc8+ Kb6 Qh8 a5 Qb2+ Kc6 Qa1 Kb6 Qb1+ Kc7 Qh7+ Kb8 Qg8+ Kb7 Qf7+ Kc6 Qf3+ Qd5 Qf6+ Kc7 Qc3+ Kb7 Qb2+ Ka7 Kg3 a6 Kh4 Qb7 Qd4+ Qb6 Qd7+ Kb8 Qe8+ Kc7 Qf7+ Kc8 Qc4+ Kb7 Qf7+ Kc8 Qc4+ Kd7 Qf7+ Kd6 Qf6+ Kc7 Qf7+ Kb8 Qe8+ Kb7 Qf7+ Qc7 Qb3+ Ka7 Qe3+ Qb6 Qe7+ Qb7 Qe3+ Kb8 Qe8+ Kc7 Qe7+ Kc6 Qe4+ Kd6 Qg6+ Ke5 Qg5+ Ke4 Qg4+ Ke3 Qg5+ Kf2 Qd2+ Kf3 Qd3+ Kf4 Qg3+ Kf5 Qg5+ Ke6 Qg6+ Ke7,g1f3 g8f6 c2c4 c7c5 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 c1g5 h7h6 g5f6 e7f6 d4d3 a7a6 f1d1 f6e7 f3e1 b7g2 e1g2 e8g8 g2f4 b8d7 b2b3 d7c5 d3e3 f8e8 e3f3 d8b8 f3g4 g8h7 g4f3 h7g8 f4d3 c5d3 f3d3 e8d8 a2a4 b8c7 a1c1 a8c8 h2h4 c7c5 d3b1 c5b4 d1d3 e7f6 c3e4 f6e5 f2f4 d6d5 e4f2 e5f6 c4d5 c8c1 b1c1 e6d5 c1d1 f6b2 d3d5 d8d5 d1d5 b4e1 g1g2 e1e2 d5d8 g8h7 d8b6 g7g6 b6d6 a6a5 d6d3 e2e6 d3c4 e6d7 c4d3 d7b7 g2h2 h7g7 f2d1 b2f6 d1e3 b7b6 h2g2 b6c5 e3c4 c5c6 d3f3 c6d7 h4h5 g7h7 h5g6 f7g6 g2f1 d7h3 f1e2 h3e6 f3e3 e6d5 e3f3 d5e6 e2d3 e6d7 d3c2 d7d4 g3g4 d4a1 f4f5 g6f5 f3f5 h7g7 f5d7 g7g8 d7d5 g8g7 c4d6 a1b2 c2d3 b2c3 d3e4 c3c2 d5d3 c2g2 e4f5 f6b2 d3e4 g2f2 f5e6 f2b6 e4f3 b2a3 f3f6 g7h7 f6e7 h7g8 e7e8 g8g7 e8d7 g7g6 d7f7 g6g5 f7h5 g5f4 h5h6 f4g4 h6g6 g4h4 e6d7 b6a7 d7c6 a7c5 c6d7 c5a7 d7e6 a7b6 g6e4 h4g3 e4e5 g3f2 e6d7 b6b3 e5a5 b3h3 d7c6 a3d6 a5d2 f2f1 d2d1 f1f2 d1d6 h3c8 c6b6 c8h8 a4a5 h8b2 b6c6 b2a1 c6b6 a1b1 b6c7 b1h7 c7b8 h7g8 b8b7 g8f7 b7c6 f7f3 d6d5 f3f6 c6c7 f6c3 c7b7 c3b2 b7a7 f2g3 a5a6 g3h4 d5b7 b2d4 b7b6 d4d7 a7b8 d7e8 b8c7 e8f7 c7c8 f7c4 c8b7 c4f7 b7c8 f7c4 c8d7 c4f7 d7d6 f7f6 d6c7 f6f7 c7b8 f7e8 b8b7 e8f7 b6c7 f7b3 b7a7 b3e3 c7b6 e3e7 b6b7 e7e3 a7b8 e3e8 b8c7 e8e7 c7c6 e7e4 c6d6 e4g6 d6e5 g6g5 e5e4 g5g4 e4e3 g4g5 e3f2 g5d2 f2f3 d2d3 f3f4 d3g3 f4f5 g3g5 f5e6 g5g6 e6e7,50.0
