event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Islington-J,Islington,1970.??.??,1,"Nunn, John DM","Johannes, Ronald",,,1-0,1,B43,63,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e6 Nc3 Qc7 g3 a6 Bg2 b5 O-O Bb7 Re1 d6 a4 b4 Nd5 Qb8 Nb6 Ra7 Nxc6 Bxc6 a5 Be7 Bd2 Nf6 Bxb4 O-O e5 Nd5 exd6 Nxb4 dxe7 Re8 Qd2 Bxg2 Kxg2 Qb7+ Kg1 Qxe7 Ra4 Nc6 Rc4 Qb7 Qc3 Ne7 Rd1 g6 Rd7 Qb8 Rxa7 Qxa7 Rc7 Qb8 Nd7 Nd5 Nxb8 Nxc3 Nxa6,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d8c7 g2g3 a7a6 f1g2 b7b5 e1g1 c8b7 f1e1 d7d6 a2a4 b5b4 c3d5 c7b8 d5b6 a8a7 d4c6 b7c6 a4a5 f8e7 c1d2 g8f6 d2b4 e8g8 e4e5 f6d5 e5d6 d5b4 d6e7 f8e8 d1d2 c6g2 g1g2 b8b7 g2g1 b7e7 a1a4 b4c6 a4c4 e7b7 d2c3 c6e7 e1d1 g7g6 d1d7 b7b8 d7a7 b8a7 c4c7 a7b8 b6d7 e7d5 d7b8 d5c3 b8a6,
Islington-J,Islington,1970.??.??,2,"Nunn, John DM","Moberly, R Walter L",,,1/2-1/2,0,C73,104,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 d6 Bxc6+ bxc6 d4 exd4 Nxd4 Bd7 O-O g6 Nc3 Bg7 f4 Qb8 e5 Nh6 exd6 cxd6 Re1+ Kf8 Ne4 Bg4 Qd3 d5 Qa3+ Kg8 Nxc6 Qb6+ Qc5 Qxc5+ Nxc5 Bf6 f5 Nxf5 Nd7 Bh4 g3 Nxg3 hxg3 Bxg3 Nf6+ Kg7 Nxg4 h5 Re3 Bf4 Rd3 Bxc1 Rxc1 hxg4 Rxd5 Rae8 Re5 Rc8 Nd4 Rh3 Rce1 Rch8 R1e2 f5 Ne6+ Kf6 Nf4 Rg3+ Ng2 f4 Re6+ Kg7 Re7+ Kh6 Kf2 Rxg2+ Kxg2 f3+ Kg3 fxe2 Rxe2 Rd8 Kxg4 Kg7 b3 Kf6 Re4 Rc8 c4 a5 a3 Rb8 Re3 Rc8 a4 Rd8 Rf3+ Ke5 Kg5 Rd6 Rf1 Rb6,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c8d7 e1g1 g7g6 b1c3 f8g7 f2f4 d8b8 e4e5 g8h6 e5d6 c7d6 f1e1 e8f8 c3e4 d7g4 d1d3 d6d5 d3a3 f8g8 d4c6 b8b6 a3c5 b6c5 e4c5 g7f6 f4f5 h6f5 c5d7 f6h4 g2g3 f5g3 h2g3 h4g3 d7f6 g8g7 f6g4 h7h5 e1e3 g3f4 e3d3 f4c1 a1c1 h5g4 d3d5 a8e8 d5e5 e8c8 c6d4 h8h3 c1e1 c8h8 e1e2 f7f5 d4e6 g7f6 e6f4 h3g3 f4g2 f5f4 e5e6 f6g7 e6e7 g7h6 g1f2 g3g2 f2g2 f4f3 g2g3 f3e2 e7e2 h8d8 g3g4 h6g7 b2b3 g7f6 e2e4 d8c8 c2c4 a6a5 a2a3 c8b8 e4e3 b8c8 a3a4 c8d8 e3f3 f6e5 g4g5 d8d6 f3f1 d6b6,
Islington-J,Islington,1970.??.??,3,"Mariotti, Sergio","Nunn, John DM",,,1-0,1,C64,39,e4 e5 Nf3 Nc6 Bb5 Bc5 c3 f5 d4 fxe4 dxc5 exf3 Qxf3 Nf6 Bg5 O-O Nd2 Qe8 Ne4 Nxe4 Qxe4 Qh5 Be3 b6 Rd1 Rf6 O-O a6 Qd5+ Qf7 Bc4 Qxd5 Bxd5+ Kh8 f4 exf4 Rxf4 Rxf4 Bxc6,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 c2c3 f7f5 d2d4 f5e4 d4c5 e4f3 d1f3 g8f6 c1g5 e8g8 b1d2 d8e8 d2e4 f6e4 f3e4 e8h5 g5e3 b7b6 a1d1 f8f6 e1g1 a7a6 e4d5 h5f7 b5c4 f7d5 c4d5 g8h8 f2f4 e5f4 f1f4 f6f4 d5c6,
Islington-J,Islington,1970.??.??,5,"Miles, Anthony J","Nunn, John DM",,,0-1,-1,C44,98,e4 e5 d4 exd4 c3 d5 exd5 Qxd5 cxd4 Nc6 Nf3 Bg4 Be2 Bb4+ Nc3 Bxf3 Bxf3 Qc4 Bxc6+ bxc6 Qe2+ Qxe2+ Kxe2 O-O-O Be3 Ne7 Rhd1 Rhe8 a3 Ba5 Kf3 Bb6 Na4 Nf5 Nc5 Rd5 Rac1 Red8 b4 Nxd4+ Bxd4 Rxd4 Rxd4 Rxd4 Rc3 Bxc5 bxc5 Kd7 Ke3 Ra4 Kd3 Ke6 Kc2 Kd5 Kb3 Rd4 Rh3 Rg4 Rh5+ Kd4 g3 h6 Rf5 f6 Rf3 Re4 Rc3 Re2 Rc4+ Kd5 Rf4 Kxc5 h4 Kd5 Kc3 c5 Rf3 a6 Rf5+ Re5 Rf4 Re4 Rf5+ Kc6 Kb3 Kb5 Rd5 Rd4 Rf5 Rd3+ Kb2 Kc4 Rf4+ Rd4 Rf3 Rd2+ Kc1 Rd3,e2e4 e7e5 d2d4 e5d4 c2c3 d7d5 e4d5 d8d5 c3d4 b8c6 g1f3 c8g4 f1e2 f8b4 b1c3 g4f3 e2f3 d5c4 f3c6 b7c6 d1e2 c4e2 e1e2 e8c8 c1e3 g8e7 h1d1 h8e8 a2a3 b4a5 e2f3 a5b6 c3a4 e7f5 a4c5 d8d5 a1c1 e8d8 b2b4 f5d4 e3d4 d5d4 d1d4 d8d4 c1c3 b6c5 b4c5 c8d7 f3e3 d4a4 e3d3 d7e6 d3c2 e6d5 c2b3 a4d4 c3h3 d4g4 h3h5 d5d4 g2g3 h7h6 h5f5 f7f6 f5f3 g4e4 f3c3 e4e2 c3c4 d4d5 c4f4 d5c5 h2h4 c5d5 b3c3 c6c5 f4f3 a7a6 f3f5 e2e5 f5f4 e5e4 f4f5 d5c6 c3b3 c6b5 f5d5 e4d4 d5f5 d4d3 b3b2 b5c4 f5f4 d3d4 f4f3 d4d2 b2c1 d2d3,
Islington-J,Islington,1970.??.??,6,"Nunn, John DM","Smith, RR.",,,1-0,1,B10,31,e4 c6 Nc3 d5 Qf3 e6 d4 Nf6 e5 Nfd7 Nh3 Be7 Bd3 b6 Nf4 g6 Qh3 Bg5 Bxg6 Bxf4 Qxe6+ Qe7 Bxf7+ Kf8 Bxf4 Qxf7 Bh6+ Kg8 Qh3 Qe8 Qh4,e2e4 c7c6 b1c3 d7d5 d1f3 e7e6 d2d4 g8f6 e4e5 f6d7 g1h3 f8e7 f1d3 b7b6 h3f4 g7g6 f3h3 e7g5 d3g6 g5f4 h3e6 d8e7 g6f7 e8f8 c1f4 e7f7 f4h6 f8g8 e6h3 f7e8 h3h4,
Islington-J,Islington,1970.??.??,7,"Bellin, Robert","Nunn, John DM",,,1/2-1/2,0,C64,46,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O Nd4 Bc4 d6 Nxd4 Bxd4 c3 Bb6 d4 Nf6 dxe5 dxe5 Qxd8+ Kxd8 Bg5 Ke7 Nd2 Be6 Bxe6 Kxe6 Bxf6 Kxf6 Nc4 Rhd8 Rfd1 Ke6 Kf1 f6 Ke2 Ke7 Ne3 Bxe3 Kxe3 h5 h3 g5 g3 Rxd1 Rxd1 Rd8,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 c6d4 b5c4 d7d6 f3d4 c5d4 c2c3 d4b6 d2d4 g8f6 d4e5 d6e5 d1d8 e8d8 c1g5 d8e7 b1d2 c8e6 c4e6 e7e6 g5f6 e6f6 d2c4 h8d8 f1d1 f6e6 g1f1 f7f6 f1e2 e6e7 c4e3 b6e3 e2e3 h7h5 h2h3 g7g5 g2g3 d8d1 a1d1 a8d8,
Islington-J,Islington,1970.??.??,8,"Nunn, John DM","Stean, Michael",,,0-1,-1,B99,46,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Be7 Qf3 Qc7 O-O-O Nbd7 g4 b5 Bxf6 Nxf6 g5 Nd7 f5 Nc5 b4 Na4 Nxa4 Bxg5+ Kb1 bxa4 Qh5 Bf6 fxe6 O-O exf7+ Rxf7 Rd3 a3 Bg2 Bb7 Rhd1 Bxd4 Rxd4 Qc3,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 g2g4 b7b5 g5f6 d7f6 g4g5 f6d7 f4f5 d7c5 b2b4 c5a4 c3a4 e7g5 c1b1 b5a4 f3h5 g5f6 f5e6 e8g8 e6f7 f8f7 d1d3 a4a3 f1g2 c8b7 h1d1 f6d4 d3d4 c7c3,
Islington-J,Islington,1970.??.??,9,"O'Kelly, Rory","Nunn, John DM",,,1-0,1,D07,47,d4 d5 c4 Nc6 Nf3 Bg4 Nc3 Nf6 cxd5 Nxd5 e4 Nxc3 bxc3 e5 d5 Bxf3 Qxf3 Nb8 Rb1 Bd6 Bb5+ c6 Bc4 O-O Rxb7 c5 Qg4 g6 Bg5 Qa5 O-O Qxc3 Rc1 Qa3 Rb3 Qa4 h3 Qd7 Qh4 f6 Bxf6 Rf7 f4 Qe8 fxe5 Bxe5 d6,d2d4 d7d5 c2c4 b8c6 g1f3 c8g4 b1c3 g8f6 c4d5 f6d5 e2e4 d5c3 b2c3 e7e5 d4d5 g4f3 d1f3 c6b8 a1b1 f8d6 f1b5 c7c6 b5c4 e8g8 b1b7 c6c5 f3g4 g7g6 c1g5 d8a5 e1g1 a5c3 f1c1 c3a3 b7b3 a3a4 h2h3 a4d7 g4h4 f7f6 g5f6 f8f7 f2f4 d7e8 f4e5 d6e5 d5d6,
Norwich Junior,Norwich,1972.03.28,1,"Velickovic, Serge","Nunn, John DM",,,0-1,-1,C84,82,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 d4 exd4 e5 Ne4 b4 Nc3 Nxc3 dxc3 Nd4 O-O Re1 Bxb4 h4 Re8 Nf5 d5 Bg5 Qd7 Nxg7 Kxg7 Bf6+ Kf8 Qh5 Rd8 Qxh7 Ke8 Re3 b5 Bb3 Qe6 Rd1 Ne7 Qh8+ Kd7 Rxd5+ Qxd5 Qxd8+ Kxd8 Bxd5 Rb8 Bxf7 Bf5 g4 Bxc2 h5 Bh7 Bg5 Rb6 Bb3 c5 Bd1 c2 Bxc2 Bxc2 Rh3 c4 Be3 Rc6 f4 Bc5 Kf2 c3 Bxc5 Rxc5 Ke3 Bh7 Rh1 c2 Rc1 Nd5+ Kd4 Nxf4,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 e4e5 f6e4 b2b4 e4c3 b1c3 d4c3 f3d4 e8g8 f1e1 e7b4 h2h4 f8e8 d4f5 d7d5 c1g5 d8d7 f5g7 g8g7 g5f6 g7f8 d1h5 e8d8 h5h7 f8e8 e1e3 b7b5 a4b3 d7e6 a1d1 c6e7 h7h8 e8d7 d1d5 e6d5 h8d8 d7d8 b3d5 a8b8 d5f7 c8f5 g2g4 f5c2 h4h5 c2h7 f6g5 b8b6 f7b3 c7c5 b3d1 c3c2 d1c2 h7c2 e3h3 c5c4 g5e3 b6c6 f2f4 b4c5 g1f2 c4c3 e3c5 c6c5 f2e3 c2h7 h3h1 c3c2 h1c1 e7d5 e3d4 d5f4,
Norwich Junior,Norwich,1972.03.29,2,"Nunn, John DM","Stean, Michael",,2305.0,1/2-1/2,0,B98,40,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Be7 Qf3 Qc7 O-O-O O-O Bd3 Nc6 Nxc6 bxc6 Qh3 e5 f5 Rb8 Bc4 Rb4 Bxf6 Bxf6 Bb3 a5 Qh5 Qa7 a3 Qe3+ Kb1 Rd4 g4 Be7,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 e8g8 f1d3 b8c6 d4c6 b7c6 f3h3 e6e5 f4f5 a8b8 d3c4 b8b4 g5f6 e7f6 c4b3 a6a5 h3h5 c7a7 a2a3 a7e3 c1b1 b4d4 g2g4 f6e7,
