event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
URS Army-ch,Simferopol,1989.??.??,?,"Onischuk, Alexander","Ermoshkin, V.",,,1/2-1/2,0,A17,121,c4 e6 Nc3 Nf6 Nf3 b6 g3 Bb7 Bg2 Be7 O-O O-O b3 d5 cxd5 Nxd5 Bb2 Bf6 Rc1 Nd7 d4 c5 Ne4 Be7 dxc5 Nxc5 Qd4 Nf6 Nxf6+ Bxf6 Qxd8 Rfxd8 Bxf6 gxf6 b4 Na6 a3 Rac8 Rxc8 Rxc8 Nd4 Bxg2 Kxg2 Nb8 b5 Kf8 Rd1 Ke8 f4 Rd8 Rd3 Rd5 Kf3 Rc5 Ke3 Nd7 Kd2 Rc4 Nc6 a6 Rc3 Ra4 bxa6 Nc5 Kc2 Rxa6 Nb4 Ra8 Nd3 Ne4 Rb3 Rc8+ Kd1 Rc6 e3 Kd7 Rb4 Nd6 a4 Kc7 e4 Nc4 Rb5 Rd6 Ke2 Rd4 Nf2 f5 exf5 Nd6 Re5 exf5 a5 b5 Re7+ Kd8 Ra7 Ra4 Nd3 b4 Nc5 Ra2+ Kd3 Ra3+ Ke2 Nb5 Rxf7 Ke8 Rb7 Rxa5 Nb3 Ra2+ Kd3 Nd6 Rxb4 Rxh2 Nd4 Rg2 Ne2 Ne4 Rb5,c2c4 e7e6 b1c3 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3 d7d5 c4d5 f6d5 c1b2 e7f6 a1c1 b8d7 d2d4 c7c5 c3e4 f6e7 d4c5 d7c5 d1d4 d5f6 e4f6 e7f6 d4d8 f8d8 b2f6 g7f6 b3b4 c5a6 a2a3 a8c8 c1c8 d8c8 f3d4 b7g2 g1g2 a6b8 b4b5 g8f8 f1d1 f8e8 f2f4 c8d8 d1d3 d8d5 g2f3 d5c5 f3e3 b8d7 e3d2 c5c4 d4c6 a7a6 d3c3 c4a4 b5a6 d7c5 d2c2 a4a6 c6b4 a6a8 b4d3 c5e4 c3b3 a8c8 c2d1 c8c6 e2e3 e8d7 b3b4 e4d6 a3a4 d7c7 e3e4 d6c4 b4b5 c6d6 d1e2 d6d4 d3f2 f6f5 e4f5 c4d6 b5e5 e6f5 a4a5 b6b5 e5e7 c7d8 e7a7 d4a4 f2d3 b5b4 d3c5 a4a2 e2d3 a2a3 d3e2 d6b5 a7f7 d8e8 f7b7 a3a5 c5b3 a5a2 e2d3 b5d6 b7b4 a2h2 b3d4 h2g2 d4e2 d6e4 b4b5,
URS Army-ch,Simferopol,1989.??.??,?,"Khanov, K.","Onischuk, Alexander",,,1/2-1/2,0,B03,59,e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Bf5 Nc3 e6 Be3 Be7 Nf3 O-O Be2 f6 exf6 Bxf6 O-O Nc6 Qd2 Qe7 Rad1 Rad8 Qc1 Rd7 d5 Ne5 dxe6 Bxe6 Nd5 Bxd5 cxd5 Ng4 Bxb6 Qxe2 Bc5 Rfd8 Qf4 Ne5 Nd4 Qc4 Ne6 Qxf4 Nxf4 b6 Bd4 Ng4 Bxf6 Nxf6 Rc1 Re8 Rc6 Re5 Ne6,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 c8f5 b1c3 e7e6 c1e3 f8e7 g1f3 e8g8 f1e2 f7f6 e5f6 e7f6 e1g1 b8c6 d1d2 d8e7 a1d1 a8d8 d2c1 d8d7 d4d5 c6e5 d5e6 f5e6 c3d5 e6d5 c4d5 e5g4 e3b6 e7e2 b6c5 f8d8 c1f4 g4e5 f3d4 e2c4 d4e6 c4f4 e6f4 b7b6 c5d4 e5g4 d4f6 g4f6 d1c1 d8e8 c1c6 e8e5 f4e6,
URS Army-ch,Simferopol,1989.??.??,?,"Martyshin, S.","Onischuk, Alexander",,,0-1,-1,B04,60,e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6 Bb3 Bg7 Ng5 d5 f4 Na6 O-O f6 exf6 exf6 Nf3 O-O c3 Bf5 Bc2 Qd7 Bxf5 Qxf5 Nh4 Qd7 Qd3 Rae8 b3 Qg4 Nf3 Rf7 c4 dxc4 bxc4 c5 h3 Qe6 Re1 Qxe1+ Nxe1 Rxe1+ Kh2 Rxc1 dxc5 Nxc4 Na3 Rxa1 Nxc4 Bh6 Kg3 Nxc5 Qd8+ Kg7 Nd6 Bxf4+,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 f3g5 d6d5 f2f4 b8a6 e1g1 f7f6 e5f6 e7f6 g5f3 e8g8 c2c3 c8f5 b3c2 d8d7 c2f5 d7f5 f3h4 f5d7 d1d3 a8e8 b2b3 d7g4 h4f3 f8f7 c3c4 d5c4 b3c4 c7c5 h2h3 g4e6 f1e1 e6e1 f3e1 e8e1 g1h2 e1c1 d4c5 b6c4 b1a3 c1a1 a3c4 g7h6 h2g3 a6c5 d3d8 g8g7 c4d6 h6f4,
URS Army-ch,Simferopol,1989.??.??,?,"Zankovich, V.","Onischuk, Alexander",,,1-0,1,B02,65,e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 c6 Qe2 Qa5 Nf3 Qxc5 d4 Qb4+ Nbd2 Nf4 Qe4 Ne6 Qh4 d5 a3 Qb6 Bd3 h6 Nb1 c5 Nc3 cxd4 Nxd5 Qa5+ Nb4 Nc6 O-O Nxe5 Nxe5 Qxe5 f4 Qd6 f5 Nc5 Bc4 e6 Bf4 Qd8 Qh5 a5 Bb5+ Bd7 fxe6 Nxe6 Rae1 Be7 Rxe6 O-O Bxd7 axb4 Rxh6 gxh6 Qg4+ Kh8 Bxh6 Rg8 Qh5,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 c7c6 d1e2 d8a5 g1f3 a5c5 d2d4 c5b4 b1d2 d5f4 e2e4 f4e6 e4h4 d7d5 a2a3 b4b6 c4d3 h7h6 d2b1 c6c5 b1c3 c5d4 c3d5 b6a5 d5b4 b8c6 e1g1 c6e5 f3e5 a5e5 f2f4 e5d6 f4f5 e6c5 d3c4 e7e6 c1f4 d6d8 h4h5 a7a5 c4b5 c8d7 f5e6 c5e6 a1e1 f8e7 e1e6 e8g8 b5d7 a5b4 e6h6 g7h6 h5g4 g8h8 f4h6 f8g8 g4h5,
URS Army-ch,Simferopol,1989.??.??,?,"Nedochetov, M.","Onischuk, Alexander",,,0-1,-1,A43,82,d4 Nf6 Nf3 c5 d5 b5 Bg5 g6 Bxf6 exf6 e4 a6 a4 bxa4 Nc3 d6 Bd3 Bg7 O-O O-O Nd2 Nd7 f4 Nb6 Kh1 Bd7 f5 Qc8 Nc4 Nxc4 Bxc4 Re8 Qd3 Qb7 Rfb1 gxf5 Rf1 Re5 exf5 Rae8 b3 Re3 Qd2 Qb4 Nb1 axb3 Qxb4 cxb4 cxb3 Bb5 Nd2 Bh6 Rab1 R8e5 Nf3 Rxf5 Bxb5 axb5 Nd4 Rxf1+ Rxf1 Rd3 Nxb5 Rxd5 Nc7 Rd3 g3 Rxb3 Ne8 Rd3 Nxf6+ Kg7 Ne8+ Kf8 Nc7 b3 Rb1 Bg7 Nb5 b2 Kg2 Be5,d2d4 g8f6 g1f3 c7c5 d4d5 b7b5 c1g5 g7g6 g5f6 e7f6 e2e4 a7a6 a2a4 b5a4 b1c3 d7d6 f1d3 f8g7 e1g1 e8g8 f3d2 b8d7 f2f4 d7b6 g1h1 c8d7 f4f5 d8c8 d2c4 b6c4 d3c4 f8e8 d1d3 c8b7 f1b1 g6f5 b1f1 e8e5 e4f5 a8e8 b2b3 e5e3 d3d2 b7b4 c3b1 a4b3 d2b4 c5b4 c2b3 d7b5 b1d2 g7h6 a1b1 e8e5 d2f3 e5f5 c4b5 a6b5 f3d4 f5f1 b1f1 e3d3 d4b5 d3d5 b5c7 d5d3 g2g3 d3b3 c7e8 b3d3 e8f6 g8g7 f6e8 g7f8 e8c7 b4b3 f1b1 h6g7 c7b5 b3b2 h1g2 g7e5,
URS Army-ch,Simferopol,1989.??.??,?,"Onischuk, Alexander","Averkin, Orest N",,2465.0,1-0,1,A54,111,c4 Nf6 Nc3 d6 Nf3 e5 d4 Nbd7 g3 Be7 Bg2 O-O O-O c6 Qc2 Re8 Rd1 Qc7 b3 Bf8 e4 a6 Bb2 b5 Rac1 bxc4 bxc4 Rb8 d5 c5 Rb1 Nb6 Nd2 Bd7 Bf1 g6 Nb3 Bh6 Bc1 Bxc1 Nxc1 Red8 f3 Be8 Bd3 Qe7 N1e2 Qc7 Rb3 Nbd7 Qb2 Rxb3 axb3 Rb8 Ra1 Rb6 Qa3 Qb8 Bc2 Nf8 Nc1 Bd7 Nd3 Bc8 Qc1 Qc7 f4 N8d7 h3 Nh5 Qe3 f6 Rf1 exf4 gxf4 Rb8 Kh2 Ng7 Ne2 Qd8 Ng3 Qe7 Re1 a5 e5 fxe5 fxe5 dxe5 Nxe5 Qxe5 Qxe5 Nxe5 Rxe5 a4 bxa4 Rb4 Bd3 Rxa4 Ne4 Ra2+ Kg3 Nh5+ Kf3 Bxh3 Nxc5 Nf6 d6 Bg2+ Kg3 Bc6 Re7,c2c4 g8f6 b1c3 d7d6 g1f3 e7e5 d2d4 b8d7 g2g3 f8e7 f1g2 e8g8 e1g1 c7c6 d1c2 f8e8 f1d1 d8c7 b2b3 e7f8 e2e4 a7a6 c1b2 b7b5 a1c1 b5c4 b3c4 a8b8 d4d5 c6c5 c1b1 d7b6 f3d2 c8d7 g2f1 g7g6 d2b3 f8h6 b2c1 h6c1 b3c1 e8d8 f2f3 d7e8 f1d3 c7e7 c1e2 e7c7 b1b3 b6d7 c2b2 b8b3 a2b3 d8b8 d1a1 b8b6 b2a3 c7b8 d3c2 d7f8 e2c1 e8d7 c1d3 d7c8 a3c1 b8c7 f3f4 f8d7 h2h3 f6h5 c1e3 f7f6 a1f1 e5f4 g3f4 b6b8 g1h2 h5g7 c3e2 c7d8 e2g3 d8e7 f1e1 a6a5 e4e5 f6e5 f4e5 d6e5 d3e5 e7e5 e3e5 d7e5 e1e5 a5a4 b3a4 b8b4 c2d3 b4a4 g3e4 a4a2 h2g3 g7h5 g3f3 c8h3 e4c5 h5f6 d5d6 h3g2 f3g3 g2c6 e5e7,
URS Army-ch,Simferopol,1989.??.??,?,"Kantorovich, A.","Onischuk, Alexander",,,1-0,1,B05,103,e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 c6 Ng5 Bf5 Bg4 Bxg4 Qxg4 h6 Ne4 dxe5 dxe5 Qd7 Qe2 Na6 O-O O-O-O a3 g5 c4 Nf4 Bxf4 gxf4 Qh5 Qe6 Nbd2 Bg7 Nf3 Rd7 Rac1 b6 b4 Nb8 b5 Qg6 Qxg6 fxg6 e6 Rd3 Nh4 g5 Nf5 Bb2 Rcd1 Rxd1 Rxd1 Bxa3 Kf1 Kb7 Ke2 Rg8 Nxh6 Rg6 Nf7 g4 Rd7+ Ka8 Rd3 Bb4 Nd8 cxb5 cxb5 a6 Rd4 Bc5 Ra4 Ka7 bxa6 Nxa6 Nc3 Rg8 Nb5+ Kb8 Nc6+ Kb7 Ne5 g3 hxg3 fxg3 f4 Bd6 Nxd6+ exd6 Nd3 Nc7 f5 Nd5 Rd4 Kc6 Nb4+ Nxb4 Rxb4 d5 f6 Rb8 f7,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 c7c6 f3g5 g4f5 e2g4 f5g4 d1g4 h7h6 g5e4 d6e5 d4e5 d8d7 g4e2 b8a6 e1g1 e8c8 a2a3 g7g5 c2c4 d5f4 c1f4 g5f4 e2h5 d7e6 b1d2 f8g7 d2f3 d8d7 a1c1 b7b6 b2b4 a6b8 b4b5 e6g6 h5g6 f7g6 e5e6 d7d3 f3h4 g6g5 h4f5 g7b2 c1d1 d3d1 f1d1 b2a3 g1f1 c8b7 f1e2 h8g8 f5h6 g8g6 h6f7 g5g4 d1d7 b7a8 d7d3 a3b4 f7d8 c6b5 c4b5 a7a6 d3d4 b4c5 d4a4 a8a7 b5a6 b8a6 e4c3 g6g8 c3b5 a7b8 d8c6 b8b7 c6e5 g4g3 h2g3 f4g3 f2f4 c5d6 b5d6 e7d6 e5d3 a6c7 f4f5 c7d5 a4d4 b7c6 d3b4 d5b4 d4b4 d6d5 f5f6 g8b8 f6f7,
URS Army-ch,Simferopol,1989.??.??,?,"Onischuk, Alexander","Lisik, Valery",,,0-1,-1,D13,106,c4 c6 Nf3 d5 cxd5 cxd5 d4 Nf6 Nc3 Nc6 Bf4 e6 e3 Be7 Bd3 O-O h3 Qb6 Rb1 Bd7 O-O Rfc8 Ne5 Be8 a3 Qd8 Rc1 a6 Bb1 b5 b4 a5 Na2 axb4 Nxc6 Bxc6 axb4 Nd7 Rc3 g6 Qc2 Bb7 Rc1 Rc4 Qb3 Ra4 Bd3 Qa8 R1c2 Bxb4 Bxc4 dxc4 Qxb4 Rxb4 Nxb4 Qa1+ Rc1 Qb2 Bd6 Nb6 R3c2 Qb3 Rc3 Qb2 R3c2 Qa3 Rb1 Qa8 f3 Qd8 Bg3 h5 Be1 Qg5 Kf2 Qh4+ Kf1 Qf6 Ke2 g5 Bf2 Na4 Rcc1 g4 hxg4 hxg4 e4 Qf4 Rc2 f5 d5 fxe4 fxe4 Qxe4+ Kf1 Bxd5 Bg3 Qh7 Kg1 Be4 Rd2 Bxb1 Rd8+ Kf7 Nc6 Nc5,c2c4 c7c6 g1f3 d7d5 c4d5 c6d5 d2d4 g8f6 b1c3 b8c6 c1f4 e7e6 e2e3 f8e7 f1d3 e8g8 h2h3 d8b6 a1b1 c8d7 e1g1 f8c8 f3e5 d7e8 a2a3 b6d8 b1c1 a7a6 d3b1 b7b5 b2b4 a6a5 c3a2 a5b4 e5c6 e8c6 a3b4 f6d7 c1c3 g7g6 d1c2 c6b7 f1c1 c8c4 c2b3 a8a4 b1d3 d8a8 c1c2 e7b4 d3c4 d5c4 b3b4 a4b4 a2b4 a8a1 c2c1 a1b2 f4d6 d7b6 c3c2 b2b3 c2c3 b3b2 c3c2 b2a3 c1b1 a3a8 f2f3 a8d8 d6g3 h7h5 g3e1 d8g5 g1f2 g5h4 f2f1 h4f6 f1e2 g6g5 e1f2 b6a4 c2c1 g5g4 h3g4 h5g4 e3e4 f6f4 c1c2 f7f5 d4d5 f5e4 f3e4 f4e4 e2f1 b7d5 f2g3 e4h7 f1g1 d5e4 c2d2 e4b1 d2d8 g8f7 b4c6 a4c5,
URS Army-ch,Simferopol,1989.??.??,?,"Onischuk, Alexander","Vasilev, Nikolai",,2280.0,1-0,1,E92,77,c4 d6 Nc3 g6 Nf3 Bg7 d4 Nf6 e4 O-O Be2 e5 dxe5 dxe5 Qxd8 Rxd8 Bg5 Rf8 Nxe5 Nxe4 Nxe4 Bxe5 O-O-O Nc6 Nf6+ Kg7 Nd5 h6 Be3 b6 f4 Bd6 Bf3 Bb7 Rhe1 Rab8 Bd2 Rfe8 Bc3+ Kf8 Kc2 a5 Nxb6 Rxe1 Nd7+ Ke7 Nxb8 Rxd1 Kxd1 Nxb8 Bxb7 Bxf4 g3 Bd6 Bxa5 Nd7 b4 h5 Ke2 Nf6 c5 Be5 b5 Bd4 Bxc7 Bxc5 a4 Kd7 Bf4 Bb6 Bc6+ Kc8 Bd2 Nd7 a5 Bc5 b6,c2c4 d7d6 b1c3 g7g6 g1f3 f8g7 d2d4 g8f6 e2e4 e8g8 f1e2 e7e5 d4e5 d6e5 d1d8 f8d8 c1g5 d8f8 f3e5 f6e4 c3e4 g7e5 e1c1 b8c6 e4f6 g8g7 f6d5 h7h6 g5e3 b7b6 f2f4 e5d6 e2f3 c8b7 h1e1 a8b8 e3d2 f8e8 d2c3 g7f8 c1c2 a7a5 d5b6 e8e1 b6d7 f8e7 d7b8 e1d1 c2d1 c6b8 f3b7 d6f4 g2g3 f4d6 c3a5 b8d7 b2b4 h6h5 d1e2 d7f6 c4c5 d6e5 b4b5 e5d4 a5c7 d4c5 a2a4 e7d7 c7f4 c5b6 b7c6 d7c8 f4d2 f6d7 a4a5 b6c5 b5b6,
URS-ch U18,Alma-Ata,1991.??.??,?,"Romanov, Oleg","Onischuk, Alexander",,2340.0,1/2-1/2,0,A43,57,d4 Nf6 Nf3 c5 d5 g6 Nc3 Bg7 e4 O-O a4 d6 Be2 Bg4 O-O Bxf3 Bxf3 Na6 Bf4 Nd7 Qd2 Nc7 Be2 Rb8 Ra3 Re8 Bg5 Nf6 Qf4 a6 Nd1 e5 Qf3 h6 Bc1 b5 g4 Nh7 Qg2 Qd7 Rh3 Ng5 Rg3 Nh7 h4 bxa4 g5 h5 c3 Nb5 Kh1 Nf8 Qf3 Rec8 Qd3 c4 Qd2,d2d4 g8f6 g1f3 c7c5 d4d5 g7g6 b1c3 f8g7 e2e4 e8g8 a2a4 d7d6 f1e2 c8g4 e1g1 g4f3 e2f3 b8a6 c1f4 f6d7 d1d2 a6c7 f3e2 a8b8 a1a3 f8e8 f4g5 d7f6 d2f4 a7a6 c3d1 e7e5 f4f3 h7h6 g5c1 b7b5 g2g4 f6h7 f3g2 d8d7 a3h3 h7g5 h3g3 g5h7 h2h4 b5a4 g4g5 h6h5 c2c3 c7b5 g1h1 h7f8 g2f3 e8c8 f3d3 c5c4 d3d2,
