event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Tbilisi,Tbilisi,1945.??.??,?,"Sereda, Viktor","Petrosian, Tigran V",,,0-1,-1,E60,114,d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d6 c4 Nbd7 Qc2 e5 dxe5 dxe5 Rd1 Re8 h3 c6 Be3 Qc7 Nc3 Nb6 Nd2 Be6 Na4 Nfd7 Nc5 Nxc5 Bxc5 f5 Nf3 Rad8 b3 h6 g4 e4 Nd4 Bc8 e3 Nd7 Bb4 Ne5 Bc3 Nd3 gxf5 gxf5 Ne2 Rd7 Ng3 Rf7 Nh5 Bxc3 Qxc3 Qe7 Nf4 Nxf4 exf4 Rg7 Qe3 Kh7 Kh2 Qh4 Rd2 Reg8 Bh1 c5 Rad1 b6 Rd6 Rg4 R6d2 Rxf4 Rg1 Rfg4 Rxg4 Rxg4 Rd6 Rg6 Rxg6 Kxg6 Bg2 Kf6 Qd2 Ke7 Qe3 Qg5 Qg3 f4 Qxg5+ hxg5 Bxe4 Kd6 Kg2 Ke5 Bg6 Kd4 Bh5 Bf5 Bd1 a5 a4 Be4+ Kh2 Kd3 h4 gxh4 Kh3 f3 Kg4 h3 Kxh3 Kd2,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 c2c4 b8d7 d1c2 e7e5 d4e5 d6e5 f1d1 f8e8 h2h3 c7c6 c1e3 d8c7 b1c3 d7b6 f3d2 c8e6 c3a4 f6d7 a4c5 d7c5 e3c5 f7f5 d2f3 a8d8 b2b3 h7h6 g3g4 e5e4 f3d4 e6c8 e2e3 b6d7 c5b4 d7e5 b4c3 e5d3 g4f5 g6f5 d4e2 d8d7 e2g3 d7f7 g3h5 g7c3 c2c3 c7e7 h5f4 d3f4 e3f4 f7g7 c3e3 g8h7 g1h2 e7h4 d1d2 e8g8 g2h1 c6c5 a1d1 b7b6 d2d6 g7g4 d6d2 g4f4 d1g1 f4g4 g1g4 g8g4 d2d6 g4g6 d6g6 h7g6 h1g2 g6f6 e3d2 f6e7 d2e3 h4g5 e3g3 f5f4 g3g5 h6g5 g2e4 e7d6 h2g2 d6e5 e4g6 e5d4 g6h5 c8f5 h5d1 a7a5 a2a4 f5e4 g2h2 d4d3 h3h4 g5h4 h2h3 f4f3 h3g4 h4h3 g4h3 d3d2,
Tbilisi,Tbilisi,1945.??.??,?,"Petrosian, Tigran V","Buslaev, Aleksander",,,1-0,1,E16,75,Nf3 Nf6 c4 e6 d4 b6 g3 Bb7 Bg2 Bb4+ Bd2 Bxd2+ Qxd2 O-O O-O d6 Nc3 Ne4 Qc2 Nxc3 Qxc3 Nd7 Rad1 a5 Rfe1 f5 Ng5 Qxg5 Bxb7 Rad8 Bc6 Nf6 Qf3 e5 dxe5 dxe5 Qc3 f4 Qf3 h5 e3 Rxd1 Rxd1 Ng4 Qd5+ Kh8 exf4 Qf6 Rd2 exf4 Qxh5+ Nh6 Be4 fxg3 hxg3 c6 Qg6 Qxg6 Bxg6 Rc8 Rd7 b5 cxb5 cxb5 Ra7 a4 Rb7 Ng8 Rxb5 Ne7 Bf7 g6 Rb7 Nc6 Bxg6,g1f3 g8f6 c2c4 e7e6 d2d4 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4d2 d1d2 e8g8 e1g1 d7d6 b1c3 f6e4 d2c2 e4c3 c2c3 b8d7 a1d1 a7a5 f1e1 f7f5 f3g5 d8g5 g2b7 a8d8 b7c6 d7f6 c3f3 e6e5 d4e5 d6e5 f3c3 f5f4 c3f3 h7h5 e2e3 d8d1 e1d1 f6g4 f3d5 g8h8 e3f4 g5f6 d1d2 e5f4 d5h5 g4h6 c6e4 f4g3 h2g3 c7c6 h5g6 f6g6 e4g6 f8c8 d2d7 b6b5 c4b5 c6b5 d7a7 a5a4 a7b7 h6g8 b7b5 g8e7 g6f7 g7g6 b5b7 e7c6 f7g6,
Tbilisi,Tbilisi,1945.??.??,?,"Petrosian, Tigran V","Kasparian, Genrikh",,,1-0,1,D90,91,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qa4+ Bd7 Qb3 dxc4 Qxc4 O-O Bf4 c6 e4 Be6 Qd3 Na6 Be2 Qb6 O-O Rad8 h3 Nh5 Be3 c5 e5 f6 dxc5 Qxb2 Na4 Qxa1 Rxa1 Rxd3 Bxd3 Nb4 Be4 Bd5 Nc3 Bxe4 Nxe4 f5 Neg5 Nc6 Rb1 Rb8 g4 Nd8 gxh5 h6 hxg6 hxg5 Bxg5 Nc6 e6 f4 Kg2 Bd4 Nxd4 Nxd4 Bxf4 Rf8 Be5 Nc6 f4 Nxe5 fxe5 b6 cxb6 axb6 Rf1 Ra8 Rf7 Rxa2+ Kg3 Ra1 Kg4 Re1 Rxe7 Rxe5 h4 Re1 h5 Rg1+ Kf5 Rf1+ Kg5 Rf8 h6,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1a4 c8d7 a4b3 d5c4 b3c4 e8g8 c1f4 c7c6 e2e4 d7e6 c4d3 b8a6 f1e2 d8b6 e1g1 a8d8 h2h3 f6h5 f4e3 c6c5 e4e5 f7f6 d4c5 b6b2 c3a4 b2a1 f1a1 d8d3 e2d3 a6b4 d3e4 e6d5 a4c3 d5e4 c3e4 f6f5 e4g5 b4c6 a1b1 f8b8 g2g4 c6d8 g4h5 h7h6 h5g6 h6g5 e3g5 d8c6 e5e6 f5f4 g1g2 g7d4 f3d4 c6d4 g5f4 b8f8 f4e5 d4c6 f2f4 c6e5 f4e5 b7b6 c5b6 a7b6 b1f1 f8a8 f1f7 a8a2 g2g3 a2a1 g3g4 a1e1 f7e7 e1e5 h3h4 e5e1 h4h5 e1g1 g4f5 g1f1 f5g5 f1f8 h5h6,
Tbilisi,Tbilisi,1945.??.??,?,Agamalian,"Petrosian, Tigran V",,,0-1,-1,A53,68,d4 Nf6 c4 d6 Nc3 e5 dxe5 dxe5 Qxd8+ Kxd8 Bg5 c6 O-O-O+ Kc7 Nf3 Nbd7 a3 Ng4 Bh4 f6 h3 Nh6 g4 Nf7 Bg3 a5 Nd4 Nc5 e3 Nd6 Nc2 Nde4 Nxe4 Nxe4 Bh4 g5 Bg3 h5 gxh5 Nxg3 fxg3 Rxh5 Bg2 Be6 Bf1 a4 Rd2 Bc5 Rf2 f5 Rg1 Rah8 Kd2 f4 g4 Rxh3 Bxh3 Rxh3 Kd3 Bxe3 Nxe3 Rxe3+ Kd2 Bxc4 Re1 Rxe1 Kxe1 e4,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 d4e5 d6e5 d1d8 e8d8 c1g5 c7c6 e1c1 d8c7 g1f3 b8d7 a2a3 f6g4 g5h4 f7f6 h2h3 g4h6 g2g4 h6f7 h4g3 a7a5 f3d4 d7c5 e2e3 f7d6 d4c2 d6e4 c3e4 c5e4 g3h4 g7g5 h4g3 h7h5 g4h5 e4g3 f2g3 h8h5 f1g2 c8e6 g2f1 a5a4 d1d2 f8c5 d2f2 f6f5 h1g1 a8h8 c1d2 f5f4 g3g4 h5h3 f1h3 h8h3 d2d3 c5e3 c2e3 h3e3 d3d2 e6c4 g1e1 e3e1 d2e1 e5e4,
Tbilisi,Tbilisi,1945.??.??,?,Agamalian,"Petrosian, Tigran V",,,1-0,1,D02,81,d4 Nf6 Nf3 d5 g3 Bf5 Bg2 e6 O-O Nbd7 b3 Bd6 Bb2 c6 Nbd2 O-O c4 Ne4 Nh4 Nxd2 Qxd2 Bg6 Nxg6 hxg6 e4 dxe4 Bxe4 Nf6 Bg2 Be7 Rad1 Qc7 Qc3 Rfd8 Rd3 Rd7 Rfd1 Rad8 a4 a5 Qc2 Bb4 Qe2 Qb8 Bc1 Qc7 Bg5 Be7 Bf4 Bd6 Be3 Be7 f4 b5 cxb5 cxb5 Rc1 Qb8 Bc6 Rc7 axb5 Nd5 Bd2 Nb4 Bxb4 Bxb4 g4 Rd5 Rc4 Rd6 Qf2 Qd8 g5 f6 Qh4 e5 fxe5 fxe5 Rh3 Rxd4 Qh7+,d2d4 g8f6 g1f3 d7d5 g2g3 c8f5 f1g2 e7e6 e1g1 b8d7 b2b3 f8d6 c1b2 c7c6 b1d2 e8g8 c2c4 f6e4 f3h4 e4d2 d1d2 f5g6 h4g6 h7g6 e2e4 d5e4 g2e4 d7f6 e4g2 d6e7 a1d1 d8c7 d2c3 f8d8 d1d3 d8d7 f1d1 a8d8 a2a4 a7a5 c3c2 e7b4 c2e2 c7b8 b2c1 b8c7 c1g5 b4e7 g5f4 e7d6 f4e3 d6e7 f2f4 b7b5 c4b5 c6b5 d1c1 c7b8 g2c6 d7c7 a4b5 f6d5 e3d2 d5b4 d2b4 e7b4 g3g4 d8d5 c1c4 d5d6 e2f2 b8d8 g4g5 f7f6 f2h4 e6e5 f4e5 f6e5 d3h3 d6d4 h4h7,
Tbilisi,Tbilisi,1945.??.??,?,"Blagidze, Alexander","Petrosian, Tigran V",,,1/2-1/2,0,E33,80,d4 Nf6 c4 e6 Nc3 Bb4 e3 Nc6 Qc2 d5 Nf3 dxc4 Bxc4 O-O O-O Bd6 e4 e5 d5 Ne7 Nb5 Ng6 Bd2 Nh5 Rfc1 Bg4 Ne1 Nhf4 Nxd6 cxd6 Be3 Rc8 Qb3 b6 f3 Bd7 Bf1 f5 g3 fxe4 gxf4 exf4 Bd4 e3 Rc3 Rxc3 bxc3 Nh4 Kh1 Qe7 Qc2 g5 Bd3 Bh3 Be4 Qf7 a4 Nf5 Bxf5 Bxf5 Qg2 h6 a5 Qxd5 axb6 axb6 h4 g4 Ra7 Rf7 Qa2 Qxa2 Rxa2 gxf3 Nxf3 Be4 Kg2 Kh7 Ra6 Kg6,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6 d1c2 d7d5 g1f3 d5c4 f1c4 e8g8 e1g1 b4d6 e3e4 e6e5 d4d5 c6e7 c3b5 e7g6 c1d2 f6h5 f1c1 c8g4 f3e1 h5f4 b5d6 c7d6 d2e3 a8c8 c2b3 b7b6 f2f3 g4d7 c4f1 f7f5 g2g3 f5e4 g3f4 e5f4 e3d4 e4e3 c1c3 c8c3 b2c3 g6h4 g1h1 d8e7 b3c2 g7g5 f1d3 d7h3 d3e4 e7f7 a2a4 h4f5 e4f5 h3f5 c2g2 h7h6 a4a5 f7d5 a5b6 a7b6 h2h4 g5g4 a1a7 f8f7 g2a2 d5a2 a7a2 g4f3 e1f3 f5e4 h1g2 g8h7 a2a6 h7g6,
Tbilisi,Tbilisi,1945.??.??,?,"Buslaev, Aleksander","Petrosian, Tigran V",,,1/2-1/2,0,E68,108,c4 e5 Nc3 Nf6 Nf3 d6 d4 Nbd7 e4 g6 g3 Bg7 Bg2 O-O O-O a5 h3 Re8 Be3 exd4 Nxd4 Nc5 f3 c6 Re1 Qc7 Kh2 Nfd7 Qc2 Ne5 Nce2 Bd7 Rad1 f6 Rd2 Bf8 f4 Nf7 Nc3 Bg7 Nf3 Re7 Red1 b6 Bf2 Rae8 Nd4 Qc8 g4 Qa6 b3 Qb7 Bg3 Qc8 a3 f5 exf5 gxf5 Nxf5 Bxf5 gxf5 Re3 Na4 Nxa4 bxa4 Rc3 Qb1 Ree3 Bf2 Rb3 Bxe3 Rxb1 Rxb1 Qxf5 Rxb6 Ne5 Bxc6 Nxc6 Rxc6 Qe4 Rc8+ Kf7 Rc7+ Ke6 Re2 Bd4 f5+ Kxf5 Rf2+ Ke6 Bxd4 Qxd4 Rff7 Qb2+ Kg3 Qxa3+ Kg4 Ke5 Rf5+ Ke6 Rxa5 Qd3 Rg5 Qe2+ Kh4 Qf2+ Kh5 Qf3+,c2c4 e7e5 b1c3 g8f6 g1f3 d7d6 d2d4 b8d7 e2e4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 a7a5 h2h3 f8e8 c1e3 e5d4 f3d4 d7c5 f2f3 c7c6 f1e1 d8c7 g1h2 f6d7 d1c2 d7e5 c3e2 c8d7 a1d1 f7f6 d1d2 g7f8 f3f4 e5f7 e2c3 f8g7 d4f3 e8e7 e1d1 b7b6 e3f2 a8e8 f3d4 c7c8 g3g4 c8a6 b2b3 a6b7 f2g3 b7c8 a2a3 f6f5 e4f5 g6f5 d4f5 d7f5 g4f5 e7e3 c3a4 c5a4 b3a4 e3c3 c2b1 e8e3 g3f2 c3b3 f2e3 b3b1 d1b1 c8f5 b1b6 f7e5 g2c6 e5c6 b6c6 f5e4 c6c8 g8f7 c8c7 f7e6 d2e2 g7d4 f4f5 e6f5 e2f2 f5e6 e3d4 e4d4 f2f7 d4b2 h2g3 b2a3 g3g4 e6e5 f7f5 e5e6 f5a5 a3d3 a5g5 d3e2 g4h4 e2f2 h4h5 f2f3,
Tbilisi,Tbilisi,1945.??.??,?,Gabuniya,"Petrosian, Tigran V",,,0-1,-1,B70,110,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 d6 g3 g6 Bg2 Bd7 O-O Bg7 Nde2 O-O a4 Rc8 Be3 Ng4 Bf4 Nb4 Rc1 a6 Qd2 Qc7 h3 Ne5 b3 Bxh3 Bxe5 Bxe5 Nd5 Nxd5 Bxh3 Nc3 Bxc8 Rxc8 Nxc3 Bxc3 Qd3 Bb2 Rcd1 Qxc2 Qxc2 Rxc2 Rd3 b5 Rfd1 bxa4 bxa4 Rc4 Rb3 Be5 a5 Ra4 Rb7 Kf8 f4 Bc3 Rd5 Bxa5 Rb8+ Kg7 Ra8 Be1 Rd3 Rxe4 Rxa6 h5 Ra1 h4 gxh4 Bxh4 Rf1 Bf6 Kg2 Ra4 Kf3 g5 fxg5 Bxg5 Rg1 f6 Rb3 Kg6 Rb7 e5 Rd1 e4+ Ke2 Ra2+ Ke1 Bh4+ Kf1 Bg3 Re7 f5 Re8 Be5 Re1 Kg5 Re6 f4 Rxe4 Kf5 R6xe5+ dxe5,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g3 g7g6 f1g2 c8d7 e1g1 f8g7 d4e2 e8g8 a2a4 a8c8 c1e3 f6g4 e3f4 c6b4 a1c1 a7a6 d1d2 d8c7 h2h3 g4e5 b2b3 d7h3 f4e5 g7e5 c3d5 b4d5 g2h3 d5c3 h3c8 f8c8 e2c3 e5c3 d2d3 c3b2 c1d1 c7c2 d3c2 c8c2 d1d3 b7b5 f1d1 b5a4 b3a4 c2c4 d3b3 b2e5 a4a5 c4a4 b3b7 g8f8 f2f4 e5c3 d1d5 c3a5 b7b8 f8g7 b8a8 a5e1 d5d3 a4e4 a8a6 h7h5 a6a1 h5h4 g3h4 e1h4 a1f1 h4f6 g1g2 e4a4 g2f3 g6g5 f4g5 f6g5 f1g1 f7f6 d3b3 g7g6 b3b7 e7e5 g1d1 e5e4 f3e2 a4a2 e2e1 g5h4 e1f1 h4g3 b7e7 f6f5 e7e8 g3e5 d1e1 g6g5 e8e6 f5f4 e1e4 g5f5 e6e5 d6e5,
Tbilisi,Tbilisi,1945.??.??,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",,,0-1,-1,B00,52,e4 Nc6 d4 d5 e5 Bf5 Nf3 e6 Bd3 Bxd3 cxd3 Nge7 Qb3 Nf5 Be3 Be7 Qxb7 Nb4 Kd2 O-O Qb5 Rb8 Qa4 c5 a3 cxd4 Nxd4 Nxe3 fxe3 Bc5 h4 Qb6 axb4 Bxd4 exd4 Qxd4 Nc3 Rxb4 Qa3 Rfb8 Rab1 Rb3 Qa2 Qf4+ Ke2 d4 Ne4 R8b5 Nf2 Rxe5+ Kf1 Rf5,e2e4 b8c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1d3 f5d3 c2d3 g8e7 d1b3 e7f5 c1e3 f8e7 b3b7 c6b4 e1d2 e8g8 b7b5 a8b8 b5a4 c7c5 a2a3 c5d4 f3d4 f5e3 f2e3 e7c5 h2h4 d8b6 a3b4 c5d4 e3d4 b6d4 b1c3 b8b4 a4a3 f8b8 a1b1 b4b3 a3a2 d4f4 d2e2 d5d4 c3e4 b8b5 e4f2 b5e5 e2f1 e5f5,
Tbilisi,Tbilisi,1945.??.??,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",,,0-1,-1,E21,82,d4 e6 c4 Bb4+ Nc3 c5 Nf3 Nf6 a3 Ba5 Qc2 d5 dxc5 d4 b4 dxc3 bxa5 Qxa5 e4 Nc6 Rb1 e5 Rb5 Qc7 Bd3 Bg4 Qxc3 Bxf3 gxf3 Nh5 f4 Nxf4 Bxf4 exf4 O-O a6 Rb6 O-O Rfb1 Rab8 e5 Nxe5 Be4 Qxc5 Bd5 Qe7 Kh1 Ng4 Qf3 Qh4 h3 Ne5 Qg2 f3 Bxf3 Nxf3 Qxf3 Qxc4 Rxb7 Rxb7 Rxb7 Re8 Kg2 h6 Rb4 Qc2 Rb6 Qc4 Rb4 Qc5 Rb7 Qg5+ Kh2 Re1 Qg3 Qxg3+ Kxg3 Ra1 Rb8+ Kh7 Rb3 Ra2,d2d4 e7e6 c2c4 f8b4 b1c3 c7c5 g1f3 g8f6 a2a3 b4a5 d1c2 d7d5 d4c5 d5d4 b2b4 d4c3 b4a5 d8a5 e2e4 b8c6 a1b1 e6e5 b1b5 a5c7 f1d3 c8g4 c2c3 g4f3 g2f3 f6h5 f3f4 h5f4 c1f4 e5f4 e1g1 a7a6 b5b6 e8g8 f1b1 a8b8 e4e5 c6e5 d3e4 c7c5 e4d5 c5e7 g1h1 e5g4 c3f3 e7h4 h2h3 g4e5 f3g2 f4f3 d5f3 e5f3 g2f3 h4c4 b6b7 b8b7 b1b7 f8e8 h1g2 h7h6 b7b4 c4c2 b4b6 c2c4 b6b4 c4c5 b4b7 c5g5 g2h2 e8e1 f3g3 g5g3 h2g3 e1a1 b7b8 g8h7 b8b3 a1a2,
