event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
34th TCh-IND 2014,Kanpur IND,2014.02.14,1.2,"Thejkumar,M","Praggnanandhaa,R",2474.0,1974.0,1-0,1,D37,105,d4 d5 c4 e6 Nf3 Nf6 Nc3 Be7 Bf4 c6 e3 O-O Rc1 b6 Bd3 Bb7 O-O Nbd7 Qe2 c5 Rfd1 Ne4 cxd5 exd5 Ba6 Nxc3 Rxc3 Qc8 Bxb7 Qxb7 dxc5 Nxc5 Be5 Rac8 Nd4 Nd7 Bxg7 Kxg7 Qg4+ Kh8 Nf5 Rg8 Rxc8 Qxc8 Nxe7 Rxg4 Nxc8 Nf6 b3 Rg8 Rc1 Kg7 Nxa7 Ra8 Rc7 Ne4 b4 Nd2 g3 Nf3+ Kg2 Ne1+ Kf1 Nd3 a3 Kf6 Rb7 Kg7 Nb5 Nb2 Rxb6 Nc4 Rb7 Nxa3 Nd6 Rf8 b5 Kf6 b6 Ke6 Nxf7 Nc4 Ng5+ Kf5 Nxh7 Rh8 h4 Kg6 Ng5 Rf8 Ne6 Rf6 Nf4+ Kf5 Nxd5 Rd6 Rc7 Nxb6 Nxb6 Rxb6 Kg2 Kg4 Rc5 Rg6 f3#,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 f8e7 c1f4 c7c6 e2e3 e8g8 a1c1 b7b6 f1d3 c8b7 e1g1 b8d7 d1e2 c6c5 f1d1 f6e4 c4d5 e6d5 d3a6 e4c3 c1c3 d8c8 a6b7 c8b7 d4c5 d7c5 f4e5 a8c8 f3d4 c5d7 e5g7 g8g7 e2g4 g7h8 d4f5 f8g8 c3c8 b7c8 f5e7 g8g4 e7c8 d7f6 b2b3 g4g8 d1c1 h8g7 c8a7 g8a8 c1c7 f6e4 b3b4 e4d2 g2g3 d2f3 g1g2 f3e1 g2f1 e1d3 a2a3 g7f6 c7b7 f6g7 a7b5 d3b2 b7b6 b2c4 b6b7 c4a3 b5d6 a8f8 b4b5 g7f6 b5b6 f6e6 d6f7 a3c4 f7g5 e6f5 g5h7 f8h8 h2h4 f5g6 h7g5 h8f8 g5e6 f8f6 e6f4 g6f5 f4d5 f6d6 b7c7 c4b6 d5b6 d6b6 f1g2 f5g4 c7c5 b6g6 f2f3,500.0
World Junior Open 2014,Pune IND,2014.10.06,1.60,"Praggnanandhaa,R","Visakh,NR",1836.0,2300.0,1-0,1,B40,116,e4 c5 Nf3 e6 Nc3 a6 a4 Qc7 Be2 Nc6 O-O Nf6 d3 Be7 h3 O-O Be3 d6 Qd2 Rd8 Bf4 Nd4 Nh2 e5 Bg5 Be6 Bxf6 Bxf6 Bg4 Qe7 Bxe6 fxe6 Ne2 Bg5 Qd1 Nc6 Nf3 Bh6 c3 Rac8 Qc2 Rf8 Nh2 Rf7 g3 g6 Kg2 d5 h4 Na5 Rad1 Rcf8 Ng4 Bg7 exd5 exd5 Ne3 d4 Nd5 Qd6 c4 Bh6 Ng1 Nc6 Qe2 Na5 Qc2 Qe6 Rde1 Bg7 Re4 Nc6 Qe2 Ne7 Nxe7+ Qxe7 Nh3 h6 b3 Qd6 f4 Qb6 Qd1 Qc6 Re1 Re8 Kh2 Rfe7 h5 Qd6 hxg6 Qxg6 Qf3 Qd6 f5 Rf8 g4 Bf6 Kg2 Qb6 Qd1 Rg7 Kf1 Qb4 Qc2 Kf7 Qb2 Rfg8 Nf2 Rg5 Qc2 Re8 Nh3 Qc3 Nxg5+ hxg5,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 a2a4 d8c7 f1e2 b8c6 e1g1 g8f6 d2d3 f8e7 h2h3 e8g8 c1e3 d7d6 d1d2 f8d8 e3f4 c6d4 f3h2 e6e5 f4g5 c8e6 g5f6 e7f6 e2g4 c7e7 g4e6 f7e6 c3e2 f6g5 d2d1 d4c6 h2f3 g5h6 c2c3 a8c8 d1c2 d8f8 f3h2 f8f7 g2g3 g7g6 g1g2 d6d5 h3h4 c6a5 a1d1 c8f8 h2g4 h6g7 e4d5 e6d5 g4e3 d5d4 e3d5 e7d6 c3c4 g7h6 e2g1 a5c6 c2e2 c6a5 e2c2 d6e6 d1e1 h6g7 e1e4 a5c6 c2e2 c6e7 d5e7 e6e7 g1h3 h7h6 b2b3 e7d6 f2f4 d6b6 e2d1 b6c6 f1e1 f8e8 g2h2 f7e7 h4h5 c6d6 h5g6 d6g6 d1f3 g6d6 f4f5 e8f8 g3g4 g7f6 h2g2 d6b6 f3d1 e7g7 g2f1 b6b4 d1c2 g8f7 c2b2 f8g8 h3f2 g7g5 b2c2 g8e8 f2h3 b4c3 h3g5 h6g5,-464.0
World Junior Open 2014,Pune IND,2014.10.07,2.25,"Gagare,Shar","Praggnanandhaa,R",2419.0,1836.0,1-0,1,A20,115,c4 e5 g3 Nc6 Bg2 Nf6 Nc3 Bc5 a3 a5 e3 O-O Nge2 d6 O-O Bf5 d4 exd4 exd4 Ba7 h3 Re8 g4 Be4 Nxe4 Nxe4 Qd3 Ng5 Be3 Ne6 Qd2 Nf8 b4 Qc8 c5 dxc5 bxc5 a4 Rab1 Nd8 Ng3 c6 Nf5 Bb8 Bf4 Bxf4 Qxf4 Qd7 Qd6 Qxd6 Nxd6 Re7 Rb4 Nfe6 f4 f6 f5 Nc7 Rfb1 Nd5 Bxd5+ cxd5 Kf2 h5 Rb6 Kh7 gxh5 Kh6 Re1 Rxe1 Kxe1 Ra7 Nc8 Ra8 Ne7 Kxh5 Nxd5 Nc6 Nc7 Rd8 Ne6 Rd7 d5 Rxd5 Nf4+ Kg5 Nxd5 Kxf5 Rxb7 Ke4 Nb4 Nxb4 axb4 a3 c6 a2 Ra7 a1=Q+ Rxa1 Kd5 c7 Kc6 c8=Q+ Kd5 Ra5+ Ke4 Qg4+ Kd3 Ra3+ Kc2 Qd1+ Kb2 Rb3+ Ka2 Qb1#,c2c4 e7e5 g2g3 b8c6 f1g2 g8f6 b1c3 f8c5 a2a3 a7a5 e2e3 e8g8 g1e2 d7d6 e1g1 c8f5 d2d4 e5d4 e3d4 c5a7 h2h3 f8e8 g3g4 f5e4 c3e4 f6e4 d1d3 e4g5 c1e3 g5e6 d3d2 e6f8 b2b4 d8c8 c4c5 d6c5 b4c5 a5a4 a1b1 c6d8 e2g3 c7c6 g3f5 a7b8 e3f4 b8f4 d2f4 c8d7 f4d6 d7d6 f5d6 e8e7 b1b4 f8e6 f2f4 f7f6 f4f5 e6c7 f1b1 c7d5 g2d5 c6d5 g1f2 h7h5 b4b6 g8h7 g4h5 h7h6 b1e1 e7e1 f2e1 a8a7 d6c8 a7a8 c8e7 h6h5 e7d5 d8c6 d5c7 a8d8 c7e6 d8d7 d4d5 d7d5 e6f4 h5g5 f4d5 g5f5 b6b7 f5e4 d5b4 c6b4 a3b4 a4a3 c5c6 a3a2 b7a7 a2a1q a7a1 e4d5 c6c7 d5c6 c7c8q c6d5 a1a5 d5e4 c8g4 e4d3 a5a3 d3c2 g4d1 c2b2 a3b3 b2a2 d1b1,583.0
World Junior Open 2014,Pune IND,2014.10.08,3.43,"Praggnanandhaa,R","Praneeth,S",1836.0,2251.0,1/2-1/2,0,B51,69,e4 c5 Nf3 d6 Bb5+ Nd7 O-O a6 Bxd7+ Bxd7 h3 Nf6 d3 g6 Nc3 Bg7 Be3 Qc7 Qd2 Bc6 Bh6 O-O Bxg7 Kxg7 Rae1 e5 Nh2 Nh5 Ne2 f5 exf5 Rxf5 f4 Qf7 fxe5 Qd5 Nf3 dxe5 Nc3 Qd6 Qe3 Ng3 Rf2 Raf8 Ne4 Nxe4 dxe4 Rf4 Rd2 Qe7 Qc3 Re8 Rde2 Rf6 Rd1 Re6 a3 b6 Qe3 Rf6 Qc3 Rf4 Rde1 Qf6 b4 c4 Re3 b5 g3,e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 e1g1 a7a6 b5d7 c8d7 h2h3 g8f6 d2d3 g7g6 b1c3 f8g7 c1e3 d8c7 d1d2 d7c6 e3h6 e8g8 h6g7 g8g7 a1e1 e7e5 f3h2 f6h5 c3e2 f7f5 e4f5 f8f5 f2f4 c7f7 f4e5 f7d5 h2f3 d6e5 e2c3 d5d6 d2e3 h5g3 f1f2 a8f8 c3e4 g3e4 d3e4 f5f4 f2d2 d6e7 e3c3 f8e8 d2e2 f4f6 e1d1 f6e6 a2a3 b7b6 c3e3 e6f6 e3c3 f6f4 d1e1 e7f6 b2b4 c5c4 e2e3 b6b5 g2g3,-415.0
World Junior Open 2014,Pune IND,2014.10.09,4.46,"Ider,B","Praggnanandhaa,R",2394.0,1836.0,1-0,1,E06,155,d4 d5 Nf3 Nf6 c4 e6 g3 Be7 Bg2 O-O O-O dxc4 Qc2 a6 a4 Bd7 Rd1 Bc6 Nc3 Nd5 e4 Nxc3 bxc3 b5 d5 exd5 exd5 Bb7 Nd4 Bc5 Be3 Bxd4 Bxd4 Qc8 Rab1 c6 Qd2 f6 Qe2 Re8 Qh5 Nd7 Bh3 c5 Be3 Re5 Qf3 bxa4 Bf4 Re8 Qh5 g6 Qh6 Kh8 Be6 Re7 Bd6 Rg7 Qf4 a5 Qxc4 a3 Qa4 Ba6 Qxa3 Qd8 Re1 Rc8 Ra1 Qb6 Bf4 g5 Qxa5 Qxa5 Rxa5 Bc4 Bd6 Rd8 Rea1 h5 Ra8 Rdg8 Rxg8+ Rxg8 Bxg8 Kxg8 Ra7 Nb6 Bxc5 Nxd5 Bd4 f5 Rg7+ Kf8 Rxg5 f4 Rxh5 fxg3 fxg3 Kf7 Rg5 Ne7 h4 Ng6 h5 Nf8 h6 Bd3 Ra5 Kg6 Be3 Ne6 Rd5 Bc4 Rd6 Kh7 Rd7+ Kh8 Bd4+ Nxd4 Rxd4 Ba2 c4 Kh7 c5 Kxh6 c6 Kg5 Rd6 Bb1 c7 Bf5 Rd5 Kg4 Rxf5 Kxf5 c8=Q+ Ke5 Qf8 Ke4 g4 Ke3 g5 Ke2 g6 Ke1 Qf2+ Kd1 g7 Kc1 g8=Q Kd1 Qb3+ Kc1 Qbc2#,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 g2g3 f8e7 f1g2 e8g8 e1g1 d5c4 d1c2 a7a6 a2a4 c8d7 f1d1 d7c6 b1c3 f6d5 e2e4 d5c3 b2c3 b7b5 d4d5 e6d5 e4d5 c6b7 f3d4 e7c5 c1e3 c5d4 e3d4 d8c8 a1b1 c7c6 c2d2 f7f6 d2e2 f8e8 e2h5 b8d7 g2h3 c6c5 d4e3 e8e5 h5f3 b5a4 e3f4 e5e8 f3h5 g7g6 h5h6 g8h8 h3e6 e8e7 f4d6 e7g7 h6f4 a6a5 f4c4 a4a3 c4a4 b7a6 a4a3 c8d8 d1e1 a8c8 b1a1 d8b6 d6f4 g6g5 a3a5 b6a5 a1a5 a6c4 f4d6 c8d8 e1a1 h7h5 a5a8 d8g8 a8g8 g7g8 e6g8 h8g8 a1a7 d7b6 d6c5 b6d5 c5d4 f6f5 a7g7 g8f8 g7g5 f5f4 g5h5 f4g3 f2g3 f8f7 h5g5 d5e7 h2h4 e7g6 h4h5 g6f8 h5h6 c4d3 g5a5 f7g6 d4e3 f8e6 a5d5 d3c4 d5d6 g6h7 d6d7 h7h8 e3d4 e6d4 d7d4 c4a2 c3c4 h8h7 c4c5 h7h6 c5c6 h6g5 d4d6 a2b1 c6c7 b1f5 d6d5 g5g4 d5f5 g4f5 c7c8q f5e5 c8f8 e5e4 g3g4 e4e3 g4g5 e3e2 g5g6 e2e1 f8f2 e1d1 g6g7 d1c1 g7g8q c1d1 g8b3 d1c1 b3c2,558.0
World Junior Open 2014,Pune IND,2014.10.10,5.51,"Praggnanandhaa,R","Pastar,S",1836.0,2159.0,1-0,1,B40,45,e4 c5 Nf3 e6 Nc3 a6 a4 Nc6 Be2 d5 exd5 exd5 d4 c4 O-O Bf5 Re1 Be7 Bf4 Nf6 Bxc4 dxc4 d5 Nb4 d6 Bxc2 Qd2 Ng8 Nd5 Nd3 Nc7+ Kf8 dxe7+ Nxe7 Nxa8 Nd5 Qxc2 N5xf4 Qxc4 Qxa8 Red1 Ne2+ Kf1 Ndf4 Ne5,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 a2a4 b8c6 f1e2 d7d5 e4d5 e6d5 d2d4 c5c4 e1g1 c8f5 f1e1 f8e7 c1f4 g8f6 e2c4 d5c4 d4d5 c6b4 d5d6 f5c2 d1d2 f6g8 c3d5 b4d3 d5c7 e8f8 d6e7 g8e7 c7a8 e7d5 d2c2 d5f4 c2c4 d8a8 e1d1 f4e2 g1f1 d3f4 f3e5,-323.0
World Junior Open 2014,Pune IND,2014.10.11,6.38,"Antonio,V","Praggnanandhaa,R",2257.0,1836.0,1-0,1,C50,127,e4 e5 Nf3 Nc6 Bc4 Be7 O-O d6 d4 exd4 Nxd4 Ne5 Bb3 Nf6 Nc3 O-O f4 Ng6 h3 c5 Nf3 Qc7 Qe2 Bd7 f5 Ne5 Nxe5 dxe5 g4 b5 Bd5 Nxd5 Nxd5 Qd8 Be3 f6 Rfd1 Rc8 a4 bxa4 Qa6 Kh8 Rd2 Bc6 Qxa7 Bd6 Qa6 Qe8 Nb6 Rd8 Rad1 Be7 Rxd8 Bxd8 Bxc5 Be7 Qc4 Bxc5+ Qxc5 Bxe4 Rd7 Rg8 Qc7 h5 Kf2 Bh1 Ke3 Bg2 Kf2 Bxh3 Nd5 Qf8 Ne7 Kh7 Nxg8 Qxg8 Kg3 Bxg4 Rd8 Qa2 Qc8 Kh6 Kh4 Bxf5 Qxf5 Qc4+ Kg3 g6 Qxf6 Qg4+ Kf2 Qf4+ Qxf4+ exf4 Kf3 g5 Rd6+ Kg7 c4 Kf7 c5 Ke7 Rg6 Kd7 Rxg5 Kc6 Rxh5 Kb5 Kxf4 Kc6 Ke4 Kb5 Kd4 Kc6 Rh6+ Kc7 Kd5 Kd7 Rh7+ Ke8 c6 Kf8 c7 Kg8 Rd7 a3 c8=Q#,e2e4 e7e5 g1f3 b8c6 f1c4 f8e7 e1g1 d7d6 d2d4 e5d4 f3d4 c6e5 c4b3 g8f6 b1c3 e8g8 f2f4 e5g6 h2h3 c7c5 d4f3 d8c7 d1e2 c8d7 f4f5 g6e5 f3e5 d6e5 g2g4 b7b5 b3d5 f6d5 c3d5 c7d8 c1e3 f7f6 f1d1 a8c8 a2a4 b5a4 e2a6 g8h8 d1d2 d7c6 a6a7 e7d6 a7a6 d8e8 d5b6 c8d8 a1d1 d6e7 d2d8 e7d8 e3c5 d8e7 a6c4 e7c5 c4c5 c6e4 d1d7 f8g8 c5c7 h7h5 g1f2 e4h1 f2e3 h1g2 e3f2 g2h3 b6d5 e8f8 d5e7 h8h7 e7g8 f8g8 f2g3 h3g4 d7d8 g8a2 c7c8 h7h6 g3h4 g4f5 c8f5 a2c4 h4g3 g7g6 f5f6 c4g4 g3f2 g4f4 f6f4 e5f4 f2f3 g6g5 d8d6 h6g7 c2c4 g7f7 c4c5 f7e7 d6g6 e7d7 g6g5 d7c6 g5h5 c6b5 f3f4 b5c6 f4e4 c6b5 e4d4 b5c6 h5h6 c6c7 d4d5 c7d7 h6h7 d7e8 c5c6 e8f8 c6c7 f8g8 h7d7 a4a3 c7c8q,421.0
World Junior Open 2014,Pune IND,2014.10.12,7.48,"Praggnanandhaa,R","Ronka,E",1836.0,2183.0,1/2-1/2,0,B12,151,e4 c6 d4 d5 e5 Bf5 Bd3 Bxd3 Qxd3 e6 Ne2 c5 Nbc3 Nc6 Bf4 a6 O-O Nge7 dxc5 Ng6 Qg3 Bxc5 Nc1 Qh4 Qxh4 Nxh4 Nd3 Ba7 Ne2 Ng6 Bg3 h5 h4 Bb8 f4 Ba7+ Kh1 Nce7 Kh2 Nf5 Kh3 Rc8 c3 Ke7 Be1 Rhd8 g3 d4 cxd4 Bxd4 Bb4+ Ke8 Rac1 Be3 Rxc8 Rxc8 Bc3 Nge7 Kg2 Rd8 Ndc1 Nd5 Kf3 Nxc3 bxc3 Rd2 a4 Kd7 Re1 Kc7 Nb3 Rc2 Rd1 Rb2 Na5 Bc5 Nc4 Ra2 a5 Ra4 Nd2 Rxa5 Ne4 Be7 Nd4 Rd5 Rc1 Nxd4+ cxd4+ Kb8 Ke3 g6 Nc3 Rd7 Rd1 b5 Ke4 b4 Na4 Kb7 Rc1 Rd5 Kd3 Rd8 Ke4 a5 Kd3 Rd7 Rc4 Ka6 Kc2 Kb5 Kb3 Bd8 Rc5+ Ka6 Kc4 Bb6 Rc6 Rxd4+ Kb3 Rd3+ Kc2 Ra3 Nxb6 Kb5 Rd6 Rxg3 Nd7 a4 Rb6+ Ka5 Rb8 b3+ Kb2 Rg2+ Kc3 Rc2+ Kd3 Rc7 Nb6 Rc1 Nc4+ Ka6 Rb6+ Ka7 Rb4 Ra1 Kc3 Rc1+ Kd3,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 f1d3 f5d3 d1d3 e7e6 g1e2 c6c5 b1c3 b8c6 c1f4 a7a6 e1g1 g8e7 d4c5 e7g6 d3g3 f8c5 e2c1 d8h4 g3h4 g6h4 c1d3 c5a7 c3e2 h4g6 f4g3 h7h5 h2h4 a7b8 f2f4 b8a7 g1h1 c6e7 h1h2 e7f5 h2h3 a8c8 c2c3 e8e7 g3e1 h8d8 g2g3 d5d4 c3d4 a7d4 e1b4 e7e8 a1c1 d4e3 c1c8 d8c8 b4c3 g6e7 h3g2 c8d8 d3c1 e7d5 g2f3 d5c3 b2c3 d8d2 a2a4 e8d7 f1e1 d7c7 c1b3 d2c2 e1d1 c2b2 b3a5 e3c5 a5c4 b2a2 a4a5 a2a4 c4d2 a4a5 d2e4 c5e7 e2d4 a5d5 d1c1 f5d4 c3d4 c7b8 f3e3 g7g6 e4c3 d5d7 c1d1 b7b5 e3e4 b5b4 c3a4 b8b7 d1c1 d7d5 e4d3 d5d8 d3e4 a6a5 e4d3 d8d7 c1c4 b7a6 d3c2 a6b5 c2b3 e7d8 c4c5 b5a6 b3c4 d8b6 c5c6 d7d4 c4b3 d4d3 b3c2 d3a3 a4b6 a6b5 c6d6 a3g3 b6d7 a5a4 d6b6 b5a5 b6b8 b4b3 c2b2 g3g2 b2c3 g2c2 c3d3 c2c7 d7b6 c7c1 b6c4 a5a6 b8b6 a6a7 b6b4 c1a1 d3c3 a1c1 c3d3,-347.0
World Junior Open 2014,Pune IND,2014.10.14,8.48,"Iniyan,P","Praggnanandhaa,R",2151.0,1836.0,1-0,1,D53,139,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O Bd3 h6 Bh4 b6 Nf3 Bb7 Rc1 Nbd7 O-O c5 cxd5 Nxd5 Bg3 cxd4 Nxd4 Nxc3 Rxc3 Nc5 Bb1 Bf6 f3 e5 Qc2 Be4 fxe4 exd4 e5 d3 Qd1 Bh4 Bf4 g5 Bg3 Bxg3 hxg3 Qd5 Qh5 Qxe5 Qxh6 Qxe3+ Kh2 Rad8 Rf5 Ne6 Rc6 Qd4 Rf6 Rfe8 a3 Qd5 Rc3 Qe4 Qh5 Qh7 Rh6 Qg7 Bxd3 Nf8 Bc4 Re7 Rf3 Rdd7 Rff6 Rc7 Ba2 Ne6 Bxe6 Rxe6 Rxe6 fxe6 Qe8+ Qf8 Rh8+ Kxh8 Qxf8+ Kh7 Qf6 Rg7 g4 Rg6 Qf7+ Rg7 Qxe6 Rg6 Qf5 Kh6 Kg3 Kh7 Kf3 Kh6 Ke4 Kh7 Ke5 Kh6 Qxg6+ Kxg6 Ke6 b5 b4 a6 Ke5 Kg7 Kf5 Kh6 Kf6 Kh7 Kxg5 Kg7 Kf5 Kf7 g5 Kg7 g6 Kg8 Kf6 Kf8 g7+ Kg8 g3 a5 bxa5 b4 a6 bxa3 a7 a2 a8=Q+ Kh7 Qh8#,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 f1d3 h7h6 g5h4 b7b6 g1f3 c8b7 a1c1 b8d7 e1g1 c7c5 c4d5 f6d5 h4g3 c5d4 f3d4 d5c3 c1c3 d7c5 d3b1 e7f6 f2f3 e6e5 d1c2 b7e4 f3e4 e5d4 e4e5 d4d3 c2d1 f6h4 g3f4 g7g5 f4g3 h4g3 h2g3 d8d5 d1h5 d5e5 h5h6 e5e3 g1h2 a8d8 f1f5 c5e6 c3c6 e3d4 f5f6 f8e8 a2a3 d4d5 c6c3 d5e4 h6h5 e4h7 f6h6 h7g7 b1d3 e6f8 d3c4 e8e7 c3f3 d8d7 f3f6 d7c7 c4a2 f8e6 a2e6 e7e6 f6e6 f7e6 h5e8 g7f8 h6h8 g8h8 e8f8 h8h7 f8f6 c7g7 g3g4 g7g6 f6f7 g6g7 f7e6 g7g6 e6f5 h7h6 h2g3 h6h7 g3f3 h7h6 f3e4 h6h7 e4e5 h7h6 f5g6 h6g6 e5e6 b6b5 b2b4 a7a6 e6e5 g6g7 e5f5 g7h6 f5f6 h6h7 f6g5 h7g7 g5f5 g7f7 g4g5 f7g7 g5g6 g7g8 f5f6 g8f8 g6g7 f8g8 g2g3 a6a5 b4a5 b5b4 a5a6 b4a3 a6a7 a3a2 a7a8q g8h7 a8h8,315.0
World Junior Open 2014,Pune IND,2014.10.15,9.58,"Praggnanandhaa,R","Pranavananda,V",1836.0,2136.0,1-0,1,B15,79,e4 c6 d4 d5 Nc3 g6 e5 Bg7 Be3 Nh6 Nf3 Bg4 h3 Bxf3 Qxf3 Nf5 Bd3 Nxe3 fxe3 e6 O-O O-O Ne2 Nd7 Nf4 c5 c3 Qb6 Rf2 c4 Bf1 Qc6 Qd1 f6 exf6 Nxf6 Be2 Ne4 Rf1 Bh6 Bg4 Rf6 Bf3 Ng3 Re1 Nf5 Qc2 Nxe3 Rxe3 Bxf4 Re2 Raf8 Rae1 Bg3 Rd1 Bc7 Rde1 Qd6 Re5 Qd7 R5e3 Bf4 R3e2 Bg3 Rd1 Kh8 Qd2 Qg7 b3 b5 bxc4 bxc4 Rb1 Qf7 Qe3 Bf4 Qf2 Qc7 Reb2,e2e4 c7c6 d2d4 d7d5 b1c3 g7g6 e4e5 f8g7 c1e3 g8h6 g1f3 c8g4 h2h3 g4f3 d1f3 h6f5 f1d3 f5e3 f2e3 e7e6 e1g1 e8g8 c3e2 b8d7 e2f4 c6c5 c2c3 d8b6 f1f2 c5c4 d3f1 b6c6 f3d1 f7f6 e5f6 d7f6 f1e2 f6e4 f2f1 g7h6 e2g4 f8f6 g4f3 e4g3 f1e1 g3f5 d1c2 f5e3 e1e3 h6f4 e3e2 a8f8 a1e1 f4g3 e1d1 g3c7 d1e1 c6d6 e2e5 d6d7 e5e3 c7f4 e3e2 f4g3 e1d1 g8h8 c2d2 d7g7 b2b3 b7b5 b3c4 b5c4 d1b1 g7f7 d2e3 g3f4 e3f2 f7c7 e2b2,-300.0
