event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U10,Menorca,1996.??.??,2,"Radjabov, Teimour","Dos Santos Fier, Alex",,,1-0,1,D00,53,d4 Nf6 e3 e6 Bd3 d5 f4 c5 c3 Nc6 Nf3 b6 O-O Bb7 Ne5 Bd6 Nd2 Qc7 Qe2 c4 Bc2 O-O-O b3 cxb3 axb3 h5 Bd3 Bxe5 fxe5 Ne8 Ba3 f6 exf6 Nxf6 e4 e5 Rxf6 gxf6 exd5 Rxd5 Be4 Rdd8 d5 Nb8 Bf5+ Rd7 c4 Kd8 Ne4 Rf7 Bd6 Na6 Bxc7+,d2d4 g8f6 e2e3 e7e6 f1d3 d7d5 f2f4 c7c5 c2c3 b8c6 g1f3 b7b6 e1g1 c8b7 f3e5 f8d6 b1d2 d8c7 d1e2 c5c4 d3c2 e8c8 b2b3 c4b3 a2b3 h7h5 c2d3 d6e5 f4e5 f6e8 c1a3 f7f6 e5f6 e8f6 e3e4 e6e5 f1f6 g7f6 e4d5 d8d5 d3e4 d5d8 d4d5 c6b8 e4f5 d8d7 c3c4 c8d8 d2e4 d7f7 a3d6 b8a6 d6c7,
Wch U10,Menorca,1996.??.??,3,"Erwich, Marc","Radjabov, Teimour",,,1-0,1,C02,64,e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Nc6 a3 c4 g3 Bd7 Bh3 h6 O-O O-O-O Ne1 Na5 Nd2 Be7 Ng2 Rf8 f4 g6 Ne3 h5 Re1 Nh6 Nef1 Nf5 Bg2 g5 fxg5 Bxg5 Nxc4 Nxc4 Bxg5 Rhg8 Bc1 Nxb2 Bxb2 Qxb2 Re2 Qb6 Rb1 Qa6 c4 h4 cxd5 exd5 Bxd5 Bc6 Bxc6 bxc6 Reb2 Qc4 Rb4 Qd5 Qd3 Rg5 Rb8+ Kd7,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 b8c6 a2a3 c5c4 g2g3 c8d7 f1h3 h7h6 e1g1 e8c8 f3e1 c6a5 b1d2 f8e7 e1g2 d8f8 f2f4 g7g6 g2e3 h6h5 f1e1 g8h6 e3f1 h6f5 h3g2 g6g5 f4g5 e7g5 d2c4 a5c4 c1g5 h8g8 g5c1 c4b2 c1b2 b6b2 e1e2 b2b6 a1b1 b6a6 c3c4 h5h4 c4d5 e6d5 g2d5 d7c6 d5c6 b7c6 e2b2 a6c4 b2b4 c4d5 d1d3 g8g5 b4b8 c8d7,
Wch U10,Menorca,1996.??.??,4,"Radjabov, Teimour","Goguadze, Mikheil",,,1-0,1,A06,55,Nf3 d5 b3 c5 Bb2 f6 e3 e5 d4 e4 Nfd2 Be6 c4 Nc6 cxd5 Bxd5 dxc5 Nge7 Nc3 Ng6 Ndxe4 Be6 Nd6+ Bxd6 cxd6 Qd7 Ne4 O-O-O Ba3 Nge5 Rc1 Kb8 Nc5 Qf7 Be2 h5 Qd2 g5 f4 gxf4 exf4 Ng4 h3 Nh6 Bf3 Qe8 Kf2 Bd7 Rhe1 Qf7 Nxb7 Rc8 Na5 Ng4+ Kg1,g1f3 d7d5 b2b3 c7c5 c1b2 f7f6 e2e3 e7e5 d2d4 e5e4 f3d2 c8e6 c2c4 b8c6 c4d5 e6d5 d4c5 g8e7 b1c3 e7g6 d2e4 d5e6 e4d6 f8d6 c5d6 d8d7 c3e4 e8c8 b2a3 g6e5 a1c1 c8b8 e4c5 d7f7 f1e2 h7h5 d1d2 g7g5 f2f4 g5f4 e3f4 e5g4 h2h3 g4h6 e2f3 f7e8 e1f2 e6d7 h1e1 e8f7 c5b7 d8c8 b7a5 h6g4 f2g1,
Wch U10,Menorca,1996.??.??,5,"Harikrishna, Penteala","Radjabov, Teimour",,,1-0,1,A10,59,c4 f5 Nc3 Nf6 d3 e6 e4 d6 g3 b6 Bg2 Bb7 Nge2 g6 O-O Qd7 Bg5 Be7 Nf4 c6 exf5 e5 Ne6 gxf5 Ng7+ Kf7 Nh5 Ng8 Bxe7 Nxe7 f4 Rf8 fxe5 dxe5 Qg4 Ke8 Qg7 Qd4+ Kh1 Nd7 Ne4 Kd8 Ng5 Qd6 Qxf8+ Nxf8 Nf7+ Kd7 Nxd6 Kxd6 Ng7 Bc8 Bh3 Nfg6 Bxf5 Nxf5 Nxf5+ Bxf5 Rxf5,c2c4 f7f5 b1c3 g8f6 d2d3 e7e6 e2e4 d7d6 g2g3 b7b6 f1g2 c8b7 g1e2 g7g6 e1g1 d8d7 c1g5 f8e7 e2f4 c7c6 e4f5 e6e5 f4e6 g6f5 e6g7 e8f7 g7h5 f6g8 g5e7 g8e7 f2f4 h8f8 f4e5 d6e5 d1g4 f7e8 g4g7 d7d4 g1h1 b8d7 c3e4 e8d8 e4g5 d4d6 g7f8 d7f8 g5f7 d8d7 f7d6 d7d6 h5g7 b7c8 g2h3 f8g6 h3f5 e7f5 g7f5 c8f5 f1f5,
Wch U10,Menorca,1996.??.??,7,"Radjabov, Teimour","Nakamura, Asuka",,,1-0,1,E60,43,Nf3 d6 d4 Nf6 b3 g6 Bb2 Bg7 g3 O-O Bg2 c6 O-O Nbd7 c4 Qc7 Nc3 Rd8 Qc2 e5 Rfd1 Re8 e4 b6 Ba3 Bf8 Rd2 Bb7 Rad1 Rad8 dxe5 dxe5 Bd6 Bxd6 Rxd6 Re7 Qd2 Ree8 Nxe5 Rxe5 Rxf6 Ree8 Rd6,g1f3 d7d6 d2d4 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 c7c6 e1g1 b8d7 c2c4 d8c7 b1c3 f8d8 d1c2 e7e5 f1d1 d8e8 e2e4 b7b6 b2a3 g7f8 d1d2 c8b7 a1d1 a8d8 d4e5 d6e5 a3d6 f8d6 d2d6 e8e7 c2d2 e7e8 f3e5 e8e5 d6f6 e5e8 f6d6,
Wch U10,Menorca,1996.??.??,8,"Radjabov, Teimour","Catalino Sadorra, Jul",,,1-0,1,A49,91,Nf3 Nf6 b3 g6 Bb2 Bg7 g3 O-O Bg2 d6 d4 Nbd7 O-O e5 dxe5 dxe5 Nxe5 Ng4 Nd3 Bxb2 Nxb2 Qf6 c3 Rd8 Qc2 Nc5 b4 Ne6 Nd2 Qe7 Nf3 Ng7 Nd4 Nf5 Nxf5 Bxf5 e4 Be6 h3 Ne5 Qe2 c5 f4 Nd7 b5 c4 Nxc4 Bxc4 Qxc4 Rac8 Qb4 Qc5+ Kh2 Qxc3 Qxc3 Rxc3 Rfd1 Rc7 Rd6 Kf8 Rad1 Ke7 g4 Rc2 a4 Rc4 e5 Rc7 a5 b6 axb6 axb6 Bc6 Ra7 Rxd7+ Rdxd7 Rxd7+ Rxd7 Bxd7 Kxd7 f5 Ke7 Kg3 g5 Kf3 Kd7 Ke4 Ke7 Kd5 Kd7 e6+,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 d7d6 d2d4 b8d7 e1g1 e7e5 d4e5 d6e5 f3e5 f6g4 e5d3 g7b2 d3b2 d8f6 c2c3 f8d8 d1c2 d7c5 b3b4 c5e6 b1d2 f6e7 d2f3 e6g7 f3d4 g7f5 d4f5 c8f5 e2e4 f5e6 h2h3 g4e5 c2e2 c7c5 f2f4 e5d7 b4b5 c5c4 b2c4 e6c4 e2c4 a8c8 c4b4 e7c5 g1h2 c5c3 b4c3 c8c3 f1d1 c3c7 d1d6 g8f8 a1d1 f8e7 g3g4 c7c2 a2a4 c2c4 e4e5 c4c7 a4a5 b7b6 a5b6 a7b6 g2c6 c7a7 d6d7 d8d7 d1d7 a7d7 c6d7 e7d7 f4f5 d7e7 h2g3 g6g5 g3f3 e7d7 f3e4 d7e7 e4d5 e7d7 e5e6,
Wch U10,Menorca,1996.??.??,9,"Gashimov, Vugar","Radjabov, Teimour",2250.0,,1/2-1/2,0,B40,54,e4 e6 d4 c5 Nf3 cxd4 Nxd4 Nf6 Bd3 Nc6 Nxc6 bxc6 O-O d5 Nd2 Be7 b3 Qc7 Bb2 Bd6 h3 Bb7 Qe2 Be5 Bxe5 Qxe5 Ba6 Bxa6 Qxa6 O-O exd5 Qc3 Qd3 Qxd3 cxd3 cxd5 Rfc1 Rac8 d4 Nd7 f4 f6 Nf3 Kf7 Kf2 Ke7 Ke3 Kd6 Kd3 Nb8 b4 Nd7 b5 Nb6,e2e4 e7e6 d2d4 c7c5 g1f3 c5d4 f3d4 g8f6 f1d3 b8c6 d4c6 b7c6 e1g1 d7d5 b1d2 f8e7 b2b3 d8c7 c1b2 e7d6 h2h3 c8b7 d1e2 d6e5 b2e5 c7e5 d3a6 b7a6 e2a6 e8g8 e4d5 e5c3 a6d3 c3d3 c2d3 c6d5 f1c1 a8c8 d3d4 f6d7 f2f4 f7f6 d2f3 g8f7 g1f2 f7e7 f2e3 e7d6 e3d3 d7b8 b3b4 b8d7 b4b5 d7b6,
Wch U10,Menorca,1996.??.??,10,"Radjabov, Teimour","Chaparinov, Ivan",,,1-0,1,A04,73,Nf3 c5 b3 d6 Bb2 Nd7 g3 Ngf6 Bg2 g6 O-O Bg7 d3 O-O Nbd2 Ne8 Bxg7 Nxg7 Ne1 e5 c3 Ne6 Nc2 f5 e4 f4 Qe2 h5 h4 Kg7 d4 Qf6 Bh3 cxd4 Bxe6 Qxe6 cxd4 Qh3 Qf3 exd4 Nxd4 Ne5 Qg2 Qg4 Rac1 f3 Qh2 d5 Rfe1 Nd3 Rc7+ Kg8 Re3 Nf4 N2xf3 dxe4 Re1 exf3 Ree7 Rf7 Rxf7 Nh3+ Qxh3 Qxh3 Nxf3 Be6 Ng5 Qg4 Rg7+ Kf8 Nh7+ Ke8 Nf6+,g1f3 c7c5 b2b3 d7d6 c1b2 b8d7 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 f6e8 b2g7 e8g7 f3e1 e7e5 c2c3 g7e6 e1c2 f7f5 e2e4 f5f4 d1e2 h7h5 h2h4 g8g7 d3d4 d8f6 g2h3 c5d4 h3e6 f6e6 c3d4 e6h3 e2f3 e5d4 c2d4 d7e5 f3g2 h3g4 a1c1 f4f3 g2h2 d6d5 f1e1 e5d3 c1c7 g7g8 e1e3 d3f4 d2f3 d5e4 e3e1 e4f3 e1e7 f8f7 e7f7 f4h3 h2h3 g4h3 d4f3 c8e6 f3g5 h3g4 f7g7 g8f8 g5h7 f8e8 h7f6,
Wch U10,Menorca,1996.??.??,11,"Radjabov, Teimour","Hera, Imre Jr",,2065.0,1-0,1,B50,111,e4 c5 Nf3 e6 b3 d6 Bb2 Nf6 d3 Nc6 g3 e5 Bg2 g6 O-O Bg7 Nbd2 O-O a4 h6 Nc4 Be6 Nfd2 Qd7 f4 exf4 gxf4 d5 Ne5 Nxe5 fxe5 Ne8 exd5 Bxd5 Ne4 Bxe4 Bxe4 Qe7 Qf3 Bxe5 Bxe5 Qxe5 Bxb7 Rb8 Bd5 Qd4+ Kh1 Kg7 Rae1 Nf6 Bc4 Rfe8 Rxe8 Rxe8 Qb7 Rf8 Qxa7 Qe3 Qb7 Qe2 Qf3 Qxf3+ Rxf3 Ng4 a5 Ne5 Rf1 Nxc4 dxc4 Ra8 Ra1 Kf6 c3 Ke5 b4 cxb4 cxb4 Kd4 Rc1 Rb8 c5 Rxb4 c6 Rb8 c7 Rc8 a6 Kd5 a7 Kd6 a8=Q Rxa8 c8=Q Rxc8 Rxc8 Ke6 Kg2 Kf5 Kf3 Kg5 Rc5+ Kh4 Rc7 f5 Rc6 Kg5 Kg3 f4+ Kf3 Kh5 Kxf4,e2e4 c7c5 g1f3 e7e6 b2b3 d7d6 c1b2 g8f6 d2d3 b8c6 g2g3 e6e5 f1g2 g7g6 e1g1 f8g7 b1d2 e8g8 a2a4 h7h6 d2c4 c8e6 f3d2 d8d7 f2f4 e5f4 g3f4 d6d5 c4e5 c6e5 f4e5 f6e8 e4d5 e6d5 d2e4 d5e4 g2e4 d7e7 d1f3 g7e5 b2e5 e7e5 e4b7 a8b8 b7d5 e5d4 g1h1 g8g7 a1e1 e8f6 d5c4 f8e8 e1e8 b8e8 f3b7 e8f8 b7a7 d4e3 a7b7 e3e2 b7f3 e2f3 f1f3 f6g4 a4a5 g4e5 f3f1 e5c4 d3c4 f8a8 f1a1 g7f6 c2c3 f6e5 b3b4 c5b4 c3b4 e5d4 a1c1 a8b8 c4c5 b8b4 c5c6 b4b8 c6c7 b8c8 a5a6 d4d5 a6a7 d5d6 a7a8q c8a8 c7c8q a8c8 c1c8 d6e6 h1g2 e6f5 g2f3 f5g5 c8c5 g5h4 c5c7 f7f5 c7c6 h4g5 f3g3 f5f4 g3f3 g5h5 f3f4,
EU-ch U10,Rimavska Sobota,1996.??.??,1,"Radjabov, Teimour","Anisimov, Pavel",,,1-0,1,D04,129,d4 Nf6 e3 g6 Nf3 Bg7 b3 d5 Bb2 O-O Bd3 Nc6 a3 Bg4 Nbd2 e6 O-O Re8 h3 Bf5 Bxf5 exf5 c4 Bh6 g3 Qe7 Kg2 Rad8 b4 dxc4 Nxc4 Qe6 Nce5 Nd5 Re1 Nxe5 Nxe5 f6 Nd3 Qe4+ Kh2 b6 b5 g5 f3 Qe6 e4 Ne7 a4 Bg7 d5 Qd7 Qb3 Kh8 a5 fxe4 fxe4 Ng6 Rac1 Ne5 Bxe5 fxe5 Rc6 Qf7 Qc2 Rd7 Qg2 Rf8 Re6 Re7 Rf1 Qe8 Rxe7 Qxe7 Rxf8+ Qxf8 a6 h6 Qc2 Qf3 Nb2 Bf8 Nc4 Qf6 Kg2 Bc5 Qe2 Kg7 Nb2 Kf7 Nd3 Bd6 Qg4 Qg6 Qd7+ Kf8 Nf2 Qe8 Qxe8+ Kxe8 Ng4 h5 Nf6+ Ke7 Nxh5 Bb4 Ng7 Bd6 Ne6 Bb4 Nxc7 Kd6 Ne6 Bd2 Kf3 Bc1 Kg4 Bd2 Kf5 Bc1 Nxg5 Bxg5 Kxg5 Kc5 h4 Kxb5 h5 Kxa6 h6,d2d4 g8f6 e2e3 g7g6 g1f3 f8g7 b2b3 d7d5 c1b2 e8g8 f1d3 b8c6 a2a3 c8g4 b1d2 e7e6 e1g1 f8e8 h2h3 g4f5 d3f5 e6f5 c2c4 g7h6 g2g3 d8e7 g1g2 a8d8 b3b4 d5c4 d2c4 e7e6 c4e5 f6d5 f1e1 c6e5 f3e5 f7f6 e5d3 e6e4 g2h2 b7b6 b4b5 g6g5 f2f3 e4e6 e3e4 d5e7 a3a4 h6g7 d4d5 e6d7 d1b3 g8h8 a4a5 f5e4 f3e4 e7g6 a1c1 g6e5 b2e5 f6e5 c1c6 d7f7 b3c2 d8d7 c2g2 e8f8 c6e6 d7e7 e1f1 f7e8 e6e7 e8e7 f1f8 e7f8 a5a6 h7h6 g2c2 f8f3 d3b2 g7f8 b2c4 f3f6 h2g2 f8c5 c2e2 h8g7 c4b2 g7f7 b2d3 c5d6 e2g4 f6g6 g4d7 f7f8 d3f2 g6e8 d7e8 f8e8 f2g4 h6h5 g4f6 e8e7 f6h5 d6b4 h5g7 b4d6 g7e6 d6b4 e6c7 e7d6 c7e6 b4d2 g2f3 d2c1 f3g4 c1d2 g4f5 d2c1 e6g5 c1g5 f5g5 d6c5 h3h4 c5b5 h4h5 b5a6 h5h6,
