event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
FSIM December,Budapest HUN,2007.12.02,2,"Rapport,R","Horvath,And",2197.0,2312.0,1/2-1/2,0,B06,82,e4 g6 d4 Bg7 Nc3 c6 Bc4 d6 Qf3 e6 Nge2 Nd7 Bf4 b5 Bb3 Nb6 Qg3 b4 Na4 Nf6 Qf3 Ba6 Nxb6 axb6 Bxd6 Qxd6 e5 Qd8 exf6 Bxf6 Qxc6+ Kf8 Rd1 Kg7 Qe4 Ra7 O-O Rd7 c3 bxc3 bxc3 Qc7 Rc1 h5 Rfe1 Bb7 Qe3 Rc8 Nf4 Kh7 Nd3 Qc6 f3 Qd6 Ne5 Rdc7 Qf4 Bg7 Rcd1 Rd8 Bc2 Kg8 Kh1 Bd5 Bb1 Qe7 Qe3 b5 Rc1 Rdc8 Qd2 Qa3 Bd3 Rxc3 Rxc3 Qxc3 Qxc3 Rxc3 Bxb5 Bxa2 h3 Rc7,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f1c4 d7d6 d1f3 e7e6 g1e2 b8d7 c1f4 b7b5 c4b3 d7b6 f3g3 b5b4 c3a4 g8f6 g3f3 c8a6 a4b6 a7b6 f4d6 d8d6 e4e5 d6d8 e5f6 g7f6 f3c6 e8f8 a1d1 f8g7 c6e4 a8a7 e1g1 a7d7 c2c3 b4c3 b2c3 d8c7 d1c1 h7h5 f1e1 a6b7 e4e3 h8c8 e2f4 g7h7 f4d3 c7c6 f2f3 c6d6 d3e5 d7c7 e3f4 f6g7 c1d1 c8d8 b3c2 h7g8 g1h1 b7d5 c2b1 d6e7 f4e3 b6b5 d1c1 d8c8 e3d2 e7a3 b1d3 c7c3 c1c3 a3c3 d2c3 c8c3 d3b5 d5a2 h2h3 c3c7,-115.0
FSIM December,Budapest HUN,2007.12.03,3,"Vegh,E","Rapport,R",2303.0,2197.0,1/2-1/2,0,A65,97,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 e4 g6 Bd3 Bg7 Nge2 O-O O-O Ng4 h3 Ne5 Bc2 Na6 f4 Nd7 Ng3 c4 Be3 Qa5 Qd2 b5 e5 dxe5 f5 e4 Ngxe4 b4 Ne2 Be5 Bh6 Bb7 Rad1 Rfe8 fxg6 hxg6 Qg5 Nc7 Rxf7 Qb6+ Rf2 Rf8 Qe7 b3 axb3 cxb3 Bb1 Nxd5 Qxd7 Rad8 Qg4 Ne3 Rxd8 Nxg4 Rxf8+ Kh7 hxg4 Bxe4 Bxe4 Kxh6 Rg8 Bg7 Kf1 Kh7 Rxg7+ Kxg7 Nc3 Qe3 Re2 Qc5 Bf3 a5 Ne4 Qc1+ Kf2 a4 g5 a3 bxa3 Qxa3 Nd2 Qc5+ Kf1 Qc1+ Kf2 Qc5+ Kf1 Qc1+ Kf2,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f1d3 f8g7 g1e2 e8g8 e1g1 f6g4 h2h3 g4e5 d3c2 b8a6 f2f4 e5d7 e2g3 c5c4 c1e3 d8a5 d1d2 b7b5 e4e5 d6e5 f4f5 e5e4 g3e4 b5b4 c3e2 g7e5 e3h6 c8b7 a1d1 f8e8 f5g6 h7g6 d2g5 a6c7 f1f7 a5b6 f7f2 e8f8 g5e7 b4b3 a2b3 c4b3 c2b1 c7d5 e7d7 a8d8 d7g4 d5e3 d1d8 e3g4 d8f8 g8h7 h3g4 b7e4 b1e4 h7h6 f8g8 e5g7 g1f1 h6h7 g8g7 h7g7 e2c3 b6e3 f2e2 e3c5 e4f3 a7a5 c3e4 c5c1 f1f2 a5a4 g4g5 a4a3 b2a3 c1a3 e4d2 a3c5 f2f1 c5c1 f1f2 c1c5 f2f1 c5c1 f1f2,106.0
FSIM December,Budapest HUN,2007.12.04,4,"Rapport,R","Kahn,E",2197.0,2314.0,0-1,-1,A43,114,e4 d6 d4 g6 Nc3 Bg7 f4 Nd7 Nf3 c5 d5 a6 a4 Qc7 Nd2 Ngf6 Nc4 O-O Be2 Rb8 a5 b5 axb6 Nxb6 O-O Nxc4 Bxc4 Rb4 Qe2 Nd7 Bxa6 Bxa6 Rxa6 Qb7 Ra2 Ra8 Rxa8+ Qxa8 Nb1 Qa4 c3 Rxe4 Qd3 f5 Nd2 Rxf4 Nf3 Ne5 Qd2 Nxf3+ gxf3 Rh4 Qe1 Bf6 Qe2 Qc4 Qe6+ Kg7 Re1 Rh3 f4 Qd3 Be3 Qc2 Bf2 Rf3 Bg3 Rd3 Bf2 Rd1 b4 Rxe1+ Qxe1 Qxc3 Qxc3 Bxc3 bxc5 dxc5 Bxc5 Kf6 d6 exd6 Bxd6 Ke6 Bb8 Bb4 Kg2 Bd6 Ba7 Bxf4 h3 g5 Kf3 Bc1 Bb6 h5 Bd8 g4+ hxg4 hxg4+ Kg3 Kd5 Bc7 Ke4 Bd6 Bb2 Kg2 Be5 Be7 f4 Bh4 f3+ Kf2 g3+,e2e4 d7d6 d2d4 g7g6 b1c3 f8g7 f2f4 b8d7 g1f3 c7c5 d4d5 a7a6 a2a4 d8c7 f3d2 g8f6 d2c4 e8g8 f1e2 a8b8 a4a5 b7b5 a5b6 d7b6 e1g1 b6c4 e2c4 b8b4 d1e2 f6d7 c4a6 c8a6 a1a6 c7b7 a6a2 f8a8 a2a8 b7a8 c3b1 a8a4 c2c3 b4e4 e2d3 f7f5 b1d2 e4f4 d2f3 d7e5 d3d2 e5f3 g2f3 f4h4 d2e1 g7f6 e1e2 a4c4 e2e6 g8g7 f1e1 h4h3 f3f4 c4d3 c1e3 d3c2 e3f2 h3f3 f2g3 f3d3 g3f2 d3d1 b2b4 d1e1 e6e1 c2c3 e1c3 f6c3 b4c5 d6c5 f2c5 g7f6 d5d6 e7d6 c5d6 f6e6 d6b8 c3b4 g1g2 b4d6 b8a7 d6f4 h2h3 g6g5 g2f3 f4c1 a7b6 h7h5 b6d8 g5g4 h3g4 h5g4 f3g3 e6d5 d8c7 d5e4 c7d6 c1b2 g3g2 b2e5 d6e7 f5f4 e7h4 f4f3 g2f2 g4g3,-117.0
FSIM December,Budapest HUN,2007.12.05,5,"Cooke,E","Rapport,R",2253.0,2197.0,1-0,1,B79,71,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Bc4 Nc6 Qd2 Bd7 O-O-O Qa5 Bb3 Rfc8 h4 Ne5 h5 Rxc3 bxc3 Nxh5 g4 Nf6 Bh6 Bxh6 Rxh6 b5 Rdh1 Qa3+ Kd1 Qc5 Rxh7 Nxh7 Qh6 e6 g5 Be8 Bxe6 Nd7 Qxh7+ Kf8 Bxd7 Ke7 Bxe8 Rxe8 Qg7 Qc4 Qf6+ Kd7 Re1 Qxc3 Qxd6+ Kxd6 Nxb5+ Ke5 Nxc3 Kf4 Ke2 Kxg5 Rg1+ Kh6 Kd3 Rb8 Rb1,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 f1c4 b8c6 d1d2 c8d7 e1c1 d8a5 c4b3 f8c8 h2h4 c6e5 h4h5 c8c3 b2c3 f6h5 g2g4 h5f6 e3h6 g7h6 h1h6 b7b5 d1h1 a5a3 c1d1 a3c5 h6h7 f6h7 d2h6 e7e6 g4g5 d7e8 b3e6 e5d7 h6h7 g8f8 e6d7 f8e7 d7e8 a8e8 h7g7 c5c4 g7f6 e7d7 h1e1 c4c3 f6d6 d7d6 d4b5 d6e5 b5c3 e5f4 d1e2 f4g5 e1g1 g5h6 e2d3 e8b8 g1b1,56.0
FSIM December,Budapest HUN,2007.12.06,6,"Rapport,R","Lenz,A",2197.0,2227.0,1/2-1/2,0,B80,64,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 e6 g3 Be7 Bg2 O-O O-O a6 Re1 Qc7 h3 Nc6 g4 Re8 g5 Nd7 Nde2 b5 Ng3 Bb7 a4 b4 Nce2 Rac8 c4 bxc3 Nxc3 Nc5 Nh5 Qd8 b4 Nd7 h4 g6 Nf4 Bf8 Bb2 Nce5 Rc1 Qb6 Na2 Rxc1 Bxc1 Bc6 h5 Nc4 a5 Qb7 Qd4 Nde5 h6 f5 gxf6 Qf7 Qc3 Qxf6,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g3 f8e7 f1g2 e8g8 e1g1 a7a6 f1e1 d8c7 h2h3 b8c6 g3g4 f8e8 g4g5 f6d7 d4e2 b7b5 e2g3 c8b7 a2a4 b5b4 c3e2 a8c8 c2c4 b4c3 e2c3 d7c5 g3h5 c7d8 b2b4 c5d7 h3h4 g7g6 h5f4 e7f8 c1b2 c6e5 a1c1 d8b6 c3a2 c8c1 b2c1 b7c6 h4h5 e5c4 a4a5 b6b7 d1d4 d7e5 h5h6 f7f5 g5f6 b7f7 d4c3 f7f6,-30.0
FSIM December,Budapest HUN,2007.12.07,7,"Werner,Di","Rapport,R",2346.0,2197.0,0-1,-1,D40,103,d4 Nf6 Nf3 e6 c4 c5 e3 d5 dxc5 Bxc5 a3 O-O b4 Bd6 Bb2 Nc6 Nc3 a6 Rc1 dxc4 Bxc4 e5 Ng5 Bf5 Qf3 Bg4 Qg3 e4 Qh4 Bf5 f4 exf3 O-O Ne5 Nxf3 Nxc4 Qxc4 Bd3 Qh4 Qe7 Rfe1 Rfe8 e4 Bb8 e5 Nd7 Qxe7 Rxe7 Nd5 Re8 Nc7 Bxc7 Rxc7 Bb5 Rxb7 Rac8 Nd4 Nxe5 h3 Rcd8 Ra1 Nd3 Bc3 Nf4 Kh2 Ne2 Nxb5 axb5 Be1 Nd4 Bf2 Nc2 Ra2 Rd2 Be3 Nxe3 Rxd2 Nf1+ Kg1 Nxd2 Rxb5 Nb1 a4 Nc3 Ra5 Kf8 b5 Rb8 Ra7 Ke8 Kf2 Nd5 Kf3 Ne7 Ke4 Nc8 Ra6 Kd7 Kd5 Rb6 Ra5 Kc7 Kc5,d2d4 g8f6 g1f3 e7e6 c2c4 c7c5 e2e3 d7d5 d4c5 f8c5 a2a3 e8g8 b2b4 c5d6 c1b2 b8c6 b1c3 a7a6 a1c1 d5c4 f1c4 e6e5 f3g5 c8f5 d1f3 f5g4 f3g3 e5e4 g3h4 g4f5 f2f4 e4f3 e1g1 c6e5 g5f3 e5c4 h4c4 f5d3 c4h4 d8e7 f1e1 f8e8 e3e4 d6b8 e4e5 f6d7 h4e7 e8e7 c3d5 e7e8 d5c7 b8c7 c1c7 d3b5 c7b7 a8c8 f3d4 d7e5 h2h3 c8d8 e1a1 e5d3 b2c3 d3f4 g1h2 f4e2 d4b5 a6b5 c3e1 e2d4 e1f2 d4c2 a1a2 d8d2 f2e3 c2e3 a2d2 e3f1 h2g1 f1d2 b7b5 d2b1 a3a4 b1c3 b5a5 g8f8 b4b5 e8b8 a5a7 f8e8 g1f2 c3d5 f2f3 d5e7 f3e4 e7c8 a7a6 e8d7 e4d5 b8b6 a6a5 d7c7 d5c5,149.0
FSIM December,Budapest HUN,2007.12.08,8,"Rapport,R","Szabo,Ben",2197.0,2160.0,1/2-1/2,0,C49,32,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 Bb4 O-O O-O d3 d6 Bg5 Bxc3 bxc3 Qe7 Bxc6 bxc6 Re1 Bg4 c4 c5 Qe2 Rfe8 h3 Bd7 Rab1 Rab8 Qd2 h6 Be3 Rb6,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 d8e7 b5c6 b7c6 f1e1 c8g4 c3c4 c6c5 d1e2 f8e8 h2h3 g4d7 a1b1 a8b8 e2d2 h7h6 g5e3 b8b6,37.0
FSIM December,Budapest HUN,2007.12.10,10,"Rapport,R","Lengyel,B",2197.0,2263.0,1/2-1/2,0,C98,102,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3 Na5 Bc2 c5 d4 Qc7 Nbd2 Nc6 d5 Na5 b3 Bd7 Nf1 Nb7 c4 Na5 Bd3 Rfb8 Bd2 g6 Ng3 Ne8 Nh2 Ng7 Ng4 Bxg4 Qxg4 b4 Bh6 Bf6 Re3 Qc8 Rf3 Qxg4 hxg4 Ne8 Nf1 Be7 Rh3 Nb7 Bd2 f6 Ne3 a5 Bc2 Ra7 Kf1 Nd8 Ke2 Bf8 g3 Nf7 f4 h6 Rhh1 Bg7 Raf1 Rbb7 Ng2 Re7 Kf3 Nc7 Nh4 Nh8 g5 hxg5 fxg5 Rf7 gxf6 Bxf6 Kg2 Ra8 Bd1 Be7 Rxf7 Kxf7 Nf3 Kg8 Ng5 Bxg5 Bxg5 Nf7 Bd2 Kg7 a3 Ne8,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d4d5 c6a5 b2b3 c8d7 d2f1 a5b7 c3c4 b7a5 c2d3 f8b8 c1d2 g7g6 f1g3 f6e8 f3h2 e8g7 h2g4 d7g4 d1g4 b5b4 d2h6 e7f6 e1e3 c7c8 e3f3 c8g4 h3g4 g7e8 g3f1 f6e7 f3h3 a5b7 h6d2 f7f6 f1e3 a6a5 d3c2 a8a7 g1f1 b7d8 f1e2 e7f8 g2g3 d8f7 f2f4 h7h6 h3h1 f8g7 a1f1 b8b7 e3g2 b7e7 e2f3 e8c7 g2h4 f7h8 g4g5 h6g5 f4g5 e7f7 g5f6 g7f6 f3g2 a7a8 c2d1 f6e7 f1f7 g8f7 h4f3 f7g8 f3g5 e7g5 d2g5 h8f7 g5d2 g8g7 a2a3 c7e8,-66.0
FSIM December,Budapest HUN,2007.12.11,11,"Boguszlavszkij,J","Rapport,R",2304.0,2197.0,0-1,-1,D00,94,d4 d5 g3 Nf6 Bg2 c6 Nd2 Bg4 f3 Bh5 Nh3 c5 c3 Nc6 Nf4 cxd4 Nxh5 Nxh5 cxd4 Nxd4 Nb3 Nc6 e4 dxe4 Qe2 e6 O-O Nf6 fxe4 Be7 e5 Nd7 Bf4 O-O Rfd1 Qb6+ Kh1 Rfd8 Rac1 Rac8 Be3 Qc7 Bf4 Nf8 Rf1 Ng6 Qf3 Bf8 Rfe1 Qb8 a3 Rd7 Rc3 Rcd8 Qe4 Rd1 Re3 Qc7 Bf3 Rxe1+ Rxe1 Qb6 Qc2 Nxf4 gxf4 Nd4 Nxd4 Rxd4 Be4 g6 Qg2 Bh6 f5 Qa5 b4 Qxe5 fxe6 f5 Qb2 Bg5 Qc3 fxe4 Qc8+ Kg7 Rf1 Bf6 Qxb7+ Kh6 Qxa7 Qxe6 Qc5 e3 Qf8+ Bg7,d2d4 d7d5 g2g3 g8f6 f1g2 c7c6 b1d2 c8g4 f2f3 g4h5 g1h3 c6c5 c2c3 b8c6 h3f4 c5d4 f4h5 f6h5 c3d4 c6d4 d2b3 d4c6 e2e4 d5e4 d1e2 e7e6 e1g1 h5f6 f3e4 f8e7 e4e5 f6d7 c1f4 e8g8 f1d1 d8b6 g1h1 f8d8 a1c1 a8c8 f4e3 b6c7 e3f4 d7f8 d1f1 f8g6 e2f3 e7f8 f1e1 c7b8 a2a3 d8d7 c1c3 c8d8 f3e4 d7d1 c3e3 b8c7 g2f3 d1e1 e3e1 c7b6 e4c2 g6f4 g3f4 c6d4 b3d4 d8d4 f3e4 g7g6 c2g2 f8h6 f4f5 b6a5 b2b4 a5e5 f5e6 f7f5 g2b2 h6g5 b2c3 f5e4 c3c8 g8g7 e1f1 g5f6 c8b7 g7h6 b7a7 e5e6 a7c5 e4e3 c5f8 f6g7,107.0
16th Donau Open,Aschach Donau AUT,2007.12.27,2,"Rapport,R","Lau,Ra",2197.0,2468.0,1-0,1,B06,75,e4 g6 d4 Bg7 Nc3 d6 f4 c6 Nf3 Bg4 Be3 Qb6 Rb1 Nd7 Be2 Bxf3 Bxf3 e5 Ne2 Ngf6 Qd2 Qa6 Nc3 O-O Be2 Qa5 O-O exd4 Qxd4 Nd5 Qd2 Nxe3 Qxe3 Rae8 Qh3 Qd8 Rbd1 Nc5 e5 Qb6 Kh1 Qxb2 Rxd6 Qxc2 Qe3 Ne6 Rd2 Qxd2 Qxd2 f6 Bc4 Kh8 Qd6 fxe5 fxe5 Rxf1+ Bxf1 Nf8 Qc7 Rxe5 Qxb7 Re1 Qf7 h5 g3 Kh7 Kg2 Re3 Nd1 Re1 Nf2 a5 Nh3 Re5 Bd3,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 c7c6 g1f3 c8g4 c1e3 d8b6 a1b1 b8d7 f1e2 g4f3 e2f3 e7e5 c3e2 g8f6 d1d2 b6a6 e2c3 e8g8 f3e2 a6a5 e1g1 e5d4 d2d4 f6d5 d4d2 d5e3 d2e3 a8e8 e3h3 a5d8 b1d1 d7c5 e4e5 d8b6 g1h1 b6b2 d1d6 b2c2 h3e3 c5e6 d6d2 c2d2 e3d2 f7f6 e2c4 g8h8 d2d6 f6e5 f4e5 f8f1 c4f1 e6f8 d6c7 e8e5 c7b7 e5e1 b7f7 h7h5 g2g3 h8h7 h1g2 e1e3 c3d1 e3e1 d1f2 a7a5 f2h3 e1e5 f1d3,-271.0
