event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
URS-ch U20,Sochi,1990.??.??,?,"Rublevsky, Sergei","Novik, Maxim",2300.0,2390.0,1-0,1,C47,55,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 exd4 Nxd4 Bb4 Nxc6 bxc6 Bd3 d5 exd5 cxd5 O-O O-O Bg5 c6 Qf3 Be7 Rae1 h6 Bxh6 gxh6 Qe3 Be6 Qxh6 Bd6 Qg5+ Kh8 f4 Re8 Rf3 Ng8 Qh5+ Kg7 Rg3+ Kf8 Rxg8+ Kxg8 Qh7+ Kf8 Qh6+ Kg8 Bh7+ Kh8 Bf5+ Kg8 Qh7+ Kf8 Qh8+ Ke7 Rxe6+,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 f3d4 f8b4 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 e8g8 c1g5 c7c6 d1f3 b4e7 a1e1 h7h6 g5h6 g7h6 f3e3 c8e6 e3h6 e7d6 h6g5 g8h8 f2f4 f8e8 f1f3 f6g8 g5h5 h8g7 f3g3 g7f8 g3g8 f8g8 h5h7 g8f8 h7h6 f8g8 d3h7 g8h8 h7f5 h8g8 h6h7 g8f8 h7h8 f8e7 e1e6,-90.0
URS-ch U20,Sochi,1990.??.??,?,"Maljutin, Evgeni","Rublevsky, Sergei",2340.0,2300.0,1-0,1,C67,103,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 d4 a6 Bxc6 dxc6 Qe2 Bf5 g4 Bg6 Nxe5 Qxd4 Nxg6 hxg6 Nc3 f5 Bf4 O-O-O Rad1 Qf6 Rxd8+ Kxd8 Nxe4 fxe4 Qxe4 Bd6 Rd1 Kc8 Bg3 g5 c3 Qh6 Qe3 Bxg3 Qxg3 Qe6 Qf3 Qh6 Qf5+ Kb8 Qe5 Qh3 Qg3 Qh7 Rd3 Re8 Qf3 Qg8 b3 Re1+ Kg2 Qe8 Re3 Rxe3 fxe3 Qd8 Kh3 Qd3 Qf8+ Ka7 Qc5+ b6 Qxg5 Qf1+ Kg3 Qg1+ Kf3 Qh1+ Kg3 Qg1+ Kf4 Qxh2+ Kf5 Qc2+ e4 Qxc3 e5 Qc2+ Ke6 Qxa2 Kd7 Kb7 e6 Qxb3 e7 Qd1+ Ke8 a5 Kf8 Qd6 Qf5 Qa3 Kf7 Qb3+ Qe6 Qf3+ Kg8,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 a7a6 b5c6 d7c6 d1e2 c8f5 g2g4 f5g6 f3e5 d8d4 e5g6 h7g6 b1c3 f7f5 c1f4 e8c8 a1d1 d4f6 d1d8 c8d8 c3e4 f5e4 e2e4 f8d6 f1d1 d8c8 f4g3 g6g5 c2c3 f6h6 e4e3 d6g3 e3g3 h6e6 g3f3 e6h6 f3f5 c8b8 f5e5 h6h3 e5g3 h3h7 d1d3 h8e8 g3f3 h7g8 b2b3 e8e1 g1g2 g8e8 d3e3 e1e3 f2e3 e8d8 g2h3 d8d3 f3f8 b8a7 f8c5 b7b6 c5g5 d3f1 h3g3 f1g1 g3f3 g1h1 f3g3 h1g1 g3f4 g1h2 f4f5 h2c2 e3e4 c2c3 e4e5 c3c2 f5e6 c2a2 e6d7 a7b7 e5e6 a2b3 e6e7 b3d1 d7e8 a6a5 e8f8 d1d6 g5f5 d6a3 f8f7 a3b3 f5e6 b3f3 f7g8,40.0
URS-ch U20,Sochi,1990.??.??,?,"Alterman, Boris","Rublevsky, Sergei",2360.0,2300.0,1/2-1/2,0,D11,80,d4 d5 c4 c6 Nf3 Nf6 Qc2 g6 Bf4 Na6 e3 Bf5 Qb3 Nb4 Qxb4 e5 Qxb7 Rb8 Qxc6+ Bd7 Qxf6 Qxf6 Bxe5 Qb6 b3 Bb4+ Nfd2 O-O Bxb8 Rxb8 Bd3 dxc4 Bxc4 Qa5 Ke2 Qg5 Nf3 Qxg2 Rg1 Qh3 Nbd2 Bxd2 Rg3 Qf5 Kxd2 Bb5 Bxb5 Qxb5 Rc1 Qa5+ Kd1 Qxa2 Nd2 a5 Rc4 Qa1+ Ke2 f5 e4 fxe4 Re3 Rd8 Rxe4 Kf8 Rf4+ Kg8 Ne4 Qb2+ Kf1 Qxb3 Rc7 Rf8 Nf6+ Rxf6 Rxf6 Qd1+ Kg2 Qg4+ Kf1 Qd1+,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 d1c2 g7g6 c1f4 b8a6 e2e3 c8f5 c2b3 a6b4 b3b4 e7e5 b4b7 a8b8 b7c6 f5d7 c6f6 d8f6 f4e5 f6b6 b2b3 f8b4 f3d2 e8g8 e5b8 f8b8 f1d3 d5c4 d3c4 b6a5 e1e2 a5g5 d2f3 g5g2 h1g1 g2h3 b1d2 b4d2 g1g3 h3f5 e2d2 d7b5 c4b5 f5b5 a1c1 b5a5 d2d1 a5a2 f3d2 a7a5 c1c4 a2a1 d1e2 f7f5 e3e4 f5e4 g3e3 b8d8 e3e4 g8f8 e4f4 f8g8 d2e4 a1b2 e2f1 b2b3 c4c7 d8f8 e4f6 f8f6 f4f6 b3d1 f1g2 d1g4 g2f1 g4d1,60.0
URS-ch U20,Sochi,1990.??.??,?,"Kramnik, Vladimir","Rublevsky, Sergei",2490.0,2300.0,1/2-1/2,0,D14,49,c4 c6 d4 d5 cxd5 cxd5 Bf4 Nc6 e3 Nf6 Nc3 Bf5 Bb5 Rc8 Nf3 e6 O-O Nd7 Qa4 a6 Bxc6 Rxc6 Rfc1 Be7 Nd1 b5 Qb3 Rc4 Nd2 Rxc1 Rxc1 O-O Qc3 b4 Qc6 Bd3 Qb7 Nf6 Rc7 Bd6 Bxd6 Qxd6 f4 Qd8 Nf3 Ne8 Rd7 Qa5 h3,c2c4 c7c6 d2d4 d7d5 c4d5 c6d5 c1f4 b8c6 e2e3 g8f6 b1c3 c8f5 f1b5 a8c8 g1f3 e7e6 e1g1 f6d7 d1a4 a7a6 b5c6 c8c6 f1c1 f8e7 c3d1 b7b5 a4b3 c6c4 f3d2 c4c1 a1c1 e8g8 b3c3 b5b4 c3c6 f5d3 c6b7 d7f6 c1c7 e7d6 f4d6 d8d6 f2f4 d6d8 d2f3 f6e8 c7d7 d8a5 h2h3,190.0
URS-ch U20,Sochi,1990.??.??,?,"Petelin, A.","Rublevsky, Sergei",2330.0,2300.0,1/2-1/2,0,C01,55,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bg5 Be7 Bd3 O-O O-O Bg4 Nbd2 Nbd7 c3 c5 Qb1 c4 Bf5 Bxf3 Nxf3 g6 Bc2 Qc7 g3 Bd6 Nd2 Rfe8 Qd1 Kg7 Qf3 b5 Rfe1 h6 Bf4 Bxf4 gxf4 Rxe1+ Rxe1 Re8 Rxe8 Nxe8 f5 g5 Nf1 Nef6 Ne3 Qd6 Qg3 Qxg3+ fxg3 Kf8 Kf2,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 c1g5 f8e7 f1d3 e8g8 e1g1 c8g4 b1d2 b8d7 c2c3 c7c5 d1b1 c5c4 d3f5 g4f3 d2f3 g7g6 f5c2 d8c7 g2g3 e7d6 f3d2 f8e8 b1d1 g8g7 d1f3 b7b5 f1e1 h7h6 g5f4 d6f4 g3f4 e8e1 a1e1 a8e8 e1e8 f6e8 f4f5 g6g5 d2f1 e8f6 f1e3 c7d6 f3g3 d6g3 f2g3 g7f8 g1f2,30.0
URS-ch U20,Sochi,1990.??.??,?,"Rublevsky, Sergei","Belikov, Vladimir",2300.0,,1/2-1/2,0,B57,77,e4 c5 Nc3 Nc6 Nge2 d6 d4 cxd4 Nxd4 Nf6 Bc4 Qb6 Nb3 e6 O-O Be7 Bg5 Bd7 Kh1 a6 Bxf6 gxf6 Qh5 Ne5 Be2 O-O-O f4 Ng6 Bd3 Rdg8 Rae1 Rg7 Nd1 Bc6 Ne3 f5 Nc4 Qc7 Nca5 fxe4 Nxc6 exd3 Nxe7+ Nxe7 cxd3 Kb8 Rc1 Qb6 Qa5 Qxa5 Nxa5 Nd5 a3 Rg4 Nc4 Rd8 g3 h5 Rfe1 h4 Ne3 Nxe3 Rxe3 Rdg8 Rg1 Kc7 h3 Rxg3 Rgxg3 hxg3 Kg2 Kd7 Rxg3 Rb8 d4 Ke7 Rc3,e2e4 c7c5 b1c3 b8c6 g1e2 d7d6 d2d4 c5d4 e2d4 g8f6 f1c4 d8b6 d4b3 e7e6 e1g1 f8e7 c1g5 c8d7 g1h1 a7a6 g5f6 g7f6 d1h5 c6e5 c4e2 e8c8 f2f4 e5g6 e2d3 d8g8 a1e1 g8g7 c3d1 d7c6 d1e3 f6f5 e3c4 b6c7 c4a5 f5e4 a5c6 e4d3 c6e7 g6e7 c2d3 c8b8 e1c1 c7b6 h5a5 b6a5 b3a5 e7d5 a2a3 g7g4 a5c4 h8d8 g2g3 h7h5 f1e1 h5h4 c4e3 d5e3 e1e3 d8g8 c1g1 b8c7 h2h3 g4g3 g1g3 h4g3 h1g2 c7d7 e3g3 g8b8 d3d4 d7e7 g3c3,
URS-ch U20,Sochi,1990.??.??,?,"Rublevsky, Sergei","Danielian, Oganes",2300.0,,1/2-1/2,0,C07,42,e4 e6 d4 d5 Nd2 c5 Ngf3 cxd4 exd5 Qxd5 Bc4 Qd6 O-O Nf6 Nb3 Nc6 Nbxd4 Nxd4 Nxd4 a6 c3 Qc7 Qe2 Bd6 h3 O-O Rd1 h6 Bb3 b6 Be3 Bb7 Bc2 Rfe8 c4 Bh2+ Kh1 Bf4 b3 Qe5 Rd2 Rad8,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 c5d4 e4d5 d8d5 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 c2c3 d6c7 d1e2 f8d6 h2h3 e8g8 f1d1 h7h6 c4b3 b7b6 c1e3 c8b7 b3c2 f8e8 c3c4 d6h2 g1h1 h2f4 b2b3 c7e5 d1d2 a8d8,
URS-ch U20,Sochi,1990.??.??,?,"Frolov, Artur","Rublevsky, Sergei",2475.0,2300.0,0-1,-1,B43,82,e4 c5 Nf3 e6 Nc3 a6 d4 cxd4 Nxd4 Qc7 Bd3 Nc6 Nxc6 bxc6 O-O d5 Bg5 Be7 Bxe7 Nxe7 Qh5 h6 Kh1 O-O f4 Bd7 Rae1 Rae8 Ne2 c5 c3 dxe4 Bxe4 f5 Bf3 Nd5 Qh4 Bc6 Qf2 Ba8 Kg1 Qa5 Nc1 Qb5 Re5 Qa4 g3 Nf6 b3 Qd7 Rd1 Qf7 Nd3 Rd8 Bxa8 Ng4 Qe2 c4 bxc4 Nxe5 Qxe5 Rxa8 Nc5 Rad8 Rb1 Rfe8 Rb7 Re7 Rb6 Qf6 Qxf6 gxf6 Nxe6 Rd2 Rxa6 Re2 Nd4 Rd2 Nf3 Rc2 Rxf6 Re3,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 d8c7 f1d3 b8c6 d4c6 b7c6 e1g1 d7d5 c1g5 f8e7 g5e7 g8e7 d1h5 h7h6 g1h1 e8g8 f2f4 c8d7 a1e1 a8e8 c3e2 c6c5 c2c3 d5e4 d3e4 f7f5 e4f3 e7d5 h5h4 d7c6 h4f2 c6a8 h1g1 c7a5 e2c1 a5b5 e1e5 b5a4 g2g3 d5f6 b2b3 a4d7 f1d1 d7f7 c1d3 e8d8 f3a8 f6g4 f2e2 c5c4 b3c4 g4e5 e2e5 d8a8 d3c5 a8d8 d1b1 f8e8 b1b7 e8e7 b7b6 f7f6 e5f6 g7f6 c5e6 d8d2 b6a6 d2e2 e6d4 e2d2 d4f3 d2c2 a6f6 e7e3,175.0
URS-ch U20,Sochi,1990.??.??,?,"Rublevsky, Sergei","Sakaev, Konstantin",2300.0,2370.0,1/2-1/2,0,D79,25,d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d5 c4 c6 cxd5 cxd5 Ne5 e6 Nc3 Nfd7 Nf3 Nc6 Bf4 Qb6 Na4 Qa6 b3,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d5 c2c4 c7c6 c4d5 c6d5 f3e5 e7e6 b1c3 f6d7 e5f3 b8c6 c1f4 d8b6 c3a4 b6a6 b2b3,-70.0
URS-ch U20,Sochi,1990.??.??,?,"Rublevsky, Sergei","Shchekachev, Andrei",2300.0,,0-1,-1,A49,79,d4 g6 Nf3 Bg7 g3 Nf6 Bg2 d6 b3 c5 Bb2 Qa5+ Nbd2 Ne4 O-O Nxd2 Nxd2 O-O Nc4 Qc7 d5 b5 Bxg7 Kxg7 Ne3 Nd7 g4 h6 f4 c4 Qd4+ Kg8 bxc4 bxc4 Rab1 Qc5 Qxc5 Nxc5 c3 Bd7 Rb4 Rfc8 f5 Rc7 fxg6 fxg6 Rfb1 Na4 Nd1 Kg7 h3 Rac8 Rb7 Nb6 Rxc7 Rxc7 Kf2 Rc5 Ke1 Kf6 Ne3 Ra5 Rb2 Be8 Be4 Bf7 h4 Bxd5 Rxb6 Bxe4 Rb8 Rxa2 Nxc4 Rc2 Rf8+ Kg7 Re8 Kf7 Nxd6+,d2d4 g7g6 g1f3 f8g7 g2g3 g8f6 f1g2 d7d6 b2b3 c7c5 c1b2 d8a5 b1d2 f6e4 e1g1 e4d2 f3d2 e8g8 d2c4 a5c7 d4d5 b7b5 b2g7 g8g7 c4e3 b8d7 g3g4 h7h6 f2f4 c5c4 d1d4 g7g8 b3c4 b5c4 a1b1 c7c5 d4c5 d7c5 c2c3 c8d7 b1b4 f8c8 f4f5 c8c7 f5g6 f7g6 f1b1 c5a4 e3d1 g8g7 h2h3 a8c8 b4b7 a4b6 b7c7 c8c7 g1f2 c7c5 f2e1 g7f6 d1e3 c5a5 b1b2 d7e8 g2e4 e8f7 h3h4 f7d5 b2b6 d5e4 b6b8 a5a2 e3c4 a2c2 b8f8 f6g7 f8e8 g7f7 c4d6,
