event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
USA op,Chicago,1973.??.??,1,"Seirawan, Yasser","Suttles, Duncan",,,0-1,-1,A42,50,e4 g6 d4 d6 c4 Bg7 Nc3 Nc6 Be3 e5 d5 Nce7 Qd2 f5 f3 Nf6 g3 O-O h4 fxe4 Nxe4 Nf5 Bf2 Nxe4 fxe4 Bh6 Qd3 Nd4 Bxd4 exd4 Qxd4 c5 Qc3 Qe7 Bd3 Bf5 Rh2 Bxe4 Re2 Bxd3 Qxd3 Qf6 Kd1 Qf1+ Kc2 Qxa1 h5 Qxg1 hxg6 Rf2,e2e4 g7g6 d2d4 d7d6 c2c4 f8g7 b1c3 b8c6 c1e3 e7e5 d4d5 c6e7 d1d2 f7f5 f2f3 g8f6 g2g3 e8g8 h2h4 f5e4 c3e4 e7f5 e3f2 f6e4 f3e4 g7h6 d2d3 f5d4 f2d4 e5d4 d3d4 c7c5 d4c3 d8e7 f1d3 c8f5 h1h2 f5e4 h2e2 e4d3 c3d3 e7f6 e1d1 f6f1 d1c2 f1a1 h4h5 a1g1 h5g6 f8f2,
Lone Pine,Lone Pine,1976.??.??,1,"Miles, Anthony J","Seirawan, Yasser",2510.0,2200.0,1-0,1,B08,119,Nf3 g6 e4 Bg7 d4 d6 Nc3 Nf6 Be2 O-O O-O Nc6 d5 Nb8 Re1 c6 a4 cxd5 exd5 Bg4 a5 Bxf3 Bxf3 a6 Be3 Nbd7 Na4 Rc8 Nb6 Nxb6 Bxb6 Qe8 Bd4 Nd7 Bxg7 Kxg7 Bg4 Rc7 Qd4+ Kg8 c4 Ne5 Be2 Qd7 b3 Qf5 f4 Nd7 g4 Qf6 Qxf6 Nxf6 g5 Ne8 Bg4 h5 Bh3 Ng7 Re3 Rb8 Kf2 b5 axb6 Rxb6 Ra3 Ra7 Ke2 a5 Kd2 f6 Kc3 Kf7 Re1 Rb8 Rea1 Rba8 Re1 Kg8 Kd3 Rf8 b4 fxg5 fxg5 Rf2 Re2 Rf3+ Re3 Rf2 Rxa5 Rxa5 bxa5 Ra2 Bc8 Ra3+ Kd4 Rxa5 Rxe7 Ra2 Be6+ Kh7 Rd7 Rxh2 Rxd6 h4 Ra6 Rg2 c5 Nxe6+ Rxe6 h3 Re3 h2 Rh3+ Kg7 c6 Kf8 c7 Rc2 d6,g1f3 g7g6 e2e4 f8g7 d2d4 d7d6 b1c3 g8f6 f1e2 e8g8 e1g1 b8c6 d4d5 c6b8 f1e1 c7c6 a2a4 c6d5 e4d5 c8g4 a4a5 g4f3 e2f3 a7a6 c1e3 b8d7 c3a4 a8c8 a4b6 d7b6 e3b6 d8e8 b6d4 f6d7 d4g7 g8g7 f3g4 c8c7 d1d4 g7g8 c2c4 d7e5 g4e2 e8d7 b2b3 d7f5 f2f4 e5d7 g2g4 f5f6 d4f6 d7f6 g4g5 f6e8 e2g4 h7h5 g4h3 e8g7 e1e3 f8b8 g1f2 b7b5 a5b6 b8b6 a1a3 c7a7 f2e2 a6a5 e2d2 f7f6 d2c3 g8f7 e3e1 b6b8 e1a1 b8a8 a1e1 f7g8 c3d3 a8f8 b3b4 f6g5 f4g5 f8f2 e1e2 f2f3 e2e3 f3f2 a3a5 a7a5 b4a5 f2a2 h3c8 a2a3 d3d4 a3a5 e3e7 a5a2 c8e6 g8h7 e7d7 a2h2 d7d6 h5h4 d6a6 h2g2 c4c5 g7e6 a6e6 h4h3 e6e3 h3h2 e3h3 h7g7 c5c6 g7f8 c6c7 g2c2 d5d6,310.0
Lone Pine,Lone Pine,1976.??.??,2,"Seirawan, Yasser","Meyers, SJ.",2200.0,2200.0,1/2-1/2,0,A38,200,c4 c5 Nc3 Nf6 g3 Nc6 Bg2 g6 Rb1 Bg7 a3 a5 Nf3 O-O O-O d6 d3 Rb8 Ne1 Ne8 Nc2 Nc7 Bd2 Bd7 b4 axb4 axb4 Nxb4 Nxb4 cxb4 Rxb4 b5 cxb5 Nxb5 Ne4 Nd4 e3 Rxb4 Bxb4 Nc6 Bc3 Bxc3 Nxc3 Nb4 d4 Qc7 Qd2 Rc8 Rc1 Qa7 h4 h5 Kh2 Qa6 Bf1 Qa3 Bg2 Qa6 Rb1 Qd3 Qxd3 Nxd3 Nd5 Kf8 Nb6 Rd8 f3 e5 Bf1 e4 Bxd3 exd3 Nxd7+ Rxd7 Rd1 Ra7 Rxd3 Ra2+ Kh3 Rf2 e4 Ke7 g4 hxg4+ Kxg4 Rf1 Rb3 Rg1+ Kf4 Rf1 Rb7+ Ke8 d5 Rf2 Rb1 Ke7 Rh1 Ra2 h5 gxh5 Rxh5 Ra5 Rh8 Ra3 Rc8 Rd3 Rc7+ Ke8 Rb7 Ra3 Kg4 Re3 Rc7 Re1 Kf5 Rh1 f4 Rh5+ Kf6 Rh6+ Kg5 Rh7 Rc6 Kd7 Ra6 Ke7 e5 dxe5 fxe5 Rh1 Ra7+ Ke8 Kf5 Re1 Kf4 Re2 Ra3 Ke7 Rh3 Re1 Kf5 Rf1+ Ke4 Re1+ Kd4 Rd1+ Rd3 Re1 Rb3 Rd1+ Ke4 Re1+ Kf4 Rf1+ Kg3 Rg1+ Kf4 Rf1+ Rf3 Rg1 Kf5 Rh1 d6+ Ke8 Rf4 Rg1 Rc4 Rf1+ Kg4 Rg1+ Kf3 Rf1+ Ke2 Rf5 Rc8+ Kd7 Rc7+ Kd8 Re7 Rf4 Ke3 Rf1 Ke4 Rf2 Rb7 Rf1 Rb3 Kd7 Rf3 Rxf3 Kxf3 f6 exf6 Kxd6 Kf4 Ke6 Kg5 Kf7 Kf5 Kf8,c2c4 c7c5 b1c3 g8f6 g2g3 b8c6 f1g2 g7g6 a1b1 f8g7 a2a3 a7a5 g1f3 e8g8 e1g1 d7d6 d2d3 a8b8 f3e1 f6e8 e1c2 e8c7 c1d2 c8d7 b2b4 a5b4 a3b4 c6b4 c2b4 c5b4 b1b4 b7b5 c4b5 c7b5 c3e4 b5d4 e2e3 b8b4 d2b4 d4c6 b4c3 g7c3 e4c3 c6b4 d3d4 d8c7 d1d2 f8c8 f1c1 c7a7 h2h4 h7h5 g1h2 a7a6 g2f1 a6a3 f1g2 a3a6 c1b1 a6d3 d2d3 b4d3 c3d5 g8f8 d5b6 c8d8 f2f3 e7e5 g2f1 e5e4 f1d3 e4d3 b6d7 d8d7 b1d1 d7a7 d1d3 a7a2 h2h3 a2f2 e3e4 f8e7 g3g4 h5g4 h3g4 f2f1 d3b3 f1g1 g4f4 g1f1 b3b7 e7e8 d4d5 f1f2 b7b1 e8e7 b1h1 f2a2 h4h5 g6h5 h1h5 a2a5 h5h8 a5a3 h8c8 a3d3 c8c7 e7e8 c7b7 d3a3 f4g4 a3e3 b7c7 e3e1 g4f5 e1h1 f3f4 h1h5 f5f6 h5h6 f6g5 h6h7 c7c6 e8d7 c6a6 d7e7 e4e5 d6e5 f4e5 h7h1 a6a7 e7e8 g5f5 h1e1 f5f4 e1e2 a7a3 e8e7 a3h3 e2e1 f4f5 e1f1 f5e4 f1e1 e4d4 e1d1 h3d3 d1e1 d3b3 e1d1 d4e4 d1e1 e4f4 e1f1 f4g3 f1g1 g3f4 g1f1 b3f3 f1g1 f4f5 g1h1 d5d6 e7e8 f3f4 h1g1 f4c4 g1f1 f5g4 f1g1 g4f3 g1f1 f3e2 f1f5 c4c8 e8d7 c8c7 d7d8 c7e7 f5f4 e2e3 f4f1 e3e4 f1f2 e7b7 f2f1 b7b3 d8d7 b3f3 f1f3 e4f3 f7f6 e5f6 d7d6 f3f4 d6e6 f4g5 e6f7 g5f5 f7f8,0.0
Lone Pine,Lone Pine,1976.??.??,3,"Street, Frank","Seirawan, Yasser",2200.0,2200.0,1/2-1/2,0,A42,50,d4 g6 e4 Bg7 c4 d6 Nc3 e5 Nge2 Nc6 Be3 Nh6 f3 f5 Qd2 Nf7 g3 O-O d5 Ne7 c5 b6 c6 f4 gxf4 exf4 Nxf4 Ne5 Be2 h6 O-O-O a6 Rdg1 Kh7 Rg3 b5 Rhg1 b4 Nd1 a5 Nh5 Bh8 Bxh6 gxh5 Bg7 Rf6 Bxf6 Bxf6 f4 Ng4,d2d4 g7g6 e2e4 f8g7 c2c4 d7d6 b1c3 e7e5 g1e2 b8c6 c1e3 g8h6 f2f3 f7f5 d1d2 h6f7 g2g3 e8g8 d4d5 c6e7 c4c5 b7b6 c5c6 f5f4 g3f4 e5f4 e2f4 f7e5 f1e2 h7h6 e1c1 a7a6 d1g1 g8h7 g1g3 b6b5 h1g1 b5b4 c3d1 a6a5 f4h5 g7h8 e3h6 g6h5 h6g7 f8f6 g7f6 h8f6 f3f4 e5g4,0.0
Lone Pine,Lone Pine,1976.??.??,4,"Seirawan, Yasser","Berry, Jonathan",2200.0,2330.0,0-1,-1,A05,78,Nf3 Nf6 g3 b5 Bg2 Bb7 O-O e6 d3 Be7 e4 d6 c3 Nbd7 Nbd2 c5 Qe2 O-O Rd1 a6 d4 cxd4 Nxd4 Qc7 a4 bxa4 Rxa4 Rfe8 Ra1 Bf8 N2b3 e5 Nc2 a5 Na3 a4 Nd2 d5 exd5 Bxd5 Bxd5 Nxd5 Ne4 N7b6 c4 Nb4 Be3 Re6 Rdc1 h6 Nb5 Qc6 Bxb6 Qxb6 Nec3 Rf6 Nxa4 Rxa4 Rxa4 Rxf2 Qxf2 Bc5 Rxb4 Bxf2+ Kg2 Be3 Rf1 Qb7+ Rf3 Bd2 Ra4 e4 Rf5 e3+ Kf1 Qh1+ Ke2 Qe1+,g1f3 g8f6 g2g3 b7b5 f1g2 c8b7 e1g1 e7e6 d2d3 f8e7 e2e4 d7d6 c2c3 b8d7 b1d2 c7c5 d1e2 e8g8 f1d1 a7a6 d3d4 c5d4 f3d4 d8c7 a2a4 b5a4 a1a4 f8e8 a4a1 e7f8 d2b3 e6e5 d4c2 a6a5 c2a3 a5a4 b3d2 d6d5 e4d5 b7d5 g2d5 f6d5 d2e4 d7b6 c3c4 d5b4 c1e3 e8e6 d1c1 h7h6 a3b5 c7c6 e3b6 c6b6 e4c3 e6f6 c3a4 a8a4 a1a4 f6f2 e2f2 f8c5 a4b4 c5f2 g1g2 f2e3 c1f1 b6b7 f1f3 e3d2 b4a4 e5e4 f3f5 e4e3 g2f1 b7h1 f1e2 h1e1,-130.0
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",2200.0,2200.0,1/2-1/2,0,A41,55,d4 d6 Nf3 g6 c4 Bg7 g3 e5 Nc3 Nc6 d5 Nce7 Bg2 h6 O-O f5 e4 Nf6 Ne1 O-O Nd3 fxe4 Nxe4 g5 Qe2 Bf5 Bd2 Qd7 Bc3 Bg4 f3 Nxe4 Qxe4 Bf5 Qe2 b5 Nb4 a5 Nc6 Nxc6 dxc6 Qxc6 cxb5 Qb6+ Kh1 Rae8 Rad1 a4 Qc4+ Be6 Qxa4 Ra8 Qe4 Bxa2 f4,d2d4 d7d6 g1f3 g7g6 c2c4 f8g7 g2g3 e7e5 b1c3 b8c6 d4d5 c6e7 f1g2 h7h6 e1g1 f7f5 e2e4 g8f6 f3e1 e8g8 e1d3 f5e4 c3e4 g6g5 d1e2 c8f5 c1d2 d8d7 d2c3 f5g4 f2f3 f6e4 e2e4 g4f5 e4e2 b7b5 d3b4 a7a5 b4c6 e7c6 d5c6 d7c6 c4b5 c6b6 g1h1 a8e8 a1d1 a5a4 e2c4 f5e6 c4a4 e8a8 a4e4 e6a2 f3f4,0.0
Lone Pine,Lone Pine,1976.??.??,6,"Fritzinger, Dennis","Seirawan, Yasser",2200.0,2200.0,1/2-1/2,0,B12,57,e4 c6 d4 d5 f3 dxe4 fxe4 e5 Nf3 exd4 Bc4 Qa5+ c3 Be7 e5 dxc3 Nxc3 Nd7 Bxf7+ Kxf7 e6+ Ke8 exd7+ Bxd7 O-O Kd8 Bf4 Kc8 Ne5 Be6 Qe2 Nf6 Nxc6 Qb6+ Kh1 Qxc6 Rac1 Kd7 Rfd1+ Ke8 Nd5 Bxd5 Rxc6 bxc6 Re1 Ne4 Qh5+ Kf8 Qf5+ Bf6 Rxe4 Bxe4 Bd6+ Kf7 Qd7+ Kg6 Qg4+,e2e4 c7c6 d2d4 d7d5 f2f3 d5e4 f3e4 e7e5 g1f3 e5d4 f1c4 d8a5 c2c3 f8e7 e4e5 d4c3 b1c3 b8d7 c4f7 e8f7 e5e6 f7e8 e6d7 c8d7 e1g1 e8d8 c1f4 d8c8 f3e5 d7e6 d1e2 g8f6 e5c6 a5b6 g1h1 b6c6 a1c1 c8d7 f1d1 d7e8 c3d5 e6d5 c1c6 b7c6 d1e1 f6e4 e2h5 e8f8 h5f5 e7f6 e1e4 d5e4 f4d6 f8f7 f5d7 f7g6 d7g4,0.0
Lone Pine,Lone Pine,1976.??.??,7,"Seirawan, Yasser","Barnes, Craig N",2200.0,2280.0,0-1,-1,A26,60,c4 g6 Nc3 Bg7 g3 Nc6 Bg2 e5 Rb1 a5 a3 f5 d3 Nf6 Nf3 O-O O-O d6 b4 axb4 axb4 Nh5 b5 Ne7 Nd2 Kh8 Bb2 Qe8 Ra1 Rb8 Ra7 g5 Qa1 Nf6 Qa5 b6 Qa1 Qd8 Na2 Bd7 Nb4 Nc8 Ra3 Ne7 Bc3 Qe8 Ra7 Rc8 Qd1 f4 Ne4 Nxe4 Bxe4 Qh5 e3 f3 Kh1 Rf6 Rg1 Qxh2+,c2c4 g7g6 b1c3 f8g7 g2g3 b8c6 f1g2 e7e5 a1b1 a7a5 a2a3 f7f5 d2d3 g8f6 g1f3 e8g8 e1g1 d7d6 b2b4 a5b4 a3b4 f6h5 b4b5 c6e7 f3d2 g8h8 c1b2 d8e8 b1a1 a8b8 a1a7 g6g5 d1a1 h5f6 a1a5 b7b6 a5a1 e8d8 c3a2 c8d7 a2b4 e7c8 a7a3 c8e7 b2c3 d8e8 a3a7 b8c8 a1d1 f5f4 d2e4 f6e4 g2e4 e8h5 e2e3 f4f3 g1h1 f8f6 f1g1 h5h2,-80.0
US-op,Columbus,1977.??.??,?,"Pamiljens, J.","Seirawan, Yasser",,2250.0,0-1,-1,A41,68,d4 g6 e4 Bg7 Nf3 d6 c4 Bg4 Be2 Nc6 Be3 e5 d5 Bxf3 Bxf3 Nd4 Nc3 c5 Rb1 Ne7 g4 O-O h4 a6 h5 b5 Be2 Rb8 cxb5 axb5 Qd2 b4 Nd1 Ra8 Bh6 Rxa2 Bxg7 Kxg7 hxg6 Nxg6 Qh6+ Kf6 Bc4 b3 Rh5 Qa5+ Kf1 Ke7 Qg5+ Ke8 Qf6 Ra1 Rxa1 Qxa1 Ke1 Qc1 Be2 Nxe2 Qxd6 Nd4 Qb8+ Ke7 Qc7+ Kf6 Qd6+ Kg7 g5 Nc2+,d2d4 g7g6 e2e4 f8g7 g1f3 d7d6 c2c4 c8g4 f1e2 b8c6 c1e3 e7e5 d4d5 g4f3 e2f3 c6d4 b1c3 c7c5 a1b1 g8e7 g2g4 e8g8 h2h4 a7a6 h4h5 b7b5 f3e2 a8b8 c4b5 a6b5 d1d2 b5b4 c3d1 b8a8 e3h6 a8a2 h6g7 g8g7 h5g6 e7g6 d2h6 g7f6 e2c4 b4b3 h1h5 d8a5 e1f1 f6e7 h6g5 e7e8 g5f6 a2a1 b1a1 a5a1 f1e1 a1c1 c4e2 d4e2 f6d6 e2d4 d6b8 e8e7 b8c7 e7f6 c7d6 f6g7 g4g5 d4c2,
US-op,Columbus,1977.??.??,?,"Cobb, J Jr","Seirawan, Yasser",,2400.0,0-1,-1,B06,72,d4 g6 e4 Bg7 Nc3 c6 Be3 d6 Qd2 b5 f3 Nd7 g4 a6 h4 h5 g5 Bb7 Bh3 e6 Nge2 Ne7 Nf4 e5 Ng2 exd4 Bxd7+ Qxd7 Bxd4 O-O Bxg7 Kxg7 O-O-O Rfd8 Nf4 Kg8 e5 c5 Ncd5 Nxd5 Nxd5 Kf8 Nb6 Qe6 Nxa8 Qxa2 c3 Bxf3 Qf4 Bxh1 Nc7 b4 e6 Qa1+ Kd2 Qxb2+ Ke1 Qxc3+ Rd2 Qf3 Qxf3 Bxf3 Rf2 Rc8 Nxa6 Ra8 Nxb4 cxb4 Rxf3 Ra7 Kd2 Re7,d2d4 g7g6 e2e4 f8g7 b1c3 c7c6 c1e3 d7d6 d1d2 b7b5 f2f3 b8d7 g2g4 a7a6 h2h4 h7h5 g4g5 c8b7 f1h3 e7e6 g1e2 g8e7 e2f4 e6e5 f4g2 e5d4 h3d7 d8d7 e3d4 e8g8 d4g7 g8g7 e1c1 f8d8 g2f4 g7g8 e4e5 c6c5 c3d5 e7d5 f4d5 g8f8 d5b6 d7e6 b6a8 e6a2 c2c3 b7f3 d2f4 f3h1 a8c7 b5b4 e5e6 a2a1 c1d2 a1b2 d2e1 b2c3 d1d2 c3f3 f4f3 h1f3 d2f2 d8c8 c7a6 c8a8 a6b4 c5b4 f2f3 a8a7 e1d2 a7e7,
