event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
LAT-ch,LAT,1952.??.??,?,"Klasup, Karlis","Tal, Mihail",,,0-1,-1.0,D46,60,d4 Nf6 c4 e6 Nf3 d5 Nc3 c6 e3 Nbd7 Bd3 Bb4 a3 Ba5 O-O O-O Ne5 Nxe5 dxe5 dxc4 Bxc4 Nd7 f4 Qe7 b4 Bb6 Qb3 f6 Bxe6+ Kh8 Ne4 fxe5 Kh1 exf4 exf4 Nf6 Ng5 Ne4 Nf7+ Rxf7 Bxf7 Nf2+ Kg1 Nd3+ Kh1 Qe2 Bb2 Bh3 Bxg7+ Kxg7 Bd5 cxd5 Qxd5 Kh8 Qg5 Bd4 gxh3 Rg8 Rae1 Nxe1,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 f1d3 f8b4 a2a3 b4a5 e1g1 e8g8 f3e5 d7e5 d4e5 d5c4 d3c4 f6d7 f2f4 d8e7 b2b4 a5b6 d1b3 f7f6 c4e6 g8h8 c3e4 f6e5 g1h1 e5f4 e3f4 d7f6 e4g5 f6e4 g5f7 f8f7 e6f7 e4f2 h1g1 f2d3 g1h1 e7e2 c1b2 c8h3 b2g7 h8g7 f7d5 c6d5 b3d5 g7h8 d5g5 b6d4 g2h3 a8g8 a1e1 d3e1,
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail","Klasup, Karlis",,,1-0,1.0,A82,127,d4 f5 e4 fxe4 Nc3 Nf6 f3 d5 fxe4 dxe4 Bc4 Bf5 Nge2 Nc6 O-O e6 Bb5 a6 Ba4 Qd7 Bg5 O-O-O Kh1 Be7 Bxf6 Bxf6 d5 exd5 Bxc6 bxc6 Nd4 Bg4 Qd2 Qd6 Nb3 c5 h3 h5 Na5 e3 Qxe3 d4 Qe4 dxc3 Qb7+ Kd7 Nc4 Qd4 Nb6+ Ke8 bxc3 Qd6 Nc4 Qg3 Rae1+ Kf8 Re3 Qh4 Qxc7 Kg8 Kg1 Bc8 Rf4 Qg5 Ref3 Kh7 h4 Rd1+ Kh2 Qd5 Rg3 Bg4 Rxf6 Qxc4 Rf5 Kh6 Rxh5+ Kxh5 Qxg7 Qf4 Qxh8+ Kg6 Qg8+ Kf5 Qc8+ Ke5 Qxg4 Qxg4 Rxg4 Rd2 Rg5+ Kf4 Rxc5 Rxc2 Rc6 Kg4 Rc4+ Kh5 a4 Rd2 Kh3 Rd3+ g3 Rd6 a5 Rd5 g4+ Kg6 Rc6+ Kf7 Rxa6 Rd3+ Kg2 Rxc3 h5 Kg7 Rb6 Ra3 a6 Kf7 Kh2 Kg7 g5 Ra5 Rb7+ Kg8 a7,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 f2f3 d7d5 f3e4 d5e4 f1c4 c8f5 g1e2 b8c6 e1g1 e7e6 c4b5 a7a6 b5a4 d8d7 c1g5 e8c8 g1h1 f8e7 g5f6 e7f6 d4d5 e6d5 a4c6 b7c6 e2d4 f5g4 d1d2 d7d6 d4b3 c6c5 h2h3 h7h5 b3a5 e4e3 d2e3 d5d4 e3e4 d4c3 e4b7 c8d7 a5c4 d6d4 c4b6 d7e8 b2c3 d4d6 b6c4 d6g3 a1e1 e8f8 e1e3 g3h4 b7c7 f8g8 h1g1 g4c8 f1f4 h4g5 e3f3 g8h7 h3h4 d8d1 g1h2 g5d5 f3g3 c8g4 f4f6 d5c4 f6f5 h7h6 f5h5 h6h5 c7g7 c4f4 g7h8 h5g6 h8g8 g6f5 g8c8 f5e5 c8g4 f4g4 g3g4 d1d2 g4g5 e5f4 g5c5 d2c2 c5c6 f4g4 c6c4 g4h5 a2a4 c2d2 h2h3 d2d3 g2g3 d3d6 a4a5 d6d5 g3g4 h5g6 c4c6 g6f7 c6a6 d5d3 h3g2 d3c3 h4h5 f7g7 a6b6 c3a3 a5a6 g7f7 g2h2 f7g7 g4g5 a3a5 b6b7 g7g8 a6a7,
Riga-ch,Riga,1952.??.??,?,"Mileika, Janis","Tal, Mihail",,,1/2-1/2,0.0,D44,82,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 dxc4 e4 b5 e5 h6 Bh4 g5 Nxg5 hxg5 Bxg5 Nbd7 g3 Bb7 Bg2 Qb6 exf6 O-O-O O-O c5 Bxb7+ Qxb7 a4 cxd4 Qxd4 Nc5 Qg4 b4 Nb5 a6 Nd4 Nd3 Nxe6 fxe6 Qxe6+ Kb8 f7 Rc8 Rad1 Bc5 b3 Qf3 Be3 Qc6 Qxc6 Rxc6 bxc4 Nb2 Rd5 Nxa4 g4 Rf8 Rf5 Bxe3 fxe3 b3 g5 b2 Rb1 Rxc4 Kg2 Rc1 Rxb2+ Nxb2 g6 Rc6 Rg5 Rf6 h4 R6xf7 gxf7 Rxf7 h5 Nc4,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 b8d7 g2g3 c8b7 f1g2 d8b6 e5f6 e8c8 e1g1 c6c5 g2b7 b6b7 a2a4 c5d4 d1d4 d7c5 d4g4 b5b4 c3b5 a7a6 b5d4 c5d3 d4e6 f7e6 g4e6 c8b8 f6f7 d8c8 a1d1 f8c5 b2b3 b7f3 g5e3 f3c6 e6c6 c8c6 b3c4 d3b2 d1d5 b2a4 g3g4 h8f8 d5f5 c5e3 f2e3 b4b3 g4g5 b3b2 f1b1 c6c4 g1g2 c4c1 b1b2 a4b2 g5g6 c1c6 f5g5 c6f6 h2h4 f6f7 g6f7 f8f7 h4h5 b2c4,
Riga-ch sf,Riga,1952.??.??,?,"Tal, Mihail","Segal, Alexandru Sorin",,,1-0,1.0,B07,59,e4 d6 d4 Nf6 Bd3 Nc6 Ne2 Nb4 O-O Nxd3 cxd3 g6 Nbc3 Bg7 e5 Ng4 h3 Nh6 Bg5 c6 Qd2 Nf5 Bf4 O-O exd6 exd6 d5 Nd4 Nxd4 Bxd4 Bh6 Bg7 Bxg7 Kxg7 dxc6 bxc6 Ne4 d5 Qc3+ f6 Nc5 Qd6 Rfe1 Rf7 Re8 Rb8 Rae1 Rb5 b4 a5 a3 axb4 axb4 Bd7 Rd8 Qc7 Rxd7 Rxd7 Ne6+,e2e4 d7d6 d2d4 g8f6 f1d3 b8c6 g1e2 c6b4 e1g1 b4d3 c2d3 g7g6 b1c3 f8g7 e4e5 f6g4 h2h3 g4h6 c1g5 c7c6 d1d2 h6f5 g5f4 e8g8 e5d6 e7d6 d4d5 f5d4 e2d4 g7d4 f4h6 d4g7 h6g7 g8g7 d5c6 b7c6 c3e4 d6d5 d2c3 f7f6 e4c5 d8d6 f1e1 f8f7 e1e8 a8b8 a1e1 b8b5 b2b4 a7a5 a2a3 a5b4 a3b4 c8d7 e8d8 d6c7 d8d7 f7d7 c5e6,
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail",Lozov,,,1-0,1.0,E18,45,c4 e6 Nf3 d5 d4 Nf6 g3 Be7 Bg2 O-O O-O b6 Nc3 Bb7 Ne5 Qc8 cxd5 Nxd5 Nxd5 Bxd5 e4 Bb7 Qc2 c5 d5 Rd8 Bh3 Qc7 Bf4 Bd6 Nxf7 Kxf7 Bxe6+ Ke8 e5 Bf8 Qxh7 Rxd5 Qg6+ Kd8 Bg5+ Be7 Qf7 Nd7 Qg8+,c2c4 e7e6 g1f3 d7d5 d2d4 g8f6 g2g3 f8e7 f1g2 e8g8 e1g1 b7b6 b1c3 c8b7 f3e5 d8c8 c4d5 f6d5 c3d5 b7d5 e2e4 d5b7 d1c2 c7c5 d4d5 f8d8 g2h3 c8c7 c1f4 e7d6 e5f7 g8f7 h3e6 f7e8 e4e5 d6f8 c2h7 d8d5 h7g6 e8d8 f4g5 f8e7 g6f7 b8d7 f7g8,
Riga-ch,Riga,1952.??.??,?,"Pasman, M.","Tal, Mihail",,,1-0,1.0,E92,128,d4 Nf6 c4 d6 Nf3 g6 Nc3 Bg7 e4 O-O Be2 e5 d5 Nh5 g3 a5 h3 Bd7 Nh2 Nf6 Bg5 h6 Be3 Bxh3 g4 Nxe4 Nxe4 Bg2 Rg1 Bxe4 f3 Qh4+ Kd2 Qxh2 Rh1 Qg2 Rg1 Qh2 Rh1 Qg2 fxe4 Qxe4 Rg1 f5 Bd3 Qxd3+ Kxd3 f4 Bf2 Nd7 g5 h5 Ke4 f3 Be3 Rf5 Rf1 Raf8 Qc2 Nc5+ Bxc5 dxc5 Ke3 Kh7 Rad1 Rf4 d6 cxd6 Rxd6 e4 Rd7 Kh8 Rxg7 Kxg7 Qh2 R4f5 Rf2 Rxg5 Kxe4 Rgf5 Qc7+ R8f7 Qxa5 g5 Qd8 h4 Rxf3 Rxf3 Qxg5+ Kf8 Qxc5+ Kg8 Qg5+ Kf8 Qxh4 R3f6 Qh8+ Ke7 Qb8 b6 Kd4 Kd7 Kc3 Kc6 Qc8+ Rc7 Qa8+ Kd7 Qg8 Rfc6 b3 Rc5 a4 R5c6 Qg4+ Kd8 b4 Rc8 Qf4 R8c7 Kb3 Kc8 Qe4 Kb8 Qd5 Kc8 Qb5 Kb7,d2d4 g8f6 c2c4 d7d6 g1f3 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 e7e5 d4d5 f6h5 g2g3 a7a5 h2h3 c8d7 f3h2 h5f6 c1g5 h7h6 g5e3 d7h3 g3g4 f6e4 c3e4 h3g2 h1g1 g2e4 f2f3 d8h4 e1d2 h4h2 g1h1 h2g2 h1g1 g2h2 g1h1 h2g2 f3e4 g2e4 h1g1 f7f5 e2d3 e4d3 d2d3 f5f4 e3f2 b8d7 g4g5 h6h5 d3e4 f4f3 f2e3 f8f5 g1f1 a8f8 d1c2 d7c5 e3c5 d6c5 e4e3 g8h7 a1d1 f5f4 d5d6 c7d6 d1d6 e5e4 d6d7 h7h8 d7g7 h8g7 c2h2 f4f5 f1f2 f5g5 e3e4 g5f5 h2c7 f8f7 c7a5 g6g5 a5d8 h5h4 f2f3 f5f3 d8g5 g7f8 g5c5 f8g8 c5g5 g8f8 g5h4 f3f6 h4h8 f8e7 h8b8 b7b6 e4d4 e7d7 d4c3 d7c6 b8c8 f7c7 c8a8 c6d7 a8g8 f6c6 b2b3 c6c5 a2a4 c5c6 g8g4 d7d8 b3b4 c7c8 g4f4 c8c7 c3b3 d8c8 f4e4 c8b8 e4d5 b8c8 d5b5 c8b7,
Riga-ch sf,Riga,1952.??.??,?,"Klevitzki, Yehezkel","Tal, Mihail",,,0-1,-1.0,B28,74,e4 c5 Nf3 a6 Bc4 e6 c3 Qc7 O-O d6 a4 Nf6 d3 Be7 Na3 Nc6 Nc2 d5 exd5 exd5 Ba2 O-O Bg5 Be6 Ne3 Rfd8 d4 c4 Bb1 g6 Nd2 Ng4 Nxg4 Bxg5 Ne3 Qd7 f4 Bh6 h4 Qe8 h5 f5 hxg6 hxg6 Qf3 Qd7 Bc2 Re8 Kf2 Bf7 Rh1 Bg7 Rh3 Nxd4 cxd4 Bxd4 Re1 Re7 Qd1 Rae8 Nf1 Ba7 a5 d4 Ba4 dxe3+ Nxe3 Qxd1 Bxd1 g5 Ba4 Rxe3 Bxe8 Rxh3+,e2e4 c7c5 g1f3 a7a6 f1c4 e7e6 c2c3 d8c7 e1g1 d7d6 a2a4 g8f6 d2d3 f8e7 b1a3 b8c6 a3c2 d6d5 e4d5 e6d5 c4a2 e8g8 c1g5 c8e6 c2e3 f8d8 d3d4 c5c4 a2b1 g7g6 f3d2 f6g4 e3g4 e7g5 g4e3 c7d7 f2f4 g5h6 h2h4 d7e8 h4h5 f7f5 h5g6 h7g6 d1f3 e8d7 b1c2 d8e8 g1f2 e6f7 f1h1 h6g7 h1h3 c6d4 c3d4 g7d4 a1e1 e8e7 f3d1 a8e8 d2f1 d4a7 a4a5 d5d4 c2a4 d4e3 f1e3 d7d1 a4d1 g6g5 d1a4 e7e3 a4e8 e3h3,
Riga tt,Riga,1952.??.??,?,"Tal, Mihail","Segal, Alexandru Sorin",,,1-0,1.0,A96,43,c4 f5 Nf3 Nf6 g3 d6 d4 e6 Bg2 Be7 O-O O-O Nc3 c6 Qc2 a5 e4 fxe4 Nxe4 Bd7 h4 Na6 Nfg5 g6 Bh3 Qc8 Rd1 e5 Bxd7 Nxd7 h5 Qe8 Ne6 gxh5 Nxf8 Qxf8 c5 Nb4 Qb3+ d5 a3 Kh8 Nd6,c2c4 f7f5 g1f3 g8f6 g2g3 d7d6 d2d4 e7e6 f1g2 f8e7 e1g1 e8g8 b1c3 c7c6 d1c2 a7a5 e2e4 f5e4 c3e4 c8d7 h2h4 b8a6 f3g5 g7g6 g2h3 d8c8 f1d1 e6e5 h3d7 f6d7 h4h5 c8e8 g5e6 g6h5 e6f8 e8f8 c4c5 a6b4 c2b3 d6d5 a2a3 g8h8 e4d6,
Riga-ch sf,Riga,1952.??.??,?,"Tal, Mihail",Birjanis,,,1-0,1.0,D53,47,d4 d5 c4 e6 Nc3 Nf6 Nf3 Be7 Bg5 Ne4 Bxe7 Qxe7 Qc2 Nxc3 Qxc3 O-O Rc1 c6 g3 Nd7 Bg2 dxc4 Qxc4 e5 O-O Nb6 Qc5 Qe6 b3 exd4 Nxd4 Qh6 Rfd1 Nd7 Nf5 Qf6 Ne7+ Kh8 Qa3 Ne5 Nd5 Qd8 Nc7 Bd7 Nxa8 Qxa8 f4,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8e7 c1g5 f6e4 g5e7 d8e7 d1c2 e4c3 c2c3 e8g8 a1c1 c7c6 g2g3 b8d7 f1g2 d5c4 c3c4 e6e5 e1g1 d7b6 c4c5 e7e6 b2b3 e5d4 f3d4 e6h6 f1d1 b6d7 d4f5 h6f6 f5e7 g8h8 c5a3 d7e5 e7d5 f6d8 d5c7 c8d7 c7a8 d8a8 f2f4,
Riga-ch,Riga,1952.??.??,?,"Tal, Mihail","Zaid, Leonid D",,,1-0,1.0,D07,95,d4 Nc6 c4 d5 Nc3 e5 cxd5 Nxd4 e3 Nf5 e4 Nh4 g3 Ng6 Qb3 a6 h4 h5 Bg5 Be7 Bxe7 Qxe7 Bh3 b5 a4 Bxh3 Nxh3 b4 Qc4 Qd6 Na2 Rb8 b3 Nf6 Ng5 O-O Rc1 Rfc8 O-O a5 Rc2 Nf8 Nc1 N8h7 Nf3 Ng4 Nd3 c6 Qa6 Ra8 Qb7 Rab8 Rxc6 Rxb7 Rxd6 f6 Rc6 Rxc6 dxc6 Rc7 Rc1 Nf8 Rc5 Ne6 Rxa5 Rxc6 Nxb4 Rc3 Nd2 Nd4 Ra8+ Kh7 a5 Nxb3 Nxb3 Rxb3 Nc6 Rb1+ Kg2 Rb2 a6 Ne3+ Kg1 Rb1+ Kh2 Rb2 g4 hxg4 Kg3 Nf1+ Kxg4 Rxf2 a7 Rg2+ Kf3,d2d4 b8c6 c2c4 d7d5 b1c3 e7e5 c4d5 c6d4 e2e3 d4f5 e3e4 f5h4 g2g3 h4g6 d1b3 a7a6 h2h4 h7h5 c1g5 f8e7 g5e7 d8e7 f1h3 b7b5 a2a4 c8h3 g1h3 b5b4 b3c4 e7d6 c3a2 a8b8 b2b3 g8f6 h3g5 e8g8 a1c1 f8c8 e1g1 a6a5 c1c2 g6f8 a2c1 f8h7 g5f3 f6g4 c1d3 c7c6 c4a6 b8a8 a6b7 a8b8 c2c6 b8b7 c6d6 f7f6 d6c6 c8c6 d5c6 b7c7 f1c1 h7f8 c1c5 f8e6 c5a5 c7c6 d3b4 c6c3 f3d2 e6d4 a5a8 g8h7 a4a5 d4b3 d2b3 c3b3 b4c6 b3b1 g1g2 b1b2 a5a6 g4e3 g2g1 b2b1 g1h2 b1b2 g3g4 h5g4 h2g3 e3f1 g3g4 b2f2 a6a7 f2g2 g4f3,
