event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
54th ch-RUS,Elista RUS,2001.04.30,1,"Tomashevsky,E","Pushkov,N",2408.0,2561.0,1/2-1/2,0,A13,74,c4 e6 Nf3 Nf6 b3 d5 g3 Be7 Bg2 O-O O-O c6 Bb2 Nbd7 d3 Re8 Nbd2 Bf8 e4 dxe4 Nxe4 Qc7 Nxf6+ Nxf6 Ne5 Bd7 Qe2 Red8 Rfd1 Be8 d4 Rac8 Rac1 Qb6 Nd3 Be7 Nf4 Qa6 a3 Bd6 Qe3 Bxf4 Qxf4 Nd7 Qg4 Nf6 Qh4 Nd7 d5 cxd5 cxd5 exd5 Rxc8 Rxc8 Qg4 Qg6 Qxg6 hxg6 Bxd5 b6 Re1 Kf8 Bc4 f6 a4 Bf7 Bb5 Nc5 b4 Ne6 Bd7 Rc7 Bxe6 Re7,c2c4 e7e6 g1f3 g8f6 b2b3 d7d5 g2g3 f8e7 f1g2 e8g8 e1g1 c7c6 c1b2 b8d7 d2d3 f8e8 b1d2 e7f8 e2e4 d5e4 d2e4 d8c7 e4f6 d7f6 f3e5 c8d7 d1e2 e8d8 f1d1 d7e8 d3d4 a8c8 a1c1 c7b6 e5d3 f8e7 d3f4 b6a6 a2a3 e7d6 e2e3 d6f4 e3f4 f6d7 f4g4 d7f6 g4h4 f6d7 d4d5 c6d5 c4d5 e6d5 c1c8 d8c8 h4g4 a6g6 g4g6 h7g6 g2d5 b7b6 d1e1 g8f8 d5c4 f7f6 a3a4 e8f7 c4b5 d7c5 b3b4 c5e6 b5d7 c8c7 d7e6 c7e7,-153.0
54th ch-RUS,Elista RUS,2001.05.01,2,"Sveshnikov,E","Tomashevsky,E",2571.0,2408.0,1/2-1/2,0,B02,105,e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Nc3 e6 d4 d6 cxd6 cxd6 Nf3 Nc6 Bd3 dxe5 dxe5 Ndb4 Be4 Qxd1+ Kxd1 Na6 a3 Nc5 Bd3 a6 Re1 b5 b4 Nd7 Be4 Bb7 Bg5 Nb6 Nd2 Be7 Be3 Nd7 f4 Rc8 Rc1 O-O Nf3 f6 Nd4 fxe5 Nxe6 Rfe8 f5 Nf6 Bf3 Nd8 Bxb7 Nxb7 Bg5 Nd6 Bxf6 Bxf6 g4 g6 Nd5 Rxc1+ Kxc1 Kf7 g5 gxf5 Ndc7 Rxe6 Nxe6 Kxe6 gxf6 Kxf6 Kd2 e4 Rg1 Ke5 Rg7 Nc4+ Kc3 Kf4 Rxh7 e3 Kd3 Ne5+ Ke2 Ke4 Re7 f4 h4 f3+ Kd1 Kd3 Re8 e2+ Ke1 Ng4 Rd8+ Ke3 Re8+ Kd3 Rd8+ Ke3 Re8+,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 e7e6 d2d4 d7d6 c5d6 c7d6 g1f3 b8c6 f1d3 d6e5 d4e5 d5b4 d3e4 d8d1 e1d1 b4a6 a2a3 a6c5 e4d3 a7a6 h1e1 b7b5 b2b4 c5d7 d3e4 c8b7 c1g5 d7b6 f3d2 f8e7 g5e3 b6d7 f2f4 a8c8 a1c1 e8g8 d2f3 f7f6 f3d4 f6e5 d4e6 f8e8 f4f5 d7f6 e4f3 c6d8 f3b7 d8b7 e3g5 b7d6 g5f6 e7f6 g2g4 g7g6 c3d5 c8c1 d1c1 g8f7 g4g5 g6f5 d5c7 e8e6 c7e6 f7e6 g5f6 e6f6 c1d2 e5e4 e1g1 f6e5 g1g7 d6c4 d2c3 e5f4 g7h7 e4e3 c3d3 c4e5 d3e2 f4e4 h7e7 f5f4 h2h4 f4f3 e2d1 e4d3 e7e8 e3e2 d1e1 e5g4 e8d8 d3e3 d8e8 e3d3 e8d8 d3e3 d8e8,163.0
54th ch-RUS,Elista RUS,2001.05.02,3,"Tomashevsky,E","Iljushin,A",2408.0,2536.0,1-0,1,A35,177,c4 c5 Nc3 Nc6 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O d6 d4 cxd4 Nxd4 Bd7 Nb3 O-O c5 Ne8 Bf4 Be6 cxd6 Nxd6 Nc5 Bc8 Rc1 e5 Bg5 Qxg5 Qxd6 Qd8 Qxd8 Nxd8 Nb5 Ne6 Nxe6 Bxe6 Nc7 Rad8 Nxe6 fxe6 Rc2 Rf7 Rfc1 Rfd7 Rc7 b6 Bh3 Rxc7 Rxc7 Rd6 Rxa7 e4 b3 e3 fxe3 Kf8 Kf2 h5 g4 hxg4 Bxg4 Bf6 Kf3 Be7 Ke4 Kf7 h3 Kf6 b4 Rc6 a3 Bd6 Ra6 Bc7 Kd3 Rd6+ Kc4 Rd5 a4 Re5 Kd3 Rd5+ Ke4 Re5+ Kf3 Rd5 Ra7 Bd8 Ke4 Rd6 a5 bxa5 bxa5 Rd5 a6 Re5+ Kd3 Ra5 Ra8 Be7 Kc4 Rc5+ Kb3 Ra5 Ra7 e5 Bf3 Bc5 Rc7 Bxe3 Rc6+ Kf5 Bg4+ Kg5 Re6 Bd4 Kb4 Ra1 Kb5 Rb1+ Kc6 Kf4 Kd5 g5 Rf6+ Ke3 Rf3+ Kd2 Rd3+ Ke1 Ra3 Rb5+ Kc4 Rc5+ Kd3 Rc7 e3 Ba7 Ra5 Rc6 Ke4 Rc3 Kxe5 Rxe3+ Kf5 Kf2 Kxg5 Kg3 Bf5 Re8 Ra3+ Re3 Ra4 Re8 h4 Be3+ Kg6 Rg8+ Kh7 Rf8 Bg6 Rd8 h5 Bd4 Bf7 Ba7 h6 Rd7 Kg7 Bb8 h7 Be5+ Kg6 Ra7 Bd5,c2c4 c7c5 b1c3 b8c6 g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 d7d6 d2d4 c5d4 f3d4 c8d7 d4b3 e8g8 c4c5 f6e8 c1f4 d7e6 c5d6 e8d6 b3c5 e6c8 a1c1 e7e5 f4g5 d8g5 d1d6 g5d8 d6d8 c6d8 c3b5 d8e6 c5e6 c8e6 b5c7 a8d8 c7e6 f7e6 c1c2 f8f7 f1c1 f7d7 c2c7 b7b6 g2h3 d7c7 c1c7 d8d6 c7a7 e5e4 b2b3 e4e3 f2e3 g8f8 g1f2 h7h5 g3g4 h5g4 h3g4 g7f6 f2f3 f6e7 f3e4 f8f7 h2h3 f7f6 b3b4 d6c6 a2a3 e7d6 a7a6 d6c7 e4d3 c6d6 d3c4 d6d5 a3a4 d5e5 c4d3 e5d5 d3e4 d5e5 e4f3 e5d5 a6a7 c7d8 f3e4 d5d6 a4a5 b6a5 b4a5 d6d5 a5a6 d5e5 e4d3 e5a5 a7a8 d8e7 d3c4 a5c5 c4b3 c5a5 a8a7 e6e5 g4f3 e7c5 a7c7 c5e3 c7c6 f6f5 f3g4 f5g5 c6e6 e3d4 b3b4 a5a1 b4b5 a1b1 b5c6 g5f4 c6d5 g6g5 e6f6 f4e3 f6f3 e3d2 f3d3 d2e1 d3a3 b1b5 d5c4 b5c5 c4d3 c5c7 e2e3 d4a7 a3a5 c7c6 d3e4 c6c3 e4e5 c3e3 e5f5 e1f2 f5g5 f2g3 g4f5 e3e8 a5a3 e8e3 a3a4 e3e8 h3h4 a7e3 g5g6 e8g8 g6h7 g8f8 f5g6 f8d8 h4h5 e3d4 g6f7 d4a7 h5h6 d8d7 h7g7 a7b8 h6h7 b8e5 g7g6 d7a7 f7d5,-128.0
54th ch-RUS,Elista RUS,2001.05.03,4,"Epishin,V","Tomashevsky,E",2579.0,2408.0,1-0,1,E15,129,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 b3 d5 cxd5 exd5 Bg2 Bd6 Nc3 O-O O-O Nbd7 Qc2 Re8 Bb2 Rc8 Rfd1 c6 Rac1 Qe7 Nh4 Bb4 Nf5 Qf8 e3 g6 Nh4 Qe7 Nf3 Ne4 a3 Bd6 Nxe4 dxe4 Nd2 Nf6 Nc4 Bxc4 bxc4 Bxa3 Bxa3 Qxa3 c5 Nd5 Ra1 Qc3 Bxe4 bxc5 dxc5 Qxc2 Bxc2 Rc7 Rd4 Rb8 Be4 Nc3 Bd3 Re8 Rc4 Nd5 Ra5 Nf6 Rca4 Ree7 Be2 Ne4 Bd3 Ng5 Kg2 Red7 Bc4 Re7 h4 Ne4 Bd3 Nf6 Be2 Ne4 Bf3 Nd2 Bd1 Ne4 Bc2 Nf6 Ra2 h5 Bd1 Red7 Bf3 Nd5 R2a4 Kg7 Rd4 Ne7 Rd6 Nd5 e4 Nb4 Be2 Re7 f3 f5 Rd4 Nd5 Bd3 fxe4 Bxe4 Nf6 Bd3 Rcd7 Rd6 Nd5 Rxg6+ Kf7 Rd6 Rxd6 cxd6 Rd7 Kf2 Kf6 Be4 Ke5 Bg6,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 d7d5 c4d5 e6d5 f1g2 f8d6 b1c3 e8g8 e1g1 b8d7 d1c2 f8e8 c1b2 a8c8 f1d1 c7c6 a1c1 d8e7 f3h4 d6b4 h4f5 e7f8 e2e3 g7g6 f5h4 f8e7 h4f3 f6e4 a2a3 b4d6 c3e4 d5e4 f3d2 d7f6 d2c4 a6c4 b3c4 d6a3 b2a3 e7a3 c4c5 f6d5 c1a1 a3c3 g2e4 b6c5 d4c5 c3c2 e4c2 c8c7 d1d4 e8b8 c2e4 d5c3 e4d3 b8e8 d4c4 c3d5 a1a5 d5f6 c4a4 e8e7 d3e2 f6e4 e2d3 e4g5 g1g2 e7d7 d3c4 d7e7 h2h4 g5e4 c4d3 e4f6 d3e2 f6e4 e2f3 e4d2 f3d1 d2e4 d1c2 e4f6 a4a2 h7h5 c2d1 e7d7 d1f3 f6d5 a2a4 g8g7 a4d4 d5e7 d4d6 e7d5 e3e4 d5b4 f3e2 d7e7 f2f3 f7f5 d6d4 b4d5 e2d3 f5e4 d3e4 d5f6 e4d3 c7d7 d4d6 f6d5 d6g6 g7f7 g6d6 d7d6 c5d6 e7d7 g2f2 f7f6 d3e4 f6e5 e4g6,171.0
54th ch-RUS,Elista RUS,2001.05.04,5,"Tomashevsky,E","Khasin,Al",2408.0,2542.0,1/2-1/2,0,A04,71,Nf3 c5 b3 Nc6 Bb2 d6 e3 e5 c4 g6 Nc3 Bg7 d3 Nge7 g3 O-O Bg2 h6 O-O Be6 Qe2 Qd7 Rad1 Rfe8 Qd2 Bg4 Rc1 Rad8 Ne1 Bh3 e4 Nd4 Nc2 Bxg2 Kxg2 f5 f3 Ne6 Rce1 h5 Kh1 f4 Qg2 Rf8 Nd5 fxg3 hxg3 Nxd5 exd5 Ng5 Bc1 Nf7 Na3 Bh6 Nb5 Bxc1 Rxc1 Ng5 f4 exf4 gxf4 Qh3+ Qxh3 Nxh3 f5 Rxf5 Rxf5 gxf5 Rf1 Kh7 Nc7,g1f3 c7c5 b2b3 b8c6 c1b2 d7d6 e2e3 e7e5 c2c4 g7g6 b1c3 f8g7 d2d3 g8e7 g2g3 e8g8 f1g2 h7h6 e1g1 c8e6 d1e2 d8d7 a1d1 f8e8 e2d2 e6g4 d1c1 a8d8 f3e1 g4h3 e3e4 c6d4 e1c2 h3g2 g1g2 f7f5 f2f3 d4e6 c1e1 h6h5 g2h1 f5f4 d2g2 e8f8 c3d5 f4g3 h2g3 e7d5 e4d5 e6g5 b2c1 g5f7 c2a3 g7h6 a3b5 h6c1 e1c1 f7g5 f3f4 e5f4 g3f4 d7h3 g2h3 g5h3 f4f5 f8f5 f1f5 g6f5 c1f1 g8h7 b5c7,-134.0
54th ch-RUS,Elista RUS,2001.05.06,6,"Rustemov,A","Tomashevsky,E",2625.0,2408.0,1-0,1,A05,191,Nf3 Nf6 c4 b6 Nc3 Bb7 d4 e6 Bg5 Bb4 Nd2 h6 Bh4 Qe7 e3 Bxc3 bxc3 d6 f3 Nbd7 Bd3 e5 e4 Nf8 Qa4+ Qd7 Qxd7+ N6xd7 Bf2 Ne6 O-O-O Ke7 Rhe1 a5 Kb2 a4 Ka3 Ba6 Rb1 c5 d5 Nc7 Nf1 Rhb8 Ne3 g6 h4 Nf6 Re2 Bc8 Reb2 Ra6 Nd1 Nd7 Be3 h5 Bg5+ f6 Bd2 Bb7 Ne3 Rh8 Bf1 Ra5 g3 Ba6 Bh3 b5 Bf1 bxc4 Bxc4 Ra8 Bxa6 R5xa6 Rb7 R8a7 g4 Rxb7 Rxb7 Kd8 gxh5 gxh5 Rb1 Ne8 Rg1 Ke7 c4 Nb6 Rg8 Kf7 Rh8 Ng7 Rb8 Nd7 Rb7 Ke7 Nd1 Kd8 Rb5 Kc8 Ne3 Ne8 Rb1 Nb6 Rg1 Kd7 Rg8 Ke7 Rh8 Kf7 Kb2 Ng7 Kc3 Nd7 Rc8 Ke7 Kd3 Ra7 Bc3 Nf8 Rb8 Ng6 Ng2 Ne8 Rb6 Kd7 Rb8 Ke7 Ke3 Ng7 f4 Nf8 f5 Ne8 Kf3 Nd7 Rb1 Ra6 Ne3 Nb6 Ke2 Nd7 Kd3 Ra7 Nf1 Ng7 Ng3 Ra8 Bd2 Rg8 Rh1 Kf7 Rg1 Rb8 Bc3 Rg8 Nf1 Rb8 Nd2 Rg8 Nb1 Rb8 Na3 Ne8 Nb5 Rb7 Ba5 Rb8 Rc1 Ra8 Bd2 Nb8 Rb1 Na6 Na3 Ra7 Rb6 Nac7 Nb5 Nxb5 cxb5 Ke7 Kc4 a3 Rb8 Ra4+ Kb3 Rd4 Bc3 c4+ Kc2,g1f3 g8f6 c2c4 b7b6 b1c3 c8b7 d2d4 e7e6 c1g5 f8b4 f3d2 h7h6 g5h4 d8e7 e2e3 b4c3 b2c3 d7d6 f2f3 b8d7 f1d3 e6e5 e3e4 d7f8 d1a4 e7d7 a4d7 f6d7 h4f2 f8e6 e1c1 e8e7 h1e1 a7a5 c1b2 a5a4 b2a3 b7a6 d1b1 c7c5 d4d5 e6c7 d2f1 h8b8 f1e3 g7g6 h2h4 d7f6 e1e2 a6c8 e2b2 a8a6 e3d1 f6d7 f2e3 h6h5 e3g5 f7f6 g5d2 c8b7 d1e3 b8h8 d3f1 a6a5 g2g3 b7a6 f1h3 b6b5 h3f1 b5c4 f1c4 h8a8 c4a6 a5a6 b2b7 a8a7 g3g4 a7b7 b1b7 e7d8 g4h5 g6h5 b7b1 c7e8 b1g1 d8e7 c3c4 d7b6 g1g8 e7f7 g8h8 e8g7 h8b8 b6d7 b8b7 f7e7 e3d1 e7d8 b7b5 d8c8 d1e3 g7e8 b5b1 d7b6 b1g1 c8d7 g1g8 d7e7 g8h8 e7f7 a3b2 e8g7 b2c3 b6d7 h8c8 f7e7 c3d3 a6a7 d2c3 d7f8 c8b8 f8g6 e3g2 g7e8 b8b6 e7d7 b6b8 d7e7 d3e3 e8g7 f3f4 g6f8 f4f5 g7e8 e3f3 f8d7 b8b1 a7a6 g2e3 d7b6 f3e2 b6d7 e2d3 a6a7 e3f1 e8g7 f1g3 a7a8 c3d2 a8g8 b1h1 e7f7 h1g1 g8b8 d2c3 b8g8 g3f1 g8b8 f1d2 b8g8 d2b1 g8b8 b1a3 g7e8 a3b5 b8b7 c3a5 b7b8 g1c1 b8a8 a5d2 d7b8 c1b1 b8a6 b5a3 a8a7 b1b6 a6c7 a3b5 c7b5 c4b5 f7e7 d3c4 a4a3 b6b8 a7a4 c4b3 a4d4 d2c3 c5c4 b3c2,217.0
54th ch-RUS,Elista RUS,2001.05.07,7,"Tomashevsky,E","Zakharevich,I",2408.0,2487.0,1/2-1/2,0,A40,111,d4 g6 Nf3 Bg7 c3 Nf6 Bg5 c5 e3 Qb6 Qb3 O-O Nbd2 d6 Bc4 h6 Bh4 Qxb3 axb3 cxd4 exd4 g5 Bg3 Nh5 O-O Nxg3 hxg3 Rd8 Rfe1 Kf8 b4 Nd7 Bf1 Nb6 Ra5 Bd7 Rea1 a6 Nc4 Nxc4 Bxc4 Rac8 Bf1 Bc6 d5 Bd7 Nd2 Rb8 Nc4 b5 Ne3 Bc8 Be2 e6 Bf3 Re8 Re1 Bf6 Raa1 Bd8 dxe6 fxe6 Rad1 Bc7 Nc2 Kg7 Nd4 Kf6 Rd3 e5 Nc2 Bf5 Be4 Bxe4 Rxe4 Ke6 Ne3 a5 g4 a4 Nf5 Rh8 Re2 Rh7 Red2 Rb6 Ne3 Bb8 Rd5 h5 gxh5 Rxh5 g3 Rh8 Kg2 Rf8 Nc2 Rb7 Na3 Rbf7 R5d3 Rb7 Nc2 Kd7 Ne3 Kc6 c4 bxc4 Nxc4 Rxb4 Nxd6,d2d4 g7g6 g1f3 f8g7 c2c3 g8f6 c1g5 c7c5 e2e3 d8b6 d1b3 e8g8 b1d2 d7d6 f1c4 h7h6 g5h4 b6b3 a2b3 c5d4 e3d4 g6g5 h4g3 f6h5 e1g1 h5g3 h2g3 f8d8 f1e1 g8f8 b3b4 b8d7 c4f1 d7b6 a1a5 c8d7 e1a1 a7a6 d2c4 b6c4 f1c4 a8c8 c4f1 d7c6 d4d5 c6d7 f3d2 c8b8 d2c4 b7b5 c4e3 d7c8 f1e2 e7e6 e2f3 d8e8 a1e1 g7f6 a5a1 f6d8 d5e6 f7e6 a1d1 d8c7 e3c2 f8g7 c2d4 g7f6 d1d3 e6e5 d4c2 c8f5 f3e4 f5e4 e1e4 f6e6 c2e3 a6a5 g3g4 a5a4 e3f5 e8h8 e4e2 h8h7 e2d2 b8b6 f5e3 c7b8 d3d5 h6h5 g4h5 h7h5 g2g3 h5h8 g1g2 h8f8 e3c2 b6b7 c2a3 b7f7 d5d3 f7b7 a3c2 e6d7 c2e3 d7c6 c3c4 b5c4 e3c4 b7b4 c4d6,-79.0
54th ch-RUS,Elista RUS,2001.05.08,8,"Timofeev,Ar","Tomashevsky,E",2522.0,2408.0,1/2-1/2,0,B05,148,e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 e6 c4 Nb6 exd6 cxd6 O-O Be7 h3 Bh5 Nbd2 O-O b3 Bg6 Bb2 Nc6 a3 Bf6 b4 e5 d5 Nd4 Nxd4 exd4 Qb3 Rc8 Rac1 Re8 Bd3 Nd7 Bxg6 hxg6 Nf3 Qb6 Rfe1 Rxe1+ Rxe1 a5 Qa4 Qc7 Bxd4 axb4 Qxb4 Bxd4 Nxd4 Nf6 Nb5 Qxc4 Nxd6 Qxb4 axb4 Rd8 Nxb7 Rb8 Nd6 Nxd5 b5 Kf8 f3 Rd8 Ne4 Rb8 Rb1 Ke7 Rb3 Rb6 h4 f5 Ng5 Nc7 Re3+ Kd7 Nf7 Rxb5 Ne5+ Ke6 Nxg6+ Kf6 Nf8 Rb4 Nd7+ Kg6 g3 Rd4 Ne5+ Kh7 Rb3 Ne8 Nc6 Rc4 Nd8 Nf6 Rb5 g6 Rb7+ Kg8 Ne6 Nh5 Kg2 Rc3 Ng5 Ra3 Rb6 Kg7 Ne6+ Kf7 Nd8+ Kg7 Rb7+ Kf6 Rf7+ Ke5 Rf8 Ra2+ Kh3 Kd4 Re8 Ra1 g4 fxg4+ fxg4 Ra3+ Kh2 Ra2+ Kg1 Nf4 Ne6+ Ke4 Ng5+ Kd5 Kf1 Rg2 Rd8+ Kc6 Nf3 Rxg4 Rd4 Kc5 Ra4 Nd5,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 c2c4 d5b6 e5d6 c7d6 e1g1 f8e7 h2h3 g4h5 b1d2 e8g8 b2b3 h5g6 c1b2 b8c6 a2a3 e7f6 b3b4 e6e5 d4d5 c6d4 f3d4 e5d4 d1b3 a8c8 a1c1 f8e8 e2d3 b6d7 d3g6 h7g6 d2f3 d8b6 f1e1 e8e1 c1e1 a7a5 b3a4 b6c7 b2d4 a5b4 a4b4 f6d4 f3d4 d7f6 d4b5 c7c4 b5d6 c4b4 a3b4 c8d8 d6b7 d8b8 b7d6 f6d5 b4b5 g8f8 f2f3 b8d8 d6e4 d8b8 e1b1 f8e7 b1b3 b8b6 h3h4 f7f5 e4g5 d5c7 b3e3 e7d7 g5f7 b6b5 f7e5 d7e6 e5g6 e6f6 g6f8 b5b4 f8d7 f6g6 g2g3 b4d4 d7e5 g6h7 e3b3 c7e8 e5c6 d4c4 c6d8 e8f6 b3b5 g7g6 b5b7 h7g8 d8e6 f6h5 g1g2 c4c3 e6g5 c3a3 b7b6 g8g7 g5e6 g7f7 e6d8 f7g7 b6b7 g7f6 b7f7 f6e5 f7f8 a3a2 g2h3 e5d4 f8e8 a2a1 g3g4 f5g4 f3g4 a1a3 h3h2 a3a2 h2g1 h5f4 d8e6 d4e4 e6g5 e4d5 g1f1 a2g2 e8d8 d5c6 g5f3 g2g4 d8d4 c6c5 d4a4 f4d5,114.0
54th ch-RUS,Elista RUS,2001.05.09,9,"Tomashevsky,E","Lugovoi,A",2408.0,2512.0,1/2-1/2,0,A47,72,d4 Nf6 Nf3 d5 c4 c6 cxd5 cxd5 Nc3 Nc6 Bf4 Ne4 e3 Nxc3 bxc3 g6 Bd3 Bg7 O-O O-O Rb1 b6 Bg3 Bb7 c4 dxc4 Bxc4 Na5 Bd3 Rc8 Qe2 e6 Rbd1 Qe7 e4 Qa3 Ba6 Rfd8 Ne5 Bxa6 Qxa6 Nc4 Qxa3 Nxa3 d5 exd5 exd5 Nb5 Nc6 Rd7 Nb8 Rb7 Nc6 Nc3 Rd3 Rd7 Re1 Kf8 h3 Bf6 Kh2 Rxd5 Rxd5 Nxd5 Nxa7 Ra8 Rd1 Nc3 Rd7 Nxa2 Nb5 Nc3,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 f6e4 e2e3 e4c3 b2c3 g7g6 f1d3 f8g7 e1g1 e8g8 a1b1 b7b6 f4g3 c8b7 c3c4 d5c4 d3c4 c6a5 c4d3 a8c8 d1e2 e7e6 b1d1 d8e7 e3e4 e7a3 d3a6 f8d8 f3e5 b7a6 e2a6 a5c4 a6a3 c4a3 d4d5 e6d5 e4d5 a3b5 e5c6 d8d7 c6b8 d7b7 b8c6 b5c3 d1d3 b7d7 f1e1 g8f8 h2h3 g7f6 g1h2 d7d5 d3d5 c3d5 c6a7 c8a8 e1d1 d5c3 d1d7 c3a2 a7b5 a2c3,-104.0
Czech Open,Pardubice CZE,2001.07.21,2,"Tomashevsky,E","Berger,Stev",2449.0,2311.0,1-0,1,A36,87,c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Rb1 e6 a3 a5 d3 Nge7 Nf3 d5 O-O O-O Bg5 d4 Na4 h6 Bxe7 Qxe7 Qb3 Rd8 Nd2 Nb8 Ne4 Nd7 Nb6 Rb8 Qb5 f5 Nxd7 Bxd7 Qxc5 Bf8 Qxe7 Bxe7 Nd2 b5 Rfc1 bxc4 Nxc4 Rb5 a4 Rc5 Nb6 Be8 Rxc5 Bxc5 Nc4 Bb4 Ra1 Rc8 Bb7 Rc7 Ba6 Kg7 Bb5 Bf7 f4 Kf6 h4 g5 hxg5+ hxg5 Kf2 Bg6 Rh1 gxf4 gxf4 Rh7 Rxh7 Bxh7 Be8 Bg6 Bxg6 Kxg6 Ne5+ Kf6 Nc6 Bd6 Nxa5 Bxf4 Nc6,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1 e7e6 a2a3 a7a5 d2d3 g8e7 g1f3 d7d5 e1g1 e8g8 c1g5 d5d4 c3a4 h7h6 g5e7 d8e7 d1b3 f8d8 f3d2 c6b8 d2e4 b8d7 a4b6 a8b8 b3b5 f7f5 b6d7 c8d7 b5c5 g7f8 c5e7 f8e7 e4d2 b7b5 f1c1 b5c4 d2c4 b8b5 a3a4 b5c5 c4b6 d7e8 c1c5 e7c5 b6c4 c5b4 b1a1 d8c8 g2b7 c8c7 b7a6 g8g7 a6b5 e8f7 f2f4 g7f6 h2h4 g6g5 h4g5 h6g5 g1f2 f7g6 a1h1 g5f4 g3f4 c7h7 h1h7 g6h7 b5e8 h7g6 e8g6 f6g6 c4e5 g6f6 e5c6 b4d6 c6a5 d6f4 a5c6,138.0
