event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
Wch U10,Menorca,1996.??.??,3,"Grachev, Boris","Wojtaszek, Radoslaw",,,1-0,1.0,A47,35,d4 Nf6 Nf3 b6 Bf4 Bb7 e3 e6 Bd3 Be7 h3 d6 O-O Nbd7 Bh2 Ne4 Nfd2 Nxd2 Nxd2 O-O e4 c5 c3 e5 dxe5 dxe5 Nc4 Bf6 Qg4 Qe7 Ne3 Rfe8 Bc4 Rac8 Nf5,d2d4 g8f6 g1f3 b7b6 c1f4 c8b7 e2e3 e7e6 f1d3 f8e7 h2h3 d7d6 e1g1 b8d7 f4h2 f6e4 f3d2 e4d2 b1d2 e8g8 e3e4 c7c5 c2c3 e6e5 d4e5 d6e5 d2c4 e7f6 d1g4 d8e7 c4e3 f8e8 d3c4 a8c8 e3f5,
Wch U10,Menorca,1996.??.??,5,"Wojtaszek, Radoslaw","Filippov, Anton",,,1/2-1/2,0.0,E14,44,d4 Nf6 Nf3 e6 e3 b6 Bd3 Bb7 Nbd2 d5 O-O Be7 b3 O-O Bb2 c5 c4 Nbd7 Rc1 Ne4 Bb1 f5 Ne1 Bd6 f4 Ndf6 Nxe4 fxe4 g3 Qd7 Ng2 a5 a4 Bc6 Bc2 Be7 Nh4 Ne8 Ng2 Nd6 cxd5 exd5 g4 Nf7,d2d4 g8f6 g1f3 e7e6 e2e3 b7b6 f1d3 c8b7 b1d2 d7d5 e1g1 f8e7 b2b3 e8g8 c1b2 c7c5 c2c4 b8d7 a1c1 f6e4 d3b1 f7f5 f3e1 e7d6 f2f4 d7f6 d2e4 f5e4 g2g3 d8d7 e1g2 a7a5 a2a4 b7c6 b1c2 d6e7 g2h4 f6e8 h4g2 e8d6 c4d5 e6d5 g3g4 d6f7,
Wch U10,Menorca,1996.??.??,6,"Vaznonis, Vytautas","Wojtaszek, Radoslaw",,,0-1,-1.0,E28,60,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O a3 Bxc3+ bxc3 b6 Nf3 Ba6 Bd3 d6 O-O Re8 e4 e5 Bg5 h6 Bxf6 Qxf6 Qa4 Qe7 Rab1 Rd8 Rfe1 Bb7 Qc2 Nd7 Nd2 a5 Re3 Re8 Rbe1 Rad8 Rg3 Kh8 Nf1 g6 Qd2 Kh7 Rh3 Qf8 Ree3 Nf6 Ref3 Nh5 Ng3 Nf4 Rh4 g5 Rh5 Bc8 h3 f6 Kh2 Qe7,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 a2a3 b4c3 b2c3 b7b6 g1f3 c8a6 f1d3 d7d6 e1g1 f8e8 e3e4 e6e5 c1g5 h7h6 g5f6 d8f6 d1a4 f6e7 a1b1 e8d8 f1e1 a6b7 a4c2 b8d7 f3d2 a7a5 e1e3 d8e8 b1e1 a8d8 e3g3 g8h8 d2f1 g7g6 c2d2 h8h7 g3h3 e7f8 e1e3 d7f6 e3f3 f6h5 f1g3 h5f4 h3h4 g6g5 h4h5 b7c8 h2h3 f7f6 g1h2 f8e7,
Wch U10,Menorca,1996.??.??,7,"Chaparinov, Ivan","Wojtaszek, Radoslaw",,,0-1,-1.0,E44,57,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O Ne2 b6 a3 Be7 Ng3 d5 cxd5 exd5 Bd3 Re8 O-O c5 Bb5 Bd7 Be2 Be6 Bf3 Nc6 Nce2 c4 Bd2 Rc8 Nf4 Bd6 Nxe6 fxe6 Qc2 b5 Be2 a5 f4 Qe7 Nh5 Ne4 Bf3 Nxd2 Qxd2 b4 f5 bxa3 f6 gxf6 e4 Nb4 exd5 axb2 Qxb2 c3 Qc1,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 b7b6 a2a3 b4e7 e2g3 d7d5 c4d5 e6d5 f1d3 f8e8 e1g1 c7c5 d3b5 c8d7 b5e2 d7e6 e2f3 b8c6 c3e2 c5c4 c1d2 a8c8 e2f4 e7d6 f4e6 f7e6 d1c2 b6b5 f3e2 a7a5 f2f4 d8e7 g3h5 f6e4 e2f3 e4d2 c2d2 b5b4 f4f5 b4a3 f5f6 g7f6 e3e4 c6b4 e4d5 a3b2 d2b2 c4c3 b2c1,
Wch U10,Menorca,1996.??.??,8,"Wojtaszek, Radoslaw","Erwich, Marc",,,1/2-1/2,0.0,D02,67,d4 d5 Nf3 Nf6 Bf4 Nbd7 e3 g6 Nbd2 Bg7 Be2 O-O h3 b6 O-O Bb7 Ne5 c5 c3 Nxe5 Bxe5 Nd7 Bxg7 Kxg7 Bf3 e5 dxe5 Nxe5 Qe2 a5 c4 Ba6 b3 Nxf3+ Nxf3 Qf6 Rfd1 Rfe8 Qc2 dxc4 bxc4 Rad8 Rac1 Bb7 Ne1 h6 Qb3 Ba6 Nd3 g5 Nb2 Qe6 Rd3 Rxd3 Qxd3 Bb7 Rd1 Qf6 Rd2 Be4 Qd6 Re6 Qd8 Qxd8 Rxd8 Bc2 Kf1,d2d4 d7d5 g1f3 g8f6 c1f4 b8d7 e2e3 g7g6 b1d2 f8g7 f1e2 e8g8 h2h3 b7b6 e1g1 c8b7 f3e5 c7c5 c2c3 d7e5 f4e5 f6d7 e5g7 g8g7 e2f3 e7e5 d4e5 d7e5 d1e2 a7a5 c3c4 b7a6 b2b3 e5f3 d2f3 d8f6 f1d1 f8e8 e2c2 d5c4 b3c4 a8d8 a1c1 a6b7 f3e1 h7h6 c2b3 b7a6 e1d3 g6g5 d3b2 f6e6 d1d3 d8d3 b3d3 a6b7 c1d1 e6f6 d1d2 b7e4 d3d6 e8e6 d6d8 f6d8 d2d8 e4c2 g1f1,
Wch U10,Menorca,1996.??.??,9,"Yakimov, V.","Wojtaszek, Radoslaw",,,1-0,1.0,B13,73,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Bf4 Bf5 Nf3 e6 c5 Ne4 Be2 Be7 O-O O-O Ne5 Bg5 Nxc6 bxc6 Be5 Nxc3 bxc3 f6 Bd6 Rf7 g4 Be4 f3 Be3+ Kh1 Bg6 f4 Be4+ Bf3 e5 Bxe4 dxe4 fxe5 Bg5 Qb3 Qc8 e6 Rb7 Qc4 h5 e7+ Kh7 Qf7 Qxg4 e8=Q Rxe8 Qxb7 e3 Qb1+ Kh8 Qg6 Qe4+ Qxe4 Rxe4 Rae1 Kg8 Kg2 Kf7 Kf3 f5 Ke2 Kf6 Be5+,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1f4 c8f5 g1f3 e7e6 c4c5 f6e4 f1e2 f8e7 e1g1 e8g8 f3e5 e7g5 e5c6 b7c6 f4e5 e4c3 b2c3 f7f6 e5d6 f8f7 g2g4 f5e4 f2f3 g5e3 g1h1 e4g6 f3f4 g6e4 e2f3 e6e5 f3e4 d5e4 f4e5 e3g5 d1b3 d8c8 e5e6 f7b7 b3c4 h7h5 e6e7 g8h7 c4f7 c8g4 e7e8q a8e8 f7b7 e4e3 b7b1 h7h8 b1g6 g4e4 g6e4 e8e4 a1e1 h8g8 h1g2 g8f7 g2f3 f6f5 f3e2 f7f6 d6e5,
Wch U10,Menorca,1996.??.??,10,"Wojtaszek, Radoslaw",Dong Viet Thang,,,1-0,1.0,D02,66,d4 d5 Nf3 Nf6 Bf4 Bf5 e3 e6 c4 Bxb1 Rxb1 Bb4+ Ke2 dxc4 Qa4+ Nc6 Ne5 Nd5 Nxc6 Qd7 Bg3 a5 a3 Bd6 Qxc4 Qxc6 Qxc6+ bxc6 Rc1 Rb8 Rc2 Kd7 Kf3 Nb6 Be2 Na4 Rhc1 Nxb2 Rxc6 Ke7 Bxd6+ cxd6 Rc7+ Kf6 Ra7 a4 Rcc7 Rhf8 Rab7 Kg6 Kg3 d5 Rxf7 Rxf7 Rxb8 Nc4 Bxc4 dxc4 Rb4 Ra7 Rxc4 Kf6 Kf4 Ra5 h4 Ra6,d2d4 d7d5 g1f3 g8f6 c1f4 c8f5 e2e3 e7e6 c2c4 f5b1 a1b1 f8b4 e1e2 d5c4 d1a4 b8c6 f3e5 f6d5 e5c6 d8d7 f4g3 a7a5 a2a3 b4d6 a4c4 d7c6 c4c6 b7c6 b1c1 a8b8 c1c2 e8d7 e2f3 d5b6 f1e2 b6a4 h1c1 a4b2 c2c6 d7e7 g3d6 c7d6 c6c7 e7f6 c7a7 a5a4 c1c7 h8f8 a7b7 f6g6 f3g3 d6d5 c7f7 f8f7 b7b8 b2c4 e2c4 d5c4 b8b4 f7a7 b4c4 g6f6 g3f4 a7a5 h2h4 a5a6,
Wch U10,Menorca,1996.??.??,11,"Wojtaszek, Radoslaw","Guseinov, Kadir",,,1/2-1/2,0.0,A41,76,d4 d6 Nf3 Bg4 Bf4 Bxf3 exf3 Nf6 Bd3 g6 O-O Bg7 c3 O-O Qc1 e5 Be3 exd4 Bxd4 Nc6 Be3 Qd7 Bh6 Rfe8 Bxg7 Kxg7 Nd2 Ne5 Qc2 Nxd3 Qxd3 Qe6 Nb3 Re7 Nd4 Qd7 Rfe1 Rae8 Kf1 Rxe1+ Rxe1 Rxe1+ Kxe1 a6 a3 c5 Nc2 Qe6+ Kd2 Kf8 b4 Ke7 Qe3 b6 g3 Kd7 Qxe6+ fxe6 Ne3 d5 Ng4 Nxg4 fxg4 e5 f4 Ke6 Ke3 h6 a4 cxb4 cxb4 Kf6 Kd3 Ke6 Ke3 Kf6,d2d4 d7d6 g1f3 c8g4 c1f4 g4f3 e2f3 g8f6 f1d3 g7g6 e1g1 f8g7 c2c3 e8g8 d1c1 e7e5 f4e3 e5d4 e3d4 b8c6 d4e3 d8d7 e3h6 f8e8 h6g7 g8g7 b1d2 c6e5 c1c2 e5d3 c2d3 d7e6 d2b3 e8e7 b3d4 e6d7 f1e1 a8e8 g1f1 e7e1 a1e1 e8e1 f1e1 a7a6 a2a3 c7c5 d4c2 d7e6 e1d2 g7f8 b2b4 f8e7 d3e3 b7b6 g2g3 e7d7 e3e6 f7e6 c2e3 d6d5 e3g4 f6g4 f3g4 e6e5 f2f4 d7e6 d2e3 h7h6 a3a4 c5b4 c3b4 e6f6 e3d3 f6e6 d3e3 e6f6,
EU-ch U10,Rimavska Sobota,1996.??.??,1,"Murariu, Andrei","Wojtaszek, Radoslaw",,,1-0,1.0,A08,183,e4 e6 d3 c5 Nf3 Nc6 g3 d5 Nbd2 Nf6 Bg2 Be7 O-O O-O Re1 Re8 c3 Qc7 Nf1 Rd8 e5 Nd7 Bf4 b6 h4 Bb7 N1h2 c4 d4 b5 Ng4 a5 Qc2 b4 Bg5 Nf8 Qd2 a4 Bf6 bxc3 bxc3 gxf6 exf6 h5 Qg5+ Ng6 Qxh5 Bxf6 Nxf6+ Kg7 Qg5 Qe7 Nh5+ Kh7 Rab1 Rab8 Qxe7 Ngxe7 Ne5 Nxe5 Rxe5 Bc6 Ree1 a3 Nf6+ Kg7 Ng4 Nf5 Ne5 Ba4 Bf3 Ne7 Rec1 Rb2 Ra1 Rdb8 Re1 Bc2 Nd7 R8b7 Nc5 R7b5 Rec1 Rb1 Na6 Nc6 Bd1 Rxa1 Rxa1 Rb1 Rxb1 Bxb1 Ba4 Na7 Nb4 f6 f4 Kf8 Kf2 Bg6 g4 Be8 Bxe8 Kxe8 Ke3 Nb5 Kd2 Nd6 g5 Ne4+ Kc2 fxg5 fxg5 Kf7 Nc6 Kg6 Ne5+ Kh5 g6 Nf6 g7 Kh6 Ng4+ Kxg7 Nxf6 Kxf6 Kd2 Kf5 Ke2 Kg4 Ke3 Kf5 Kf3 e5 dxe5 Kxe5 Ke3 d4+ cxd4+ Kd5 h5 c3 h6 c2 Kd2 Kxd4 h7 Kd5 h8=Q Kd6 Kxc2 Kd5 Qh4 Ke5 Qg4 Kd5 Qf4 Kc5 Qe4 Kd6 Qf5 Kc6 Qe5 Kb6 Qd5 Ka6 Qc5 Kb7 Qd6 Ka7 Qc6 Kb8 Qd7 Ka8 Kc3 Kb8 Kb4 Ka8 Kb5 Kb8 Kb6 Ka8 Qa7#,e2e4 e7e6 d2d3 c7c5 g1f3 b8c6 g2g3 d7d5 b1d2 g8f6 f1g2 f8e7 e1g1 e8g8 f1e1 f8e8 c2c3 d8c7 d2f1 e8d8 e4e5 f6d7 c1f4 b7b6 h2h4 c8b7 f1h2 c5c4 d3d4 b6b5 h2g4 a7a5 d1c2 b5b4 f4g5 d7f8 c2d2 a5a4 g5f6 b4c3 b2c3 g7f6 e5f6 h7h5 d2g5 f8g6 g5h5 e7f6 g4f6 g8g7 h5g5 c7e7 f6h5 g7h7 a1b1 a8b8 g5e7 g6e7 f3e5 c6e5 e1e5 b7c6 e5e1 a4a3 h5f6 h7g7 f6g4 e7f5 g4e5 c6a4 g2f3 f5e7 e1c1 b8b2 b1a1 d8b8 c1e1 a4c2 e5d7 b8b7 d7c5 b7b5 e1c1 b2b1 c5a6 e7c6 f3d1 b1a1 c1a1 b5b1 a1b1 c2b1 d1a4 c6a7 a6b4 f7f6 f2f4 g7f8 g1f2 b1g6 g3g4 g6e8 a4e8 f8e8 f2e3 a7b5 e3d2 b5d6 g4g5 d6e4 d2c2 f6g5 f4g5 e8f7 b4c6 f7g6 c6e5 g6h5 g5g6 e4f6 g6g7 h5h6 e5g4 h6g7 g4f6 g7f6 c2d2 f6f5 d2e2 f5g4 e2e3 g4f5 e3f3 e6e5 d4e5 f5e5 f3e3 d5d4 c3d4 e5d5 h4h5 c4c3 h5h6 c3c2 e3d2 d5d4 h6h7 d4d5 h7h8q d5d6 d2c2 d6d5 h8h4 d5e5 h4g4 e5d5 g4f4 d5c5 f4e4 c5d6 e4f5 d6c6 f5e5 c6b6 e5d5 b6a6 d5c5 a6b7 c5d6 b7a7 d6c6 a7b8 c6d7 b8a8 c2c3 a8b8 c3b4 b8a8 b4b5 a8b8 b5b6 b8a8 d7a7,
EU-ch U10,Rimavska Sobota,1996.??.??,3,"Wojtaszek, Radoslaw","Berta, P.",,,1-0,1.0,D02,41,d4 d5 Nf3 Nc6 Bg5 Bf5 e3 Qd7 c4 O-O-O Nc3 dxc4 Bxc4 f6 Bf4 Qe8 Qa4 e5 dxe5 fxe5 Bg5 Rd7 O-O h6 Bh4 g5 Bg3 Kb8 Bb5 Rd6 Nxe5 Ka8 Nxc6 bxc6 Bxd6 cxb5 Nxb5 Kb8 Qxa7+ Kc8 Qxc7#,d2d4 d7d5 g1f3 b8c6 c1g5 c8f5 e2e3 d8d7 c2c4 e8c8 b1c3 d5c4 f1c4 f7f6 g5f4 d7e8 d1a4 e7e5 d4e5 f6e5 f4g5 d8d7 e1g1 h7h6 g5h4 g7g5 h4g3 c8b8 c4b5 d7d6 f3e5 b8a8 e5c6 b7c6 g3d6 c6b5 c3b5 a8b8 a4a7 b8c8 a7c7,
