event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
WYb10,Heraklio GRE,2004.11.04,1,"Kieu,Marc Andre",Yu Yangyi,,2140.0,0-1,-1,B33,124,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Nd5 Qa5+ Bd2 Qd8 Bg5 Be7 Bxf6 Bxf6 c3 O-O Be2 Bg5 Nc2 Ne7 Nce3 Be6 Nxe7+ Qxe7 Nd5 Qb7 h4 Bh6 g4 Bf4 Nxf4 exf4 Bf3 Rae8 Qxd6 Bxg4 Bxg4 Qxe4+ Kd2 Rd8 Bd7 Qb7 Qxf4 Qxd7+ Kc2 Qd3+ Kb3 Qd5+ Ka3 a5 b3 Rfe8 Rhe1 a4 Rxe8+ Rxe8 bxa4 bxa4 Qd4 Qc6 Rg1 g6 Rg5 Re4 Rc5 Rxd4 Rxc6 Rxh4 c4 Rf4 Kxa4 Rxf2 Kb3 h5 c5 Rf1 Rd6 h4 Rd3 Rc1 Kb4 g5 Rh3 Kf8 Kb5 Ke7 c6 Kd8 Kb6 Rb1+ Kc5 Kc7 Rf3 Rc1+ Kb5 Kd6 Rd3+ Ke5 Kb6 g4 Kb7 h3 c7 h2 Rd1 Rxd1 c8=Q h1=Q+ Ka7 Qg1+ Kb7 Rb1+ Ka8 Qg2+,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d2g5 f8e7 g5f6 e7f6 c2c3 e8g8 f1e2 f6g5 a3c2 c6e7 c2e3 c8e6 d5e7 d8e7 e3d5 e7b7 h2h4 g5h6 g2g4 h6f4 d5f4 e5f4 e2f3 a8e8 d1d6 e6g4 f3g4 b7e4 e1d2 e8d8 g4d7 e4b7 d6f4 b7d7 d2c2 d7d3 c2b3 d3d5 b3a3 a6a5 b2b3 f8e8 h1e1 a5a4 e1e8 d8e8 b3a4 b5a4 f4d4 d5c6 a1g1 g7g6 g1g5 e8e4 g5c5 e4d4 c5c6 d4h4 c3c4 h4f4 a3a4 f4f2 a4b3 h7h5 c4c5 f2f1 c6d6 h5h4 d6d3 f1c1 b3b4 g6g5 d3h3 g8f8 b4b5 f8e7 c5c6 e7d8 b5b6 c1b1 b6c5 d8c7 h3f3 b1c1 c5b5 c7d6 f3d3 d6e5 b5b6 g5g4 b6b7 h4h3 c6c7 h3h2 d3d1 c1d1 c7c8q h2h1q b7a7 h1g1 a7b7 d1b1 b7a8 g1g2,
WYb10,Heraklio GRE,2004.11.05,2,Yu Yangyi,"Gouliaros Antoniadis,Alexandros",2140.0,,1-0,1,B33,61,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Bxf6 gxf6 Nd5 f5 Bd3 Be6 O-O Bg7 c4 b4 Nc2 a5 exf5 Bxd5 cxd5 Ne7 Ne3 a4 Qg4 Rg8 Qxb4 a3 bxa3 Kf8 Rab1 Bh8 Be4 f6 Rfc1 Kf7 Nc4 Nc8 Qb7+ Ne7 Rb6 Rg4 Nxd6+ Kf8 Rc7 Nxf5 Bxf5 Rd4 Rf7+ Kg8 Bxh7#,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 f1d3 c8e6 e1g1 f8g7 c2c4 b5b4 a3c2 a6a5 e4f5 e6d5 c4d5 c6e7 c2e3 a5a4 d1g4 h8g8 g4b4 a4a3 b2a3 e8f8 a1b1 g7h8 d3e4 f7f6 f1c1 f8f7 e3c4 e7c8 b4b7 c8e7 b1b6 g8g4 c4d6 f7f8 c1c7 e7f5 e4f5 g4d4 c7f7 f8g8 f5h7,
WYb10,Heraklio GRE,2004.11.06,3,"Laurusas,Tomas",Yu Yangyi,,2140.0,0-1,-1,B22,120,e4 c5 c3 Nf6 e5 Nd5 d4 cxd4 Qxd4 e6 Bc4 Nc6 Qe4 Nb6 Bb3 d5 Qe2 Bd7 Nf3 a6 Be3 Na5 Nbd2 Rc8 O-O Bb5 Qd1 Bxf1 Qxf1 Nbc4 Nxc4 Nxc4 Bxc4 Rxc4 Rd1 Qc7 Qd3 Be7 h3 O-O Rd2 h6 Rd1 b5 a3 Qb7 Bd4 Rcc8 Re1 a5 Re3 b4 axb4 axb4 cxb4 Qxb4 Bc3 Qc4 Qd2 Bc5 Rd3 Rfd8 Nd4 Bxd4 Rxd4 Qa2 Rg4 Rc4 Rg3 Kh8 Qe2 Qb1+ Kh2 Qe4 Qh5 Qf4 Qe2 Re4 Qc2 Rc8 f3 Rxe5 Bxe5 Qxg3+ Kxg3 Rxc2 b4 f6 Bd4 e5 Bc5 d4 f4 d3 Be3 e4 b5 d2 Bxd2 Rxd2 b6 Rb2 f5 Rxb6 Kf4 Rb4 g4 g5+ fxg6 Kg7 h4 Kxg6 h5+ Kf7 g5 fxg5+ Ke3 Ke6 Ke2 Kf5,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 d1d4 e7e6 f1c4 b8c6 d4e4 d5b6 c4b3 d7d5 e4e2 c8d7 g1f3 a7a6 c1e3 c6a5 b1d2 a8c8 e1g1 d7b5 e2d1 b5f1 d1f1 b6c4 d2c4 a5c4 b3c4 c8c4 a1d1 d8c7 f1d3 f8e7 h2h3 e8g8 d1d2 h7h6 d2d1 b7b5 a2a3 c7b7 e3d4 c4c8 d1e1 a6a5 e1e3 b5b4 a3b4 a5b4 c3b4 b7b4 d4c3 b4c4 d3d2 e7c5 e3d3 f8d8 f3d4 c5d4 d3d4 c4a2 d4g4 c8c4 g4g3 g8h8 d2e2 a2b1 g1h2 b1e4 e2h5 e4f4 h5e2 c4e4 e2c2 d8c8 f2f3 e4e5 c3e5 f4g3 h2g3 c8c2 b2b4 f7f6 e5d4 e6e5 d4c5 d5d4 f3f4 d4d3 c5e3 e5e4 b4b5 d3d2 e3d2 c2d2 b5b6 d2b2 f4f5 b2b6 g3f4 b6b4 g2g4 g7g5 f5g6 h8g7 h3h4 g7g6 h4h5 g6f7 g4g5 f6g5 f4e3 f7e6 e3e2 e6f5,
WYb10,Heraklio GRE,2004.11.06,4,Yu Yangyi,"Moussard,J",2140.0,2008.0,1-0,1,B07,65,e4 d6 d4 Nf6 Nc3 Nbd7 Be3 e5 f3 Be7 Qd2 O-O g4 exd4 Bxd4 Ne5 O-O-O Be6 g5 Nfd7 f4 Nc4 Bxc4 Bxc4 Bxg7 Kxg7 Qd4+ Ne5 fxe5 Bxg5+ Kb1 Be6 exd6+ Qf6 e5 Qf4 Nge2 Qxd4 Nxd4 c6 Rhg1 Kh6 Ne4 Bf4 Nxe6 fxe6 Nf6 Bg5 Rxg5 Kxg5 Nxh7+ Kh4 Nxf8 Rxf8 c4 Kh3 Rd2 Re8 Kc2 Kg4 Rf2 Kg5 Rf6 a5 Rxe6,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 c1e3 e7e5 f2f3 f8e7 d1d2 e8g8 g2g4 e5d4 e3d4 d7e5 e1c1 c8e6 g4g5 f6d7 f3f4 e5c4 f1c4 e6c4 d4g7 g8g7 d2d4 d7e5 f4e5 e7g5 c1b1 c4e6 e5d6 d8f6 e4e5 f6f4 g1e2 f4d4 e2d4 c7c6 h1g1 g7h6 c3e4 g5f4 d4e6 f7e6 e4f6 f4g5 g1g5 h6g5 f6h7 g5h4 h7f8 a8f8 c2c4 h4h3 d1d2 f8e8 b1c2 h3g4 d2f2 g4g5 f2f6 a7a5 f6e6,132.0
WYb10,Heraklio GRE,2004.11.07,5,"Swiercz,D",Yu Yangyi,2045.0,2140.0,0-1,-1,D46,130,d4 d5 c4 c6 Nf3 Nf6 Qc2 e6 Nc3 Nbd7 e3 Bd6 Bd3 O-O O-O e5 cxd5 cxd5 dxe5 Nxe5 Nxe5 Bxe5 h3 Be6 Bd2 Rc8 Qd1 Bb8 Nb5 a6 Nd4 Qd6 f4 Ne4 Qe1 Rfe8 Bb4 Qb6 Bxe4 dxe4 Nxe6 Qxe6 Bc3 Red8 Rd1 f5 Qh4 Bc7 Qg5 Qg6 Rxd8+ Rxd8 Qe7 Qf7 Qc5 Rd5 Qc4 Rd7 Qxf7+ Kxf7 Bd4 Ba5 Rc1 Rc7 Rxc7+ Bxc7 Kf2 g6 Ke2 Ke6 Kd2 Kd5 b3 Bxf4 Bg7 Be5 Bf8 b5 Bh6 Bf6 Ke2 Ke6 Bf8 g5 g3 Be7 Bg7 Kd5 Bb2 a5 Bc3 a4 Ke1 Bd6 Kf2 Ke6 Bd2 h5 Kg2 Bc5 h4 gxh4 gxh4 Be7 Kh3 Kd5 Kg3 Bd6+ Kf2 a3 Kg2 f4 exf4 Kd4 Kf2 Kd3 Be3 Be7 Bc1 Bxh4+ Kg2 b4 f5 e3 Bxe3 Kxe3 Kh3 Bf6 Kg2 Kd2,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 d1c2 e7e6 b1c3 b8d7 e2e3 f8d6 f1d3 e8g8 e1g1 e6e5 c4d5 c6d5 d4e5 d7e5 f3e5 d6e5 h2h3 c8e6 c1d2 a8c8 c2d1 e5b8 c3b5 a7a6 b5d4 d8d6 f2f4 f6e4 d1e1 f8e8 d2b4 d6b6 d3e4 d5e4 d4e6 b6e6 b4c3 e8d8 a1d1 f7f5 e1h4 b8c7 h4g5 e6g6 d1d8 c8d8 g5e7 g6f7 e7c5 d8d5 c5c4 d5d7 c4f7 g8f7 c3d4 c7a5 f1c1 d7c7 c1c7 a5c7 g1f2 g7g6 f2e2 f7e6 e2d2 e6d5 b2b3 c7f4 d4g7 f4e5 g7f8 b7b5 f8h6 e5f6 d2e2 d5e6 h6f8 g6g5 g2g3 f6e7 f8g7 e6d5 g7b2 a6a5 b2c3 a5a4 e2e1 e7d6 e1f2 d5e6 c3d2 h7h5 f2g2 d6c5 h3h4 g5h4 g3h4 c5e7 g2h3 e6d5 h3g3 e7d6 g3f2 a4a3 f2g2 f5f4 e3f4 d5d4 g2f2 d4d3 d2e3 d6e7 e3c1 e7h4 f2g2 b5b4 f4f5 e4e3 c1e3 d3e3 g2h3 h4f6 h3g2 e3d2,-95.0
WYb10,Heraklio GRE,2004.11.08,6,Yu Yangyi,"Aghasaryan,Robert",2140.0,,1-0,1,B86,43,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nf6 Nc3 d6 Bc4 a6 Bb3 Nbd7 f4 Nc5 e5 dxe5 fxe5 Nxb3 axb3 Nd5 O-O Bc5 Ne4 Be7 Qf3 O-O c3 Qc7 Qg3 Kh8 Bg5 Bc5 Kh1 Ne7 Nb5 Qc6 Nxc5 Qxc5 Nd6 Nf5 Rxf5,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 a7a6 c4b3 b8d7 f2f4 d7c5 e4e5 d6e5 f4e5 c5b3 a2b3 f6d5 e1g1 f8c5 c3e4 c5e7 d1f3 e8g8 c2c3 d8c7 f3g3 g8h8 c1g5 e7c5 g1h1 d5e7 d4b5 c7c6 e4c5 c6c5 b5d6 e7f5 f1f5,
WYb10,Heraklio GRE,2004.11.10,7,Chen Peng,Yu Yangyi,,2140.0,1-0,1,B31,126,e4 c5 Nf3 Nc6 Bb5 g6 Bxc6 dxc6 d3 Bg7 h3 Nf6 Nc3 Nd7 Be3 e5 Qd2 Qe7 Bh6 Bxh6 Qxh6 b6 a3 Bb7 Nd2 f6 Nc4 Ba6 Ne3 Qf8 Qh4 Qg7 g3 O-O f4 Rfe8 f5 g5 Qh5 Qf7 Qh6 Qg7 Qh5 Qf7 Qxf7+ Kxf7 h4 Rh8 hxg5 fxg5 Rh6 Nf6 Kf2 Rad8 Kf3 c4 dxc4 Rd2 Rah1 Kg7 b3 Bc8 Nb1 Rd4 Nc3 Rd2 Ncd1 g4+ Nxg4 Nxg4 Kxg4 Rxd1 Rxh7+ Rxh7 Rxd1 Rh8 Kg5 Kf7 Rd6 Rg8+ Kh4 c5 g4 Rh8+ Kg3 Ke7 Rd5 Kf6 Rd6+ Ke7 Rc6 Bd7 Rg6 Kf7 Rd6 Bc8 g5 Re8 Rh6 Rg8 g6+ Kf6 Rh7 Rg7 Rh8 Bb7 Kf3 a6 Ke3 Rd7 Rf8+ Kg7 Re8 Bc6 Rxe5 Rc7 Kf4 Rc8 Re7+ Kg8 Ke5 Re8 Rxe8+ Bxe8 Kd6 Kf8,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 d7c6 d2d3 f8g7 h2h3 g8f6 b1c3 f6d7 c1e3 e7e5 d1d2 d8e7 e3h6 g7h6 d2h6 b7b6 a2a3 c8b7 f3d2 f7f6 d2c4 b7a6 c4e3 e7f8 h6h4 f8g7 g2g3 e8g8 f2f4 f8e8 f4f5 g6g5 h4h5 g7f7 h5h6 f7g7 h6h5 g7f7 h5f7 g8f7 h3h4 e8h8 h4g5 f6g5 h1h6 d7f6 e1f2 a8d8 f2f3 c5c4 d3c4 d8d2 a1h1 f7g7 b2b3 a6c8 c3b1 d2d4 b1c3 d4d2 c3d1 g5g4 e3g4 f6g4 f3g4 d2d1 h6h7 h8h7 h1d1 h7h8 g4g5 g7f7 d1d6 h8g8 g5h4 c6c5 g3g4 g8h8 h4g3 f7e7 d6d5 e7f6 d5d6 f6e7 d6c6 c8d7 c6g6 e7f7 g6d6 d7c8 g4g5 h8e8 d6h6 e8g8 g5g6 f7f6 h6h7 g8g7 h7h8 c8b7 g3f3 a7a6 f3e3 g7d7 h8f8 f6g7 f8e8 b7c6 e8e5 d7c7 e3f4 c7c8 e5e7 g7g8 f4e5 c8e8 e7e8 c6e8 e5d6 g8f8,
WYb10,Heraklio GRE,2004.11.10,8,Yu Yangyi,"Mirzaei,Saleh",2140.0,,1-0,1,B33,97,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Bxf6 gxf6 Nd5 Bg7 Bd3 O-O O-O Ne7 Nxe7+ Qxe7 c4 f5 exf5 e4 f6 Bxf6 Re1 Bf5 Bxe4 Bxe4 Qg4+ Kh8 Rxe4 Qb7 Qf5 Bxb2 Rb1 Rae8 Rh4 f6 Nc2 Re5 Qd3 bxc4 Rxc4 Rfe8 Ne3 Qb5 a4 Qb6 Qd2 Bc3 Qc2 Rxe3 fxe3 Qxe3+ Qf2 Qd3 Qf1 Qe3+ Kh1 d5 Rf4 Be5 Rf3 Qe4 Re1 Qxa4 Rh3 Qd7 Qxa6 d4 Qd3 Rc8 Qe4 Rc3 Rd3 Qb5 Red1 Rxd3 Qxd3 Qxd3 Rxd3 Kg7 g3 Kg6 Kg2 h5 h3 Kg5 Kf3,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7 f1d3 e8g8 e1g1 c6e7 d5e7 d8e7 c2c4 f6f5 e4f5 e5e4 f5f6 g7f6 f1e1 c8f5 d3e4 f5e4 d1g4 g8h8 e1e4 e7b7 g4f5 f6b2 a1b1 a8e8 e4h4 f7f6 a3c2 e8e5 f5d3 b5c4 h4c4 f8e8 c2e3 b7b5 a2a4 b5b6 d3d2 b2c3 d2c2 e5e3 f2e3 b6e3 c2f2 e3d3 f2f1 d3e3 g1h1 d6d5 c4f4 c3e5 f4f3 e3e4 b1e1 e4a4 f3h3 a4d7 f1a6 d5d4 a6d3 e8c8 d3e4 c8c3 h3d3 d7b5 e1d1 c3d3 e4d3 b5d3 d1d3 h8g7 g2g3 g7g6 h1g2 h7h5 h2h3 g6g5 g2f3,
WYb10,Heraklio GRE,2004.11.11,9,"Song,R",Yu Yangyi,2002.0,2140.0,1/2-1/2,0,C56,85,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Nf6 e5 Ng4 Qe2 Qe7 Bf4 f6 exf6 Nxf6 O-O Qxe2 Bxe2 d6 Nbd2 Bf5 Bb5 Nd5 Nxd4 Bd7 Rfe1+ Be7 Bxc6 bxc6 Bg5 Kf7 Bxe7 Nxe7 Ne4 h6 Rad1 Nf5 Ng3 Nxd4 Rxd4 Rhe8 Kf1 c5 Rf4+ Kg6 Rfe4 a5 f3 Rxe4 Rxe4 Kf7 Ke2 Rb8 b3 a4 Kd2 axb3 axb3 g5 Kc3 Ra8 Kb2 Re8 Rxe8 Bxe8 Nf5 h5 Ne3 Ke6 Kc3 Ke5 Kd2 Bf7 Nf1 Be6 Ng3 h4 Ne2 d5 g3 hxg3 hxg3 Kf5 Kd3,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 g8f6 e4e5 f6g4 d1e2 d8e7 c1f4 f7f6 e5f6 g4f6 e1g1 e7e2 c4e2 d7d6 b1d2 c8f5 e2b5 f6d5 f3d4 f5d7 f1e1 f8e7 b5c6 b7c6 f4g5 e8f7 g5e7 d5e7 d2e4 h7h6 a1d1 e7f5 e4g3 f5d4 d1d4 h8e8 g1f1 c6c5 d4f4 f7g6 f4e4 a7a5 f2f3 e8e4 e1e4 g6f7 f1e2 a8b8 b2b3 a5a4 e2d2 a4b3 a2b3 g7g5 d2c3 b8a8 c3b2 a8e8 e4e8 d7e8 g3f5 h6h5 f5e3 f7e6 b2c3 e6e5 c3d2 e8f7 e3f1 f7e6 f1g3 h5h4 g3e2 d6d5 g2g3 h4g3 h2g3 e5f5 d2d3,-138.0
WYb10,Heraklio GRE,2004.11.12,10,Yu Yangyi,"Zhao,P",2140.0,1975.0,1-0,1,B43,120,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Bd3 Qc7 O-O Nf6 Kh1 Nc6 Nxc6 dxc6 f4 e5 Nc3 Bd6 f5 h5 a4 b6 Qf3 Bb7 Be3 b5 axb5 cxb5 Nd5 Bxd5 exd5 Qb7 Bg5 Rc8 Qe2 Kf8 c4 e4 Bxe4 Re8 Bxf6 gxf6 cxb5 Qxb5 Qxb5 axb5 Bd3 b4 Ra6 Rd8 b3 Kg7 Re1 Be5 Bc4 Ra8 Rb6 Rhb8 Rc6 Rc8 g3 Rxc6 dxc6 Rc8 Bb5 Rc7 Kg2 Kf8 Re4 Bd6 Rh4 Kg7 Rxh5 Ra7 Ba4 Ra5 Rh4 Rc5 Rc4 Rxc4 bxc4 Kf8 h4 b3 Bxb3 Ke8 Kf3 Kd8 c5 Bxc5 Bxf7 Kc7 Be8 Bf8 g4 Bh6 Bd7 Kd6 Ke4 Bc1 Kf3 Bh6 g5 fxg5 hxg5 Bxg5 Kg4 Bd8 Kh5 Ke7 Kg6 Kf8 f6 Bc7 Kf5 Kf7 Be6+ Ke8,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 d8c7 e1g1 g8f6 g1h1 b8c6 d4c6 d7c6 f2f4 e6e5 b1c3 f8d6 f4f5 h7h5 a2a4 b7b6 d1f3 c8b7 c1e3 b6b5 a4b5 c6b5 c3d5 b7d5 e4d5 c7b7 e3g5 a8c8 f3e2 e8f8 c2c4 e5e4 d3e4 c8e8 g5f6 g7f6 c4b5 b7b5 e2b5 a6b5 e4d3 b5b4 a1a6 e8d8 b2b3 f8g7 f1e1 d6e5 d3c4 d8a8 a6b6 h8b8 b6c6 b8c8 g2g3 c8c6 d5c6 a8c8 c4b5 c8c7 h1g2 g7f8 e1e4 e5d6 e4h4 f8g7 h4h5 c7a7 b5a4 a7a5 h5h4 a5c5 h4c4 c5c4 b3c4 g7f8 h2h4 b4b3 a4b3 f8e8 g2f3 e8d8 c4c5 d6c5 b3f7 d8c7 f7e8 c5f8 g3g4 f8h6 e8d7 c7d6 f3e4 h6c1 e4f3 c1h6 g4g5 f6g5 h4g5 h6g5 f3g4 g5d8 g4h5 d6e7 h5g6 e7f8 f5f6 d8c7 g6f5 f8f7 d7e6 f7e8,165.0
